Phase,V,dV,PV,dPV,Fvib,dFvib,Pvib,dPvib,Pvib_5500K,dPvib_5500K,Panh_5500K,Pel_5500K,Pth_5500K
hcp-Fe,19.66,0.07,30,2,21.6,0.4,1.83,0.09,33.5,1.6,3.4,13.9,50.8
,18.47,0.03,53,2,29.4,1.0,2.17,0.05,39.7,0.9,3.3,13.7,56.7
,17.8,0.03,69,3,34.3,0.8,2.36,0.03,43.3,0.5,3.2,13.5,60.0
,17.5,0.07,77,3,35.8,0.5,2.45,0.03,44.8,0.5,3.1,13.4,61.3
,17.1,0.07,90,3,39.3,0.5,2.56,0.03,47.0,0.5,3.1,13.3,63.4
,16.61,0.07,106,3,42.8,0.5,2.70,0.04,49.5,0.7,3,13.2,65.7
,16.24,0.07,121,3,46.6,0.7,2.81,0.05,51.5,0.9,2.9,13.1,67.5
,15.97,0.07,133,4,49.1,0.8,2.89,0.06,52.9,1.0,2.9,13,68.8
,15.61,0.07,151,5,52.0,1.0,2.99,0.07,54.8,1.2,2.8,12.9,70.5
,15.21,0.07,171,5,56.1,1.2,3.10,0.08,56.9,1.5,2.8,12.8,72.5
hcp-FeNi,20.59,0.02,18,0.1,12.0,0.6,1.89,0.22,34.7,4.0,3.6,14.1,52.4
,20.21,0.03,22.8,0.2,13.3,0.7,1.97,0.18,36.1,3.3,3.5,14,53.6
,19.09,0.06,41,1,21.7,0.7,2.20,0.08,40.4,1.4,3.3,13.7,57.4
,18.72,0.04,48,1,24.4,0.8,2.28,0.06,41.8,1.1,3.3,13.7,58.8
,18.07,0.04,63,1,28.7,0.8,2.41,0.10,44.3,1.8,3.2,13.5,61.0
,17.6,0.02,75,1,31.2,0.8,2.51,0.14,46.0,2.6,3.1,13.4,62.5
,17.33,0.03,83,1,34.1,0.8,2.57,0.17,47.0,3.1,3.1,13.3,63.4
,16.72,0.04,104,3,39.9,0.8,2.69,0.23,49.4,4.3,3,13.1,65.5
hcp-FeNiSi,19.9,0.03,27.9,0.3,18.3,0.5,2.30,0.49,42.2,9.1,3.3,13.6,59.1
,19.31,0.05,37.1,0.6,21.9,0.5,2.34,0.30,42.9,5.4,3.2,13.4,59.5
,19.09,0.06,41,1,25.2,0.5,2.35,0.23,43.1,4.2,3.2,13.4,59.7
,18.4,0.05,55,1,29.6,0.8,2.40,0.15,44.0,2.7,3.1,13.2,60.3
,17.83,0.04,69,1,32.7,1.0,2.44,0.29,44.7,5.4,3,13.1,60.8
,17.26,0.06,86,3,38.4,1.0,2.47,0.48,45.3,8.9,2.9,12.9,61.1
