Phase,V,dV,P,dP,fLM,dfLM,Svib,dSvib,alphavib,dalphavib,EK,dEK,Cvib,dCvib
bcc Fe,23.46,0.03,0,,0.789,0.001,3.14,0.01,,,14.2,0.1,2.72,0.01
hcp Fe,19.66,0.07,30,2,0.859,0.001,2.59,0.01,1.76,0.04,14.8,0.1,2.60,0.02
,18.47,0.03,53,2,0.878,0.002,2.36,0.03,1.33,0.03,15.1,0.2,2.53,0.03
,17.8,0.03,69,3,0.888,0.002,2.24,0.02,1.15,0.02,15.3,0.2,2.49,0.02
,17.5,0.07,77,3,0.892,0.001,2.19,0.01,1.08,0.02,15.4,0.1,2.47,0.02
,17.1,0.07,90,3,0.899,0.001,2.10,0.01,0.98,0.02,15.6,0.1,2.44,0.02
,16.61,0.07,106,3,0.904,0.001,2.01,0.01,0.88,0.02,15.8,0.1,2.40,0.02
,16.24,0.07,121,3,0.910,0.001,1.92,0.01,0.81,0.02,16.1,0.2,2.36,0.02
,15.97,0.07,133,4,0.914,0.001,1.86,0.02,0.76,0.01,16.2,0.2,2.33,0.02
,15.61,0.07,151,5,0.918,0.002,1.80,0.02,0.70,0.01,16.4,0.2,2.30,0.02
,15.21,0.07,171,5,0.922,0.002,1.70,0.02,0.64,0.01,16.7,0.3,2.25,0.03
bcc Fe0.91Ni0.09,23.73,0.02,0,,0.775,0.001,3.21,0.01,,,14.1,0.1,2.74,0.01
,23.38,0.03,1.7,0.1,0.778,0.002,3.21,0.02,,,14.1,0.1,2.74,0.01
,23.08,0.03,3.8,0.1,0.784,0.002,3.17,0.02,,,14.2,0.1,2.73,0.02
,22.98,0.03,4.5,0.1,0.788,0.002,3.15,0.02,,,14.2,0.1,2.72,0.02
,22.54,0.02,8.1,0.1,0.802,0.002,3.02,0.02,,,14.3,0.1,2.70,0.02
hcp Fe0.91Ni0.09,20.59,0.02,18,0.1,0.826,0.001,2.89,0.02,2.24,0.05,14.4,0.1,2.68,0.02
,20.21,0.03,22.8,0.2,0.832,0.001,2.84,0.02,2.05,0.04,14.5,0.1,2.66,0.02
,19.09,0.06,41,1,0.856,0.001,2.60,0.02,1.57,0.03,14.8,0.1,2.60,0.02
,18.72,0.04,48,1,0.864,0.001,2.52,0.02,1.45,0.03,14.9,0.2,2.58,0.02
,18.07,0.04,63,1,0.875,0.001,2.40,0.02,1.24,0.02,15.1,0.2,2.54,0.02
,17.6,0.02,75,1,0.881,0.001,2.32,0.02,1.11,0.02,15.2,0.2,2.52,0.02
,17.33,0.03,83,1,0.885,0.001,2.25,0.02,1.04,0.02,15.4,0.2,2.49,0.02
,16.72,0.04,104,3,0.899,0.001,2.09,0.02,0.91,0.02,15.7,0.2,2.43,0.02
bcc Fe0.8Ni0.1Si0.1,23.38,0.03,0,,0.769,0.001,3.23,0.01,,,14.1,0.1,2.74,0.01
,22.53,0.03,6.5,0.1,0.780,0.002,3.15,0.01,,,14.1,0.1,2.73,0.01
,22.46,0.02,7.1,0.1,0.785,0.002,3.09,0.01,,,14.2,0.1,2.72,0.01
hcp Fe0.8Ni0.1Si0.1,19.9,0.03,27.9,0.3,0.841,0.001,2.70,0.01,2.01,0.04,14.7,0.1,2.62,0.01
,19.31,0.05,37.1,0.6,0.853,0.001,2.59,0.01,1.72,0.03,14.8,0.1,2.59,0.01
,19.09,0.06,41,1,0.863,0.001,2.49,0.01,1.63,0.03,14.9,0.1,2.57,0.01
,18.4,0.05,55,1,0.871,0.001,2.38,0.01,1.37,0.02,15.2,0.2,2.52,0.02
,17.83,0.04,69,1,0.880,0.001,2.29,0.01,1.18,0.02,15.3,0.2,2.50,0.02
,17.26,0.06,86,3,0.891,0.001,2.14,0.02,1.02,0.02,15.6,0.2,2.44,0.02
