Phase,V,dV,rho,drho,P,dP,vD,dvD,KS,dKS,vphi,dvphi,vP,dvP,vS,dvS,G,dG
bcc-Fe,23.46,0.03,8.06,0.01,0,,3.47,0.03,168,8,4.57,0.11,5.81,0.09,3.11,0.03,78,1
hcp-Fe,19.66,0.07,9.61,0.03,30,2,4.42,0.06,312,3,5.70,0.03,7.31,0.05,3.96,0.06,151,4
,18.47,0.03,10.25,0.01,53,2,4.61,0.04,411,2,6.33,0.01,7.92,0.03,4.12,0.04,174,3
,17.80,0.03,10.63,0.01,69,3,4.83,0.05,476,1,6.69,0.01,8.35,0.04,4.32,0.05,198,5
,17.50,0.07,10.80,0.02,77,3,4.94,0.02,506,1,6.85,0.01,8.53,0.02,4.41,0.02,210,2
,17.10,0.07,11.06,0.02,90,3,5.13,0.03,558,1,7.10,0.01,8.86,0.02,4.59,0.03,233,3
,16.61,0.07,11.38,0.05,106,3,5.21,0.03,621,2,7.39,0.02,9.13,0.03,4.65,0.03,246,3
,16.24,0.07,11.64,0.02,121,3,5.36,0.04,677,2,7.63,0.02,9.42,0.03,4.78,0.04,266,4
,15.97,0.07,11.84,0.02,133,4,5.40,0.08,721,3,7.80,0.02,9.58,0.05,4.82,0.07,275,8
,15.61,0.07,12.13,0.03,151,5,5.56,0.03,786,4,8.05,0.02,9.88,0.03,4.96,0.03,298,4
,15.21,0.07,12.43,0.03,171,5,5.68,0.07,859,5,8.31,0.02,10.17,0.04,5.07,0.06,320,8
bcc-FeNi,23.73,0.02,7.99,0.01,0,,3.27,0.02,147,3,4.29,0.05,5.46,0.04,2.93,0.02,69,1
,23.38,0.03,8.11,0.01,1.7,0.1,3.28,0.02,158,2,4.41,0.03,5.56,0.03,2.93,0.02,70,1
,23.08,0.03,8.22,0.01,3.8,0.1,3.31,0.02,171,1,4.56,0.02,5.69,0.02,2.96,0.02,72,1
,22.98,0.03,8.25,0.01,4.5,0.1,3.39,0.02,175,1,4.60,0.01,5.78,0.02,3.03,0.02,76,1
,22.54,0.02,8.41,0.01,8.1,0.1,3.46,0.01,196,2,4.83,0.02,6.01,0.02,3.09,0.01,80,1
hcp-FeNi,20.59,0.02,9.21,0.01,18.0,0.1,3.84,0.05,254,3,5.26,0.03,6.58,0.04,3.43,0.05,109,3
,20.21,0.03,9.38,0.01,22.8,0.2,3.94,0.03,278,2,5.44,0.02,6.79,0.03,3.52,0.03,116,2
,19.09,0.06,9.93,0.03,41,1,4.24,0.01,360,1,6.02,0.01,7.44,0.01,3.79,0.01,142,1
,18.72,0.04,10.13,0.02,48,1,4.36,0.04,391,1,6.22,0.01,7.67,0.02,3.89,0.03,153,3
,18.07,0.04,10.50,0.02,63,1,4.52,0.03,456,1,6.59,0.01,8.07,0.02,4.03,0.02,170,2
,17.60,0.02,10.77,0.01,75,1,4.60,0.02,507,2,6.86,0.01,8.33,0.01,4.10,0.02,181,2
,17.33,0.03,10.94,0.02,83,1,4.67,0.04,541,2,7.03,0.01,8.51,0.03,4.16,0.03,189,3
,16.72,0.04,11.34,0.03,104,3,4.97,0.04,623,3,7.41,0.02,9.01,0.03,4.43,0.03,223,3
bcc-FeNiSi,23.38,0.03,7.70,0.01,0,,3.21,0.01,156,8,4.49,0.11,5.58,0.09,2.86,0.01,63,1
,22.53,0.03,8.00,0.01,6.5,0.1,3.26,0.031,191,2,4.92,0.03,5.95,0.03,2.90,0.028,67,1
,22.46,0.02,8.02,0.01,7.1,0.1,3.23,0.032,194,2,4.89,0.03,5.91,0.03,2.87,0.029,66,1
hcp-FeNiSi,19.90,0.03,9.05,0.02,27.9,0.3,3.97,0.045,284,3,5.61,0.03,6.94,0.03,3.54,0.04,114,3
,19.31,0.05,9.33,0.02,37.1,0.6,4.16,0.035,330,2,5.95,0.02,7.32,0.03,3.70,0.03,127,2
,19.09,0.06,9.44,0.03,41,1,4.30,0.054,350,2,6.09,0.02,7.53,0.04,3.84,0.05,139,3
,18.40,0.05,9.79,0.03,55,1,4.37,0.041,416,1,6.52,0.01,7.92,0.03,3.90,0.04,148,3
,17.83,0.04,10.10,0.02,69,1,4.55,0.056,480,1,6.90,0.01,8.33,0.03,4.05,0.05,165,4
,17.26,0.06,10.44,0.04,86,3,4.68,0.043,555,2,7.30,0.02,8.74,0.03,4.17,0.04,181,3
