# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 7.900e-05, 7.900e-05 m
# PONI: 1.411e-01, 1.028e-01 m
# Distance Sample to Detector: 0.252389948987 m
# Rotations: 0.001947 0.002954 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 252.392 mm
# Center: x=1295.273, y=1795.185 pix
# Tilt: 0.203 deg  TiltPlanRot: 123.397 deg
# 
# Wavelength: 8.60255e-11
# Polarization factor: 0.99
# Normalization factor: None
#
# 2th_deg	 I
3.687152151E-03  1.736001587E+01
1.106145557E-02  1.797325706E+01
1.843575900E-02  1.629946136E+01
2.581006242E-02  1.642922783E+01
3.318436584E-02  1.601539040E+01
4.055866926E-02  1.591441631E+01
4.793297268E-02  1.479621792E+01
5.530727611E-02  1.409845352E+01
6.268157953E-02  1.334446716E+01
7.005588295E-02  1.394133282E+01
7.743018637E-02  1.458518600E+01
8.480448980E-02  1.505646896E+01
9.217879322E-02  1.472479630E+01
9.955309664E-02  1.431300735E+01
1.069274001E-01  1.432349873E+01
1.143017035E-01  1.449685860E+01
1.216760069E-01  1.430536270E+01
1.290503103E-01  1.365468979E+01
1.364246138E-01  1.371642876E+01
1.437989172E-01  1.362385941E+01
1.511732206E-01  1.367647934E+01
1.585475240E-01  1.369050884E+01
1.659218274E-01  1.351953697E+01
1.732961309E-01  1.350889206E+01
1.806704343E-01  1.336369038E+01
1.880447377E-01  1.366276932E+01
1.954190411E-01  1.382330799E+01
2.027933446E-01  1.377207184E+01
2.101676480E-01  1.406465912E+01
2.175419514E-01  1.421154785E+01
2.249162548E-01  1.421418762E+01
2.322905582E-01  1.438008404E+01
2.396648617E-01  1.440209007E+01
2.470391651E-01  1.420074272E+01
2.544134685E-01  1.376789379E+01
2.617877719E-01  1.365679646E+01
2.691620754E-01  1.384959698E+01
2.765363788E-01  1.385916519E+01
2.839106822E-01  1.412704849E+01
2.912849856E-01  1.391221905E+01
2.986592890E-01  1.396468830E+01
3.060335925E-01  1.392520905E+01
3.134078959E-01  1.395357132E+01
3.207821993E-01  1.384384918E+01
3.281565027E-01  1.375674438E+01
3.355308062E-01  1.377930450E+01
3.429051096E-01  1.375260258E+01
3.502794130E-01  1.380822086E+01
3.576537164E-01  1.420436859E+01
3.650280198E-01  1.457794857E+01
3.724023233E-01  1.461679268E+01
3.797766267E-01  1.426316738E+01
3.871509301E-01  1.396477795E+01
3.945252335E-01  1.373590374E+01
4.018995370E-01  1.379140091E+01
4.092738404E-01  1.381790066E+01
4.166481438E-01  1.386095333E+01
4.240224472E-01  1.368079758E+01
4.313967506E-01  1.374425793E+01
4.387710541E-01  1.388019466E+01
4.461453575E-01  1.387438488E+01
4.535196609E-01  1.389677620E+01
4.608939643E-01  1.380955696E+01
4.682682678E-01  1.383182526E+01
4.756425712E-01  1.371466446E+01
4.830168746E-01  1.369331551E+01
4.903911780E-01  1.384006786E+01
4.977654814E-01  1.383761597E+01
5.051397849E-01  1.358408356E+01
5.125140883E-01  1.345462227E+01
5.198883917E-01  1.352028656E+01
5.272626951E-01  1.351420593E+01
5.346369986E-01  1.355415440E+01
5.420113020E-01  1.358694458E+01
5.493856054E-01  1.376486015E+01
5.567599088E-01  1.387009048E+01
5.641342122E-01  1.408271313E+01
5.715085157E-01  1.414109516E+01
5.788828191E-01  1.435999489E+01
5.862571225E-01  1.429827499E+01
5.936314259E-01  1.442687035E+01
6.010057294E-01  1.451770210E+01
6.083800328E-01  1.468895435E+01
6.157543362E-01  1.463990307E+01
6.231286396E-01  1.457125854E+01
6.305029430E-01  1.449276543E+01
6.378772465E-01  1.450908756E+01
6.452515499E-01  1.456603146E+01
6.526258533E-01  1.457724762E+01
6.600001567E-01  1.448267269E+01
6.673744602E-01  1.438338375E+01
6.747487636E-01  1.427653217E+01
6.821230670E-01  1.440851879E+01
6.894973704E-01  1.450144100E+01
6.968716738E-01  1.449080658E+01
7.042459773E-01  1.427846241E+01
7.116202807E-01  1.412810135E+01
7.189945841E-01  1.416979218E+01
7.263688875E-01  1.429694176E+01
7.337431910E-01  1.417194176E+01
7.411174944E-01  1.424459362E+01
7.484917978E-01  1.438571739E+01
7.558661012E-01  1.450616550E+01
7.632404046E-01  1.463113499E+01
7.706147081E-01  1.451397991E+01
7.779890115E-01  1.441568184E+01
7.853633149E-01  1.420118809E+01
7.927376183E-01  1.426930237E+01
8.001119218E-01  1.434817982E+01
8.074862252E-01  1.441335011E+01
8.148605286E-01  1.440648651E+01
8.222348320E-01  1.419476986E+01
8.296091354E-01  1.430495453E+01
8.369834389E-01  1.424116230E+01
8.443577423E-01  1.431867123E+01
8.517320457E-01  1.414741898E+01
8.591063491E-01  1.420897293E+01
8.664806526E-01  1.418646622E+01
8.738549560E-01  1.412287998E+01
8.812292594E-01  1.413762760E+01
8.886035628E-01  1.421149063E+01
8.959778662E-01  1.440406704E+01
9.033521697E-01  1.439506721E+01
9.107264731E-01  1.427362442E+01
9.181007765E-01  1.425110340E+01
9.254750799E-01  1.429088116E+01
9.328493834E-01  1.439846039E+01
9.402236868E-01  1.462412453E+01
9.475979902E-01  1.471522999E+01
9.549722936E-01  1.477443027E+01
9.623465970E-01  1.461221981E+01
9.697209005E-01  1.453715229E+01
9.770952039E-01  1.446577454E+01
9.844695073E-01  1.455127907E+01
9.918438107E-01  1.466664314E+01
9.992181142E-01  1.483940029E+01
1.006592418E+00  1.478742218E+01
1.013966721E+00  1.469184017E+01
1.021341024E+00  1.458706474E+01
1.028715328E+00  1.444509888E+01
1.036089631E+00  1.431833553E+01
1.043463935E+00  1.415541267E+01
1.050838238E+00  1.407491493E+01
1.058212542E+00  1.418777275E+01
1.065586845E+00  1.420818520E+01
1.072961148E+00  1.416844845E+01
1.080335452E+00  1.399181461E+01
1.087709755E+00  1.396416378E+01
1.095084059E+00  1.406517506E+01
1.102458362E+00  1.416738510E+01
1.109832665E+00  1.426289940E+01
1.117206969E+00  1.441849518E+01
1.124581272E+00  1.451201630E+01
1.131955576E+00  1.464416981E+01
1.139329879E+00  1.472158623E+01
1.146704183E+00  1.486451244E+01
1.154078486E+00  1.502061081E+01
1.161452789E+00  1.501880932E+01
1.168827093E+00  1.494978237E+01
1.176201396E+00  1.470789528E+01
1.183575700E+00  1.467308617E+01
1.190950003E+00  1.464321423E+01
1.198324307E+00  1.466784573E+01
1.205698610E+00  1.454139233E+01
1.213072913E+00  1.441394138E+01
1.220447217E+00  1.431600952E+01
1.227821520E+00  1.424289989E+01
1.235195824E+00  1.419264317E+01
1.242570127E+00  1.419152355E+01
1.249944431E+00  1.440338516E+01
1.257318734E+00  1.458058643E+01
1.264693037E+00  1.465558624E+01
1.272067341E+00  1.461221123E+01
1.279441644E+00  1.475611115E+01
1.286815948E+00  1.491709328E+01
1.294190251E+00  1.513008785E+01
1.301564554E+00  1.550873470E+01
1.308938858E+00  1.615767860E+01
1.316313161E+00  1.707924271E+01
1.323687465E+00  1.845691490E+01
1.331061768E+00  2.041859436E+01
1.338436072E+00  2.350704193E+01
1.345810375E+00  2.685786819E+01
1.353184678E+00  3.177939987E+01
1.360558982E+00  3.715253830E+01
1.367933285E+00  4.329792404E+01
1.375307589E+00  5.268984985E+01
1.382681892E+00  6.055113602E+01
1.390056196E+00  7.661776733E+01
1.397430499E+00  8.921361542E+01
1.404804802E+00  1.125390244E+02
1.412179106E+00  1.423101196E+02
1.419553409E+00  1.681629028E+02
1.426927713E+00  2.238201141E+02
1.434302016E+00  2.542509766E+02
1.441676319E+00  3.251806335E+02
1.449050623E+00  3.802570801E+02
1.456424926E+00  4.405388489E+02
1.463799230E+00  5.312259521E+02
1.471173533E+00  5.741972046E+02
1.478547837E+00  6.819960327E+02
1.485922140E+00  7.313444214E+02
1.493296443E+00  8.072572021E+02
1.500670747E+00  8.825574341E+02
1.508045050E+00  9.266964722E+02
1.515419354E+00  1.014867310E+03
1.522793657E+00  1.044054565E+03
1.530167961E+00  1.108892334E+03
1.537542264E+00  1.148943848E+03
1.544916567E+00  1.188464111E+03
1.552290871E+00  1.240615967E+03
1.559665174E+00  1.252652344E+03
1.567039478E+00  1.300730347E+03
1.574413781E+00  1.309927124E+03
1.581788085E+00  1.335624023E+03
1.589162388E+00  1.353442627E+03
1.596536691E+00  1.354979126E+03
1.603910995E+00  1.389725098E+03
1.611285298E+00  1.382586914E+03
1.618659602E+00  1.398881958E+03
1.626033905E+00  1.400855591E+03
1.633408208E+00  1.397612061E+03
1.640782512E+00  1.414117310E+03
1.648156815E+00  1.399138062E+03
1.655531119E+00  1.413076660E+03
1.662905422E+00  1.404564941E+03
1.670279726E+00  1.403943848E+03
1.677654029E+00  1.410821045E+03
1.685028332E+00  1.394547607E+03
1.692402636E+00  1.407098877E+03
1.699776939E+00  1.392184204E+03
1.707151243E+00  1.389466064E+03
1.714525546E+00  1.385575928E+03
1.721899850E+00  1.363400757E+03
1.729274153E+00  1.372124512E+03
1.736648456E+00  1.348594849E+03
1.744022760E+00  1.345889160E+03
1.751397063E+00  1.336135620E+03
1.758771367E+00  1.318892212E+03
1.766145670E+00  1.324383789E+03
1.773519974E+00  1.301041992E+03
1.780894277E+00  1.303232422E+03
1.788268580E+00  1.288071899E+03
1.795642884E+00  1.274039429E+03
1.803017187E+00  1.272504028E+03
1.810391491E+00  1.249147095E+03
1.817765794E+00  1.251888916E+03
1.825140097E+00  1.230658203E+03
1.832514401E+00  1.222604980E+03
1.839888704E+00  1.212427856E+03
1.847263008E+00  1.190606567E+03
1.854637311E+00  1.192947144E+03
1.862011615E+00  1.169663208E+03
1.869385918E+00  1.164116455E+03
1.876760221E+00  1.151207031E+03
1.884134525E+00  1.135039062E+03
1.891508828E+00  1.134833130E+03
1.898883132E+00  1.113228149E+03
1.906257435E+00  1.113062988E+03
1.913631739E+00  1.098714355E+03
1.921006042E+00  1.089633911E+03
1.928380345E+00  1.084855103E+03
1.935754649E+00  1.065308594E+03
1.943128952E+00  1.063497925E+03
1.950503256E+00  1.046173950E+03
1.957877559E+00  1.038292725E+03
1.965251862E+00  1.029701294E+03
1.972626166E+00  1.015364136E+03
1.980000469E+00  1.017757141E+03
1.987374773E+00  1.001280518E+03
1.994749076E+00  9.973508301E+02
2.002123380E+00  9.872409668E+02
2.009497683E+00  9.760900269E+02
