# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 1.000e-04, 1.000e-04 m
# PONI: 1.797e-01, 1.289e-01 m
# Distance Sample to Detector: 0.31915368838 m
# Rotations: 0.000819 0.003304 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 319.156 mm
# Center: x=1286.121, y=1807.483 pix
# Tilt: 0.195 deg  TiltPlanRot: 103.923 deg
# 
# Wavelength: 8.60255e-11
# Polarization factor: 0.99
# Normalization factor: None
#
# 2th_deg	 I
4.523617939E-01  5.071600037E+02
4.596477227E-01  5.120715942E+02
4.669336515E-01  5.242424927E+02
4.742195802E-01  5.277427368E+02
4.815055090E-01  5.317274170E+02
4.887914377E-01  5.335778198E+02
4.960773665E-01  5.375853882E+02
5.033632952E-01  5.369794312E+02
5.106492240E-01  5.378068848E+02
5.179351528E-01  5.370208130E+02
5.252210815E-01  5.329475708E+02
5.325070103E-01  5.289417114E+02
5.397929390E-01  5.257749023E+02
5.470788678E-01  5.223977051E+02
5.543647966E-01  5.234183960E+02
5.616507253E-01  5.301523438E+02
5.689366541E-01  5.343884888E+02
5.762225828E-01  5.352130127E+02
5.835085116E-01  5.355528564E+02
5.907944404E-01  5.309283447E+02
5.980803691E-01  5.262701416E+02
6.053662979E-01  5.214685669E+02
6.126522266E-01  5.190169678E+02
6.199381554E-01  5.168239746E+02
6.272240841E-01  5.171765137E+02
6.345100129E-01  5.173381958E+02
6.417959417E-01  5.172292480E+02
6.490818704E-01  5.171519775E+02
6.563677992E-01  5.185062866E+02
6.636537279E-01  5.165744019E+02
6.709396567E-01  5.180534058E+02
6.782255855E-01  5.168884277E+02
6.855115142E-01  5.183558960E+02
6.927974430E-01  5.195967407E+02
7.000833717E-01  5.219679565E+02
7.073693005E-01  5.234475708E+02
7.146552293E-01  5.205241089E+02
7.219411580E-01  5.200371704E+02
7.292270868E-01  5.170351562E+02
7.365130155E-01  5.156798706E+02
7.437989443E-01  5.152268677E+02
7.510848730E-01  5.173984375E+02
7.583708018E-01  5.167581177E+02
7.656567306E-01  5.139041748E+02
7.729426593E-01  5.140222168E+02
7.802285881E-01  5.151507568E+02
7.875145168E-01  5.174116211E+02
7.948004456E-01  5.203493042E+02
8.020863744E-01  5.204740601E+02
8.093723031E-01  5.212947998E+02
8.166582319E-01  5.218666992E+02
8.239441606E-01  5.188187866E+02
8.312300894E-01  5.180020142E+02
8.385160182E-01  5.154851685E+02
8.458019469E-01  5.135119629E+02
8.530878757E-01  5.130150146E+02
8.603738044E-01  5.119697571E+02
8.676597332E-01  5.139416504E+02
8.749456619E-01  5.158811035E+02
8.822315907E-01  5.187704468E+02
8.895175195E-01  5.196261597E+02
8.968034482E-01  5.193222656E+02
9.040893770E-01  5.175938721E+02
9.113753057E-01  5.154266357E+02
9.186612345E-01  5.126535034E+02
9.259471633E-01  5.132528687E+02
9.332330920E-01  5.137057495E+02
9.405190208E-01  5.170491943E+02
9.478049495E-01  5.188881226E+02
9.550908783E-01  5.196998291E+02
9.623768071E-01  5.214003906E+02
9.696627358E-01  5.217764282E+02
9.769486646E-01  5.210418091E+02
9.842345933E-01  5.181397095E+02
9.915205221E-01  5.163043823E+02
9.988064509E-01  5.149192505E+02
1.006092380E+00  5.139035645E+02
1.013378308E+00  5.143016968E+02
1.020664237E+00  5.150985718E+02
1.027950166E+00  5.158341675E+02
1.035236095E+00  5.164257202E+02
1.042522023E+00  5.149849243E+02
1.049807952E+00  5.164294434E+02
1.057093881E+00  5.164488525E+02
1.064379810E+00  5.182883911E+02
1.071665738E+00  5.177266235E+02
1.078951667E+00  5.182261963E+02
1.086237596E+00  5.177730713E+02
1.093523525E+00  5.171118164E+02
1.100809453E+00  5.171950684E+02
1.108095382E+00  5.145865479E+02
1.115381311E+00  5.127334595E+02
1.122667240E+00  5.102355042E+02
1.129953169E+00  5.109911194E+02
1.137239097E+00  5.128242798E+02
1.144525026E+00  5.144630737E+02
1.151810955E+00  5.142792969E+02
1.159096884E+00  5.119435730E+02
1.166382812E+00  5.137530518E+02
1.173668741E+00  5.119781494E+02
1.180954670E+00  5.127924805E+02
1.188240599E+00  5.104351501E+02
1.195526527E+00  5.103255615E+02
1.202812456E+00  5.093047180E+02
1.210098385E+00  5.091612244E+02
1.217384314E+00  5.091211243E+02
1.224670242E+00  5.103612976E+02
1.231956171E+00  5.098169556E+02
1.239242100E+00  5.096380005E+02
1.246528029E+00  5.103368835E+02
1.253813957E+00  5.109085999E+02
1.261099886E+00  5.132550049E+02
1.268385815E+00  5.135238037E+02
1.275671744E+00  5.140565186E+02
1.282957672E+00  5.139375610E+02
1.290243601E+00  5.138760376E+02
1.297529530E+00  5.130565796E+02
1.304815459E+00  5.112176819E+02
1.312101387E+00  5.116029663E+02
1.319387316E+00  5.119499817E+02
1.326673245E+00  5.139987793E+02
1.333959174E+00  5.144417114E+02
1.341245103E+00  5.136334229E+02
1.348531031E+00  5.119237061E+02
1.355816960E+00  5.115768127E+02
1.363102889E+00  5.116131897E+02
1.370388818E+00  5.127457275E+02
1.377674746E+00  5.123068848E+02
1.384960675E+00  5.102919922E+02
1.392246604E+00  5.088235779E+02
1.399532533E+00  5.070407104E+02
1.406818461E+00  5.084567566E+02
1.414104390E+00  5.091983032E+02
1.421390319E+00  5.099543152E+02
1.428676248E+00  5.098853760E+02
1.435962176E+00  5.077032166E+02
1.443248105E+00  5.073002319E+02
1.450534034E+00  5.062173767E+02
1.457819963E+00  5.081543274E+02
1.465105891E+00  5.095363159E+02
1.472391820E+00  5.109224243E+02
1.479677749E+00  5.109835205E+02
1.486963678E+00  5.099576721E+02
1.494249606E+00  5.094575500E+02
1.501535535E+00  5.076830444E+02
1.508821464E+00  5.067724609E+02
1.516107393E+00  5.069426575E+02
1.523393321E+00  5.063200378E+02
1.530679250E+00  5.065242310E+02
1.537965179E+00  5.050734558E+02
1.545251108E+00  5.074547119E+02
1.552537037E+00  5.078007507E+02
1.559822965E+00  5.110805664E+02
1.567108894E+00  5.118176880E+02
1.574394823E+00  5.114961243E+02
1.581680752E+00  5.120046997E+02
1.588966680E+00  5.111933899E+02
1.596252609E+00  5.109064026E+02
1.603538538E+00  5.098773193E+02
1.610824467E+00  5.095619812E+02
1.618110395E+00  5.097962646E+02
1.625396324E+00  5.084599304E+02
1.632682253E+00  5.076105957E+02
1.639968182E+00  5.075877686E+02
1.647254110E+00  5.083729553E+02
1.654540039E+00  5.094037476E+02
1.661825968E+00  5.093204041E+02
