# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 1.000e-04, 1.000e-04 m
# PONI: 1.799e-01, 1.296e-01 m
# Distance Sample to Detector: 0.319539885113 m
# Rotations: 0.003255 0.003274 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 319.543 mm
# Center: x=1285.351, y=1809.060 pix
# Tilt: 0.265 deg  TiltPlanRot: 134.834 deg
# 
# Wavelength: 8.60255e-11
# Polarization factor: 0.99
# Normalization factor: None
#
# 2th_deg	 I
1.245563349E+01  1.184677124E+03
1.246079154E+01  1.212897949E+03
1.246594959E+01  1.207779907E+03
1.247110764E+01  1.208912476E+03
1.247626569E+01  1.209882202E+03
1.248142374E+01  1.206471191E+03
1.248658179E+01  1.200984497E+03
1.249173984E+01  1.197462769E+03
1.249689790E+01  1.207471802E+03
1.250205595E+01  1.209611450E+03
1.250721400E+01  1.212201294E+03
1.251237205E+01  1.214646973E+03
1.251753010E+01  1.208890015E+03
1.252268815E+01  1.203508423E+03
1.252784620E+01  1.209757080E+03
1.253300425E+01  1.212314819E+03
1.253816230E+01  1.205221069E+03
1.254332035E+01  1.201515625E+03
1.254847840E+01  1.190837402E+03
1.255363645E+01  1.180251953E+03
1.255879450E+01  1.182199219E+03
1.256395255E+01  1.186394409E+03
1.256911060E+01  1.191125244E+03
1.257426865E+01  1.197167236E+03
1.257942670E+01  1.201931763E+03
1.258458475E+01  1.199273926E+03
1.258974280E+01  1.197174561E+03
1.259490085E+01  1.193219116E+03
1.260005890E+01  1.188362061E+03
1.260521696E+01  1.186973999E+03
1.261037501E+01  1.184956421E+03
1.261553306E+01  1.182103394E+03
1.262069111E+01  1.183108398E+03
1.262584916E+01  1.187752808E+03
1.263100721E+01  1.188543701E+03
1.263616526E+01  1.192340942E+03
1.264132331E+01  1.199425659E+03
1.264648136E+01  1.206347168E+03
1.265163941E+01  1.212620483E+03
1.265679746E+01  1.219425415E+03
1.266195551E+01  1.222693115E+03
1.266711356E+01  1.222930908E+03
1.267227161E+01  1.227065186E+03
1.267742966E+01  1.231086670E+03
1.268258771E+01  1.232809448E+03
1.268774576E+01  1.236104858E+03
1.269290381E+01  1.236578735E+03
1.269806186E+01  1.234719849E+03
1.270321991E+01  1.233325684E+03
1.270837796E+01  1.229762573E+03
1.271353602E+01  1.228783691E+03
1.271869407E+01  1.228032715E+03
1.272385212E+01  1.227327393E+03
1.272901017E+01  1.229237915E+03
1.273416822E+01  1.226825317E+03
1.273932627E+01  1.225675049E+03
1.274448432E+01  1.227051880E+03
1.274964237E+01  1.229234985E+03
1.275480042E+01  1.231190796E+03
1.275995847E+01  1.234294922E+03
1.276511652E+01  1.239818848E+03
1.277027457E+01  1.240160156E+03
1.277543262E+01  1.242052734E+03
1.278059067E+01  1.241889526E+03
1.278574872E+01  1.239691528E+03
1.279090677E+01  1.237147827E+03
1.279606482E+01  1.237358154E+03
1.280122287E+01  1.238541504E+03
1.280638092E+01  1.240728149E+03
1.281153897E+01  1.244167725E+03
1.281669702E+01  1.246756714E+03
1.282185508E+01  1.247751953E+03
1.282701313E+01  1.245151489E+03
1.283217118E+01  1.245379517E+03
1.283732923E+01  1.245961670E+03
1.284248728E+01  1.244670044E+03
1.284764533E+01  1.246951294E+03
1.285280338E+01  1.247387939E+03
1.285796143E+01  1.246575684E+03
1.286311948E+01  1.246060425E+03
1.286827753E+01  1.246934570E+03
1.287343558E+01  1.248476318E+03
1.287859363E+01  1.248716919E+03
1.288375168E+01  1.250939575E+03
1.288890973E+01  1.251484985E+03
1.289406778E+01  1.251432251E+03
1.289922583E+01  1.251803955E+03
1.290438388E+01  1.249762085E+03
1.290954193E+01  1.247810303E+03
1.291469998E+01  1.244227661E+03
1.291985803E+01  1.241882324E+03
1.292501609E+01  1.241341553E+03
1.293017414E+01  1.239947876E+03
1.293533219E+01  1.241952637E+03
1.294049024E+01  1.241009399E+03
1.294564829E+01  1.241092407E+03
1.295080634E+01  1.244109375E+03
1.295596439E+01  1.245656860E+03
1.296112244E+01  1.245146484E+03
1.296628049E+01  1.244537109E+03
1.297143854E+01  1.242983643E+03
1.297659659E+01  1.240004883E+03
1.298175464E+01  1.239726318E+03
1.298691269E+01  1.239333618E+03
1.299207074E+01  1.238014893E+03
1.299722879E+01  1.238216064E+03
1.300238684E+01  1.238661377E+03
1.300754489E+01  1.238181274E+03
1.301270294E+01  1.236343506E+03
1.301786099E+01  1.235523071E+03
1.302301904E+01  1.234859253E+03
1.302817709E+01  1.235322998E+03
1.303333515E+01  1.237673340E+03
1.303849320E+01  1.240966431E+03
1.304365125E+01  1.241955566E+03
1.304880930E+01  1.243377930E+03
1.305396735E+01  1.244985596E+03
1.305912540E+01  1.244135986E+03
1.306428345E+01  1.245516113E+03
1.306944150E+01  1.244035889E+03
1.307459955E+01  1.242958618E+03
1.307975760E+01  1.243358643E+03
1.308491565E+01  1.242318848E+03
1.309007370E+01  1.240399414E+03
1.309523175E+01  1.240717041E+03
1.310038980E+01  1.238820068E+03
1.310554785E+01  1.236333740E+03
1.311070590E+01  1.235534912E+03
1.311586395E+01  1.234833862E+03
1.312102200E+01  1.233552246E+03
1.312618005E+01  1.232608521E+03
1.313133810E+01  1.231789551E+03
1.313649615E+01  1.231169800E+03
1.314165421E+01  1.230390503E+03
1.314681226E+01  1.229331543E+03
1.315197031E+01  1.229942017E+03
1.315712836E+01  1.229227417E+03
1.316228641E+01  1.229018677E+03
1.316744446E+01  1.228474731E+03
1.317260251E+01  1.226244019E+03
1.317776056E+01  1.224974976E+03
1.318291861E+01  1.225047729E+03
1.318807666E+01  1.222958862E+03
1.319323471E+01  1.223082520E+03
1.319839276E+01  1.222205688E+03
1.320355081E+01  1.221657227E+03
1.320870886E+01  1.220698730E+03
1.321386691E+01  1.220107544E+03
1.321902496E+01  1.222476562E+03
1.322418301E+01  1.222072144E+03
1.322934106E+01  1.222575439E+03
1.323449911E+01  1.225557495E+03
1.323965716E+01  1.226736572E+03
1.324481522E+01  1.225690552E+03
1.324997327E+01  1.228205933E+03
1.325513132E+01  1.228477051E+03
1.326028937E+01  1.226108643E+03
1.326544742E+01  1.225333008E+03
1.327060547E+01  1.224181641E+03
1.327576352E+01  1.222843750E+03
1.328092157E+01  1.221843750E+03
1.328607962E+01  1.221663696E+03
1.329123767E+01  1.219798706E+03
1.329639572E+01  1.217867432E+03
1.330155377E+01  1.217557617E+03
1.330671182E+01  1.216040283E+03
1.331186987E+01  1.216821899E+03
1.331702792E+01  1.218285767E+03
1.332218597E+01  1.217703369E+03
1.332734402E+01  1.218503174E+03
1.333250207E+01  1.217457031E+03
1.333766012E+01  1.213618530E+03
1.334281817E+01  1.212682983E+03
1.334797622E+01  1.212275513E+03
1.335313428E+01  1.211337158E+03
1.335829233E+01  1.212148804E+03
1.336345038E+01  1.210596802E+03
1.336860843E+01  1.208520386E+03
1.337376648E+01  1.208193237E+03
1.337892453E+01  1.207703491E+03
1.338408258E+01  1.210117920E+03
1.338924063E+01  1.211726440E+03
1.339439868E+01  1.211388916E+03
1.339955673E+01  1.212117065E+03
1.340471478E+01  1.211596924E+03
1.340987283E+01  1.208993896E+03
1.341503088E+01  1.208769043E+03
1.342018893E+01  1.206684937E+03
1.342534698E+01  1.204863281E+03
1.343050503E+01  1.205388062E+03
1.343566308E+01  1.205096558E+03
1.344082113E+01  1.204519409E+03
1.344597918E+01  1.205170776E+03
1.345113723E+01  1.204613037E+03
1.345629528E+01  1.203095337E+03
1.346145334E+01  1.203235107E+03
1.346661139E+01  1.201922607E+03
1.347176944E+01  1.200081299E+03
1.347692749E+01  1.200532349E+03
1.348208554E+01  1.201071045E+03
1.348724359E+01  1.200037231E+03
1.349240164E+01  1.199166992E+03
1.349755969E+01  1.198699097E+03
1.350271774E+01  1.196819946E+03
1.350787579E+01  1.196419312E+03
1.351303384E+01  1.197616455E+03
1.351819189E+01  1.197653564E+03
1.352334994E+01  1.197097778E+03
1.352850799E+01  1.196668945E+03
1.353366604E+01  1.195217285E+03
1.353882409E+01  1.193976074E+03
1.354398214E+01  1.194053711E+03
1.354914019E+01  1.192894775E+03
1.355429824E+01  1.191957886E+03
1.355945629E+01  1.191470581E+03
1.356461434E+01  1.190359009E+03
1.356977240E+01  1.188603271E+03
1.357493045E+01  1.188348145E+03
1.358008850E+01  1.186579224E+03
1.358524655E+01  1.184925293E+03
1.359040460E+01  1.185246460E+03
1.359556265E+01  1.185297729E+03
1.360072070E+01  1.185303833E+03
1.360587875E+01  1.185345093E+03
1.361103680E+01  1.184235107E+03
1.361619485E+01  1.185181152E+03
1.362135290E+01  1.186168701E+03
1.362651095E+01  1.185905640E+03
1.363166900E+01  1.187062988E+03
1.363682705E+01  1.187507202E+03
1.364198510E+01  1.187150513E+03
1.364714315E+01  1.187198853E+03
1.365230120E+01  1.186290039E+03
1.365745925E+01  1.184955078E+03
1.366261730E+01  1.183566406E+03
1.366777535E+01  1.181969727E+03
1.367293341E+01  1.178959961E+03
1.367809146E+01  1.177070190E+03
1.368324951E+01  1.175089111E+03
1.368840756E+01  1.173034180E+03
1.369356561E+01  1.173157715E+03
1.369872366E+01  1.173682739E+03
1.370388171E+01  1.174099609E+03
1.370903976E+01  1.174317383E+03
