# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 1.000e-04, 1.000e-04 m
# PONI: 1.799e-01, 1.278e-01 m
# Distance Sample to Detector: 0.317930680197 m
# Rotations: -0.003850 0.005932 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 317.939 mm
# Center: x=1290.708, y=1818.174 pix
# Tilt: 0.405 deg  TiltPlanRot: 57.015 deg
# 
# Wavelength: 8.60255e-11
# Polarization factor: 0.99
# Normalization factor: None
#
# 2th_deg	 I
4.932674302E-01  2.980432510E+01
5.005540130E-01  3.080068207E+01
5.078405957E-01  3.288673782E+01
5.151271785E-01  3.523772812E+01
5.224137613E-01  3.711084747E+01
5.297003441E-01  3.726867294E+01
5.369869269E-01  3.738024902E+01
5.442735096E-01  3.731119537E+01
5.515600924E-01  3.711268234E+01
5.588466752E-01  3.658478928E+01
5.661332580E-01  3.659282684E+01
5.734198407E-01  3.690860367E+01
5.807064235E-01  3.717657852E+01
5.879930063E-01  3.590281677E+01
5.952795891E-01  3.493992233E+01
6.025661718E-01  3.444870758E+01
6.098527546E-01  3.480391312E+01
6.171393374E-01  3.468591690E+01
6.244259202E-01  3.511540985E+01
6.317125030E-01  3.516606903E+01
6.389990857E-01  3.514404678E+01
6.462856685E-01  3.478479385E+01
6.535722513E-01  3.463014221E+01
6.608588341E-01  3.484504318E+01
6.681454168E-01  3.494624329E+01
6.754319996E-01  3.544311905E+01
6.827185824E-01  3.519734955E+01
6.900051652E-01  3.520865250E+01
6.972917479E-01  3.486586380E+01
7.045783307E-01  3.486594009E+01
7.118649135E-01  3.560815811E+01
7.191514963E-01  3.607990265E+01
7.264380791E-01  3.617906570E+01
7.337246618E-01  3.570219803E+01
7.410112446E-01  3.534383392E+01
7.482978274E-01  3.601679611E+01
7.555844102E-01  3.654611206E+01
7.628709929E-01  3.708215714E+01
7.701575757E-01  3.715811157E+01
7.774441585E-01  3.726389313E+01
7.847307413E-01  3.806229401E+01
7.920173240E-01  3.798068237E+01
7.993039068E-01  3.799491119E+01
8.065904896E-01  3.748124313E+01
8.138770724E-01  3.768577194E+01
8.211636552E-01  3.749670029E+01
8.284502379E-01  3.739742279E+01
8.357368207E-01  3.679503632E+01
8.430234035E-01  3.689372635E+01
8.503099863E-01  3.633109665E+01
8.575965690E-01  3.639492798E+01
8.648831518E-01  3.577090073E+01
8.721697346E-01  3.547700500E+01
8.794563174E-01  3.510099792E+01
8.867429001E-01  3.508727646E+01
8.940294829E-01  3.472392273E+01
9.013160657E-01  3.462821960E+01
9.086026485E-01  3.445527649E+01
9.158892313E-01  3.453395462E+01
9.231758140E-01  3.525134277E+01
9.304623968E-01  3.582306671E+01
9.377489796E-01  3.658428192E+01
9.450355624E-01  3.646827698E+01
9.523221451E-01  3.647358322E+01
9.596087279E-01  3.628146744E+01
9.668953107E-01  3.674952316E+01
9.741818935E-01  3.695426559E+01
9.814684762E-01  3.763499832E+01
9.887550590E-01  3.767490387E+01
9.960416418E-01  3.752838135E+01
1.003328225E+00  3.723629379E+01
1.010614807E+00  3.716880798E+01
1.017901390E+00  3.721091080E+01
1.025187973E+00  3.702254105E+01
1.032474556E+00  3.718383408E+01
1.039761138E+00  3.716576767E+01
1.047047721E+00  3.689180756E+01
1.054334304E+00  3.607739639E+01
1.061620887E+00  3.596841812E+01
1.068907470E+00  3.580194092E+01
1.076194052E+00  3.628944016E+01
1.083480635E+00  3.642896271E+01
1.090767218E+00  3.627320480E+01
1.098053801E+00  3.669143677E+01
1.105340383E+00  3.686015701E+01
1.112626966E+00  3.690511322E+01
1.119913549E+00  3.650602341E+01
1.127200132E+00  3.625642395E+01
1.134486715E+00  3.652033997E+01
1.141773297E+00  3.685071945E+01
1.149059880E+00  3.697230148E+01
1.156346463E+00  3.680150223E+01
