# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 1.000e-04, 1.000e-04 m
# PONI: 1.799e-01, 1.278e-01 m
# Distance Sample to Detector: 0.317930680197 m
# Rotations: -0.003850 0.005932 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 317.939 mm
# Center: x=1290.708, y=1818.174 pix
# Tilt: 0.405 deg  TiltPlanRot: 57.015 deg
# 
# Wavelength: 8.60255e-11
# Polarization factor: 0.99
# Normalization factor: None
#
# 2th_deg	 I
4.932674302E-01  3.359520721E+01
5.005540130E-01  3.404637527E+01
5.078405957E-01  3.254619598E+01
5.151271785E-01  3.188492775E+01
5.224137613E-01  3.103212166E+01
5.297003441E-01  3.061047935E+01
5.369869269E-01  3.036763573E+01
5.442735096E-01  2.942075729E+01
5.515600924E-01  2.968509865E+01
5.588466752E-01  2.858159447E+01
5.661332580E-01  2.774233627E+01
5.734198407E-01  2.711757088E+01
5.807064235E-01  2.666606712E+01
5.879930063E-01  2.717515564E+01
5.952795891E-01  2.771298981E+01
6.025661718E-01  2.776835060E+01
6.098527546E-01  2.824167442E+01
6.171393374E-01  2.858963966E+01
6.244259202E-01  2.960095406E+01
6.317125030E-01  2.996078682E+01
6.389990857E-01  3.049990463E+01
6.462856685E-01  3.025152206E+01
6.535722513E-01  3.028226280E+01
6.608588341E-01  2.967502213E+01
6.681454168E-01  2.960688210E+01
6.754319996E-01  2.934349060E+01
6.827185824E-01  2.944243431E+01
6.900051652E-01  2.915290260E+01
6.972917479E-01  2.866838646E+01
7.045783307E-01  2.849779701E+01
7.118649135E-01  2.792315483E+01
7.191514963E-01  2.835670662E+01
7.264380791E-01  2.855993462E+01
7.337246618E-01  2.931816101E+01
7.410112446E-01  2.951306343E+01
7.482978274E-01  2.975349617E+01
7.555844102E-01  3.004660797E+01
7.628709929E-01  2.964198112E+01
7.701575757E-01  2.942446899E+01
7.774441585E-01  2.917984390E+01
7.847307413E-01  2.894257927E+01
7.920173240E-01  2.934617805E+01
7.993039068E-01  2.993238068E+01
8.065904896E-01  3.010272598E+01
8.138770724E-01  2.991617393E+01
8.211636552E-01  2.982775497E+01
8.284502379E-01  2.959952164E+01
8.357368207E-01  2.946204758E+01
8.430234035E-01  2.973019028E+01
8.503099863E-01  3.022287941E+01
8.575965690E-01  3.032828522E+01
8.648831518E-01  3.021767044E+01
8.721697346E-01  2.991973686E+01
8.794563174E-01  3.033607292E+01
8.867429001E-01  3.063628769E+01
8.940294829E-01  3.105572128E+01
9.013160657E-01  3.087440300E+01
9.086026485E-01  3.022934341E+01
9.158892313E-01  3.001230431E+01
9.231758140E-01  2.986178398E+01
9.304623968E-01  2.991711044E+01
9.377489796E-01  3.003775024E+01
9.450355624E-01  3.050088882E+01
9.523221451E-01  3.068854523E+01
9.596087279E-01  3.070014763E+01
9.668953107E-01  3.036713028E+01
9.741818935E-01  3.024186325E+01
9.814684762E-01  2.996324539E+01
9.887550590E-01  2.971038055E+01
9.960416418E-01  2.960882950E+01
1.003328225E+00  2.931100273E+01
1.010614807E+00  2.932016754E+01
1.017901390E+00  2.936044121E+01
1.025187973E+00  2.950383568E+01
1.032474556E+00  2.971043396E+01
1.039761138E+00  3.003738976E+01
1.047047721E+00  3.009605980E+01
1.054334304E+00  3.061754799E+01
1.061620887E+00  3.075037575E+01
1.068907470E+00  3.058993530E+01
1.076194052E+00  3.008339310E+01
1.083480635E+00  2.983170319E+01
1.090767218E+00  2.957741165E+01
1.098053801E+00  2.960197449E+01
1.105340383E+00  3.001512718E+01
1.112626966E+00  3.045170021E+01
1.119913549E+00  3.053518295E+01
1.127200132E+00  3.036691093E+01
1.134486715E+00  2.998268127E+01
1.141773297E+00  3.004707336E+01
1.149059880E+00  3.009255981E+01
1.156346463E+00  3.025214005E+01
1.163633046E+00  3.053660011E+01
1.170919628E+00  3.082832718E+01
1.178206211E+00  3.094777489E+01
1.185492794E+00  3.090447426E+01
1.192779377E+00  3.099523735E+01
1.200065960E+00  3.103128433E+01
1.207352542E+00  3.076908112E+01
1.214639125E+00  3.069443703E+01
1.221925708E+00  3.011977959E+01
1.229212291E+00  3.008170319E+01
1.236498873E+00  2.981132317E+01
1.243785456E+00  2.976430130E+01
1.251072039E+00  3.003641129E+01
1.258358622E+00  3.020818901E+01
1.265645205E+00  3.033339310E+01
1.272931787E+00  2.996406174E+01
1.280218370E+00  3.003576851E+01
1.287504953E+00  3.020702553E+01
1.294791536E+00  3.009547424E+01
1.302078118E+00  2.991129112E+01
1.309364701E+00  2.953160667E+01
1.316651284E+00  2.960389519E+01
1.323937867E+00  2.981102943E+01
1.331224450E+00  2.996247673E+01
1.338511032E+00  2.974519539E+01
1.345797615E+00  2.955848503E+01
1.353084198E+00  2.921734047E+01
1.360370781E+00  2.887923813E+01
1.367657363E+00  2.860585976E+01
1.374943946E+00  2.835271835E+01
1.382230529E+00  2.847224617E+01
1.389517112E+00  2.874643517E+01
1.396803695E+00  2.942720985E+01
1.404090277E+00  2.985861015E+01
1.411376860E+00  3.010656738E+01
1.418663443E+00  3.023068428E+01
1.425950026E+00  3.023396301E+01
1.433236608E+00  3.035339355E+01
1.440523191E+00  3.031100845E+01
1.447809774E+00  3.069719696E+01
1.455096357E+00  3.089554977E+01
1.462382940E+00  3.090813637E+01
1.469669522E+00  3.071863747E+01
1.476956105E+00  3.034422302E+01
1.484242688E+00  3.010602760E+01
1.491529271E+00  3.016380310E+01
1.498815853E+00  3.032973099E+01
1.506102436E+00  3.031661797E+01
1.513389019E+00  3.026994705E+01
1.520675602E+00  3.047888947E+01
1.527962185E+00  3.054482269E+01
1.535248767E+00  3.051092339E+01
1.542535350E+00  3.026451302E+01
1.549821933E+00  3.017119408E+01
1.557108516E+00  3.002834320E+01
1.564395098E+00  2.978256989E+01
1.571681681E+00  2.978055573E+01
1.578968264E+00  2.992517090E+01
1.586254847E+00  3.022649002E+01
1.593541430E+00  3.029084015E+01
1.600828012E+00  3.018690872E+01
1.608114595E+00  3.013960648E+01
1.615401178E+00  3.008327103E+01
1.622687761E+00  3.018783569E+01
1.629974343E+00  3.001762390E+01
1.637260926E+00  3.017291641E+01
1.644547509E+00  3.027655602E+01
1.651834092E+00  3.053729439E+01
1.659120675E+00  3.067574310E+01
1.666407257E+00  3.060227966E+01
1.673693840E+00  3.057556725E+01
1.680980423E+00  3.034730911E+01
1.688267006E+00  3.027139091E+01
1.695553588E+00  3.016035461E+01
1.702840171E+00  2.993123627E+01
1.710126754E+00  3.005734634E+01
1.717413337E+00  3.027193451E+01
1.724699919E+00  3.055476761E+01
1.731986502E+00  3.052507019E+01
1.739273085E+00  3.066240883E+01
1.746559668E+00  3.076876068E+01
1.753846251E+00  3.084450912E+01
1.761132833E+00  3.102012062E+01
1.768419416E+00  3.106616402E+01
1.775705999E+00  3.085907364E+01
1.782992582E+00  3.056404877E+01
1.790279164E+00  3.048969460E+01
1.797565747E+00  3.057554054E+01
1.804852330E+00  3.073182297E+01
1.812138913E+00  3.079237556E+01
1.819425496E+00  3.077026176E+01
1.826712078E+00  3.052112007E+01
1.833998661E+00  3.041950226E+01
1.841285244E+00  3.055426979E+01
1.848571827E+00  3.088052750E+01
1.855858409E+00  3.110802460E+01
1.863144992E+00  3.120477486E+01
1.870431575E+00  3.133196831E+01
1.877718158E+00  3.132852364E+01
1.885004741E+00  3.132021523E+01
1.892291323E+00  3.114959717E+01
1.899577906E+00  3.108062744E+01
1.906864489E+00  3.108638000E+01
1.914151072E+00  3.115705109E+01
1.921437654E+00  3.121359253E+01
1.928724237E+00  3.112085152E+01
1.936010820E+00  3.104434586E+01
1.943297403E+00  3.101521873E+01
1.950583986E+00  3.133216858E+01
1.957870568E+00  3.128999710E+01
1.965157151E+00  3.123845482E+01
1.972443734E+00  3.116974449E+01
1.979730317E+00  3.093894196E+01
1.987016899E+00  3.092214203E+01
1.994303482E+00  3.079709435E+01
2.001590065E+00  3.105726051E+01
2.008876648E+00  3.130594063E+01
2.016163231E+00  3.165715027E+01
2.023449813E+00  3.214745331E+01
2.030736396E+00  3.242674637E+01
2.038022979E+00  3.252075195E+01
2.045309562E+00  3.244293976E+01
2.052596144E+00  3.232508469E+01
2.059882727E+00  3.212251663E+01
2.067169310E+00  3.165118790E+01
2.074455893E+00  3.154035568E+01
2.081742476E+00  3.139332199E+01
2.089029058E+00  3.139763069E+01
2.096315641E+00  3.125072098E+01
2.103602224E+00  3.137207222E+01
2.110888807E+00  3.159491348E+01
2.118175389E+00  3.127816391E+01
2.125461972E+00  3.135682678E+01
2.132748555E+00  3.124717522E+01
2.140035138E+00  3.140524673E+01
2.147321721E+00  3.136993790E+01
2.154608303E+00  3.148341751E+01
2.161894886E+00  3.155897331E+01
2.169181469E+00  3.179630661E+01
2.176468052E+00  3.176318932E+01
2.183754634E+00  3.175175476E+01
2.191041217E+00  3.144730949E+01
2.198327800E+00  3.113980103E+01
2.205614383E+00  3.093781662E+01
2.212900966E+00  3.096970367E+01
2.220187548E+00  3.083790016E+01
2.227474131E+00  3.091672897E+01
2.234760714E+00  3.099865723E+01
2.242047297E+00  3.134799194E+01
2.249333879E+00  3.168459702E+01
2.256620462E+00  3.190195847E+01
2.263907045E+00  3.165317345E+01
2.271193628E+00  3.142064476E+01
2.278480211E+00  3.119840813E+01
2.285766793E+00  3.129199600E+01
2.293053376E+00  3.165309334E+01
2.300339959E+00  3.197028732E+01
2.307626542E+00  3.213150787E+01
2.314913124E+00  3.211579132E+01
2.322199707E+00  3.238172531E+01
2.329486290E+00  3.239486313E+01
2.336772873E+00  3.250554657E+01
2.344059456E+00  3.260710144E+01
2.351346038E+00  3.324423981E+01
2.358632621E+00  3.397787094E+01
2.365919204E+00  3.490828705E+01
2.373205787E+00  3.600517273E+01
2.380492369E+00  3.760829163E+01
2.387778952E+00  3.957820892E+01
2.395065535E+00  4.221095657E+01
2.402352118E+00  4.523801804E+01
2.409638701E+00  4.890467453E+01
2.416925283E+00  5.224975586E+01
2.424211866E+00  5.637837219E+01
2.431498449E+00  5.993570709E+01
2.438785032E+00  6.401415253E+01
2.446071614E+00  6.792184448E+01
2.453358197E+00  7.145276642E+01
2.460644780E+00  7.578861237E+01
2.467931363E+00  7.902951050E+01
2.475217946E+00  8.238164520E+01
2.482504528E+00  8.559519958E+01
2.489791111E+00  8.924024200E+01
2.497077694E+00  9.314647675E+01
2.504364277E+00  9.671569824E+01
2.511650859E+00  1.003979263E+02
2.518937442E+00  1.037038116E+02
2.526224025E+00  1.071824646E+02
2.533510608E+00  1.106560745E+02
2.540797191E+00  1.138892136E+02
2.548083773E+00  1.171719589E+02
2.555370356E+00  1.207284698E+02
2.562656939E+00  1.238878098E+02
2.569943522E+00  1.273479004E+02
2.577230104E+00  1.308459167E+02
2.584516687E+00  1.339772644E+02
2.591803270E+00  1.373632050E+02
2.599089853E+00  1.407954865E+02
2.606376436E+00  1.444375305E+02
2.613663018E+00  1.482855988E+02
2.620949601E+00  1.519519348E+02
2.628236184E+00  1.554153595E+02
2.635522767E+00  1.585822754E+02
2.642809349E+00  1.622552185E+02
2.650095932E+00  1.655163422E+02
2.657382515E+00  1.679512329E+02
2.664669098E+00  1.702044067E+02
2.671955681E+00  1.712797241E+02
2.679242263E+00  1.731233673E+02
2.686528846E+00  1.758832703E+02
2.693815429E+00  1.782529602E+02
2.701102012E+00  1.800652924E+02
2.708388594E+00  1.813368225E+02
2.715675177E+00  1.832435913E+02
2.722961760E+00  1.854521179E+02
2.730248343E+00  1.875311890E+02
2.737534925E+00  1.906587524E+02
2.744821508E+00  1.925669098E+02
2.752108091E+00  1.948348389E+02
2.759394674E+00  1.968798981E+02
2.766681257E+00  1.990646820E+02
2.773967839E+00  2.011911926E+02
2.781254422E+00  2.031421967E+02
2.788541005E+00  2.060477295E+02
2.795827588E+00  2.081837769E+02
2.803114170E+00  2.103987427E+02
2.810400753E+00  2.126077118E+02
2.817687336E+00  2.149647827E+02
2.824973919E+00  2.171571503E+02
2.832260502E+00  2.194761963E+02
2.839547084E+00  2.223060303E+02
2.846833667E+00  2.241836853E+02
2.854120250E+00  2.260264435E+02
2.861406833E+00  2.269170074E+02
2.868693415E+00  2.290004120E+02
2.875979998E+00  2.314509125E+02
2.883266581E+00  2.336657104E+02
2.890553164E+00  2.352618561E+02
