,extrapeak Peak 0 Intensity,bcc FeNi Peak 0 Intensity,extrapeak Peak Width,bcc FeNi Peak Width,extrapeak Peak Shape,bcc FeNi Peak Shape,extrapeak a,bcc FeNi a,Background 0,Background 1,Background 2
extrapeak Peak 0 Intensity,0.6240614565946307,0.021220821572225716,-0.01633054313468592,-5.108884885261631e-05,-0.23917161681831978,-7.074190013731824e-05,-1.1491982282103063e-05,-4.0449742556033917e-07,2.7443495428204905,-0.2003784897386541,0.00364391368243279
bcc FeNi Peak 0 Intensity,0.021220821572225716,0.3499038732897237,-0.000697207195283145,-0.00034818322239300376,-0.008560764094895196,-0.0008826543150545708,3.0673447879914324e-06,-1.203096107631109e-07,-2.4294417394343872,0.1985747213045046,-0.004042773987265059
extrapeak Peak Width,-0.016330543134685925,-0.000697207195283145,0.0004731866746998222,1.6234452557854604e-06,0.0063502385637429415,2.2924362318719824e-06,3.9965709989496223e-07,1.527895900518751e-08,-0.10986342890686956,0.00818008916522756,-0.00015199345966326156
bcc FeNi Peak Width,-5.108884885261631e-05,-0.00034818322239300376,1.6234452557854604e-06,5.308456843813215e-07,2.0437961593845827e-05,8.805140849864251e-07,-7.311321622372245e-09,2.183057266038413e-10,0.005554733642975748,-0.0004542206002937286,9.253890223599131e-06
extrapeak Peak Shape,-0.23917161681831978,-0.008560764094895198,0.0063502385637429415,2.0437961593845827e-05,0.09194001213454243,2.8439739318979463e-05,4.6865870379907275e-06,1.689360631876557e-07,-1.15746951600453,0.0849388399864578,-0.001553321421162669
bcc FeNi Peak Shape,-7.074190013731827e-05,-0.0008826543150545708,2.2924362318719824e-06,8.805140849864249e-07,2.8439739318979474e-05,2.3278126584875525e-06,-1.0219819286875034e-08,3.57046317242595e-10,0.007974499710092628,-0.0006519025357597249,1.3275370788260634e-05
extrapeak a,-1.1491982282103063e-05,3.0673447879914324e-06,3.9965709989496223e-07,-7.311321622372245e-09,4.686587037990727e-06,-1.0219819286875036e-08,6.38185168851746e-08,-7.070145178750999e-12,-0.0011349729492244045,9.135719994424732e-05,-1.8367190187471998e-06
bcc FeNi a,-4.044974255603393e-07,-1.2030961076311084e-07,1.527895900518751e-08,2.1830572660384125e-10,1.6893606318765572e-07,3.57046317242595e-10,-7.070145178750994e-12,1.6247268924446066e-09,2.828201361511129e-05,-2.3959980932853453e-06,5.054865467112345e-08
Background 0,2.7443495428204905,-2.429441739434387,-0.10986342890686956,0.005554733642975748,-1.15746951600453,0.00797449971009263,-0.0011349729492244045,2.8282013615111298e-05,772.4605476736263,-62.77104529079432,1.2737450436710045
Background 1,-0.20037848973865408,0.19857472130450457,0.00818008916522756,-0.0004542206002937286,0.0849388399864578,-0.0006519025357597249,9.135719994424732e-05,-2.3959980932853453e-06,-62.771045290794305,5.103497236759614,-0.10361134527341573
Background 2,0.003643913682432789,-0.004042773987265059,-0.00015199345966326153,9.253890223599131e-06,-0.0015533214211626688,1.3275370788260634e-05,-1.8367190187471998e-06,5.054865467112345e-08,1.2737450436710045,-0.10361134527341573,0.002104529036297628
