,hcp FeNi Peak 0 Intensity,hcp FeNi Peak 1 Intensity,hcp FeNi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNi Peak Width,extrapeak Peak Width,hcp FeNi Peak Shape,extrapeak Peak Shape,hcp FeNi a,hcp FeNi c,extrapeak a,Background 0,Background 1,Background 2
hcp FeNi Peak 0 Intensity,0.04616348459765306,0.01268663715643762,0.0925722548135913,0.0468757200417479,-0.0015741417666834566,-0.00035405173492211874,-0.016312300160063152,-0.00048362608154749664,9.145263501428256e-06,-3.720763495126161e-05,7.342134825516206e-06,0.39223725403811055,-0.031044533766851744,0.0006129227938482084
hcp FeNi Peak 1 Intensity,0.01268663715643762,0.0057934300116266185,0.02923770070210291,0.008289637852187894,-0.00045662867764053764,-4.1123421579345014e-05,-0.0050099685677070715,-6.210996160330815e-05,-1.7694316250403086e-06,1.0003243484987097e-05,-2.9610856667892084e-07,0.2608758027160765,-0.020513458104692517,0.00039973969860100504
hcp FeNi Peak 2 Intensity,0.0925722548135913,0.029237700702102905,0.22264837958073141,0.07221413649625126,-0.0038356323370785164,-0.0003209893591724673,-0.03919043738465167,-0.0005263342879020863,-1.1943968173999956e-05,6.5916429920475e-05,-5.609149828739312e-06,0.6718291503412416,-0.0523274101223683,0.0010230078282881484
extrapeak Peak 0 Intensity,0.046875720041747906,0.008289637852187894,0.07221413649625125,0.9929343374904364,-0.0015777614469059261,-0.002856790014745049,-0.01351600242567697,-0.00773709593054056,-5.0175736531601076e-05,0.00023425465823262423,1.615493616995009e-05,0.2888637220953801,-0.02047943709940664,0.00037125819805894524
hcp FeNi Peak Width,-0.0015741417666834566,-0.00045662867764053764,-0.0038356323370785164,-0.0015777614469059261,9.11060729143108e-05,6.698891532692632e-06,0.0007366802224482216,1.0624885012455082e-05,2.0061257819265664e-07,-1.0262892852688572e-06,3.971257698200973e-08,0.0014250007108050236,-0.00010756786254296607,1.4502224971723654e-06
extrapeak Peak Width,-0.00035405173492211874,-4.1123421579345014e-05,-0.0003209893591724673,-0.002856790014745049,6.698891532692632e-06,1.4803335806106972e-05,5.921976084920533e-05,2.5775537569199763e-05,-2.887011899196825e-07,1.3438401265188018e-06,-2.795919523916917e-07,-0.0023042119881713278,0.00017561010803032918,-3.357574527206825e-06
hcp FeNi Peak Shape,-0.016312300160063152,-0.0050099685677070715,-0.03919043738465167,-0.01351600242567697,0.0007366802224482216,5.921976084920533e-05,0.007084509171754752,9.654765730625078e-05,2.037740004518656e-06,-1.1095988971049176e-05,8.996852588909129e-07,-0.07922887197429984,0.006197956483092387,-0.00012342183336162157
extrapeak Peak Shape,-0.00048362608154749675,-6.210996160330815e-05,-0.0005263342879020863,-0.00773709593054056,1.0624885012455079e-05,2.5775537569199763e-05,9.654765730625078e-05,6.453757790866485e-05,-2.2604115696007177e-08,1.0857975702646654e-07,-3.0853042662815395e-07,-0.003214844709779344,0.00023495176189168324,-4.333293172608372e-06
hcp FeNi a,9.145263501428254e-06,-1.7694316250403086e-06,-1.1943968173999956e-05,-5.017573653160109e-05,2.0061257819265664e-07,-2.887011899196825e-07,2.037740004518656e-06,-2.2604115696007054e-08,8.689349723392698e-08,-4.073341641727652e-07,2.249356349402481e-08,-9.974701947812361e-05,7.549791036413451e-06,-1.4314896667667452e-07
hcp FeNi c,-3.720763495126161e-05,1.0003243484987095e-05,6.5916429920475e-05,0.00023425465823262423,-1.026289285268857e-06,1.343840126518802e-06,-1.1095988971049176e-05,1.0857975702646686e-07,-4.0733416417276523e-07,2.304400332879356e-06,-1.0436018891569927e-07,0.0010252288470230543,-8.042927219404097e-05,1.5720167450588531e-06
extrapeak a,7.342134825516206e-06,-2.9610856667892095e-07,-5.609149828739313e-06,1.615493616995009e-05,3.9712576982009735e-08,-2.795919523916917e-07,8.996852588909132e-07,-3.0853042662815395e-07,2.249356349402481e-08,-1.0436018891569927e-07,3.2397771317116906e-08,6.036929367822842e-05,-5.240238106040165e-06,1.1010438940960904e-07
Background 0,0.39223725403811055,0.26087580271607647,0.6718291503412416,0.2888637220953801,0.0014250007108050236,-0.0023042119881713278,-0.07922887197429983,-0.003214844709779344,-9.974701947812361e-05,0.0010252288470230543,6.036929367822842e-05,59.80588007018118,-4.7123904057646575,0.09189443813815461
Background 1,-0.031044533766851748,-0.020513458104692517,-0.0523274101223683,-0.02047943709940664,-0.00010756786254296607,0.00017561010803032924,0.006197956483092387,0.00023495176189168324,7.549791036413453e-06,-8.042927219404099e-05,-5.240238106040166e-06,-4.712390405764658,0.37172040695551894,-0.007256627588810746
Background 2,0.0006129227938482085,0.00039973969860100504,0.0010230078282881484,0.0003712581980589453,1.4502224971723654e-06,-3.3575745272068254e-06,-0.00012342183336162157,-4.333293172608372e-06,-1.4314896667667452e-07,1.5720167450588531e-06,1.1010438940960904e-07,0.09189443813815461,-0.007256627588810746,0.0001418228462134395
