Parameters,Values,Std
hcp FeNi Peak 0 Intensity,16.81196846640868,0.43127763568877164
hcp FeNi Peak 1 Intensity,1.6832972179007533,0.1338835020792396
hcp FeNi Peak 2 Intensity,38.02884458267486,0.45552695003173177
extrapeak Peak 0 Intensity,17.25330502362208,0.9138752532066067
hcp FeNi Peak Width,0.1898474488286534,0.0012550678802739303
extrapeak Peak Width,0.1385297754867876,0.003077419162294644
hcp FeNi Peak Shape,0.011513305461777028,0.0018863133305284084
extrapeak Peak Shape,0.071915656848592,0.008880148843114883
hcp FeNi a,2.400780531030509,0.00037522673113632985
hcp FeNi c,3.837375055707441,0.002034146234061433
extrapeak a,2.9636304725406033,0.00014258108129780456
Background 0,61.085729960573744,5.316698452486684
Background 1,21.28764865117815,0.419103341835078
Background 2,-0.33937340717645204,0.008200772806218882
