,extrapeak Peak 0 Intensity,hcp FeNi Peak 0 Intensity,hcp FeNi Peak 1 Intensity,hcp FeNi Peak 2 Intensity,extrapeak Peak Width,hcp FeNi Peak Width,extrapeak Peak Shape,hcp FeNi Peak Shape,extrapeak a,hcp FeNi a,hcp FeNi c,Background 0,Background 1,Background 2
extrapeak Peak 0 Intensity,0.5772220677434559,0.035817317937778995,-0.0032365078894818593,0.019298171916678004,-0.004935623172352344,-0.00018843941500550827,-0.18366351813021944,-0.00016664552445546795,-2.021025509305542e-06,-3.6291764333829215e-05,0.00019490171869276956,0.3169466904286824,-0.021789087543751414,0.00038082803803352825
hcp FeNi Peak 0 Intensity,0.035817317937779,0.06834707251634745,-0.000679530682514157,0.10885644650040927,-0.00027325234425789935,-0.0004487100037597051,-0.011054309722209204,-0.0009749190271816429,-1.5489831133102584e-06,-3.4390121619375752e-06,2.3656169378729428e-05,0.147483914188765,-0.012793182734834643,0.00027787663275237505
hcp FeNi Peak 1 Intensity,-0.0032365078894818597,-0.000679530682514157,0.014614737349514474,-0.003259033284875684,4.7382758241459496e-05,5.5751555309437257e-05,0.0011553445355986004,4.9913346246139156e-05,2.4250899860806625e-07,-1.0894973932298584e-06,7.270302351783134e-06,0.21863769826482668,-0.016973984666533867,0.00032327907044904546
hcp FeNi Peak 2 Intensity,0.019298171916678007,0.10885644650040928,-0.003259033284875684,0.23161673827891263,-4.779467823303688e-05,-0.0008902479921930811,-0.005403501082833533,-0.0019482887721725514,-4.629094950070665e-06,-4.128997809375561e-06,2.4076752191470617e-05,-0.11831947029600733,0.008157566198170287,-0.0001271215294341437
extrapeak Peak Width,-0.004935623172352345,-0.00027325234425789935,4.738275824145949e-05,-4.779467823303688e-05,4.992961926387931e-05,8.004614163278094e-07,0.0015963509739990982,4.362676205122311e-07,4.108992397488373e-09,1.8159787303212936e-07,-9.31016795758687e-07,-0.0017966722942539815,9.666223429299347e-05,-1.1997432689977402e-06
hcp FeNi Peak Width,-0.00018843941500550827,-0.0004487100037597051,5.5751555309437257e-05,-0.000890247992193081,8.004614163278094e-07,5.2817702569514785e-06,5.559044480072215e-05,7.86470915218324e-06,3.203438738395115e-08,2.637222756696603e-08,-1.7157963556722118e-07,0.0008326750129082348,-5.361116728033923e-05,7.31511017742627e-07
extrapeak Peak Shape,-0.18366351813021947,-0.011054309722209206,0.0011553445355986,-0.005403501082833533,0.0015963509739990982,5.5590444800722135e-05,0.058569088411531696,4.672297215823411e-05,5.849814582768659e-07,1.0969143613640809e-05,-5.864894236149718e-05,-0.0943227566557684,0.006324746695235962,-0.00010766671157482796
hcp FeNi Peak Shape,-0.00016664552445546792,-0.0009749190271816429,4.9913346246139156e-05,-0.0019482887721725514,4.362676205122307e-07,7.864709152183242e-06,4.67229721582341e-05,1.7570107449117816e-05,3.973376236370478e-08,3.172010960585519e-08,-2.083040529250245e-07,0.0008422185588380402,-5.018433728204389e-05,5.581758465547041e-07
extrapeak a,-2.021025509305542e-06,-1.5489831133102584e-06,2.4250899860806625e-07,-4.6290949500706645e-06,4.108992397488373e-09,3.203438738395115e-08,5.84981458276866e-07,3.973376236370478e-08,9.820550039407125e-09,2.589700062332778e-09,-1.4214063727670485e-08,-1.5577744564687486e-05,1.2507040512472903e-06,-2.55024656039766e-08
hcp FeNi a,-3.6291764333829215e-05,-3.439012161937575e-06,-1.0894973932298584e-06,-4.128997809375561e-06,1.8159787303212936e-07,2.637222756696604e-08,1.0969143613640809e-05,3.172010960585519e-08,2.5897000623327785e-09,4.5690046153966e-08,-2.4637623831335314e-07,-0.00012604498394897076,9.998596115956661e-06,-1.9677624690128512e-07
hcp FeNi c,0.00019490171869276956,2.3656169378729428e-05,7.270302351783134e-06,2.4076752191470617e-05,-9.31016795758687e-07,-1.7157963556722118e-07,-5.864894236149718e-05,-2.083040529250245e-07,-1.4214063727670485e-08,-2.4637623831335314e-07,1.746456581145638e-06,0.0010927639140711502,-8.736807420185158e-05,1.733063360688887e-06
Background 0,0.31694669042868234,0.14748391418876497,0.21863769826482665,-0.11831947029600731,-0.0017966722942539815,0.0008326750129082347,-0.0943227566557684,0.0008422185588380402,-1.5577744564687483e-05,-0.00012604498394897076,0.0010927639140711502,31.349245492970145,-2.477587956870789,0.04857028625070041
Background 1,-0.021789087543751414,-0.012793182734834643,-0.016973984666533867,0.008157566198170289,9.666223429299347e-05,-5.361116728033922e-05,0.006324746695235961,-5.018433728204389e-05,1.2507040512472903e-06,9.998596115956661e-06,-8.736807420185158e-05,-2.477587956870789,0.1961697762349428,-0.0038526397073117336
Background 2,0.0003808280380335281,0.0002778766327523751,0.00032327907044904546,-0.0001271215294341437,-1.1997432689977402e-06,7.315110177426268e-07,-0.00010766671157482796,5.581758465547041e-07,-2.55024656039766e-08,-1.9677624690128515e-07,1.7330633606888873e-06,0.04857028625070041,-0.0038526397073117336,7.58019327307238e-05
