,hcp FeNi Peak 0 Intensity,hcp FeNi Peak 1 Intensity,hcp FeNi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNi Peak Width,extrapeak Peak Width,hcp FeNi Peak Shape,extrapeak Peak Shape,hcp FeNi a,hcp FeNi c,extrapeak a,Background 0,Background 1,Background 2
hcp FeNi Peak 0 Intensity,0.07630550313311554,-0.00047845228457440834,0.12399142018621691,0.04862134770002422,-0.0002851582554371243,-0.00036834071413918706,-0.00061069501339581,-0.016882885820050472,-2.1069932880806364e-06,1.420596346542411e-05,-1.3933458939855504e-06,0.160295279781445,-0.013710159917571213,0.0002937322080826705
hcp FeNi Peak 1 Intensity,-0.0004784522845744103,0.01723850392654111,-0.0031569630503536887,-0.0035788216104206457,3.199282498784249e-05,5.14692476890413e-05,2.6444356613960966e-05,0.0014143281360167281,-7.116462205220647e-07,4.735022027185153e-06,1.4249804167564682e-07,0.2210762603176213,-0.017183047791264748,0.0003278471659439487
hcp FeNi Peak 2 Intensity,0.1239914201862169,-0.0031569630503536883,0.27753934175743805,0.03163928201626249,-0.0005938289964616205,-0.00013818533577771955,-0.0012799771944535774,-0.010481690008973676,-2.533700510168533e-06,1.4326799160408948e-05,-4.422140484482043e-06,-0.11525194767172246,0.008066787715630765,-0.00012842296559554197
extrapeak Peak 0 Intensity,0.04862134770002423,-0.0035788216104206457,0.03163928201626248,0.661417499574739,-0.00013303790838015462,-0.005501929660621833,-0.00014835511955854712,-0.23422047679774416,-1.9741033509919218e-05,0.00010534535180444193,-1.270108534713326e-06,0.3160491962033738,-0.021395699473114673,0.0003676218768925762
hcp FeNi Peak Width,-0.0002851582554371243,3.199282498784249e-05,-0.0005938289964616206,-0.0001330379083801546,1.9970367061796973e-06,6.408009727197112e-07,2.831988908953349e-06,4.479376754624401e-05,8.050327929626087e-09,-5.26343826958066e-08,1.6446889776223887e-08,0.0004450143514943919,-2.8730672916829654e-05,3.9260115706500604e-07
extrapeak Peak Width,-0.00036834071413918706,5.146924768904131e-05,-0.0001381853357777195,-0.005501929660621834,6.408009727197113e-07,5.381562344751339e-05,6.641987141013594e-07,0.0019762392744907165,8.27279482587305e-08,-4.146134654686982e-07,6.535308811145364e-10,-0.001679631447412117,8.590097861355235e-05,-9.629727175527641e-07
hcp FeNi Peak Shape,-0.00061069501339581,2.6444356613960973e-05,-0.0012799771944535779,-0.00014835511955854714,2.831988908953349e-06,6.641987141013594e-07,6.358155151089989e-06,4.918359223625926e-05,1.0606036473380341e-08,-6.760641588690996e-08,2.0416632509385e-08,0.0004101772971273449,-2.416281999363935e-05,2.5578497250931764e-07
extrapeak Peak Shape,-0.016882885820050472,0.0014143281360167281,-0.010481690008973671,-0.23422047679774416,4.479376754624401e-05,0.0019762392744907165,4.918359223625926e-05,0.08309033907976485,6.620204963541905e-06,-3.5165775409045274e-05,4.067605289480092e-07,-0.10489944568069459,0.006927303291758534,-0.00011585454961529184
hcp FeNi a,-2.1069932880806364e-06,-7.116462205220648e-07,-2.533700510168533e-06,-1.9741033509919218e-05,8.050327929626087e-09,8.272794825873046e-08,1.0606036473380341e-08,6.620204963541905e-06,2.1904461672477523e-08,-1.175365761832884e-07,1.4575727422768355e-09,-7.449225065647132e-05,5.914844295599603e-06,-1.1640241972409021e-07
hcp FeNi c,1.420596346542411e-05,4.735022027185151e-06,1.4326799160408948e-05,0.00010534535180444193,-5.26343826958066e-08,-4.146134654686981e-07,-6.760641588690996e-08,-3.5165775409045274e-05,-1.175365761832884e-07,8.240365670952367e-07,-7.958610746095715e-09,0.0006446587867117313,-5.1559220634510145e-05,1.0224576430770244e-06
extrapeak a,-1.3933458939855508e-06,1.4249804167564684e-07,-4.422140484482043e-06,-1.2701085347133258e-06,1.6446889776223887e-08,6.535308811145346e-10,2.0416632509385e-08,4.067605289480092e-07,1.4575727422768353e-09,-7.958610746095714e-09,1.0565442751872244e-08,-1.669053714735784e-05,1.3231800469970214e-06,-2.6469734358897984e-08
Background 0,0.160295279781445,0.22107626031762126,-0.11525194767172248,0.3160491962033738,0.00044501435149439195,-0.001679631447412117,0.00041017729712734493,-0.10489944568069459,-7.44922506564713e-05,0.0006446587867117315,-1.669053714735784e-05,31.910936629580686,-2.522640516024716,0.049477547175019364
Background 1,-0.013710159917571215,-0.017183047791264748,0.008066787715630765,-0.021395699473114673,-2.8730672916829654e-05,8.590097861355235e-05,-2.4162819993639362e-05,0.006927303291758534,5.914844295599603e-06,-5.155922063451015e-05,1.3231800469970217e-06,-2.522640516024716,0.19978021160662,-0.0039252307604983406
Background 2,0.0002937322080826705,0.0003278471659439487,-0.00012842296559554205,0.0003676218768925762,3.9260115706500615e-07,-9.629727175527641e-07,2.557849725093177e-07,-0.00011585454961529184,-1.1640241972409021e-07,1.0224576430770247e-06,-2.6469734358897984e-08,0.049477547175019364,-0.0039252307604983406,7.725768217671927e-05
