,hcp FeNi Peak 0 Intensity,hcp FeNi Peak 1 Intensity,hcp FeNi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNi Peak Width,extrapeak Peak Width,hcp FeNi Peak Shape,extrapeak Peak Shape,hcp FeNi a,hcp FeNi c,extrapeak a,Background 0,Background 1,Background 2,Background 3
hcp FeNi Peak 0 Intensity,0.10061108421455911,-0.005403365814563299,0.14521344145591839,-0.017718987761938795,-0.0002280585946310552,0.00017532670955305925,-0.00045621492254307257,0.000216709817717136,3.661353140705483e-07,-1.8037932560595116e-06,-1.4479912960930903e-06,6.621244446128826,-0.7759311448502157,0.03011839498468418,-0.0003871819329036957
hcp FeNi Peak 1 Intensity,-0.0054033658145633,0.025683659550751668,-0.005898746598076264,0.0024915500700762425,3.4692940819128325e-05,-1.9009389582864894e-05,3.203366967361937e-05,-2.7873558035117585e-05,-4.856866079519196e-07,3.5410450736479916e-06,-1.0994211566855531e-07,-2.830805455796792,0.33991581863119297,-0.01352020153668075,0.00017799320799129258
hcp FeNi Peak 2 Intensity,0.14521344145591839,-0.005898746598076264,0.320194330252488,-0.0141774607382335,-0.0004439438784482454,6.957977712570483e-05,-0.0009046056207114634,0.00012975977368983845,3.3794238322900963e-07,-2.6600801606303447e-06,-2.3118566598286475e-06,0.7891851489875398,-0.10271038260029208,0.004387671866221269,-6.131656212079188e-05
extrapeak Peak 0 Intensity,-0.0177189877619388,0.0024915500700762425,-0.014177460738233503,0.6540141584876451,4.615290451303604e-05,-0.002549184445249102,5.82161115175966e-05,-0.006052522443620094,4.156186975385478e-06,-2.2598228246067266e-05,5.799780486153807e-07,-7.981616019347168,0.935306399693652,-0.03626120961169017,0.00046537266246666266
hcp FeNi Peak Width,-0.00022805859463105517,3.4692940819128325e-05,-0.0004439438784482453,4.615290451303604e-05,1.0469619830732776e-06,-2.5380350393200746e-07,1.285818112929842e-06,-4.520019307340767e-07,-2.1136716349359234e-09,1.4132413082052682e-08,3.828117617681821e-09,-0.012739388304885205,0.0015273240645868457,-6.064574251224851e-05,7.965933375847524e-07
extrapeak Peak Width,0.00017532670955305927,-1.9009389582864894e-05,6.957977712570483e-05,-0.002549184445249102,-2.5380350393200746e-07,1.54736518209278e-05,-3.8746788789619895e-07,2.3631787463367985e-05,-1.6204955604747022e-08,9.200500522320403e-08,-5.5159931043646895e-09,0.07891266742258733,-0.009226171815420852,0.00035698048132312953,-4.5735097059258395e-06
hcp FeNi Peak Shape,-0.0004562149225430725,3.203366967361937e-05,-0.0009046056207114633,5.821611151759661e-05,1.285818112929842e-06,-3.8746788789619895e-07,2.826632936760414e-06,-6.00231638118337e-07,-1.977395737217354e-09,1.3404418114950078e-08,7.090200422259829e-09,-0.013850362263207397,0.0016581199482475187,-6.57407227530943e-05,8.621650494473699e-07
extrapeak Peak Shape,0.00021670981771713604,-2.7873558035117585e-05,0.00012975977368983845,-0.006052522443620094,-4.5200193073407664e-07,2.3631787463367985e-05,-6.00231638118337e-07,5.88082465691956e-05,-3.871490150822112e-08,2.1268331479786054e-07,-6.645552118952958e-09,0.10053075998243909,-0.01176866821567168,0.00045585918083114376,-5.845901341222975e-06
hcp FeNi a,3.661353140705482e-07,-4.856866079519196e-07,3.3794238322900963e-07,4.156186975385478e-06,-2.113671634935923e-09,-1.6204955604747022e-08,-1.977395737217354e-09,-3.871490150822112e-08,1.4642982298547474e-08,-7.765272799654262e-08,2.025651745583501e-10,0.0001578110980070345,-1.9427643675327024e-05,7.897676837086516e-07,-1.0597984485680471e-08
hcp FeNi c,-1.8037932560595111e-06,3.5410450736479916e-06,-2.6600801606303443e-06,-2.259822824606727e-05,1.4132413082052679e-08,9.200500522320406e-08,1.3404418114950078e-08,2.126833147978606e-07,-7.765272799654262e-08,5.503190948285656e-07,-1.1522197378303314e-09,-0.0010633936311751145,0.00013262795666398855,-5.462043195281953e-06,7.424359610526557e-08
extrapeak a,-1.4479912960930901e-06,-1.099421156685552e-07,-2.3118566598286475e-06,5.799780486153806e-07,3.828117617681821e-09,-5.515993104364688e-09,7.09020042225983e-09,-6.645552118952958e-09,2.0256517455835006e-10,-1.1522197378303316e-09,6.032522372182477e-08,-0.00033209356011786495,3.758077813567398e-05,-1.4103429134709696e-06,1.7557481488786028e-08
Background 0,6.621244446128826,-2.830805455796792,0.7891851489875399,-7.981616019347168,-0.012739388304885205,0.07891266742258733,-0.013850362263207397,0.10053075998243909,0.00015781109800703453,-0.0010633936311751145,-0.000332093560117865,4462.794088308463,-520.9266652899797,20.158142637363927,-0.25861826948455036
Background 1,-0.7759311448502157,0.3399158186311929,-0.10271038260029208,0.9353063996936518,0.0015273240645868455,-0.009226171815420852,0.0016581199482475185,-0.01176866821567168,-1.9427643675327024e-05,0.00013262795666398855,3.758077813567398e-05,-520.9266652899796,60.83701273678787,-2.3553776118348937,0.030233080705276555
Background 2,0.030118394984684185,-0.01352020153668075,0.00438767186622127,-0.036261209611690166,-6.064574251224851e-05,0.0003569804813231295,-6.57407227530943e-05,0.00045585918083114376,7.897676837086517e-07,-5.462043195281954e-06,-1.4103429134709696e-06,20.158142637363927,-2.355377611834894,0.09123689674998477,-0.0011716700268969234
Background 3,-0.00038718193290369576,0.00017799320799129258,-6.131656212079188e-05,0.00046537266246666266,7.965933375847523e-07,-4.5735097059258395e-06,8.621650494473699e-07,-5.845901341222975e-06,-1.0597984485680471e-08,7.424359610526557e-08,1.7557481488786028e-08,-0.25861826948455036,0.03023308070527656,-0.0011716700268969234,1.5053932746884235e-05
