,hcp FeNi Peak 0 Intensity,hcp FeNi Peak 1 Intensity,hcp FeNi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNi Peak Width,extrapeak Peak Width,hcp FeNi Peak Shape,extrapeak Peak Shape,hcp FeNi a,hcp FeNi c,extrapeak a,Background 0,Background 1,Background 2,Background 3
hcp FeNi Peak 0 Intensity,0.10173215714276977,-0.005652446039020774,0.15419455690343636,-0.01342081990080318,-0.00023250115767744155,0.0001423934961002625,-0.00048113654481621,0.00011819808209163683,4.3714743082729937e-07,-2.249359257717613e-06,-1.8029695622496486e-06,7.002644156631774,-0.8205904591698349,0.03185100375284402,-0.0004094436274433432
hcp FeNi Peak 1 Intensity,-0.005652446039020774,0.026112240994010306,-0.006737179291021382,0.002060371982785178,3.608155855848589e-05,-1.6013957047620713e-05,3.5151940093308635e-05,-1.6250826405929574e-05,-5.078244990385252e-07,3.621258341820748e-06,-1.1854412314868438e-07,-3.0510475647703523,0.36610663860676806,-0.0145521501911097,0.00019145641459367
hcp FeNi Peak 2 Intensity,0.1541945569034364,-0.006737179291021383,0.3536364964288503,-0.012990584838431513,-0.0004745103316802864,6.112346473336456e-05,-0.0010004613393226976,7.86474783357783e-05,4.312255267921651e-07,-3.2843451492665924e-06,-3.007381719832132e-06,1.3642552858260089,-0.1711539533556865,0.0070857128245951145,-9.65034882746546e-05
extrapeak Peak 0 Intensity,-0.013420819900803186,0.002060371982785178,-0.012990584838431516,0.5984633087437348,3.8473306013832115e-05,-0.0019372095225243227,5.0049980584201635e-05,-0.003624764259950849,3.316863853515045e-06,-1.7919323603667885e-05,5.981929558584128e-07,-5.985962828300054,0.701737126344566,-0.027216726236326216,0.00034942628422146994
hcp FeNi Peak Width,-0.00023250115767744153,3.608155855848589e-05,-0.00047451033168028635,3.847330601383213e-05,1.0615855662218139e-06,-2.0165148656412018e-07,1.3801843852445972e-06,-2.535844562685206e-07,-2.3077948682842176e-09,1.522019487450008e-08,4.812024484999934e-09,-0.014116432896816512,0.0016901412664583402,-6.702328177218027e-05,8.792865087150413e-07
extrapeak Peak Width,0.0001423934961002625,-1.6013957047620713e-05,6.112346473336453e-05,-0.0019372095225243227,-2.0165148656412018e-07,1.0884336363624018e-05,-3.2488419872601467e-07,1.1318827613511044e-05,-1.0133170921989513e-08,5.798653424436508e-08,-5.867884485400688e-09,0.06393647962447077,-0.007473178597669262,0.0002890936766303885,-3.7031726861449754e-06
hcp FeNi Peak Shape,-0.00048113654481621,3.5151940093308635e-05,-0.0010004613393226976,5.0049980584201635e-05,1.3801843852445972e-06,-3.2488419872601477e-07,3.1008118763919e-06,-3.4905529195513383e-07,-2.3467154060161253e-09,1.5749601280519684e-08,9.165307010933531e-09,-0.016046794134465824,0.0019190286203804652,-7.600717445424413e-05,9.958463898396562e-07
extrapeak Peak Shape,0.00011819808209163683,-1.6250826405929577e-05,7.864747833577823e-05,-0.0036247642599508494,-2.535844562685205e-07,1.1318827613511044e-05,-3.490552919551337e-07,2.4035053727486482e-05,-2.0366877977110014e-08,1.1142129723197127e-07,-4.350206280514586e-09,0.05563890800163103,-0.006513185681051339,0.00025228833239121653,-3.2353807292612553e-06
hcp FeNi a,4.3714743082729937e-07,-5.078244990385255e-07,4.31225526792165e-07,3.316863853515045e-06,-2.3077948682842176e-09,-1.0133170921989513e-08,-2.346715406016125e-09,-2.036687797711002e-08,1.4614413542305198e-08,-7.742437296600676e-08,2.3112307911928513e-10,0.00019582922357718404,-2.3917510577087487e-05,9.652650019911305e-07,-1.2868816343055367e-08
hcp FeNi c,-2.249359257717613e-06,3.6212583418207473e-06,-3.2843451492665924e-06,-1.7919323603667885e-05,1.522019487450008e-08,5.798653424436509e-08,1.5749601280519684e-08,1.1142129723197128e-07,-7.742437296600675e-08,5.361459666676662e-07,-1.3100177425312495e-09,-0.0012834435427858304,0.00015857286525802934,-6.474572042689921e-06,8.732550678644784e-08
extrapeak a,-1.8029695622496484e-06,-1.1854412314868438e-07,-3.007381719832132e-06,5.981929558584128e-07,4.812024484999934e-09,-5.867884485400688e-09,9.165307010933531e-09,-4.350206280514586e-09,2.3112307911928513e-10,-1.3100177425312495e-09,7.115242107513473e-08,-0.00040656423357550203,4.603491330415504e-05,-1.728627840913362e-06,2.1532171121963267e-08
Background 0,7.002644156631775,-3.0510475647703523,1.3642552858260089,-5.985962828300054,-0.014116432896816513,0.06393647962447077,-0.016046794134465827,0.05563890800163104,0.00019582922357718407,-0.0012834435427858304,-0.0004065642335755021,4762.0814172646815,-555.907663265862,21.514034147081933,-0.2760444370498252
Background 1,-0.8205904591698349,0.36610663860676806,-0.1711539533556865,0.701737126344566,0.00169014126645834,-0.007473178597669262,0.0019190286203804652,-0.006513185681051339,-2.3917510577087487e-05,0.00015857286525802931,4.603491330415504e-05,-555.907663265862,64.92784775604609,-2.5140265303712317,0.032273124484103084
Background 2,0.031851003752844026,-0.014552150191109703,0.0070857128245951145,-0.027216726236326216,-6.702328177218027e-05,0.0002890936766303885,-7.600717445424413e-05,0.00025228833239121653,9.652650019911305e-07,-6.474572042689921e-06,-1.728627840913362e-06,21.514034147081933,-2.5140265303712317,0.09739280541364635,-0.0012508688029458012
Background 3,-0.00040944362744334327,0.00019145641459367,-9.65034882746546e-05,0.00034942628422146994,8.792865087150414e-07,-3.703172686144976e-06,9.958463898396562e-07,-3.2353807292612553e-06,-1.2868816343055368e-08,8.732550678644785e-08,2.1532171121963267e-08,-0.2760444370498252,0.032273124484103084,-0.0012508688029458012,1.60733780252637e-05
