Parameters,Values,Std
bcc FeNi Peak 0 Intensity,9.40978163558462,3.1512544413725854
extrapeak Peak 0 Intensity,2.363685218780623,2.3973282905541042
bcc FeNi Peak Width,0.11602339272034456,0.0031760762943206272
extrapeak Peak Width,0.19380464392294983,0.03545747571126176
bcc FeNi Peak Shape,0.9999999999999987,0.37996777472033916
extrapeak Peak Shape,0.7793321529624274,1.0315679256640882
bcc FeNi a,2.859241488889017,4.15083322714589e-05
extrapeak a,2.9817223157265023,0.00047044107045098087
Background 0,3231.973464722036,127.4000950746905
Background 1,-207.75769291994925,10.39981909050604
Background 2,3.9150733528750314,0.21195400470622758
