# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 1.000e-04, 1.000e-04 m
# PONI: 1.797e-01, 1.289e-01 m
# Distance Sample to Detector: 0.31915368838 m
# Rotations: 0.000819 0.003304 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 319.156 mm
# Center: x=1286.121, y=1807.483 pix
# Tilt: 0.195 deg  TiltPlanRot: 103.923 deg
# 
# Wavelength: 8.60255e-11
# Polarization factor: 0.99
# Normalization factor: None
#
# 2th_deg	 I
4.523617939E-01  9.645160675E+01
4.596477227E-01  9.254584503E+01
4.669336515E-01  9.927703857E+01
4.742195802E-01  1.008025742E+02
4.815055090E-01  1.007992783E+02
4.887914377E-01  1.007124481E+02
4.960773665E-01  9.857623291E+01
5.033632952E-01  9.767095184E+01
5.106492240E-01  9.604129028E+01
5.179351528E-01  9.639443207E+01
5.252210815E-01  9.719092560E+01
5.325070103E-01  9.837613678E+01
5.397929390E-01  1.002471771E+02
5.470788678E-01  1.003043289E+02
5.543647966E-01  1.007753754E+02
5.616507253E-01  9.959409332E+01
5.689366541E-01  9.871243286E+01
5.762225828E-01  9.738716125E+01
5.835085116E-01  9.646601868E+01
5.907944404E-01  9.660945129E+01
5.980803691E-01  9.709616089E+01
6.053662979E-01  9.786447144E+01
6.126522266E-01  9.912291718E+01
6.199381554E-01  9.950662231E+01
6.272240841E-01  9.845561218E+01
6.345100129E-01  9.719231415E+01
6.417959417E-01  9.728614044E+01
6.490818704E-01  9.811909485E+01
6.563677992E-01  9.692069244E+01
6.636537279E-01  9.490481567E+01
6.709396567E-01  9.389645386E+01
6.782255855E-01  9.420343018E+01
6.855115142E-01  9.583620453E+01
6.927974430E-01  9.686662292E+01
7.000833717E-01  9.734276581E+01
7.073693005E-01  9.776056671E+01
7.146552293E-01  9.807355499E+01
7.219411580E-01  9.823419952E+01
7.292270868E-01  9.918584442E+01
7.365130155E-01  9.971126556E+01
7.437989443E-01  1.007683029E+02
7.510848730E-01  9.973345184E+01
7.583708018E-01  9.849964142E+01
7.656567306E-01  9.754849243E+01
7.729426593E-01  9.733757782E+01
7.802285881E-01  9.692494965E+01
7.875145168E-01  9.704653168E+01
7.948004456E-01  9.623656464E+01
8.020863744E-01  9.652413940E+01
8.093723031E-01  9.652662659E+01
8.166582319E-01  9.613433075E+01
8.239441606E-01  9.563696289E+01
8.312300894E-01  9.607458496E+01
8.385160182E-01  9.678008270E+01
8.458019469E-01  9.730210114E+01
8.530878757E-01  9.734379578E+01
8.603738044E-01  9.724172211E+01
8.676597332E-01  9.691525269E+01
8.749456619E-01  9.780110168E+01
8.822315907E-01  9.846720886E+01
8.895175195E-01  9.888476562E+01
8.968034482E-01  9.897682953E+01
9.040893770E-01  9.883914948E+01
9.113753057E-01  9.847589874E+01
9.186612345E-01  9.744614410E+01
9.259471633E-01  9.708303833E+01
9.332330920E-01  9.711334991E+01
