Parameters,Values,Std
hcp FeNiSi Peak 0 Intensity,20.431673847079924,0.7958770755000407
hcp FeNiSi Peak 1 Intensity,2.720965609293135e-18,0.37880810575557283
hcp FeNiSi Peak 2 Intensity,32.285849840381886,1.0975398353797903
extrapeak Peak 0 Intensity,12.529171983550928,2.11825595303915
hcp FeNiSi Peak Width,0.21136324793984906,0.004412076393327138
extrapeak Peak Width,0.07697192905784102,0.007703355243283717
hcp FeNiSi Peak Shape,0.020753171122603338,0.006414550156198156
extrapeak Peak Shape,5.034468798003706e-22,0.00930785396723329
hcp FeNiSi a,2.403350508574324,0.0005859950459753929
hcp FeNiSi c,3.845248827277884,0.0035649490231747893
extrapeak a,2.983610008365452,0.0006346576064468119
Background 0,11399.304069983027,322.7834880425711
Background 1,-1189.91657473373,38.65341987320243
Background 2,45.325318513727495,1.5374145032782822
Background 3,-0.5720848579829506,0.020309889767927716
