# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 7.900e-05, 7.900e-05 m
# PONI: 1.411e-01, 1.028e-01 m
# Distance Sample to Detector: 0.252389920345 m
# Rotations: 0.001947 0.002954 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 252.392 mm
# Center: x=1295.273, y=1795.185 pix
# Tilt: 0.203 deg  TiltPlanRot: 123.397 deg
# 
# Wavelength: 8.603e-11
# Polarization factor: 0.99
# Normalization factor: None
#
# 2th_deg	 I
3.335335913E+00  4.740082520E+03
3.345515043E+00  4.760185547E+03
3.355694174E+00  4.764280273E+03
3.365873304E+00  4.781344727E+03
3.376052435E+00  4.773500000E+03
3.386231566E+00  4.758749512E+03
3.396410696E+00  4.716919922E+03
3.406589827E+00  4.726921875E+03
3.416768958E+00  4.738481445E+03
3.426948088E+00  4.759025391E+03
3.437127219E+00  4.786779297E+03
3.447306349E+00  4.828068359E+03
3.457485480E+00  4.857062988E+03
3.467664611E+00  4.859857910E+03
3.477843741E+00  4.846718750E+03
3.488022872E+00  4.849100098E+03
3.498202002E+00  4.861717285E+03
3.508381133E+00  4.885277344E+03
3.518560264E+00  4.905213867E+03
3.528739394E+00  4.921408203E+03
3.538918525E+00  4.929142578E+03
3.549097656E+00  4.935697266E+03
3.559276786E+00  4.974677246E+03
3.569455917E+00  4.998413574E+03
3.579635047E+00  4.996141113E+03
3.589814178E+00  4.988265625E+03
3.599993309E+00  4.987750000E+03
3.610172439E+00  4.973433594E+03
3.620351570E+00  4.980768066E+03
3.630530701E+00  5.000574219E+03
3.640709831E+00  5.017867188E+03
3.650888962E+00  5.028089355E+03
3.661068092E+00  5.029263672E+03
3.671247223E+00  5.046812012E+03
3.681426354E+00  5.056153809E+03
3.691605484E+00  5.057481934E+03
3.701784615E+00  5.056805176E+03
3.711963745E+00  5.069462402E+03
3.722142876E+00  5.079060547E+03
3.732322007E+00  5.081047852E+03
3.742501137E+00  5.080890625E+03
3.752680268E+00  5.090497070E+03
3.762859399E+00  5.104221680E+03
3.773038529E+00  5.115633789E+03
3.783217660E+00  5.132593750E+03
3.793396790E+00  5.136533691E+03
3.803575921E+00  5.131002441E+03
