Parameters,Values,Std
extrapeak Peak 0 Intensity,13.404241619892407,3.736285326700187
hcp FeNiSi Peak 0 Intensity,26.756867066213818,0.9078720871513275
hcp FeNiSi Peak 1 Intensity,1.6281989016628017e-33,0.45214551699779626
hcp FeNiSi Peak 2 Intensity,67.6771935500589,1.7657729148205061
extrapeak Peak Width,0.2722458031436001,0.022465652174658454
hcp FeNiSi Peak Width,0.22725577065068484,0.0036078828686010233
extrapeak Peak Shape,0.6157398620297387,0.26361825508746783
hcp FeNiSi Peak Shape,0.0550055902432256,0.006626714310128156
extrapeak a,2.9842246579609415,0.0002499141857768826
hcp FeNiSi a,2.3477144185889767,0.00037450367112006755
hcp FeNiSi c,3.741992428942232,0.0022108414827729135
Background 0,4870.604530139497,52.5510422377155
Background 1,-170.5453619399401,3.9764117709016427
Background 2,2.1281209873941482,0.07509958408405898
