,extrapeak Peak 0 Intensity,hcp FeNiSi Peak 0 Intensity,hcp FeNiSi Peak 1 Intensity,hcp FeNiSi Peak 2 Intensity,extrapeak Peak Width,hcp FeNiSi Peak Width,extrapeak Peak Shape,hcp FeNiSi Peak Shape,extrapeak a,hcp FeNiSi a,hcp FeNiSi c,Background 0,Background 1,Background 2
extrapeak Peak 0 Intensity,11.979355518098323,0.3288753517334482,0.049931756029584995,-0.23710994774746572,-0.06885591276464473,0.0014793536483838133,-0.5979451980055032,0.000930604202001957,-3.225827196742331e-05,0.0004675959808649051,-0.0025451421384357384,26.470170756764862,-1.8647622163921764,0.03272646029333041
hcp FeNiSi Peak 0 Intensity,0.32887535173344823,0.5511632048617783,-0.029641536771297227,0.7875950394457498,-0.00016767043661116812,-0.0015141308037101532,-0.01236934387401772,-0.002933195378418357,3.827613102329607e-06,1.2831679929832698e-05,-4.223516809696144e-05,-3.5797447694793036,0.23407964956679964,-0.003685640459272351
hcp FeNiSi Peak 1 Intensity,0.049931756029584995,-0.029641536771297227,0.17755684101951844,-0.05614447487804411,-0.0008295226946104532,0.00035217102502124595,-0.0037297897563536714,0.0003290436990655536,-5.9164990277981795e-06,-7.1110786253440515e-06,5.30056969644319e-05,6.292830957063567,-0.47165908660317685,0.008756064309660262
hcp FeNiSi Peak 2 Intensity,-0.23710994774746572,0.7875950394457498,-0.0561444748780441,2.0798761463049393,0.001546983722302734,-0.003587455494418867,0.011824886046175884,-0.007016942682115259,-1.1370090393569286e-05,-1.0266934526591267e-05,9.203241469478361e-05,2.0539681960540563,-0.1765362453630623,0.0038442099061222184
extrapeak Peak Width,-0.06885591276464473,-0.00016767043661116793,-0.0008295226946104532,0.0015469837223027335,0.00046500160644141893,-9.613422717707446e-06,0.0035730753394395045,-7.254108241112639e-06,4.7126976962003115e-07,-2.8552161982736995e-06,1.5044027164548579e-05,-0.4048984636331639,0.029380475986157492,-0.000531879669120165
hcp FeNiSi Peak Width,0.0014793536483838133,-0.0015141308037101532,0.00035217102502124595,-0.003587455494418868,-9.613422717707446e-06,1.0425175939323939e-05,-7.489950794943845e-05,1.3078205688278036e-05,2.5723834815351922e-08,5.009143403795166e-08,-4.563945886955712e-07,-0.006946890818577804,0.0006608627932674,-1.5516911917385743e-05
extrapeak Peak Shape,-0.5979451980055032,-0.012369343874017722,-0.0037297897563536714,0.011824886046175884,0.0035730753394395045,-7.489950794943847e-05,0.03017318046189136,-4.937510803589219e-05,2.293532846430228e-06,-2.3506052868055093e-05,0.00012674393984243648,-1.9216180750838348,0.13743633092968158,-0.002451243221879623
hcp FeNiSi Peak Shape,0.000930604202001957,-0.002933195378418357,0.0003290436990655536,-0.007016942682115259,-7.254108241112639e-06,1.3078205688278034e-05,-4.937510803589219e-05,2.587465641920199e-05,3.3636903338941965e-08,3.1165464287799757e-08,-3.6808486300516686e-07,-0.006210708733537248,0.0006107989743080528,-1.4733458916203862e-05
extrapeak a,-3.225827196742331e-05,3.827613102329607e-06,-5.916499027798178e-06,-1.1370090393569286e-05,4.7126976962003105e-07,2.5723834815351922e-08,2.293532846430228e-06,3.3636903338941965e-08,5.1671866867227e-08,2.6819900715974453e-09,-2.1124426450562088e-08,-0.002126861934090785,0.00015958163124186193,-2.987103831009657e-06
hcp FeNiSi a,0.00046759598086490504,1.28316799298327e-05,-7.1110786253440515e-06,-1.0266934526591267e-05,-2.8552161982736995e-06,5.009143403795166e-08,-2.350605286805509e-05,3.1165464287799757e-08,2.6819900715974453e-09,1.651030219671604e-07,-8.981406177358583e-07,-0.00019610898534189365,2.180249682044094e-05,-5.30216148567641e-07
hcp FeNiSi c,-0.0025451421384357384,-4.223516809696145e-05,5.300569696443189e-05,9.20324146947836e-05,1.5044027164548579e-05,-4.563945886955711e-07,0.00012674393984243648,-3.6808486300516686e-07,-2.1124426450562088e-08,-8.981406177358583e-07,5.710241226001647e-06,0.008345978171351794,-0.0006822788511479122,1.3770653831972937e-05
Background 0,26.470170756764862,-3.5797447694793036,6.2928309570635665,2.0539681960540563,-0.40489846363316384,-0.006946890818577804,-1.9216180750838348,-0.006210708733537248,-0.002126861934090785,-0.00019610898534189365,0.008345978171351794,2078.802876264268,-156.78341767858765,2.9491305422497143
Background 1,-1.8647622163921764,0.2340796495667997,-0.47165908660317685,-0.17653624536306234,0.02938047598615749,0.0006608627932674,0.13743633092968158,0.0006107989743080528,0.00015958163124186193,2.180249682044094e-05,-0.0006822788511479123,-156.78341767858765,11.839233278470921,-0.22297591020435029
Background 2,0.0327264602933304,-0.003685640459272352,0.008756064309660262,0.0038442099061222193,-0.0005318796691201648,-1.5516911917385743e-05,-0.002451243221879623,-1.4733458916203862e-05,-2.9871038310096572e-06,-5.30216148567641e-07,1.3770653831972937e-05,2.9491305422497147,-0.22297591020435034,0.004204778923280428
