,hcp FeNiSi Peak 0 Intensity,hcp FeNiSi Peak 1 Intensity,hcp FeNiSi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNiSi Peak Width,extrapeak Peak Width,hcp FeNiSi Peak Shape,extrapeak Peak Shape,hcp FeNiSi a,hcp FeNiSi c,extrapeak a,Background 0,Background 1,Background 2
hcp FeNiSi Peak 0 Intensity,0.5242396397162228,0.22148052781125266,1.255980388076904,0.5592079668931479,-0.013806239860542297,-0.001725953433565135,-0.038018660507849106,-0.07053222664787376,0.00015304407817876996,-0.0006538655112844119,-5.072739098398865e-06,0.3000044920922603,-0.08281346654656499,0.00288189511717769
hcp FeNiSi Peak 1 Intensity,0.22148052781125271,0.18288872883772556,0.6944532019478504,0.04551897699889536,-0.006081234680063996,-0.00026169852317397884,-0.01885317862878076,-0.006412702403471174,4.5550169355499584e-05,-0.000274009104109147,-5.279016316328052e-06,1.169547111328769,-0.08807316248261285,0.0016869158237637052
hcp FeNiSi Peak 2 Intensity,1.2559803880769043,0.6944532019478504,3.8191881006873833,0.6062753228468908,-0.03722755492926012,-0.002059410162278236,-0.1084835850302981,-0.0778494404338949,0.00036758102343030475,-0.001804268726456952,-2.1624438896246276e-05,-1.7891377792151142,0.07645537436602791,0.00011949165544764998
extrapeak Peak 0 Intensity,0.5592079668931478,0.04551897699889536,0.6062753228468908,6.60667436197401,-0.005355377234707534,-0.02831639901396644,-0.017424142445886744,-0.8731986201422546,0.00015936635613883712,-0.0008489124597685296,2.6794018917499936e-05,-37.47145181221297,2.7922399952085275,-0.05177905323388583
hcp FeNiSi Peak Width,-0.013806239860542297,-0.006081234680063996,-0.03722755492926012,-0.005355377234707534,0.0005051061924374888,1.6204487126504145e-05,0.0012141417190991274,0.0006833787198581416,-6.140171641731792e-06,2.464372499017653e-05,3.8715025098073766e-07,-0.24804556052079382,0.02112469046008344,-0.0004521380336785126
extrapeak Peak Width,-0.0017259534335651357,-0.000261698523173979,-0.002059410162278239,-0.02831639901396644,1.6204487126504166e-05,0.00016210897520237098,5.5993714524475236e-05,0.0039011459256483704,-6.675011624867078e-07,3.2287330916060317e-06,-1.1915998741249848e-08,0.03970357567112264,-0.003129884516266187,6.083429137743546e-05
hcp FeNiSi Peak Shape,-0.03801866050784911,-0.01885317862878076,-0.1084835850302981,-0.017424142445886758,0.0012141417190991274,5.599371452447521e-05,0.00328937137342936,0.0022261180574893445,-1.332293980897592e-05,5.824610509453111e-05,8.056797247177394e-07,-0.2780045886929259,0.0250113989160449,-0.0005654251492124552
extrapeak Peak Shape,-0.07053222664787377,-0.006412702403471174,-0.07784944043389495,-0.8731986201422546,0.000683378719858142,0.003901145925648371,0.0022261180574893445,0.1161668626750758,-2.0954325162809577e-05,0.00010996785738527234,-3.0145543765713216e-06,4.336623782986164,-0.32392373365867916,0.006018997954313666
hcp FeNiSi a,0.00015304407817876996,4.555016935549958e-05,0.00036758102343030475,0.00015936635613883712,-6.140171641731792e-06,-6.675011624867078e-07,-1.332293980897592e-05,-2.0954325162809577e-05,2.946336900205521e-07,-1.1637974910885576e-06,-2.4122542564858925e-09,0.0024876992666473,-0.00022411239130677707,5.0413084570395945e-06
hcp FeNiSi c,-0.0006538655112844119,-0.00027400910410914706,-0.0018042687264569523,-0.0008489124597685296,2.4643724990176536e-05,3.2287330916060296e-06,5.824610509453111e-05,0.00010996785738527233,-1.1637974910885578e-06,6.82995285018042e-06,7.071135631662126e-10,0.009873404938348207,-0.0006753972944969041,1.0915721477278553e-05
extrapeak a,-5.072739098398865e-06,-5.279016316328052e-06,-2.1624438896246276e-05,2.6794018917499936e-05,3.8715025098073776e-07,-1.1915998741249845e-08,8.056797247177394e-07,-3.0145543765713216e-06,-2.4122542564858925e-09,7.071135631662119e-10,2.9251714406320018e-08,-0.0014210135964258437,0.00010944909927440387,-2.109335726067237e-06
Background 0,0.3000044920922603,1.169547111328769,-1.7891377792151142,-37.47145181221297,-0.24804556052079385,0.03970357567112264,-0.2780045886929259,4.336623782986165,0.0024876992666472996,0.009873404938348207,-0.0014210135964258434,2102.242390383124,-162.84303659972946,3.1516222350318177
Background 1,-0.08281346654656499,-0.08807316248261285,0.07645537436602791,2.7922399952085275,0.02112469046008344,-0.003129884516266187,0.0250113989160449,-0.3239237336586792,-0.00022411239130677707,-0.0006753972944969041,0.00010944909927440387,-162.8430365997295,12.643431348631088,-0.24528749328284996
Background 2,0.00288189511717769,0.0016869158237637052,0.00011949165544765032,-0.051779053233885826,-0.0004521380336785126,6.083429137743546e-05,-0.0005654251492124552,0.006018997954313666,5.0413084570395945e-06,1.0915721477278553e-05,-2.109335726067237e-06,3.1516222350318177,-0.24528749328284993,0.004770640485907857
