# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 1.000e-04, 1.000e-04 m
# PONI: 1.797e-01, 1.309e-01 m
# Distance Sample to Detector: 0.319378239547 m
# Rotations: 0.002078 0.002848 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 319.380 mm
# Center: x=1302.496, y=1805.607 pix
# Tilt: 0.202 deg  TiltPlanRot: 126.115 deg
# 
# Wavelength: 8.60255e-11
# Polarization factor: 0.99
# Normalization factor: None
#
# 2th_deg	 I
5.500685177E-01  2.386942902E+02
5.573466837E-01  2.388570709E+02
5.646248496E-01  2.359326019E+02
5.719030156E-01  2.377194366E+02
5.791811816E-01  2.368683167E+02
5.864593475E-01  2.376800385E+02
5.937375135E-01  2.362063751E+02
6.010156794E-01  2.350986176E+02
6.082938454E-01  2.352286072E+02
6.155720114E-01  2.329025879E+02
6.228501773E-01  2.313340149E+02
6.301283433E-01  2.279478149E+02
6.374065092E-01  2.289755554E+02
6.446846752E-01  2.319011230E+02
6.519628412E-01  2.341829529E+02
6.592410071E-01  2.355077820E+02
6.665191731E-01  2.359486847E+02
6.737973390E-01  2.354960938E+02
6.810755050E-01  2.348846436E+02
6.883536710E-01  2.311926270E+02
6.956318369E-01  2.323629761E+02
7.029100029E-01  2.306712646E+02
7.101881688E-01  2.299262085E+02
7.174663348E-01  2.274879913E+02
7.247445008E-01  2.260407715E+02
7.320226667E-01  2.291295166E+02
7.393008327E-01  2.294132538E+02
7.465789986E-01  2.299787598E+02
7.538571646E-01  2.304571991E+02
7.611353306E-01  2.302827454E+02
7.684134965E-01  2.300714569E+02
7.756916625E-01  2.297613831E+02
7.829698284E-01  2.324046173E+02
7.902479944E-01  2.342644501E+02
7.975261604E-01  2.373356323E+02
8.048043263E-01  2.371715393E+02
8.120824923E-01  2.379841156E+02
8.193606582E-01  2.369493256E+02
8.266388242E-01  2.352150726E+02
8.339169901E-01  2.341423340E+02
8.411951561E-01  2.355487061E+02
8.484733221E-01  2.367687836E+02
8.557514880E-01  2.369105835E+02
8.630296540E-01  2.350572662E+02
8.703078199E-01  2.330286407E+02
8.775859859E-01  2.319950104E+02
8.848641519E-01  2.291842499E+02
8.921423178E-01  2.272869263E+02
8.994204838E-01  2.261423950E+02
9.066986497E-01  2.266436157E+02
9.139768157E-01  2.268011627E+02
9.212549817E-01  2.271311188E+02
9.285331476E-01  2.294748840E+02
9.358113136E-01  2.301891022E+02
9.430894795E-01  2.300502319E+02
9.503676455E-01  2.282428436E+02
9.576458115E-01  2.280402985E+02
9.649239774E-01  2.294460907E+02
9.722021434E-01  2.275942993E+02
9.794803093E-01  2.275046082E+02
9.867584753E-01  2.272585754E+02
9.940366413E-01  2.279034729E+02
1.001314807E+00  2.291697540E+02
1.008592973E+00  2.281436157E+02
1.015871139E+00  2.272943573E+02
1.023149305E+00  2.269629211E+02
1.030427471E+00  2.286561890E+02
1.037705637E+00  2.275439301E+02
1.044983803E+00  2.273260040E+02
1.052261969E+00  2.259567871E+02
1.059540135E+00  2.259750519E+02
1.066818301E+00  2.253153534E+02
1.074096467E+00  2.230059509E+02
1.081374633E+00  2.224215240E+02
1.088652799E+00  2.237855072E+02
1.095930965E+00  2.266728516E+02
1.103209131E+00  2.289745331E+02
