Parameters,Values,Std
hcp FeNiSi Peak 0 Intensity,25.31263994155641,0.5609458961807046
hcp FeNiSi Peak 1 Intensity,5.1693558085303914,0.30797791910257244
hcp FeNiSi Peak 2 Intensity,74.667461453388,1.485460268394997
hcp FeNiSi Peak 3 Intensity,4.177706666686446,0.31667267648219644
hcp FeNiSi Peak 4 Intensity,14.295596992097947,0.4297886367481792
extrapeak Peak 0 Intensity,6.323165153231482,1.6743937593278886
hcp FeNiSi Peak Width,0.11859684507485743,0.0010830430545609403
extrapeak Peak Width,0.07330838100166007,0.009806384805112209
hcp FeNiSi Peak Shape,0.025871941717221743,0.002292846074583401
extrapeak Peak Shape,7.959979994294422e-24,0.013516072454199833
hcp FeNiSi a,2.352850202036712,0.00019770024732540612
hcp FeNiSi c,3.7704310848132754,0.0011711257717980138
extrapeak a,3.0195550292894078,0.001768718933564156
Background 0,203.0069393274546,8.14718993423547
Background 1,-2.4190646706243926,1.5261152884340792
Background 2,0.9767048548396151,0.09315153763180432
Background 3,-0.026132694629566564,0.0018556260039152154
