@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 04/17/18 at 11:53:27 +02:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -6.54332E+01 -1.39027E+00  1.87071E+00
 -6.51837E+01  1.38406E+00  2.26646E+00
 -6.49342E+01  1.80440E+00  2.83329E+00
 -6.46847E+01  1.77862E+00  1.25966E+00
 -6.44353E+01 -3.68740E-01  1.74723E+00
 -6.41858E+01 -2.48192E+00  1.00233E+00
 -6.39363E+01 -1.58945E+00  1.67239E+00
 -6.36868E+01 -2.11321E+00  1.13416E+00
 -6.34373E+01 -9.16744E-01  1.93008E+00
 -6.31878E+01  8.29118E-01  2.01808E+00
 -6.29384E+01 -7.07892E-01  1.96985E+00
 -6.26889E+01  2.21142E+00  2.75478E+00
 -6.24394E+01  3.91057E+00  2.63955E+00
 -6.21899E+01  6.82820E-01  1.77790E+00
 -6.19404E+01  2.20686E+00  2.45496E+00
 -6.16909E+01  9.54559E-02  1.80316E+00
 -6.14415E+01 -9.77967E-01  2.00071E+00
 -6.11920E+01  4.30805E-02  1.97292E+00
 -6.09425E+01  1.15088E+00  2.22930E+00
 -6.06930E+01  9.32379E-01  2.02811E+00
 -6.04435E+01  8.03597E-01  1.85648E+00
 -6.01940E+01 -1.57642E+00  1.48945E+00
 -5.99446E+01 -1.39945E+00  1.38090E+00
 -5.96951E+01 -1.45660E+00  1.77861E+00
 -5.94456E+01  2.57433E-01  2.02581E+00
 -5.91961E+01 -5.89188E-01  1.75762E+00
 -5.89466E+01  5.92798E-02  2.05704E+00
 -5.86971E+01  1.12214E+00  1.98598E+00
 -5.84477E+01  1.14671E+00  2.41693E+00
 -5.81982E+01  1.30935E+00  2.43655E+00
 -5.79487E+01  1.54331E+00  1.95494E+00
 -5.76992E+01  1.03090E+00  2.18105E+00
 -5.74497E+01 -9.61959E-01  1.57442E+00
 -5.72002E+01  1.78697E-01  2.24899E+00
 -5.69508E+01  7.44437E-01  1.63407E+00
 -5.67013E+01 -9.40248E-01  1.99601E+00
 -5.64518E+01  3.55147E+00  2.69673E+00
 -5.62023E+01  2.01110E+00  2.36847E+00
 -5.59528E+01  3.41628E-01  1.80447E+00
 -5.57033E+01  9.06765E-01  2.57409E+00
 -5.54539E+01  1.65342E-01  1.25897E+00
 -5.52044E+01  8.18624E-01  2.52815E+00
 -5.49549E+01  1.71885E+00  2.12669E+00
 -5.47054E+01  1.84761E-01  2.13018E+00
 -5.44559E+01  2.55110E+00  2.65459E+00
 -5.42064E+01  3.20485E+00  2.25984E+00
 -5.39570E+01  5.20931E-01  2.17821E+00
 -5.37075E+01  2.55600E+00  2.60126E+00
 -5.34580E+01  4.45588E+00  2.67312E+00
 -5.32085E+01  3.57647E-01  1.64022E+00
 -5.29590E+01  1.02359E+00  2.68296E+00
 -5.27095E+01  8.92000E-01  1.80908E+00
 -5.24601E+01 -1.95744E-01  1.82842E+00
 -5.22106E+01  6.58438E-01  2.28538E+00
 -5.19611E+01  8.60168E-01  2.32284E+00
 -5.17116E+01  2.05115E+00  2.01520E+00
 -5.14621E+01  2.23249E-01  2.24765E+00
 -5.12126E+01  1.18152E+00  2.27754E+00
 -5.09632E+01  1.49069E+00  2.12974E+00
 -5.07137E+01  2.29540E+00  2.87840E+00
 -5.04642E+01  7.11914E+00  3.43533E+00
 -5.02147E+01  5.56602E+00  2.31868E+00
 -4.99652E+01  3.80534E-01  1.83131E+00
 -4.97157E+01  2.88510E+00  2.69501E+00
 -4.94663E+01  2.77326E+00  2.90058E+00
 -4.92168E+01  5.38029E+00  3.06322E+00
 -4.89673E+01  3.14424E+00  2.70970E+00
 -4.87178E+01  6.48544E+00  3.40760E+00
 -4.84683E+01  8.57538E+00  3.39325E+00
 -4.82188E+01  4.12050E+00  2.16290E+00
 -4.79694E+01  1.41589E+00  2.80350E+00
 -4.77199E+01  7.50986E+00  3.81264E+00
 -4.74704E+01  8.86301E+00  2.90628E+00
 -4.72209E+01  8.03500E+00  3.95251E+00
 -4.69714E+01  1.28420E+01  4.06736E+00
 -4.67219E+01  1.18966E+01  4.08101E+00
 -4.64725E+01  1.27073E+01  4.34993E+00
 -4.62230E+01  1.61444E+01  4.35517E+00
 -4.59735E+01  1.67396E+01  4.62767E+00
 -4.57240E+01  1.70988E+01  4.54093E+00
 -4.54745E+01  1.82101E+01  4.92605E+00
 -4.52250E+01  2.01129E+01  4.80062E+00
 -4.49756E+01  1.88407E+01  4.33221E+00
 -4.47261E+01  1.72976E+01  5.17350E+00
 -4.44766E+01  2.55284E+01  5.30992E+00
 -4.42271E+01  1.98222E+01  4.43437E+00
 -4.39776E+01  2.05919E+01  5.73013E+00
 -4.37281E+01  2.30626E+01  4.36633E+00
 -4.34787E+01  1.83891E+01  5.51548E+00
 -4.32292E+01  3.21905E+01  6.10893E+00
 -4.29797E+01  2.57212E+01  3.97767E+00
 -4.27302E+01  1.50688E+01  5.19650E+00
 -4.24807E+01  2.17022E+01  4.83034E+00
 -4.22312E+01  1.63308E+01  4.31449E+00
 -4.19818E+01  2.10421E+01  5.85407E+00
 -4.17323E+01  2.80682E+01  4.93734E+00
 -4.14828E+01  1.84147E+01  4.54201E+00
 -4.12333E+01  1.52234E+01  4.81952E+00
 -4.09838E+01  2.17887E+01  5.04141E+00
 -4.07343E+01  1.83559E+01  4.35390E+00
 -4.04849E+01  1.90502E+01  5.27008E+00
 -4.02354E+01  2.72618E+01  6.00478E+00
 -3.99859E+01  2.91174E+01  4.86006E+00
 -3.97364E+01  1.65351E+01  4.60145E+00
 -3.94869E+01  2.18116E+01  5.09656E+00
 -3.92374E+01  1.82670E+01  4.79878E+00
 -3.89880E+01  2.79742E+01  6.04048E+00
 -3.87385E+01  2.75557E+01  5.40890E+00
 -3.84890E+01  2.90706E+01  5.55715E+00
 -3.82395E+01  2.56845E+01  5.55062E+00
 -3.79900E+01  2.29964E+01  5.00438E+00
 -3.77405E+01  2.56208E+01  5.93261E+00
 -3.74911E+01  3.23365E+01  6.28251E+00
 -3.72416E+01  3.59085E+01  6.31059E+00
 -3.69921E+01  3.51031E+01  6.32726E+00
 -3.67426E+01  3.98163E+01  6.68684E+00
 -3.64931E+01  4.02074E+01  6.03936E+00
 -3.62436E+01  2.72524E+01  5.53687E+00
 -3.59942E+01  3.33568E+01  7.03646E+00
 -3.57447E+01  4.42908E+01  6.71928E+00
