@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 04/18/18 at 11:01:53 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -6.46223E+01 -1.07638E-01  1.36228E+00
 -6.43731E+01 -1.78400E+00  0.00000E+00
 -6.41239E+01 -1.68709E+00  1.44184E+00
 -6.38747E+01  1.54450E+00  2.24591E+00
 -6.36256E+01 -1.79242E+00  1.17120E+00
 -6.33764E+01  8.32690E-02  1.86269E+00
 -6.31272E+01 -7.40100E-01  1.58522E+00
 -6.28780E+01  3.68083E-01  2.20149E+00
 -6.26288E+01  2.39832E+00  2.22596E+00
 -6.23796E+01  5.92337E-01  1.47431E+00
 -6.21305E+01 -4.60607E-02  1.71506E+00
 -6.18813E+01 -2.27172E+00  1.05764E+00
 -6.16321E+01  9.04404E-01  2.22240E+00
 -6.13829E+01  1.93169E+00  2.23879E+00
 -6.11337E+01  1.11320E+00  2.01195E+00
 -6.08845E+01  7.64475E-02  1.76083E+00
 -6.06354E+01  1.26596E-01  1.73733E+00
 -6.03862E+01  4.10237E-01  1.93094E+00
 -6.01370E+01  5.22435E-01  2.39567E+00
 -5.98878E+01  1.50252E+00  1.66772E+00
 -5.96386E+01  3.31585E-01  1.48100E+00
 -5.93894E+01 -1.24652E+00  1.34495E+00
 -5.91403E+01 -1.90736E+00  1.45958E+00
 -5.88911E+01  3.97153E-01  2.45290E+00
 -5.86419E+01  4.52774E+00  2.45217E+00
 -5.83927E+01  2.13621E+00  2.20566E+00
 -5.81435E+01 -7.34818E-02  1.72412E+00
 -5.78943E+01  2.31356E+00  2.10320E+00
 -5.76452E+01  1.39617E+00  2.77584E+00
 -5.73960E+01  6.05751E+00  2.53100E+00
 -5.71468E+01  2.70270E+00  2.43736E+00
 -5.68976E+01  3.08743E+00  2.25488E+00
 -5.66484E+01 -3.79200E-01  2.55393E+00
 -5.63992E+01  8.82883E+00  3.04931E+00
 -5.61501E+01  4.30023E+00  3.28018E+00
 -5.59009E+01  6.95110E+00  3.02507E+00
 -5.56517E+01  8.42402E+00  3.09023E+00
 -5.54025E+01  5.60374E+00  3.40889E+00
 -5.51533E+01  1.06958E+01  3.38499E+00
 -5.49041E+01  9.30899E+00  3.86046E+00
 -5.46550E+01  1.30300E+01  4.12148E+00
 -5.44058E+01  1.16617E+01  3.44131E+00
 -5.41566E+01  1.11798E+01  4.02095E+00
 -5.39074E+01  1.78471E+01  4.91839E+00
 -5.36582E+01  1.76266E+01  4.16973E+00
 -5.34090E+01  1.53864E+01  4.44789E+00
 -5.31599E+01  1.55209E+01  3.30264E+00
 -5.29107E+01  8.58079E+00  3.43563E+00
 -5.26615E+01  1.12111E+01  3.90380E+00
 -5.24123E+01  1.13135E+01  4.05511E+00
 -5.21631E+01  1.30449E+01  4.01225E+00
 -5.19139E+01  1.38986E+01  4.30267E+00
 -5.16648E+01  1.99349E+01  4.37746E+00
 -5.14156E+01  1.63476E+01  4.69595E+00
 -5.11664E+01  1.66131E+01  3.62338E+00
 -5.09172E+01  1.34260E+01  4.07765E+00
 -5.06680E+01  1.62109E+01  4.15359E+00
 -5.04188E+01  9.95533E+00  3.93767E+00
 -5.01697E+01  1.15697E+01  3.79590E+00
 -4.99205E+01  1.06557E+01  3.69746E+00
 -4.96713E+01  1.27821E+01  3.75653E+00
 -4.94221E+01  1.11887E+01  4.07173E+00
 -4.91729E+01  1.35086E+01  3.72215E+00
 -4.89237E+01  1.38761E+01  4.23294E+00
 -4.86746E+01  1.38497E+01  4.20831E+00
 -4.84254E+01  1.13167E+01  3.74011E+00
 -4.81762E+01  8.71136E+00  3.14307E+00
 -4.79270E+01  9.24447E+00  3.83824E+00
 -4.76778E+01  1.27692E+01  3.85762E+00
 -4.74286E+01  1.40449E+01  4.16683E+00
 -4.71795E+01  2.12599E+01  4.94868E+00
 -4.69303E+01  1.72076E+01  4.46920E+00
 -4.66811E+01  1.80852E+01  4.09385E+00
 -4.64319E+01  1.39046E+01  4.04172E+00
 -4.61827E+01  1.46384E+01  4.53587E+00
 -4.59335E+01  1.49867E+01  3.86698E+00
 -4.56844E+01  1.53496E+01  4.49016E+00
 -4.54352E+01  1.57605E+01  4.25818E+00
 -4.51860E+01  1.29161E+01  3.98541E+00
 -4.49368E+01  1.87995E+01  4.71594E+00
 -4.46876E+01  2.32287E+01  4.71694E+00
 -4.44384E+01  1.68394E+01  4.68110E+00
 -4.41893E+01  2.21702E+01  5.07938E+00
 -4.39401E+01  2.49407E+01  4.94135E+00
