@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 04/18/18 at 11:05:22 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -6.50021E+01 -2.12661E-02
 -6.47530E+01 -2.07634E-02
 -6.45040E+01 -1.61504E-02
 -6.42549E+01 -2.51630E-02
 -6.40059E+01 -2.67154E-02
 -6.37568E+01 -9.58226E-03
 -6.35078E+01  1.17088E-02
 -6.32587E+01  2.56327E-02
 -6.30097E+01  2.46768E-02
 -6.27606E+01  6.57021E-03
 -6.25116E+01 -9.56160E-03
 -6.22625E+01 -1.51032E-02
 -6.20135E+01 -1.73941E-02
 -6.17644E+01 -4.21289E-03
 -6.15154E+01  1.36235E-02
 -6.12663E+01  1.23357E-02
 -6.10173E+01 -9.95271E-04
 -6.07682E+01 -1.21579E-02
 -6.05192E+01  2.67854E-05
 -6.02701E+01  2.66457E-02
 -6.00211E+01  3.55948E-02
 -5.97720E+01  2.55985E-02
 -5.95230E+01  2.44887E-02
 -5.92739E+01  3.77688E-02
 -5.90249E+01  5.64582E-02
 -5.87758E+01  7.63023E-02
 -5.85268E+01  9.16545E-02
 -5.82777E+01  1.04975E-01
 -5.80287E+01  1.15826E-01
 -5.77796E+01  1.22490E-01
 -5.75306E+01  1.27097E-01
 -5.72815E+01  1.27806E-01
 -5.70325E+01  1.28039E-01
 -5.67834E+01  1.22086E-01
 -5.65344E+01  1.20351E-01
 -5.62853E+01  1.39583E-01
 -5.60363E+01  1.46912E-01
 -5.57872E+01  1.34586E-01
 -5.55382E+01  1.38099E-01
 -5.52891E+01  1.67795E-01
 -5.50401E+01  2.06023E-01
 -5.47910E+01  2.31356E-01
 -5.45420E+01  2.14825E-01
 -5.42929E+01  1.68716E-01
 -5.40439E+01  1.47856E-01
 -5.37948E+01  1.50039E-01
 -5.35458E+01  1.39369E-01
 -5.32967E+01  1.37095E-01
 -5.30477E+01  1.39775E-01
 -5.27986E+01  1.27281E-01
 -5.25496E+01  1.21204E-01
 -5.23005E+01  1.38352E-01
 -5.20515E+01  1.45511E-01
 -5.18024E+01  1.21184E-01
 -5.15534E+01  9.65677E-02
 -5.13043E+01  9.38116E-02
 -5.10553E+01  9.75885E-02
 -5.08062E+01  9.73321E-02
 -5.05572E+01  1.03122E-01
 -5.03081E+01  1.21547E-01
 -5.00591E+01  1.20889E-01
 -4.98100E+01  1.03300E-01
 -4.95610E+01  8.92199E-02
 -4.93119E+01  1.00710E-01
 -4.90629E+01  1.25192E-01
 -4.88138E+01  1.42103E-01
 -4.85648E+01  1.44569E-01
 -4.83157E+01  1.38463E-01
 -4.80667E+01  1.31735E-01
 -4.78176E+01  1.48539E-01
 -4.75686E+01  1.75925E-01
 -4.73195E+01  1.95962E-01
 -4.70705E+01  2.07526E-01
 -4.68214E+01  2.24210E-01
 -4.65724E+01  2.63986E-01
 -4.63233E+01  3.03409E-01
 -4.60743E+01  2.90900E-01
 -4.58252E+01  2.31544E-01
 -4.55762E+01  1.90275E-01
 -4.53271E+01  1.89948E-01
 -4.50781E+01  1.96916E-01
 -4.48290E+01  2.04112E-01
 -4.45800E+01  2.20655E-01
 -4.43309E+01  2.39783E-01
 -4.40819E+01  2.52222E-01
 -4.38328E+01  2.58190E-01
 -4.35838E+01  2.50853E-01
 -4.33347E+01  2.41562E-01
 -4.30857E+01  2.48261E-01
 -4.28366E+01  2.53398E-01
 -4.25876E+01  2.41661E-01
 -4.23385E+01  2.38233E-01
 -4.20895E+01  2.56274E-01
 -4.18404E+01  2.90374E-01
 -4.15914E+01  3.08454E-01
 -4.13423E+01  2.88990E-01
 -4.10933E+01  2.72789E-01
 -4.08442E+01  2.95876E-01
 -4.05952E+01  3.23398E-01
 -4.03461E+01  3.12130E-01
 -4.00971E+01  2.67317E-01
 -3.98480E+01  2.32664E-01
 -3.95990E+01  2.28238E-01
 -3.93499E+01  2.38659E-01
 -3.91009E+01  2.36121E-01
 -3.88518E+01  2.42048E-01
 -3.86028E+01  2.83487E-01
 -3.83537E+01  3.40379E-01
 -3.81047E+01  3.70674E-01
 -3.78556E+01  3.61338E-01
 -3.76066E+01  3.52531E-01
 -3.73575E+01  3.69281E-01
 -3.71085E+01  3.70966E-01
 -3.68594E+01  3.50011E-01
 -3.66104E+01  3.52637E-01
 -3.63613E+01  3.78327E-01
 -3.61123E+01  4.06478E-01
 -3.58632E+01  4.37676E-01
 -3.56142E+01  4.61692E-01
 -3.53651E+01  4.88582E-01
 -3.51161E+01  5.37091E-01
 -3.48670E+01  5.80960E-01
 -3.46180E+01  5.93535E-01
 -3.43689E+01  5.88546E-01
 -3.41199E+01  6.02812E-01
 -3.38708E+01  6.51223E-01
 -3.36218E+01  6.95721E-01
 -3.33727E+01  7.09307E-01
 -3.31237E+01  7.34580E-01
 -3.28746E+01  8.15687E-01
 -3.26256E+01  9.03713E-01
 -3.23765E+01  9.29699E-01
 -3.21275E+01  9.08738E-01
 -3.18784E+01  9.06870E-01
 -3.16294E+01  9.22719E-01
 -3.13803E+01  8.89477E-01
 -3.11313E+01  7.89464E-01
 -3.08822E+01  7.27825E-01
 -3.06332E+01  7.84350E-01
 -3.03841E+01  8.86289E-01
 -3.01351E+01  9.38453E-01
 -2.98860E+01  9.56868E-01
 -2.96370E+01  9.66044E-01
 -2.93879E+01  9.19115E-01
 -2.91389E+01  8.15814E-01
 -2.88898E+01  7.30417E-01
 -2.86408E+01  7.41056E-01
 -2.83917E+01  8.05498E-01
 -2.81427E+01  8.36424E-01
 -2.78936E+01  8.20960E-01
 -2.76446E+01  7.83841E-01
 -2.73955E+01  7.30083E-01
 -2.71465E+01  6.70955E-01
 -2.68974E+01  6.25914E-01
 -2.66484E+01  5.97481E-01
 -2.63993E+01  6.11376E-01
 -2.61503E+01  6.48917E-01
 -2.59012E+01  6.32803E-01
 -2.56522E+01  5.68352E-01
 -2.54031E+01  5.22022E-01
 -2.51541E+01  5.12257E-01
 -2.49050E+01  4.83997E-01
 -2.46560E+01  4.55099E-01
 -2.44069E+01  4.68977E-01
 -2.41579E+01  4.99654E-01
 -2.39088E+01  5.20688E-01
 -2.36598E+01  5.46736E-01
 -2.34107E+01  5.42273E-01
 -2.31617E+01  4.92532E-01
 -2.29126E+01  4.56006E-01
 -2.26636E+01  4.54233E-01
 -2.24145E+01  4.81454E-01
 -2.21655E+01  5.04673E-01
 -2.19164E+01  4.81413E-01
 -2.16674E+01  4.25712E-01
 -2.14183E+01  3.96392E-01
 -2.11693E+01  4.06067E-01
 -2.09202E+01  4.13662E-01
 -2.06712E+01  4.19374E-01
 -2.04221E+01  4.47881E-01
 -2.01731E+01  4.95263E-01
 -1.99240E+01  5.10895E-01
 -1.96750E+01  4.80485E-01
 -1.94259E+01  4.67741E-01
 -1.91769E+01  4.94296E-01
 -1.89278E+01  4.88999E-01
 -1.86788E+01  4.46884E-01
 -1.84297E+01  4.26974E-01
 -1.81807E+01  4.19376E-01
 -1.79316E+01  4.26596E-01
 -1.76826E+01  4.49740E-01
 -1.74335E+01  4.26592E-01
 -1.71845E+01  3.57824E-01
 -1.69354E+01  3.30112E-01
 -1.66864E+01  3.63319E-01
 -1.64373E+01  3.91619E-01
 -1.61883E+01  3.93366E-01
 -1.59392E+01  3.97532E-01
 -1.56902E+01  4.23210E-01
 -1.54411E+01  4.55839E-01
 -1.51921E+01  4.57240E-01
 -1.49430E+01  4.19025E-01
 -1.46940E+01  3.83676E-01
 -1.44449E+01  3.68584E-01
 -1.41959E+01  3.53151E-01
 -1.39468E+01  3.43152E-01
 -1.36978E+01  3.50794E-01
 -1.34487E+01  3.66026E-01
 -1.31997E+01  3.91668E-01
 -1.29506E+01  4.14360E-01
 -1.27016E+01  4.17070E-01
 -1.24525E+01  4.09590E-01
 -1.22035E+01  4.07975E-01
 -1.19544E+01  4.06546E-01
 -1.17054E+01  4.20417E-01
 -1.14563E+01  4.44849E-01
 -1.12073E+01  4.55312E-01
 -1.09582E+01  4.44877E-01
 -1.07092E+01  4.48766E-01
 -1.04601E+01  4.58746E-01
 -1.02111E+01  4.39115E-01
 -9.96200E+00  4.01970E-01
 -9.71295E+00  3.73326E-01
 -9.46390E+00  3.81394E-01
 -9.21485E+00  4.37819E-01
 -8.96580E+00  4.72121E-01
 -8.71675E+00  4.49844E-01
 -8.46770E+00  4.40627E-01
 -8.21865E+00  4.65312E-01
 -7.96960E+00  4.76732E-01
 -7.72055E+00  4.70564E-01
 -7.47150E+00  4.61689E-01
 -7.22245E+00  4.70514E-01
 -6.97340E+00  5.15847E-01
 -6.72435E+00  5.38532E-01
 -6.47530E+00  5.05021E-01
 -6.22625E+00  4.87297E-01
 -5.97720E+00  5.02184E-01
 -5.72815E+00  5.28493E-01
 -5.47910E+00  5.49262E-01
 -5.23005E+00  5.36782E-01
 -4.98100E+00  4.89623E-01
 -4.73195E+00  4.62472E-01
 -4.48290E+00  4.67039E-01
 -4.23385E+00  4.95365E-01
 -3.98480E+00  5.32942E-01
 -3.73575E+00  5.31852E-01
 -3.48670E+00  4.82322E-01
 -3.23765E+00  4.64244E-01
 -2.98860E+00  4.74725E-01
 -2.73955E+00  4.82082E-01
 -2.49050E+00  4.94150E-01
 -2.24145E+00  5.18004E-01
 -1.99240E+00  5.24726E-01
 -1.74335E+00  5.14166E-01
 -1.49430E+00  4.97370E-01
 -1.24525E+00  4.71647E-01
 -9.96200E-01  4.43550E-01
 -7.47150E-01  4.43360E-01
 -4.98100E-01  4.75207E-01
 -2.49050E-01  5.15549E-01
  0.00000E+00  5.54372E-01
  2.49050E-01  5.74713E-01
  4.98100E-01  5.51175E-01
  7.47150E-01  5.13162E-01
  9.96200E-01  5.02651E-01
  1.24525E+00  5.20440E-01
  1.49430E+00  5.49427E-01
  1.74335E+00  5.73884E-01
  1.99240E+00  5.86047E-01
  2.24145E+00  5.90844E-01
  2.49050E+00  5.78110E-01
  2.73955E+00  5.56136E-01
  2.98860E+00  5.43582E-01
  3.23765E+00  5.18645E-01
  3.48670E+00  4.89054E-01
  3.73575E+00  4.91730E-01
  3.98480E+00  5.07130E-01
  4.23385E+00  5.34187E-01
  4.48290E+00  5.73120E-01
  4.73195E+00  5.79030E-01
  4.98100E+00  5.38502E-01
  5.23005E+00  5.11016E-01
  5.47910E+00  5.32830E-01
  5.72815E+00  5.90079E-01
  5.97720E+00  6.25521E-01
  6.22625E+00  6.15470E-01
  6.47530E+00  5.98285E-01
  6.72435E+00  5.89082E-01
  6.97340E+00  5.77255E-01
  7.22245E+00  5.59453E-01
  7.47150E+00  5.53969E-01
  7.72055E+00  5.93190E-01
  7.96960E+00  6.42509E-01
  8.21865E+00  6.19479E-01
  8.46770E+00  5.44513E-01
  8.71675E+00  5.18113E-01
  8.96580E+00  5.84695E-01
  9.21485E+00  6.54172E-01
  9.46390E+00  6.41174E-01
  9.71295E+00  5.66368E-01
  9.96200E+00  5.22480E-01
  1.02111E+01  5.61918E-01
  1.04601E+01  6.22727E-01
  1.07092E+01  6.25640E-01
  1.09582E+01  5.91062E-01
  1.12073E+01  5.54510E-01
  1.14563E+01  5.46348E-01
  1.17054E+01  5.74847E-01
  1.19544E+01  6.27497E-01
  1.22035E+01  6.62418E-01
  1.24525E+01  6.63733E-01
  1.27016E+01  6.61658E-01
  1.29506E+01  6.83385E-01
  1.31997E+01  7.18903E-01
  1.34487E+01  7.69383E-01
  1.36978E+01  8.49858E-01
  1.39468E+01  8.60956E-01
  1.41959E+01  7.64853E-01
  1.44449E+01  6.75679E-01
  1.46940E+01  6.55571E-01
  1.49430E+01  6.61810E-01
  1.51921E+01  6.94708E-01
  1.54411E+01  7.12497E-01
  1.56902E+01  6.63861E-01
  1.59392E+01  6.08215E-01
  1.61883E+01  6.38897E-01
  1.64373E+01  7.17520E-01
  1.66864E+01  7.78293E-01
  1.69354E+01  8.02948E-01
  1.71845E+01  7.97188E-01
  1.74335E+01  7.81365E-01
  1.76826E+01  7.73726E-01
  1.79316E+01  7.73056E-01
  1.81807E+01  7.76942E-01
  1.84297E+01  7.91955E-01
  1.86788E+01  8.44749E-01
  1.89278E+01  9.11328E-01
  1.91769E+01  9.41665E-01
  1.94259E+01  9.47207E-01
  1.96750E+01  9.29076E-01
  1.99240E+01  9.06396E-01
