@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 04/18/18 at 11:16:22 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -7.49318E+01 -8.75267E-03
 -7.46821E+01 -3.66313E-02
 -7.44323E+01 -5.80752E-02
 -7.41825E+01 -5.10593E-02
 -7.39328E+01 -2.68958E-02
 -7.36830E+01 -1.14027E-03
 -7.34332E+01  1.17293E-02
 -7.31834E+01 -7.38639E-03
 -7.29337E+01 -2.96572E-02
 -7.26839E+01 -2.32957E-02
 -7.24341E+01 -1.96612E-02
 -7.21843E+01 -3.85264E-02
 -7.19346E+01 -4.87519E-02
 -7.16848E+01 -3.57279E-02
 -7.14350E+01 -2.28006E-02
 -7.11853E+01 -2.89281E-02
 -7.09355E+01 -4.69453E-02
 -7.06857E+01 -4.60206E-02
 -7.04359E+01 -2.95141E-02
 -7.01862E+01 -2.14152E-02
 -6.99364E+01 -1.50588E-02
 -6.96866E+01  1.42253E-03
 -6.94368E+01 -4.39753E-03
 -6.91871E+01 -2.55224E-02
 -6.89373E+01 -2.38423E-02
 -6.86875E+01  5.36016E-03
 -6.84378E+01  2.85155E-02
 -6.81880E+01  3.25292E-02
 -6.79382E+01  3.69652E-02
 -6.76884E+01  5.40296E-02
 -6.74387E+01  5.88045E-02
 -6.71889E+01  2.74371E-02
 -6.69391E+01  1.44463E-02
 -6.66893E+01  4.28394E-02
 -6.64396E+01  7.34735E-02
 -6.61898E+01  9.73163E-02
 -6.59400E+01  1.07592E-01
 -6.56903E+01  1.11445E-01
 -6.54405E+01  1.12343E-01
 -6.51907E+01  1.09929E-01
 -6.49409E+01  1.01945E-01
 -6.46912E+01  1.12375E-01
 -6.44414E+01  1.49858E-01
 -6.41916E+01  1.53006E-01
 -6.39418E+01  1.04445E-01
 -6.36921E+01  7.21205E-02
 -6.34423E+01  7.10675E-02
 -6.31925E+01  7.21166E-02
 -6.29428E+01  7.34278E-02
 -6.26930E+01  7.25523E-02
 -6.24432E+01  6.98435E-02
 -6.21934E+01  8.40171E-02
 -6.19437E+01  9.08575E-02
 -6.16939E+01  8.93399E-02
 -6.14441E+01  8.17137E-02
 -6.11943E+01  4.50290E-02
 -6.09446E+01  2.30333E-02
 -6.06948E+01  4.37928E-02
 -6.04450E+01  8.03446E-02
 -6.01953E+01  7.61320E-02
 -5.99455E+01  4.92428E-02
 -5.96957E+01  2.79766E-02
 -5.94459E+01  3.07520E-02
 -5.91962E+01  5.79842E-02
 -5.89464E+01  7.50588E-02
 -5.86966E+01  6.05123E-02
 -5.84468E+01  2.63242E-02
 -5.81971E+01  6.00055E-03
 -5.79473E+01  2.01246E-02
 -5.76975E+01  4.54866E-02
 -5.74477E+01  3.64380E-02
 -5.71980E+01  6.34385E-03
 -5.69482E+01 -6.89397E-03
 -5.66984E+01  1.06762E-02
 -5.64487E+01  4.97680E-02
 -5.61989E+01  5.53391E-02
 -5.59491E+01  3.38104E-02
 -5.56993E+01  4.32179E-02
 -5.54496E+01  5.16130E-02
 -5.51998E+01  4.13186E-02
 -5.49500E+01  4.59627E-02
 -5.47002E+01  8.22265E-02
 -5.44505E+01  1.10236E-01
 -5.42007E+01  1.07649E-01
 -5.39509E+01  1.22159E-01
 -5.37012E+01  1.48612E-01
 -5.34514E+01  1.51073E-01
 -5.32016E+01  1.21960E-01
 -5.29518E+01  8.02697E-02
 -5.27021E+01  5.30044E-02
 -5.24523E+01  2.71871E-02
 -5.22025E+01  2.18570E-02
 -5.19527E+01  5.45165E-02
 -5.17030E+01  1.08419E-01
