@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 04/18/18 at 11:16:22 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -7.49318E+01  1.96394E-02  4.95225E-02
 -7.46821E+01 -5.45802E-02  2.74059E-02
 -7.44323E+01 -7.23762E-02  3.83588E-02
 -7.41825E+01 -3.70141E-02  4.90350E-02
 -7.39328E+01 -3.48845E-02  4.66174E-02
 -7.36830E+01 -5.25052E-03  5.07251E-02
 -7.34332E+01  4.42069E-02  7.07900E-02
 -7.31834E+01 -2.42918E-04  3.62937E-02
 -7.29337E+01 -5.73688E-02  4.06287E-02
 -7.26839E+01 -1.94477E-02  5.20910E-02
 -7.24341E+01  1.07309E-02  5.21521E-02
 -7.21843E+01 -4.68430E-02  2.29424E-02
 -7.19346E+01 -7.08063E-02  3.29491E-02
 -7.16848E+01 -1.70284E-02  5.74743E-02
 -7.14350E+01 -1.78920E-02  4.78231E-02
 -7.11853E+01 -1.78827E-02  4.21278E-02
 -7.09355E+01 -5.66018E-02  3.87649E-02
 -7.06857E+01 -5.18673E-02  3.56491E-02
 -7.04359E+01 -1.62927E-02  5.46112E-02
 -7.01862E+01 -1.92525E-02  4.33828E-02
 -6.99364E+01 -3.11397E-02  4.13806E-02
 -6.96866E+01  3.68071E-02  6.50368E-02
 -6.94368E+01 -1.04975E-02  4.77182E-02
 -6.91871E+01 -2.88730E-02  4.51869E-02
 -6.89373E+01 -3.34988E-02  4.71023E-02
 -6.86875E+01  1.43885E-02  5.36593E-02
 -6.84378E+01  3.02946E-02  7.09815E-02
 -6.81880E+01  4.69446E-02  4.96150E-02
 -6.79382E+01  3.18351E-02  6.34807E-02
 -6.76884E+01  4.33632E-02  6.55862E-02
 -6.74387E+01  1.04289E-01  7.51193E-02
 -6.71889E+01  1.31517E-02  5.14192E-02
 -6.69391E+01 -1.51250E-02  5.71202E-02
 -6.66893E+01  7.05168E-02  6.63938E-02
 -6.64396E+01  5.06196E-02  7.12693E-02
 -6.61898E+01  1.28176E-01  7.66891E-02
 -6.59400E+01  1.10710E-01  7.65018E-02
 -6.56903E+01  1.05673E-01  7.87805E-02
 -6.54405E+01  1.10947E-01  7.83334E-02
 -6.51907E+01  1.37012E-01  7.94332E-02
 -6.49409E+01  9.47229E-02  5.93997E-02
 -6.46912E+01  7.18792E-02  8.26236E-02
 -6.44414E+01  1.86746E-01  9.06807E-02
 -6.41916E+01  2.03096E-01  7.65047E-02
 -6.39418E+01  6.73925E-02  7.39859E-02
 -6.36921E+01  5.80489E-02  7.43146E-02
 -6.34423E+01  1.00619E-01  6.46703E-02
 -6.31925E+01  6.08818E-02  6.31132E-02
 -6.29428E+01  6.54079E-02  7.11602E-02
 -6.26930E+01  1.01096E-01  7.19868E-02
 -6.24432E+01  4.63099E-02  6.88463E-02
 -6.21934E+01  9.55152E-02  7.21171E-02
 -6.19437E+01  1.04795E-01  6.08416E-02
 -6.16939E+01  7.22513E-02  7.87940E-02
 -6.14441E+01  1.23616E-01  7.68611E-02
 -6.11943E+01  3.39491E-02  5.62466E-02
 -6.09446E+01  3.35032E-03  4.69174E-02
 -6.06948E+01  2.19878E-02  7.17368E-02
 -6.04450E+01  1.39011E-01  7.59383E-02
 -6.01953E+01  6.78588E-02  6.76269E-02
 -5.99455E+01  4.31937E-02  6.21791E-02
 -5.96957E+01  3.32672E-02  5.76701E-02
 -5.94459E+01  2.39135E-02  6.35389E-02
 -5.91962E+01  5.10381E-02  6.61502E-02
 -5.89464E+01  9.45392E-02  7.56183E-02
 -5.86966E+01  9.61559E-02  6.29981E-02
 -5.84468E+01 -3.25503E-03  5.25902E-02
 -5.81971E+01 -1.62868E-03  5.83933E-02
 -5.79473E+01  2.43686E-02  5.64996E-02
 -5.76975E+01  6.20252E-02  6.65608E-02
 -5.74477E+01  4.74797E-02  5.97989E-02
 -5.71980E+01  4.93162E-03  5.55273E-02
 -5.69482E+01 -1.32291E-02  4.13078E-02
 -5.66984E+01 -1.10133E-02  6.27467E-02
 -5.64487E+01  7.26697E-02  7.18575E-02
 -5.61989E+01  9.61161E-02  5.98485E-02
 -5.59491E+01 -1.16538E-02  5.38313E-02
 -5.56993E+01  5.76400E-02  6.69048E-02
 -5.54496E+01  7.09433E-02  6.81447E-02
 -5.51998E+01  4.03398E-02  6.24782E-02
 -5.49500E+01  2.80692E-02  6.15785E-02
 -5.47002E+01  7.01403E-02  7.66913E-02
 -5.44505E+01  1.69562E-01  8.07357E-02
 -5.42007E+01  8.44047E-02  6.17954E-02
 -5.39509E+01  9.75912E-02  8.58028E-02
 -5.37012E+01  1.83045E-01  9.12264E-02
 -5.34514E+01  1.75279E-01  8.23661E-02
 -5.32016E+01  1.22008E-01  6.65225E-02
 -5.29518E+01  5.81342E-02  6.70097E-02
 -5.27021E+01  8.38436E-02  6.61071E-02
 -5.24523E+01  2.00020E-02  5.85980E-02
 -5.22025E+01 -2.82702E-03  5.86693E-02
 -5.19527E+01  4.47679E-02  7.21861E-02
 -5.17030E+01  1.31007E-01  8.23722E-02
 -5.14532E+01  1.88495E-01  7.79620E-02
 -5.12034E+01  4.34729E-02  6.84728E-02
 -5.09537E+01  1.16686E-01  7.83795E-02
 -5.07039E+01  1.67521E-01  7.39584E-02
 -5.04541E+01  1.12639E-01  8.10931E-02
 -5.02043E+01  1.29411E-01  8.02987E-02
 -4.99546E+01  4.13756E-02  5.82122E-02
 -4.97048E+01  2.37203E-02  6.36827E-02
 -4.94550E+01  3.18198E-02  5.36580E-02
 -4.92052E+01  7.35153E-02  7.54343E-02
 -4.89555E+01  1.74001E-01  8.93605E-02
 -4.87057E+01  1.66024E-01  7.48200E-02
 -4.84559E+01  5.37729E-02  6.07238E-02
 -4.82062E+01  3.36363E-02  7.44296E-02
 -4.79564E+01  1.60446E-01  8.21051E-02
 -4.77066E+01  1.47095E-01  8.24974E-02
 -4.74568E+01  2.06005E-01  9.83728E-02
 -4.72071E+01  2.36404E-01  8.66791E-02
 -4.69573E+01  1.34416E-01  7.30345E-02
 -4.67075E+01  1.18328E-01  8.28251E-02
 -4.64577E+01  2.02360E-01  8.73851E-02
 -4.62080E+01  1.70973E-01  8.68632E-02
 -4.59582E+01  9.08243E-02  6.84600E-02
 -4.57084E+01  1.06753E-01  7.70469E-02
 -4.54587E+01  1.69911E-01  8.70400E-02
 -4.52089E+01  2.08554E-01  9.28259E-02
 -4.49591E+01  2.67031E-01  9.76969E-02
 -4.47093E+01  1.48092E-01  8.11251E-02
 -4.44596E+01  1.27072E-01  8.64064E-02
 -4.42098E+01  2.09320E-01  9.23368E-02
 -4.39600E+01  2.73035E-01  1.01763E-01
 -4.37102E+01  2.34293E-01  9.12968E-02
 -4.34605E+01  2.21860E-01  8.04377E-02
 -4.32107E+01  1.48443E-01  8.79367E-02
 -4.29609E+01  1.88537E-01  9.07661E-02
 -4.27112E+01  2.09269E-01  8.95210E-02
 -4.24614E+01  1.12421E-01  7.70800E-02
 -4.22116E+01  1.97369E-01  9.83363E-02
 -4.19618E+01  3.53109E-01  1.04689E-01
 -4.17121E+01  2.92002E-01  9.40009E-02
 -4.14623E+01  2.07782E-01  9.83664E-02
 -4.12125E+01  3.28296E-01  1.02322E-01
 -4.09627E+01  2.23178E-01  9.98062E-02
 -4.07130E+01  3.05014E-01  1.00946E-01
 -4.04632E+01  3.58164E-01  1.10274E-01
 -4.02134E+01  2.97423E-01  1.09641E-01
 -3.99637E+01  2.74999E-01  9.71092E-02
 -3.97139E+01  2.50775E-01  8.91049E-02
 -3.94641E+01  3.30888E-01  1.17540E-01
 -3.92143E+01  4.68901E-01  1.28851E-01
 -3.89646E+01  4.89999E-01  1.22410E-01
 -3.87148E+01  4.79968E-01  1.23428E-01
 -3.84650E+01  4.60189E-01  1.18757E-01
 -3.82152E+01  4.53773E-01  1.25624E-01
 -3.79655E+01  4.61854E-01  1.18325E-01
 -3.77157E+01  4.82775E-01  1.29437E-01
 -3.74659E+01  4.92141E-01  1.30493E-01
 -3.72162E+01  6.68912E-01  1.44058E-01
 -3.69664E+01  6.67710E-01  1.34380E-01
 -3.67166E+01  5.33257E-01  1.33257E-01
 -3.64668E+01  7.06216E-01  1.44887E-01
 -3.62171E+01  6.71743E-01  1.37119E-01
 -3.59673E+01  5.83365E-01  1.35412E-01
 -3.57175E+01  4.88978E-01  1.29683E-01
 -3.54677E+01  6.37194E-01  1.48885E-01
 -3.52180E+01  7.11655E-01  1.36524E-01
 -3.49682E+01  6.95872E-01  1.44566E-01
 -3.47184E+01  5.74348E-01  1.30768E-01
 -3.44686E+01  6.05834E-01  1.33593E-01
 -3.42189E+01  5.64972E-01  1.31074E-01
 -3.39691E+01  4.97908E-01  1.24834E-01
 -3.37193E+01  5.04510E-01  1.29822E-01
 -3.34696E+01  5.48425E-01  1.23603E-01
 -3.32198E+01  4.77304E-01  1.23231E-01
 -3.29700E+01  5.07084E-01  1.41087E-01
 -3.27202E+01  7.07038E-01  1.41057E-01
 -3.24705E+01  5.91104E-01  1.31351E-01
 -3.22207E+01  5.30657E-01  1.29444E-01
 -3.19709E+01  4.71705E-01  1.19115E-01
 -3.17211E+01  4.14485E-01  1.24241E-01
 -3.14714E+01  5.64042E-01  1.32447E-01
 -3.12216E+01  6.11905E-01  1.31484E-01
 -3.09718E+01  5.10306E-01  1.11858E-01
 -3.07221E+01  3.56388E-01  1.09284E-01
 -3.04723E+01  4.25481E-01  1.29302E-01
 -3.02225E+01  5.12285E-01  1.20112E-01
 -2.99727E+01  3.75043E-01  1.03838E-01
 -2.97230E+01  2.38468E-01  1.01842E-01
 -2.94732E+01  3.72104E-01  1.19332E-01
 -2.92234E+01  4.12416E-01  1.12198E-01
 -2.89736E+01  5.11978E-01  1.28915E-01
 -2.87239E+01  5.82940E-01  1.27357E-01
 -2.84741E+01  3.63432E-01  1.13426E-01
 -2.82243E+01  4.51363E-01  1.20422E-01
 -2.79746E+01  3.93593E-01  1.11448E-01
 -2.77248E+01  2.87080E-01  1.07615E-01
 -2.74750E+01  4.06479E-01  1.16100E-01
 -2.72252E+01  4.15383E-01  1.09575E-01
 -2.69755E+01  4.14991E-01  1.19755E-01
 -2.67257E+01  3.42394E-01  9.51192E-02
 -2.64759E+01  2.98650E-01  1.10508E-01
 -2.62261E+01  3.22544E-01  1.03547E-01
 -2.59764E+01  2.90478E-01  9.79456E-02
 -2.57266E+01  2.69430E-01  1.02955E-01
 -2.54768E+01  3.10902E-01  1.00872E-01
 -2.52271E+01  2.80344E-01  8.81945E-02
 -2.49773E+01  2.09722E-01  9.19801E-02
 -2.47275E+01  2.16501E-01  1.00731E-01
 -2.44777E+01  3.14795E-01  1.04165E-01
 -2.42280E+01  3.01215E-01  9.84205E-02
 -2.39782E+01  2.22227E-01  9.11463E-02
 -2.37284E+01  2.45498E-01  1.08660E-01
 -2.34786E+01  4.28580E-01  1.11100E-01
 -2.32289E+01  3.33836E-01  1.02655E-01
 -2.29791E+01  1.96845E-01  8.26383E-02
 -2.27293E+01  1.91070E-01  9.66459E-02
 -2.24796E+01  3.13401E-01  1.05096E-01
 -2.22298E+01  3.55510E-01  1.16891E-01
 -2.19800E+01  3.62366E-01  9.94387E-02
 -2.17302E+01  2.45642E-01  9.68741E-02
 -2.14805E+01  2.40305E-01  9.20101E-02
 -2.12307E+01  3.11929E-01  1.12096E-01
 -2.09809E+01  3.41527E-01  1.08689E-01
 -2.07311E+01  3.55655E-01  1.18122E-01
 -2.04814E+01  4.49101E-01  1.16232E-01
 -2.02316E+01  3.69806E-01  1.09057E-01
 -1.99818E+01  3.71565E-01  1.09041E-01
 -1.97321E+01  3.10341E-01  9.81102E-02
 -1.94823E+01  2.21071E-01  8.84258E-02
 -1.92325E+01  2.64852E-01  1.10730E-01
 -1.89827E+01  4.66696E-01  1.17084E-01
 -1.87330E+01  3.46374E-01  1.05539E-01
 -1.84832E+01  2.76389E-01  1.07252E-01
 -1.82334E+01  4.25561E-01  1.17860E-01
 -1.79836E+01  3.85968E-01  9.75750E-02
 -1.77339E+01  2.61698E-01  9.93185E-02
 -1.74841E+01  2.55976E-01  9.61025E-02
 -1.72343E+01  2.41528E-01  9.28948E-02
 -1.69846E+01  2.37283E-01  1.01046E-01
 -1.67348E+01  3.55474E-01  1.22608E-01
 -1.64850E+01  6.02499E-01  1.34279E-01
 -1.62352E+01  4.21329E-01  1.04640E-01
 -1.59855E+01  3.11399E-01  1.07249E-01
 -1.57357E+01  3.33988E-01  1.12779E-01
 -1.54859E+01  3.27039E-01  1.05742E-01
 -1.52361E+01  4.21686E-01  1.16482E-01
 -1.49864E+01  3.81744E-01  1.09607E-01
 -1.47366E+01  3.43039E-01  1.02765E-01
 -1.44868E+01  3.01782E-01  9.67263E-02
 -1.42371E+01  2.01129E-01  9.43612E-02
 -1.39873E+01  2.33072E-01  1.01698E-01
 -1.37375E+01  4.21903E-01  1.21561E-01
 -1.34877E+01  4.46340E-01  1.08166E-01
 -1.32380E+01  2.69315E-01  1.04384E-01
 -1.29882E+01  3.23112E-01  1.11182E-01
 -1.27384E+01  3.83183E-01  9.77317E-02
 -1.24886E+01  2.39996E-01  9.25547E-02
 -1.22389E+01  2.46619E-01  1.05348E-01
 -1.19891E+01  3.41921E-01  1.01191E-01
 -1.17393E+01  3.17874E-01  9.48182E-02
 -1.14895E+01  1.85629E-01  8.58730E-02
 -1.12398E+01  1.75754E-01  9.07272E-02
 -1.09900E+01  1.90653E-01  9.23875E-02
 -1.07402E+01  2.89173E-01  1.10918E-01
 -1.04905E+01  4.27593E-01  1.27868E-01
 -1.02407E+01  4.96823E-01  1.18013E-01
 -9.99091E+00  3.72193E-01  1.00422E-01
 -9.74114E+00  2.95542E-01  9.34874E-02
 -9.49137E+00  2.06305E-01  9.34016E-02
 -9.24159E+00  2.28518E-01  9.77721E-02
 -8.99182E+00  3.74356E-01  1.21241E-01
 -8.74205E+00  4.58925E-01  1.23048E-01
 -8.49228E+00  3.57985E-01  8.29522E-02
 -8.24250E+00  1.45913E-01  8.40149E-02
 -7.99273E+00  2.44081E-01  1.01957E-01
 -7.74296E+00  3.00817E-01  1.03863E-01
 -7.49318E+00  2.78804E-01  9.85137E-02
 -7.24341E+00  3.00541E-01  1.07460E-01
 -6.99364E+00  4.02369E-01  1.10517E-01
 -6.74387E+00  3.58975E-01  1.14312E-01
 -6.49409E+00  3.48921E-01  1.03031E-01
 -6.24432E+00  2.31116E-01  9.75085E-02
 -5.99455E+00  3.73871E-01  1.20343E-01
 -5.74477E+00  5.01279E-01  1.27222E-01
 -5.49500E+00  4.80611E-01  1.13508E-01
 -5.24523E+00  3.14174E-01  9.92436E-02
 -4.99546E+00  3.98677E-01  1.24056E-01
 -4.74568E+00  5.06751E-01  1.19163E-01
 -4.49591E+00  4.19786E-01  1.10682E-01
 -4.24614E+00  3.91662E-01  1.26530E-01
 -3.99637E+00  4.46263E-01  1.18561E-01
 -3.74659E+00  4.86779E-01  1.38112E-01
 -3.49682E+00  4.56199E-01  1.23598E-01
 -3.24705E+00  2.83255E-01  1.22645E-01
 -2.99727E+00  3.75898E-01  1.27692E-01
 -2.74750E+00  3.88743E-01  1.62750E-01
 -2.49773E+00  3.90790E-01  1.65525E-01
 -2.24796E+00  3.68768E-01  1.86805E-01
 -1.99818E+00  3.30861E-01  2.14944E-01
 -1.74841E+00  2.90555E-01  2.80044E-01
 -1.49864E+00  2.63588E-01  3.65095E-01
 -1.24886E+00  2.69399E-01  5.52199E-01
 -9.99091E-01  3.17600E-01  8.67595E-01
 -7.49318E-01  4.17545E-01  1.29832E+00
 -4.99546E-01  5.47341E-01  1.71344E+00
 -2.49773E-01  5.86221E-01  1.95843E+00
  0.00000E+00  4.88673E-01  1.96081E+00
  2.49773E-01  3.90525E-01  1.70839E+00
  4.99546E-01  4.00856E-01  1.33976E+00
  7.49318E-01  5.11963E-01  9.69646E-01
  9.99091E-01  5.97359E-01  6.66621E-01
  1.24886E+00  5.40893E-01  4.87744E-01
  1.49864E+00  3.94557E-01  3.54833E-01
  1.74841E+00  2.65587E-01  2.67773E-01
  1.99818E+00  2.03597E-01  2.21849E-01
  2.24796E+00  2.03341E-01  1.81496E-01
  2.49773E+00  2.40678E-01  1.45408E-01
  2.74750E+00  2.89380E-01  1.22518E-01
  2.99727E+00  3.82693E-01  1.16760E-01
  3.24705E+00  5.46113E-01  1.32043E-01
  3.49682E+00  5.14554E-01  1.15521E-01
  3.74659E+00  3.37344E-01  1.06234E-01
  3.99637E+00  3.91584E-01  1.17612E-01
  4.24614E+00  5.73356E-01  1.36456E-01
  4.49591E+00  4.99180E-01  1.17497E-01
  4.74568E+00  3.48623E-01  1.05943E-01
  4.99546E+00  3.18766E-01  1.01472E-01
  5.24523E+00  3.00736E-01  1.17021E-01
  5.49500E+00  5.07168E-01  1.18216E-01
  5.74477E+00  4.53484E-01  1.19276E-01
  5.99455E+00  4.12407E-01  1.13512E-01
  6.24432E+00  3.28657E-01  1.03618E-01
  6.49409E+00  2.90199E-01  1.09102E-01
  6.74387E+00  4.41814E-01  1.15722E-01
  6.99364E+00  4.62496E-01  1.26959E-01
  7.24341E+00  5.45326E-01  1.26999E-01
  7.49318E+00  5.28179E-01  1.30489E-01
  7.74296E+00  5.27826E-01  1.23945E-01
  7.99273E+00  5.65210E-01  1.37272E-01
  8.24250E+00  5.89902E-01  1.24486E-01
  8.49228E+00  4.33931E-01  1.14368E-01
  8.74205E+00  4.30246E-01  1.20728E-01
  8.99182E+00  3.54249E-01  1.01024E-01
  9.24159E+00  3.82099E-01  1.18299E-01
  9.49137E+00  5.63530E-01  1.30023E-01
  9.74114E+00  5.18896E-01  1.23977E-01
  9.99091E+00  4.03084E-01  1.09072E-01
  1.02407E+01  2.96414E-01  1.05044E-01
  1.04905E+01  4.30604E-01  1.19884E-01
  1.07402E+01  5.64029E-01  1.32559E-01
  1.09900E+01  4.52093E-01  1.05838E-01
  1.12398E+01  3.75062E-01  1.15397E-01
  1.14895E+01  3.95967E-01  1.24301E-01
  1.17393E+01  5.89991E-01  1.26617E-01
  1.19891E+01  5.07000E-01  1.16072E-01
  1.22389E+01  3.49602E-01  1.14265E-01
  1.24886E+01  4.87158E-01  1.23637E-01
  1.27384E+01  4.48533E-01  1.16717E-01
  1.29882E+01  4.43029E-01  1.15700E-01
  1.32380E+01  4.39781E-01  1.14440E-01
  1.34877E+01  4.30502E-01  1.18459E-01
  1.37375E+01  3.85125E-01  1.08495E-01
  1.39873E+01  2.74332E-01  1.07089E-01
  1.42371E+01  4.31575E-01  1.23588E-01
  1.44868E+01  4.94981E-01  1.26519E-01
  1.47366E+01  5.73215E-01  1.33456E-01
  1.49864E+01  6.79073E-01  1.36829E-01
  1.52361E+01  6.10615E-01  1.28446E-01
  1.54859E+01  5.35973E-01  1.29961E-01
  1.57357E+01  4.68558E-01  1.24812E-01
  1.59855E+01  6.18073E-01  1.29788E-01
  1.62352E+01  5.77170E-01  1.29578E-01
  1.64850E+01  3.74247E-01  1.15045E-01
  1.67348E+01  4.24846E-01  1.21016E-01
  1.69846E+01  6.40277E-01  1.40672E-01
  1.72343E+01  6.33952E-01  1.36005E-01
  1.74841E+01  6.50393E-01  1.28008E-01
  1.77339E+01  5.69782E-01  1.27481E-01
  1.79836E+01  5.33825E-01  1.37280E-01
  1.82334E+01  6.20699E-01  1.27317E-01
  1.84832E+01  4.54820E-01  1.23758E-01
  1.87330E+01  5.35809E-01  1.33752E-01
  1.89827E+01  6.58617E-01  1.33695E-01
  1.92325E+01  6.12186E-01  1.29961E-01
  1.94823E+01  4.65222E-01  1.28295E-01
  1.97321E+01  4.74541E-01  1.11537E-01
  1.99818E+01  4.60312E-01  1.32840E-01
  2.02316E+01  6.15459E-01  1.25611E-01
  2.04814E+01  5.64456E-01  1.38364E-01
