@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 04/18/18 at 11:18:07 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -7.91557E+01 -5.53093E-02  2.16423E-03
 -7.89091E+01  1.92056E-02  1.95658E-01
 -7.86625E+01  8.16200E-02  2.33416E-01
 -7.84159E+01  1.51042E-02  4.70282E-02
 -7.81693E+01 -9.06610E-02  0.00000E+00
 -7.79227E+01 -9.42444E-02  0.00000E+00
 -7.76761E+01 -1.89523E-02  1.94805E-01
 -7.74295E+01  8.50799E-02  2.35492E-01
 -7.71829E+01  2.31841E-02  1.19842E-01
 -7.69364E+01  7.95534E-02  1.76925E-01
 -7.66898E+01  1.33908E-01  1.55520E-01
 -7.64432E+01 -3.96255E-02  2.28061E-02
 -7.61966E+01 -9.39260E-02  2.68443E-02
 -7.59500E+01 -3.50689E-02  8.77952E-02
 -7.57034E+01  3.31411E-02  1.03831E-01
 -7.54568E+01 -2.29336E-02  4.80834E-02
 -7.52102E+01 -1.96163E-02  5.91139E-02
 -7.49636E+01  4.42795E-02  7.06650E-02
 -7.47170E+01  2.63338E-03  4.60759E-02
 -7.44704E+01 -3.03868E-02  4.21712E-02
 -7.42239E+01 -4.73417E-02  2.56265E-02
 -7.39773E+01 -4.54797E-02  4.91261E-02
 -7.37307E+01  1.00004E-02  7.18808E-02
 -7.34841E+01  7.26609E-02  7.38596E-02
 -7.32375E+01  1.66429E-02  5.45306E-02
 -7.29909E+01  2.84761E-02  7.63753E-02
 -7.27443E+01  9.67651E-02  8.18157E-02
 -7.24977E+01  1.33974E-02  4.96178E-02
 -7.22511E+01 -1.12992E-02  5.53191E-02
 -7.20045E+01  2.71199E-02  6.68438E-02
 -7.17579E+01  2.10238E-02  7.01526E-02
 -7.15114E+01  4.63507E-02  7.36911E-02
 -7.12648E+01  7.28042E-02  7.10521E-02
 -7.10182E+01  2.81406E-02  6.89561E-02
 -7.07716E+01  5.03064E-02  6.97934E-02
 -7.05250E+01  1.68336E-02  6.04381E-02
 -7.02784E+01 -2.26129E-02  4.41813E-02
 -7.00318E+01 -1.14706E-02  4.97864E-02
 -6.97852E+01 -2.07356E-02  4.95439E-02
 -6.95386E+01 -2.49578E-02  4.04347E-02
 -6.92920E+01 -6.03253E-02  4.13603E-02
 -6.90454E+01 -5.03575E-03  6.92549E-02
 -6.87989E+01  7.30478E-02  7.56948E-02
 -6.85523E+01  5.23070E-02  7.10951E-02
 -6.83057E+01  5.65397E-02  8.04252E-02
 -6.80591E+01  9.74182E-02  8.43861E-02
 -6.78125E+01  7.80053E-02  7.49547E-02
 -6.75659E+01  7.14203E-02  7.54163E-02
 -6.73193E+01  6.84748E-02  7.06983E-02
 -6.70727E+01  5.04380E-02  7.55115E-02
 -6.68261E+01  6.82920E-02  7.03115E-02
 -6.65795E+01  1.59084E-02  6.10668E-02
 -6.63329E+01 -3.45748E-03  6.54004E-02
 -6.60864E+01  2.69039E-02  5.80198E-02
 -6.58398E+01  5.07267E-02  6.95525E-02
 -6.55932E+01  7.90076E-02  7.78271E-02
 -6.53466E+01  2.49842E-02  6.15354E-02
 -6.51000E+01  5.82618E-02  7.84056E-02
 -6.48534E+01  1.16516E-01  1.02733E-01
 -6.46068E+01  1.37698E-01  9.54861E-02
 -6.43602E+01  1.11717E-01  6.66068E-02
 -6.41136E+01  1.57068E-02  5.89670E-02
 -6.38670E+01 -9.50986E-03  6.02507E-02
 -6.36204E+01  5.33328E-02  7.26567E-02
 -6.33739E+01  8.71521E-02  7.60634E-02
 -6.31273E+01 -1.22275E-02  3.84829E-02
 -6.28807E+01 -4.87743E-02  6.27280E-02
 -6.26341E+01  6.91084E-02  8.38684E-02
 -6.23875E+01  1.04765E-01  7.25770E-02
 -6.21409E+01  3.36940E-02  6.17447E-02
 -6.18943E+01  4.10029E-02  7.72592E-02
 -6.16477E+01  9.91401E-02  7.43981E-02
 -6.14011E+01  3.08383E-02  5.65603E-02
 -6.11545E+01  2.49344E-03  6.77123E-02
 -6.09079E+01  7.51897E-02  7.98256E-02
 -6.06614E+01  9.93303E-02  7.56942E-02
 -6.04148E+01  3.51348E-02  5.91988E-02
 -6.01682E+01 -2.83227E-02  5.45102E-02
 -5.99216E+01  3.98906E-02  8.29710E-02
 -5.96750E+01  1.35986E-01  9.38923E-02
 -5.94284E+01  1.30215E-01  7.67557E-02
 -5.91818E+01  5.39186E-02  5.90456E-02
 -5.89352E+01 -2.07710E-04  5.11428E-02
 -5.86886E+01 -5.01307E-03  6.77725E-02
 -5.84420E+01  4.01090E-02  7.78383E-02
 -5.81954E+01  9.70534E-02  8.17648E-02
 -5.79489E+01  8.15281E-02  7.58037E-02
 -5.77023E+01  6.72036E-02  6.63953E-02
 -5.74557E+01 -4.65625E-03  7.04699E-02
 -5.72091E+01  1.03048E-01  9.93290E-02
 -5.69625E+01  1.89948E-01  1.00466E-01
