Date,Folder,Index,fLM,dfLM,KE,dKE,MFC,dMFC
Oct 2009,2009Oct_106GPa,Fe_Murphy_P7,0.9013,0.0011,15.4539,0.1137,366.6883,5.6103
Oct 2009,2009Oct_121GPa,Fe_Murphy_P8,0.9074,0.0012,15.6839,0.1411,403.5288,7.3028
Oct 2009,2009Oct_133GPa,Fe_Murphy_P9,0.9108,0.0015,15.8719,0.1689,421.3635,8.589
Oct 2009,2009Oct_30GPa,Fe_Murphy_P1,0.8571,0.0018,14.5496,0.1093,235.075,4.9601
Oct 2009,2009Oct_53GPa,Fe_Murphy_P3,0.876,0.0027,14.9556,0.2164,288.5986,10.9213
Oct 2009,2009Oct_69GPa,Fe_Murphy_P4,0.8865,0.0019,15.0751,0.1697,316.3083,8.6037
Oct 2009,2009Oct_77GPa,Fe_Murphy_P5,0.8894,0.0012,15.1492,0.1112,320.426,5.372
Oct 2009,2009Oct_90GPa,Fe_Murphy_P6,0.8959,0.0011,15.2696,0.1087,331.7405,5.2164
Aug 2010,2010Aug_151GPa,Fe_Murphy_P10,0.9159,0.0017,15.9519,0.2084,458.5989,11.6855
Feb 2011,2011Feb_171GPa,Fe_Murphy_P11,0.9207,0.002,16.2085,0.2752,487.5514,16.1543
Mar 2015,2015Mar_Ambient,Fe_Ambient,0.7885,0.0026,14.1539,0.0999,172.7292,4.605
