@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module psth, 01/29/18 at 13:45:10 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "time (ps)"
@yaxis label "impact displacement (pm)"
@s0 errorbar size 0.0
@type xydy
  0.00000E+00  5.42171E+00  2.28630E-01
  8.15193E-03  5.02673E+00  1.76107E-01
  1.63039E-02  3.91283E+00  1.00853E-01
  2.44558E-02  2.28312E+00  3.06387E-02
  3.26077E-02  4.39536E-01  3.08461E-02
  4.07597E-02 -1.27759E+00  8.08711E-02
  4.89116E-02 -2.56911E+00  1.01827E-01
  5.70635E-02 -3.25170E+00  8.57106E-02
  6.52155E-02 -3.29766E+00  5.28094E-02
  7.33674E-02 -2.82292E+00  4.32115E-02
  8.15193E-02 -2.03158E+00  5.24315E-02
  8.96713E-02 -1.14538E+00  6.75524E-02
  9.78232E-02 -3.47746E-01  7.11036E-02
  1.05975E-01  2.43450E-01  4.74400E-02
  1.14127E-01  5.79582E-01  6.38321E-03
  1.22279E-01  6.74264E-01  2.84917E-02
  1.30431E-01  5.92352E-01  4.70340E-02
  1.38583E-01  4.31950E-01  5.83966E-02
  1.46735E-01  2.94984E-01  5.95758E-02
  1.54887E-01  2.51383E-01  3.76920E-02
  1.63039E-01  3.12684E-01  2.16654E-03
  1.71191E-01  4.31083E-01  3.66471E-02
  1.79343E-01  5.26655E-01  4.81121E-02
  1.87494E-01  5.28051E-01  4.31679E-02
  1.95646E-01  4.04254E-01  3.46712E-02
  2.03798E-01  1.72559E-01  1.57392E-02
  2.11950E-01 -1.15556E-01  1.58629E-02
  2.20102E-01 -3.97031E-01  4.35566E-02
  2.28254E-01 -6.14951E-01  5.25889E-02
  2.36406E-01 -7.27604E-01  4.77978E-02
  2.44558E-01 -7.13468E-01  4.13828E-02
  2.52710E-01 -5.76655E-01  2.61776E-02
  2.60862E-01 -3.50722E-01  1.42717E-03
  2.69014E-01 -9.39869E-02  2.59532E-02
  2.77166E-01  1.27272E-01  3.10334E-02
  2.85318E-01  2.62206E-01  1.84674E-02
  2.93470E-01  2.93265E-01  1.16042E-02
  3.01622E-01  2.38719E-01  8.58925E-03
  3.09773E-01  1.39812E-01  1.09239E-02
  3.17925E-01  4.16534E-02  3.16479E-02
  3.26077E-01 -2.15421E-02  3.54196E-02
  3.34229E-01 -3.24503E-02  2.05347E-02
  3.42381E-01  9.29446E-03  4.45937E-03
  3.50533E-01  8.82658E-02  3.73572E-03
  3.58685E-01  1.74924E-01  7.52489E-03
  3.66837E-01  2.31358E-01  2.50182E-02
  3.74989E-01  2.23679E-01  2.92633E-02
  3.83141E-01  1.37572E-01  1.56543E-02
  3.91293E-01 -1.18643E-02  2.14245E-03
  3.99445E-01 -1.83602E-01  1.08002E-02
  4.07597E-01 -3.27122E-01  2.50468E-03
  4.15749E-01 -4.02819E-01  2.22670E-02
  4.23900E-01 -3.95102E-01  2.84360E-02
  4.32052E-01 -3.12742E-01  1.56455E-02
  4.40204E-01 -1.79848E-01  2.54447E-03
  4.48356E-01 -2.56381E-02  4.82110E-03
  4.56508E-01  1.21255E-01  7.20605E-03
  4.64660E-01  2.34453E-01  2.43237E-02
  4.72812E-01  2.92021E-01  3.22883E-02
  4.80964E-01  2.82026E-01  2.21219E-02
  4.89116E-01  2.09107E-01  8.26521E-03
  4.97268E-01  9.63598E-02  2.05616E-02
  5.05420E-01 -2.12192E-02  1.24618E-02
  5.13572E-01 -1.09764E-01  5.81258E-03
  5.21724E-01 -1.49256E-01  1.58012E-02
  5.29876E-01 -1.39220E-01  9.15572E-03
  5.38028E-01 -9.52717E-02  8.22696E-03
  5.46179E-01 -3.98112E-02  1.82477E-02
  5.54331E-01  7.42483E-03  9.99147E-03
  5.62483E-01  3.48028E-02  1.02703E-02
  5.70635E-01  3.95130E-02  2.42060E-02
  5.78787E-01  2.54170E-02  1.95872E-02
  5.86939E-01  2.41164E-04  1.57967E-03
  5.95091E-01 -2.67450E-02  1.57162E-02
  6.03243E-01 -4.65454E-02  1.34105E-02
  6.11395E-01 -5.20953E-02  2.30740E-03
  6.19547E-01 -3.98958E-02  1.43868E-02
  6.27699E-01 -1.13886E-02  1.11852E-02
  6.35851E-01  2.64828E-02  5.77871E-03
  6.44003E-01  6.22897E-02  1.89776E-02
  6.52155E-01  8.32596E-02  1.32443E-02
  6.60307E-01  8.01107E-02  9.45106E-03
  6.68458E-01  5.16708E-02  2.65398E-02
  6.76610E-01  6.52847E-03  2.62252E-02
  6.84762E-01 -4.00390E-02  1.00494E-02
  6.92914E-01 -7.28669E-02  5.47993E-03
  7.01066E-01 -8.37145E-02  2.10866E-03
  7.09218E-01 -7.39768E-02  7.28254E-03
  7.17370E-01 -5.18497E-02  1.93188E-02
  7.25522E-01 -2.63950E-02  1.88598E-02
  7.33674E-01 -2.99445E-03  4.98754E-03
  7.41826E-01  1.68840E-02  1.27107E-02
  7.49978E-01  3.25437E-02  1.36090E-02
  7.58130E-01  4.13203E-02  2.98905E-03
  7.66282E-01  3.93517E-02  2.11124E-02
  7.74434E-01  2.54096E-02  2.38595E-02
  7.82586E-01  4.13335E-03  8.54916E-03
  7.90737E-01 -1.48766E-02  1.07937E-02
  7.98889E-01 -2.22249E-02  1.64747E-02
  8.07041E-01 -1.45116E-02  1.87370E-03
  8.15193E-01  3.63733E-03  1.88109E-02
  8.23345E-01  2.27534E-02  2.48695E-02
  8.31497E-01  3.43197E-02  1.29800E-02
  8.39649E-01  3.48342E-02  4.78250E-03
  8.47801E-01  2.56986E-02  8.72816E-03
  8.55953E-01  1.01355E-02  3.77415E-04
  8.64105E-01 -9.51824E-03  1.31602E-02
  8.72257E-01 -3.18338E-02  1.71127E-02
  8.80409E-01 -5.42851E-02  6.32540E-03
  8.88561E-01 -7.19079E-02  2.29089E-02
  8.96713E-01 -7.86217E-02  3.08575E-02
  9.04865E-01 -7.06041E-02  2.07476E-02
  9.13016E-01 -4.90579E-02  1.60399E-03
  9.21168E-01 -2.00584E-02  8.36911E-03
  9.29320E-01  8.50378E-03  8.91138E-03
  9.37472E-01  3.06647E-02  2.20264E-02
  9.45624E-01  4.43270E-02  3.17032E-02
  9.53776E-01  5.05732E-02  2.48366E-02
  9.61928E-01  5.15234E-02  6.36891E-03
  9.70080E-01  4.86167E-02  1.62490E-02
  9.78232E-01  4.23271E-02  1.79334E-02
  9.86384E-01  3.29322E-02  6.48478E-03
  9.94536E-01  2.12682E-02  4.06581E-03
  1.00269E+00  8.78064E-03  8.66061E-03
  1.01084E+00 -3.00522E-03  2.61988E-03
  1.01899E+00 -1.30155E-02  1.27582E-02
  1.02714E+00 -2.07485E-02  1.16581E-02
  1.03530E+00 -2.60184E-02  1.46926E-02
  1.04345E+00 -2.86397E-02  2.05657E-02
  1.05160E+00 -2.83600E-02  1.38317E-02
  1.05975E+00 -2.51669E-02  5.63039E-03
  1.06790E+00 -1.98491E-02  2.01792E-02
  1.07606E+00 -1.44109E-02  1.84490E-02
  1.08421E+00 -1.17611E-02  4.67164E-03
  1.09236E+00 -1.43304E-02  6.89677E-03
  1.10051E+00 -2.20590E-02  1.09812E-02
  1.10866E+00 -3.11166E-02  2.99484E-03
  1.11681E+00 -3.48623E-02  1.73537E-02
  1.12497E+00 -2.73301E-02  1.79526E-02
  1.13312E+00 -7.48680E-03  3.81422E-03
  1.14127E+00  1.87445E-02  1.45359E-02
  1.14942E+00  4.07707E-02  1.37583E-02
  1.15757E+00  4.91141E-02  2.18819E-03
  1.16573E+00  4.10788E-02  1.97739E-02
  1.17388E+00  2.23342E-02  2.37298E-02
  1.18203E+00  3.15467E-03  1.14654E-02
  1.19018E+00 -8.08276E-03  4.32266E-03
  1.19833E+00 -9.56681E-03  6.98100E-03
  1.20649E+00 -5.82270E-03  8.70005E-04
  1.21464E+00 -3.31104E-03  1.47296E-02
  1.22279E+00 -5.56222E-03  1.87101E-02
  1.23094E+00 -1.14144E-02  7.74702E-03
  1.23909E+00 -1.70373E-02  7.83006E-03
  1.24725E+00 -1.94118E-02  1.36291E-02
  1.25540E+00 -1.82655E-02  4.83232E-03
  1.26355E+00 -1.53572E-02  1.05239E-02
  1.27170E+00 -1.24278E-02  1.63400E-02
  1.27985E+00 -9.89924E-03  6.03221E-03
  1.28801E+00 -7.13298E-03  1.06135E-02
  1.29616E+00 -3.35730E-03  1.88359E-02
  1.30431E+00  1.97359E-03  1.08001E-02
  1.31246E+00  9.46931E-03  7.47035E-03
  1.32061E+00  1.96846E-02  1.82817E-02
  1.32877E+00  3.18967E-02  1.25526E-02
  1.33692E+00  4.26962E-02  3.24784E-03
  1.34507E+00  4.63465E-02  1.47200E-02
  1.35322E+00  3.78352E-02  1.31913E-02
  1.36137E+00  1.69989E-02  5.53040E-03
  1.36952E+00 -9.60015E-03  1.17760E-02
  1.37768E+00 -3.12757E-02  6.88478E-03
  1.38583E+00 -3.91602E-02  7.75379E-03
  1.39398E+00 -3.14488E-02  1.88690E-02
  1.40213E+00 -1.41083E-02  1.84563E-02
  1.41028E+00  3.43348E-03  1.74322E-02
  1.41844E+00  1.43176E-02  2.24187E-02
  1.42659E+00  1.76172E-02  1.78310E-02
  1.43474E+00  1.70550E-02  5.10181E-03
  1.44289E+00  1.68216E-02  2.56585E-03
  1.45104E+00  1.81338E-02  2.19052E-03
  1.45920E+00  1.89253E-02  1.12947E-02
  1.46735E+00  1.61444E-02  1.89491E-02
  1.47550E+00  8.26661E-03  1.31233E-02
  1.48365E+00 -3.83774E-03  8.27657E-03
  1.49180E+00 -1.76078E-02  1.91778E-02
  1.49996E+00 -2.97905E-02  1.64423E-02
  1.50811E+00 -3.69708E-02  2.36646E-03
  1.51626E+00 -3.61335E-02  1.23259E-02
  1.52441E+00 -2.60233E-02  1.28152E-02
  1.53256E+00 -8.87864E-03  9.37411E-04
  1.54072E+00  9.19360E-03  1.43262E-02
  1.54887E+00  2.05836E-02  1.31745E-02
  1.55702E+00  2.04884E-02  2.15829E-03
  1.56517E+00  1.02496E-02  1.69283E-02
  1.57332E+00 -3.06646E-03  2.01851E-02
  1.58147E+00 -1.09577E-02  1.23521E-02
  1.58963E+00 -8.68446E-03  1.42218E-02
  1.59778E+00  2.34421E-03  1.43401E-02
  1.60593E+00  1.64265E-02  2.76703E-04
  1.61408E+00  2.77309E-02  1.58106E-02
  1.62223E+00  3.33241E-02  1.86109E-02
  1.63039E+00  3.31389E-02  5.18371E-03
  1.63854E+00  2.79109E-02  1.31021E-02
  1.64669E+00  1.77049E-02  2.12365E-02
  1.65484E+00  2.56241E-03  1.34145E-02
  1.66299E+00 -1.56828E-02  1.52625E-03
  1.67115E+00 -3.27100E-02  1.11837E-02
  1.67930E+00 -4.33536E-02  7.37845E-03
  1.68745E+00 -4.44869E-02  2.89368E-04
  1.69560E+00 -3.68245E-02  7.50481E-03
  1.70375E+00 -2.43119E-02  1.67565E-03
