@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/26/18 at 13:35:07 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -6.55080E+01 -1.00719E-01  0.00000E+00
 -6.52608E+01 -1.12589E-01  0.00000E+00
 -6.50136E+01  1.10898E-02  1.47806E-01
 -6.47664E+01  1.39961E-01  1.16714E-01
 -6.45192E+01  3.96461E-03  7.69209E-02
 -6.42720E+01  6.07869E-02  8.21609E-02
 -6.40248E+01  1.12839E-01  7.86475E-02
 -6.37776E+01 -4.05419E-02  3.50614E-02
 -6.35304E+01 -1.00678E-01  2.25968E-02
 -6.32832E+01 -2.92846E-02  6.70495E-02
 -6.30360E+01 -9.74881E-03  4.88374E-02
 -6.27888E+01 -4.62434E-02  5.98027E-02
 -6.25416E+01  3.82801E-03  6.99067E-02
 -6.22944E+01  3.11232E-02  5.78567E-02
 -6.20472E+01 -1.72394E-02  4.43194E-02
 -6.18000E+01 -5.87654E-02  4.76915E-02
 -6.15528E+01  2.60185E-03  7.45331E-02
 -6.13056E+01  3.87805E-02  7.39019E-02
 -6.10584E+01 -2.26687E-03  3.27756E-02
 -6.08112E+01 -8.25076E-02  3.19006E-02
 -6.05640E+01 -3.70629E-02  7.58282E-02
 -6.03168E+01  5.37602E-02  7.50334E-02
 -6.00696E+01 -1.69605E-03  5.11919E-02
 -5.98224E+01 -5.99815E-02  4.49773E-02
 -5.95752E+01  2.30054E-03  7.31026E-02
 -5.93280E+01  1.30992E-01  9.32147E-02
 -5.90808E+01  2.40985E-02  5.93882E-02
 -5.88336E+01 -4.70700E-03  7.26439E-02
 -5.85864E+01  4.37181E-02  8.21319E-02
 -5.83392E+01  6.48306E-02  5.63788E-02
 -5.80920E+01 -1.10665E-02  5.98840E-02
 -5.78448E+01  1.61587E-03  7.98032E-02
