@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/26/18 at 13:51:23 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -6.51276E+01 -5.50364E-02
 -6.48799E+01 -8.10977E-02
 -6.46323E+01 -7.11300E-02
 -6.43847E+01 -2.65295E-02
 -6.41370E+01  1.70743E-02
 -6.38894E+01  2.05243E-02
 -6.36418E+01  3.99764E-03
 -6.33941E+01 -9.77454E-05
 -6.31465E+01  1.46940E-02
 -6.28989E+01  2.52773E-02
 -6.26512E+01  6.48542E-03
 -6.24036E+01 -2.16317E-02
 -6.21560E+01 -4.03374E-02
 -6.19083E+01 -4.20940E-02
 -6.16607E+01 -4.08659E-02
 -6.14131E+01 -4.07187E-02
 -6.11654E+01 -2.62683E-02
 -6.09178E+01  5.53218E-03
 -6.06702E+01  2.79420E-02
 -6.04225E+01  1.21145E-02
 -6.01749E+01 -1.56778E-02
 -5.99273E+01 -3.47331E-02
 -5.96796E+01 -2.04636E-02
 -5.94320E+01 -2.62766E-03
 -5.91844E+01 -9.52190E-03
 -5.89367E+01 -2.72500E-02
 -5.86891E+01 -4.01289E-02
 -5.84415E+01 -3.28916E-02
 -5.81938E+01 -1.62345E-02
 -5.79462E+01 -1.08190E-03
 -5.76986E+01  8.83920E-03
 -5.74509E+01  2.06582E-02
 -5.72033E+01  1.07552E-02
 -5.69557E+01 -1.68786E-02
 -5.67080E+01 -3.10673E-02
 -5.64604E+01 -1.33935E-02
 -5.62128E+01  1.82055E-02
 -5.59651E+01  3.61621E-02
 -5.57175E+01  3.49330E-02
 -5.54699E+01  2.13934E-02
 -5.52222E+01  1.53460E-02
 -5.49746E+01  2.50532E-02
 -5.47270E+01  3.04858E-02
 -5.44793E+01  2.86210E-02
 -5.42317E+01  5.20875E-02
 -5.39841E+01  9.97643E-02
 -5.37364E+01  1.30452E-01
 -5.34888E+01  1.27550E-01
 -5.32412E+01  1.30183E-01
 -5.29935E+01  1.66509E-01
 -5.27459E+01  2.26844E-01
 -5.24983E+01  2.85618E-01
 -5.22506E+01  2.99747E-01
 -5.20030E+01  2.68929E-01
 -5.17554E+01  2.26106E-01
 -5.15077E+01  2.02991E-01
 -5.12601E+01  2.05597E-01
 -5.10125E+01  2.15706E-01
 -5.07648E+01  2.36447E-01
 -5.05172E+01  2.47010E-01
 -5.02696E+01  2.17477E-01
 -5.00219E+01  1.55658E-01
 -4.97743E+01  1.14777E-01
 -4.95267E+01  1.38188E-01
 -4.92790E+01  2.08591E-01
 -4.90314E+01  2.52740E-01
 -4.87838E+01  2.43007E-01
 -4.85361E+01  2.21057E-01
 -4.82885E+01  1.97282E-01
 -4.80409E+01  1.79344E-01
 -4.77932E+01  1.72482E-01
 -4.75456E+01  1.63809E-01
 -4.72980E+01  1.67083E-01
 -4.70503E+01  1.85489E-01
 -4.68027E+01  1.94784E-01
 -4.65551E+01  1.76277E-01
 -4.63074E+01  1.64616E-01
 -4.60598E+01  1.70209E-01
 -4.58122E+01  1.70828E-01
 -4.55645E+01  1.67027E-01
 -4.53169E+01  1.82203E-01
 -4.50693E+01  2.10752E-01
 -4.48216E+01  2.20816E-01
 -4.45740E+01  2.19234E-01
 -4.43264E+01  2.08214E-01
 -4.40787E+01  1.93771E-01
 -4.38311E+01  1.94255E-01
 -4.35835E+01  2.15389E-01
 -4.33358E+01  2.29897E-01
 -4.30882E+01  2.34477E-01
 -4.28406E+01  2.46858E-01
 -4.25929E+01  2.80811E-01
 -4.23453E+01  3.39379E-01
 -4.20977E+01  3.82942E-01
 -4.18500E+01  3.49068E-01
 -4.16024E+01  2.49860E-01
 -4.13548E+01  1.71592E-01
 -4.11071E+01  1.88838E-01
 -4.08595E+01  2.80512E-01
 -4.06119E+01  3.65906E-01
 -4.03642E+01  3.95192E-01
 -4.01166E+01  3.70016E-01
 -3.98690E+01  3.15619E-01
 -3.96213E+01  2.93930E-01
 -3.93737E+01  3.16864E-01
 -3.91261E+01  3.79601E-01
 -3.88784E+01  4.40071E-01
 -3.86308E+01  4.55974E-01
 -3.83832E+01  4.54601E-01
 -3.81355E+01  4.67175E-01
 -3.78879E+01  5.04812E-01
 -3.76403E+01  5.47879E-01
 -3.73926E+01  5.65568E-01
 -3.71450E+01  5.83497E-01
 -3.68974E+01  6.12269E-01
 -3.66497E+01  6.17367E-01
 -3.64021E+01  5.65239E-01
 -3.61545E+01  4.83934E-01
 -3.59068E+01  4.49365E-01
 -3.56592E+01  4.89925E-01
 -3.54116E+01  5.37243E-01
 -3.51639E+01  5.40712E-01
 -3.49163E+01  5.16409E-01
 -3.46687E+01  5.00481E-01
 -3.44210E+01  5.21116E-01
 -3.41734E+01  5.55712E-01
 -3.39258E+01  5.83629E-01
 -3.36781E+01  6.02003E-01
 -3.34305E+01  6.00151E-01
 -3.31829E+01  5.78536E-01
 -3.29352E+01  5.87645E-01
 -3.26876E+01  6.24953E-01
 -3.24400E+01  6.20510E-01
 -3.21923E+01  5.84601E-01
 -3.19447E+01  5.72487E-01
 -3.16971E+01  6.04527E-01
 -3.14494E+01  7.11255E-01
 -3.12018E+01  8.45772E-01
 -3.09542E+01  9.08855E-01
 -3.07065E+01  8.77464E-01
 -3.04589E+01  8.44557E-01
 -3.02113E+01  8.71308E-01
 -2.99636E+01  9.37632E-01
 -2.97160E+01  1.00689E+00
 -2.94684E+01  1.03195E+00
 -2.92207E+01  1.03530E+00
 -2.89731E+01  1.06801E+00
 -2.87255E+01  1.12509E+00
 -2.84778E+01  1.15246E+00
 -2.82302E+01  1.11697E+00
 -2.79826E+01  1.06895E+00
 -2.77349E+01  1.05781E+00
 -2.74873E+01  1.09147E+00
 -2.72397E+01  1.10531E+00
 -2.69920E+01  1.04926E+00
 -2.67444E+01  9.51405E-01
 -2.64968E+01  8.92412E-01
 -2.62491E+01  9.06854E-01
 -2.60015E+01  9.28451E-01
 -2.57539E+01  8.98044E-01
 -2.55062E+01  8.41346E-01
 -2.52586E+01  8.32683E-01
 -2.50110E+01  8.54864E-01
 -2.47633E+01  8.74936E-01
 -2.45157E+01  8.58858E-01
 -2.42681E+01  8.17156E-01
 -2.40204E+01  7.81689E-01
 -2.37728E+01  7.44892E-01
 -2.35252E+01  7.35468E-01
 -2.32775E+01  7.06502E-01
 -2.30299E+01  6.40923E-01
 -2.27823E+01  5.95554E-01
 -2.25346E+01  5.68734E-01
 -2.22870E+01  5.12633E-01
 -2.20394E+01  4.47146E-01
 -2.17917E+01  4.64982E-01
 -2.15441E+01  5.57114E-01
 -2.12965E+01  6.33128E-01
 -2.10488E+01  6.03378E-01
 -2.08012E+01  5.32783E-01
 -2.05536E+01  4.97997E-01
 -2.03059E+01  5.41271E-01
 -2.00583E+01  6.13572E-01
 -1.98107E+01  6.22274E-01
 -1.95630E+01  5.68169E-01
 -1.93154E+01  5.42443E-01
 -1.90678E+01  5.91942E-01
 -1.88201E+01  6.12039E-01
 -1.85725E+01  5.59273E-01
 -1.83249E+01  4.97492E-01
 -1.80772E+01  4.77932E-01
 -1.78296E+01  4.98113E-01
