@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/26/18 at 13:54:58 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -7.29414E+01  2.88211E-02
 -7.26933E+01 -3.41713E-03
 -7.24452E+01 -3.21592E-02
 -7.21971E+01 -2.91476E-02
 -7.19490E+01 -2.08856E-02
 -7.17009E+01 -3.61172E-02
 -7.14528E+01 -5.14735E-02
 -7.12047E+01 -3.89664E-02
 -7.09566E+01 -2.09245E-02
 -7.07085E+01 -3.09376E-02
 -7.04604E+01 -5.18024E-02
 -7.02123E+01 -4.89486E-02
 -6.99642E+01 -3.14920E-02
 -6.97161E+01 -2.23045E-02
 -6.94680E+01 -1.33975E-02
 -6.92199E+01 -1.07559E-03
 -6.89718E+01 -6.45554E-03
 -6.87237E+01 -2.55226E-02
 -6.84756E+01 -2.38556E-02
 -6.82275E+01  5.57548E-03
 -6.79794E+01  3.03580E-02
 -6.77313E+01  3.44143E-02
 -6.74832E+01  4.03066E-02
 -6.72351E+01  5.55770E-02
 -6.69870E+01  5.43566E-02
 -6.67389E+01  3.04555E-02
 -6.64908E+01  1.90058E-02
 -6.62427E+01  4.30039E-02
 -6.59946E+01  8.10668E-02
 -6.57465E+01  1.00169E-01
 -6.54984E+01  1.00895E-01
 -6.52503E+01  1.11136E-01
 -6.50022E+01  1.31463E-01
 -6.47541E+01  1.28706E-01
 -6.45060E+01  1.02614E-01
 -6.42579E+01  1.02854E-01
 -6.40098E+01  1.45405E-01
 -6.37617E+01  1.76853E-01
 -6.35136E+01  1.52699E-01
 -6.32655E+01  9.93973E-02
 -6.30174E+01  6.35592E-02
 -6.27693E+01  5.74118E-02
 -6.25212E+01  6.90003E-02
 -6.22731E+01  8.31496E-02
 -6.20250E+01  8.65026E-02
 -6.17769E+01  8.04229E-02
 -6.15288E+01  8.20857E-02
 -6.12807E+01  9.22107E-02
 -6.10326E+01  8.04193E-02
 -6.07845E+01  3.99320E-02
 -6.05364E+01  1.37471E-02
 -6.02883E+01  3.29324E-02
 -6.00402E+01  6.61086E-02
 -5.97921E+01  6.93914E-02
 -5.95440E+01  4.13153E-02
 -5.92959E+01  1.44994E-02
 -5.90478E+01  1.65741E-02
 -5.87997E+01  4.39214E-02
 -5.85516E+01  6.87561E-02
 -5.83035E+01  7.09913E-02
 -5.80554E+01  5.85801E-02
 -5.78073E+01  4.79561E-02
 -5.75592E+01  4.22437E-02
 -5.73111E+01  3.99185E-02
 -5.70630E+01  3.66987E-02
 -5.68149E+01  2.85405E-02
 -5.65668E+01  2.61951E-02
 -5.63187E+01  4.00677E-02
 -5.60706E+01  5.38475E-02
 -5.58225E+01  4.46794E-02
 -5.55744E+01  2.90901E-02
 -5.53263E+01  2.81270E-02
 -5.50782E+01  3.15463E-02
 -5.48301E+01  3.39147E-02
 -5.45820E+01  5.41692E-02
 -5.43339E+01  8.62720E-02
 -5.40858E+01  9.79012E-02
 -5.38377E+01  9.78621E-02
 -5.35896E+01  1.21740E-01
 -5.33415E+01  1.50442E-01
 -5.30934E+01  1.38291E-01
 -5.28453E+01  1.01570E-01
 -5.25972E+01  8.29350E-02
 -5.23491E+01  7.12477E-02
 -5.21010E+01  4.49859E-02
 -5.18529E+01  3.42428E-02
 -5.16048E+01  7.09333E-02
 -5.13567E+01  1.22791E-01
 -5.11086E+01  1.36303E-01
 -5.08605E+01  1.24575E-01
 -5.06124E+01  1.34258E-01
 -5.03643E+01  1.53290E-01
 -5.01162E+01  1.43193E-01
 -4.98681E+01  1.06619E-01
 -4.96200E+01  6.49843E-02
 -4.93719E+01  3.04541E-02
 -4.91238E+01  2.71244E-02
 -4.88757E+01  7.56939E-02
 -4.86276E+01  1.39415E-01
 -4.83795E+01  1.49164E-01
 -4.81314E+01  1.01565E-01
 -4.78833E+01  7.25837E-02
 -4.76352E+01  1.07277E-01
 -4.73871E+01  1.64336E-01
 -4.71390E+01  1.90111E-01
 -4.68909E+01  1.84187E-01
 -4.66428E+01  1.73131E-01
 -4.63947E+01  1.66359E-01
 -4.61466E+01  1.57802E-01
 -4.58985E+01  1.44610E-01
 -4.56504E+01  1.36971E-01
 -4.54023E+01  1.50556E-01
 -4.51542E+01  1.87537E-01
 -4.49061E+01  2.22813E-01
 -4.46580E+01  2.22519E-01
 -4.44099E+01  1.88351E-01
 -4.41618E+01  1.67518E-01
 -4.39137E+01  1.86069E-01
 -4.36656E+01  2.12494E-01
 -4.34175E+01  2.13882E-01
 -4.31694E+01  1.98632E-01
 -4.29213E+01  1.82936E-01
 -4.26732E+01  1.74030E-01
 -4.24251E+01  1.79831E-01
 -4.21770E+01  2.06127E-01
 -4.19289E+01  2.52823E-01
 -4.16808E+01  3.00937E-01
 -4.14327E+01  3.19210E-01
 -4.11846E+01  3.03685E-01
 -4.09365E+01  2.84410E-01
 -4.06884E+01  2.86497E-01
 -4.04403E+01  3.14741E-01
 -4.01922E+01  3.50922E-01
 -3.99441E+01  3.59355E-01
 -3.96960E+01  3.36946E-01
 -3.94479E+01  3.36125E-01
 -3.91998E+01  3.93180E-01
 -3.89517E+01  4.62902E-01
 -3.87036E+01  4.85445E-01
 -3.84555E+01  4.80030E-01
 -3.82074E+01  4.93229E-01
 -3.79593E+01  5.09067E-01
 -3.77112E+01  4.93385E-01
 -3.74631E+01  4.88503E-01
 -3.72150E+01  5.43025E-01
 -3.69669E+01  6.05917E-01
 -3.67188E+01  6.17910E-01
 -3.64707E+01  6.20923E-01
 -3.62226E+01  6.45355E-01
 -3.59745E+01  6.28770E-01
 -3.57264E+01  5.59542E-01
 -3.54783E+01  5.35195E-01
 -3.52302E+01  5.96390E-01
 -3.49821E+01  6.53403E-01
 -3.47340E+01  6.41386E-01
 -3.44859E+01  5.96344E-01
 -3.42378E+01  5.57681E-01
 -3.39897E+01  5.28548E-01
 -3.37416E+01  5.18090E-01
 -3.34935E+01  5.26779E-01
 -3.32454E+01  5.24449E-01
 -3.29973E+01  5.24331E-01
 -3.27492E+01  5.73729E-01
 -3.25011E+01  6.34735E-01
 -3.22530E+01  6.18099E-01
 -3.20049E+01  5.26491E-01
 -3.17568E+01  4.51818E-01
 -3.15087E+01  4.57995E-01
 -3.12606E+01  5.16690E-01
 -3.10125E+01  5.51081E-01
 -3.07644E+01  5.29761E-01
 -3.05163E+01  4.98024E-01
 -3.02682E+01  4.83199E-01
 -3.00201E+01  4.46071E-01
 -2.97720E+01  3.75408E-01
 -2.95239E+01  3.38496E-01
 -2.92758E+01  3.80286E-01
 -2.90277E+01  4.50242E-01
 -2.87796E+01  4.85885E-01
 -2.85315E+01  4.81593E-01
 -2.82834E+01  4.66417E-01
 -2.80353E+01  4.46540E-01
 -2.77872E+01  4.10811E-01
 -2.75391E+01  3.75603E-01
 -2.72910E+01  3.74808E-01
 -2.70429E+01  4.07141E-01
 -2.67948E+01  4.27400E-01
 -2.65467E+01  4.01958E-01
 -2.62986E+01  3.57699E-01
 -2.60505E+01  3.31188E-01
 -2.58024E+01  3.21278E-01
 -2.55543E+01  3.10877E-01
 -2.53062E+01  2.87369E-01
 -2.50581E+01  2.42562E-01
 -2.48100E+01  2.00442E-01
 -2.45619E+01  2.09414E-01
 -2.43138E+01  2.58666E-01
 -2.40657E+01  2.79027E-01
 -2.38176E+01  2.72888E-01
 -2.35695E+01  3.17485E-01
 -2.33214E+01  3.88163E-01
 -2.30733E+01  3.60529E-01
 -2.28252E+01  2.45896E-01
 -2.25771E+01  2.03656E-01
 -2.23290E+01  2.78023E-01
 -2.20809E+01  3.42407E-01
 -2.18328E+01  3.16463E-01
 -2.15847E+01  2.60581E-01
 -2.13366E+01  2.43093E-01
 -2.10885E+01  2.61686E-01
 -2.08404E+01  2.97478E-01
 -2.05923E+01  3.46912E-01
 -2.03442E+01  3.79848E-01
 -2.00961E+01  3.59905E-01
 -1.98480E+01  3.07230E-01
 -1.95999E+01  2.72284E-01
 -1.93518E+01  2.76150E-01
 -1.91037E+01  3.09610E-01
 -1.88556E+01  3.46248E-01
 -1.86075E+01  3.53106E-01
 -1.83594E+01  3.26012E-01
 -1.81113E+01  2.98285E-01
 -1.78632E+01  2.84760E-01
 -1.76151E+01  2.68125E-01
 -1.73670E+01  2.43742E-01
 -1.71189E+01  2.48095E-01
 -1.68708E+01  3.12157E-01
 -1.66227E+01  3.93341E-01
 -1.63746E+01  4.13277E-01
 -1.61265E+01  3.66537E-01
 -1.58784E+01  3.18509E-01
 -1.56303E+01  2.97921E-01
 -1.53822E+01  2.88904E-01
 -1.51341E+01  2.88946E-01
 -1.48860E+01  2.99692E-01
 -1.46379E+01  2.92324E-01
 -1.43898E+01  2.47086E-01
 -1.41417E+01  2.13541E-01
 -1.38936E+01  2.48394E-01
 -1.36455E+01  3.08829E-01
 -1.33974E+01  3.19615E-01
 -1.31493E+01  2.90237E-01
 -1.29012E+01  2.68771E-01
 -1.26531E+01  2.55690E-01
 -1.24050E+01  2.46904E-01
 -1.21569E+01  2.57534E-01
 -1.19088E+01  2.70887E-01
 -1.16607E+01  2.55108E-01
 -1.14126E+01  2.14090E-01
 -1.11645E+01  1.79140E-01
 -1.09164E+01  1.86961E-01
 -1.06683E+01  2.55187E-01
 -1.04202E+01  3.34618E-01
 -1.01721E+01  3.44294E-01
 -9.92400E+00  2.74634E-01
 -9.67590E+00  1.97773E-01
 -9.42780E+00  1.81032E-01
 -9.17970E+00  2.31840E-01
 -8.93160E+00  2.99281E-01
 -8.68350E+00  3.13325E-01
 -8.43540E+00  2.58198E-01
 -8.18730E+00  1.99936E-01
 -7.93920E+00  2.02755E-01
 -7.69110E+00  2.49380E-01
 -7.44300E+00  2.87456E-01
 -7.19490E+00  3.02605E-01
 -6.94680E+00  2.98309E-01
 -6.69870E+00  2.60661E-01
 -6.45060E+00  2.08942E-01
 -6.20250E+00  2.18687E-01
 -5.95440E+00  3.03572E-01
 -5.70630E+00  3.60865E-01
 -5.45820E+00  3.37059E-01
 -5.21010E+00  3.18330E-01
 -4.96200E+00  3.63611E-01
 -4.71390E+00  3.90220E-01
 -4.46580E+00  3.51977E-01
 -4.21770E+00  3.43879E-01
 -3.96960E+00  4.26364E-01
 -3.72150E+00  5.07093E-01
 -3.47340E+00  4.82228E-01
 -3.22530E+00  4.00849E-01
 -2.97720E+00  3.72102E-01
 -2.72910E+00  3.99165E-01
 -2.48100E+00  4.15322E-01
 -2.23290E+00  4.00510E-01
 -1.98480E+00  3.82462E-01
 -1.73670E+00  3.71115E-01
 -1.48860E+00  3.52032E-01
 -1.24050E+00  3.26538E-01
 -9.92400E-01  3.22544E-01
 -7.44300E-01  3.65717E-01
 -4.96200E-01  4.34658E-01
 -2.48100E-01  4.61997E-01
  0.00000E+00  4.11777E-01
  2.48100E-01  3.33596E-01
  4.96200E-01  3.18170E-01
  7.44300E-01  3.95735E-01
  9.92400E-01  4.96609E-01
  1.24050E+00  5.19413E-01
  1.48860E+00  4.35681E-01
  1.73670E+00  3.14168E-01
  1.98480E+00  2.38882E-01
  2.23290E+00  2.17457E-01
  2.48100E+00  2.12634E-01
  2.72910E+00  2.39622E-01
  2.97720E+00  3.27132E-01
  3.22530E+00  4.00950E-01
  3.47340E+00  3.74191E-01
  3.72150E+00  3.26925E-01
  3.96960E+00  3.83775E-01
  4.21770E+00  4.72956E-01
  4.46580E+00  4.51982E-01
  4.71390E+00  3.63290E-01
  4.96200E+00  3.41931E-01
  5.21010E+00  3.90957E-01
  5.45820E+00  4.15832E-01
  5.70630E+00  3.84784E-01
  5.95440E+00  3.36141E-01
  6.20250E+00  3.07490E-01
  6.45060E+00  3.26605E-01
  6.69870E+00  3.90333E-01
  6.94680E+00  4.50997E-01
  7.19490E+00  4.65099E-01
  7.44300E+00  4.57050E-01
  7.69110E+00  4.79295E-01
  7.93920E+00  5.21064E-01
  8.18730E+00  5.22208E-01
  8.43540E+00  4.66550E-01
  8.68350E+00  4.01100E-01
  8.93160E+00  3.82397E-01
  9.17970E+00  4.24538E-01
  9.42780E+00  4.63501E-01
  9.67590E+00  4.23413E-01
  9.92400E+00  3.37172E-01
  1.01721E+01  3.21514E-01
  1.04202E+01  4.03977E-01
  1.06683E+01  4.78532E-01
  1.09164E+01  4.71003E-01
  1.11645E+01  4.36004E-01
  1.14126E+01  4.35197E-01
  1.16607E+01  4.42680E-01
  1.19088E+01  4.30920E-01
  1.21569E+01  4.27154E-01
  1.24050E+01  4.34929E-01
  1.26531E+01  4.34781E-01
  1.29012E+01  4.34583E-01
  1.31493E+01  4.40516E-01
  1.33974E+01  4.29871E-01
  1.36455E+01  4.05338E-01
  1.38936E+01  4.11515E-01
  1.41417E+01  4.64667E-01
  1.43898E+01  5.32787E-01
  1.46379E+01  5.87098E-01
  1.48860E+01  6.13536E-01
  1.51341E+01  6.05111E-01
  1.53822E+01  5.76454E-01
  1.56303E+01  5.47826E-01
  1.58784E+01  5.17198E-01
  1.61265E+01  4.79740E-01
  1.63746E+01  4.67838E-01
  1.66227E+01  5.20322E-01
  1.68708E+01  6.15658E-01
  1.71189E+01  6.85444E-01
  1.73670E+01  6.88592E-01
  1.76151E+01  6.43181E-01
  1.78632E+01  5.89425E-01
  1.81113E+01  5.42868E-01
  1.83594E+01  5.21652E-01
  1.86075E+01  5.46112E-01
  1.88556E+01  5.80735E-01
  1.91037E+01  5.60011E-01
  1.93518E+01  5.05114E-01
  1.95999E+01  5.03324E-01
  1.98480E+01  5.64115E-01
  2.00961E+01  6.08202E-01
  2.03442E+01  6.15103E-01
  2.05923E+01  6.35252E-01
  2.08404E+01  6.70559E-01
  2.10885E+01  6.87121E-01
  2.13366E+01  7.15029E-01
  2.15847E+01  7.73098E-01
  2.18328E+01  8.01725E-01
  2.20809E+01  7.66107E-01
  2.23290E+01  7.16695E-01
  2.25771E+01  6.95431E-01
  2.28252E+01  7.00399E-01
  2.30733E+01  7.35571E-01
  2.33214E+01  8.05425E-01
  2.35695E+01  8.66148E-01
  2.38176E+01  8.60976E-01
  2.40657E+01  8.07754E-01
  2.43138E+01  7.75609E-01
  2.45619E+01  7.87236E-01
  2.48100E+01  8.13663E-01
  2.50581E+01  8.13784E-01
  2.53062E+01  7.92858E-01
  2.55543E+01  8.32695E-01
  2.58024E+01  9.79403E-01
  2.60505E+01  1.12712E+00
  2.62986E+01  1.14927E+00
  2.65467E+01  1.07430E+00
  2.67948E+01  1.00831E+00
  2.70429E+01  9.58745E-01
  2.72910E+01  8.86738E-01
  2.75391E+01  8.48733E-01
  2.77872E+01  9.40539E-01
  2.80353E+01  1.12166E+00
  2.82834E+01  1.24419E+00
  2.85315E+01  1.25285E+00
  2.87796E+01  1.23538E+00
  2.90277E+01  1.26792E+00
  2.92758E+01  1.33162E+00
  2.95239E+01  1.36812E+00
  2.97720E+01  1.36711E+00
  3.00201E+01  1.39370E+00
  3.02682E+01  1.51248E+00
  3.05163E+01  1.65934E+00
  3.07644E+01  1.69610E+00
  3.10125E+01  1.63453E+00
  3.12606E+01  1.63010E+00
  3.15087E+01  1.71975E+00
  3.17568E+01  1.80310E+00
  3.20049E+01  1.86188E+00
  3.22530E+01  1.94241E+00
  3.25011E+01  2.00958E+00
  3.27492E+01  2.05444E+00
  3.29973E+01  2.13432E+00
  3.32454E+01  2.22158E+00
  3.34935E+01  2.24751E+00
  3.37416E+01  2.25537E+00
  3.39897E+01  2.29943E+00
  3.42378E+01  2.32173E+00
  3.44859E+01  2.27202E+00
  3.47340E+01  2.22007E+00
  3.49821E+01  2.23567E+00
  3.52302E+01  2.26066E+00
  3.54783E+01  2.19814E+00
  3.57264E+01  2.07429E+00
  3.59745E+01  2.02974E+00
  3.62226E+01  2.10490E+00
  3.64707E+01  2.16174E+00
  3.67188E+01  2.07975E+00
  3.69669E+01  1.92578E+00
  3.72150E+01  1.84760E+00
  3.74631E+01  1.85111E+00
  3.77112E+01  1.84790E+00
  3.79593E+01  1.82927E+00
  3.82074E+01  1.83485E+00
  3.84555E+01  1.80959E+00
  3.87036E+01  1.69777E+00
  3.89517E+01  1.59053E+00
  3.91998E+01  1.59547E+00
  3.94479E+01  1.64316E+00
  3.96960E+01  1.61065E+00
  3.99441E+01  1.51857E+00
  4.01922E+01  1.41761E+00
  4.04403E+01  1.28243E+00
  4.06884E+01  1.15420E+00
  4.09365E+01  1.13503E+00
  4.11846E+01  1.20219E+00
  4.14327E+01  1.22905E+00
  4.16808E+01  1.17977E+00
  4.19289E+01  1.12738E+00
  4.21770E+01  1.08819E+00
  4.24251E+01  9.97644E-01
  4.26732E+01  8.98762E-01
  4.29213E+01  9.29114E-01
  4.31694E+01  1.05932E+00
  4.34175E+01  1.10090E+00
  4.36656E+01  9.97573E-01
  4.39137E+01  9.09369E-01
  4.41618E+01  9.67090E-01
  4.44099E+01  1.09924E+00
  4.46580E+01  1.16367E+00
  4.49061E+01  1.14030E+00
  4.51542E+01  1.10840E+00
  4.54023E+01  1.11723E+00
  4.56504E+01  1.13640E+00
  4.58985E+01  1.12258E+00
  4.61466E+01  1.08012E+00
  4.63947E+01  1.05285E+00
  4.66428E+01  1.06446E+00
  4.68909E+01  1.09180E+00
  4.71390E+01  1.11059E+00
  4.73871E+01  1.11309E+00
  4.76352E+01  1.09414E+00
  4.78833E+01  1.05720E+00
  4.81314E+01  1.01590E+00
  4.83795E+01  9.87567E-01
  4.86276E+01  9.53560E-01
  4.88757E+01  8.92871E-01
  4.91238E+01  8.40498E-01
  4.93719E+01  8.50202E-01
  4.96200E+01  9.04799E-01
  4.98681E+01  9.31727E-01
  5.01162E+01  9.04469E-01
  5.03643E+01  8.73022E-01
  5.06124E+01  8.78227E-01
  5.08605E+01  8.99407E-01
  5.11086E+01  8.98409E-01
  5.13567E+01  8.91509E-01
  5.16048E+01  9.26988E-01
  5.18529E+01  9.76724E-01
  5.21010E+01  9.55286E-01
  5.23491E+01  8.71730E-01
  5.25972E+01  8.26770E-01
  5.28453E+01  8.43625E-01
  5.30934E+01  8.46957E-01
  5.33415E+01  8.01316E-01
  5.35896E+01  7.41503E-01
  5.38377E+01  7.05158E-01
  5.40858E+01  6.74479E-01
  5.43339E+01  6.04349E-01
  5.45820E+01  4.97431E-01
  5.48301E+01  4.08398E-01
  5.50782E+01  3.96791E-01
  5.53263E+01  4.73794E-01
  5.55744E+01  5.68914E-01
  5.58225E+01  5.81563E-01
  5.60706E+01  5.17131E-01
  5.63187E+01  4.69714E-01
  5.65668E+01  4.82532E-01
  5.68149E+01  5.23450E-01
  5.70630E+01  5.57937E-01
  5.73111E+01  5.74576E-01
  5.75592E+01  5.74163E-01
  5.78073E+01  5.65454E-01
  5.80554E+01  5.89409E-01
  5.83035E+01  6.81154E-01
  5.85516E+01  7.62797E-01
  5.87997E+01  7.27190E-01
  5.90478E+01  6.38756E-01
  5.92959E+01  6.35035E-01
  5.95440E+01  6.97061E-01
  5.97921E+01  7.16202E-01
  6.00402E+01  6.95351E-01
  6.02883E+01  7.15299E-01
  6.05364E+01  7.83060E-01
  6.07845E+01  8.43908E-01
  6.10326E+01  8.89570E-01
  6.12807E+01  9.56607E-01
  6.15288E+01  1.02664E+00
  6.17769E+01  1.05840E+00
  6.20250E+01  1.07860E+00
  6.22731E+01  1.12914E+00
  6.25212E+01  1.17297E+00
  6.27693E+01  1.14395E+00
  6.30174E+01  1.07055E+00
  6.32655E+01  1.03882E+00
  6.35136E+01  1.06724E+00
  6.37617E+01  1.08476E+00
  6.40098E+01  1.03690E+00
  6.42579E+01  9.51195E-01
  6.45060E+01  8.65842E-01
  6.47541E+01  7.95376E-01
  6.50022E+01  7.61705E-01
  6.52503E+01  7.60532E-01
  6.54984E+01  7.16178E-01
  6.57465E+01  5.89323E-01
  6.59946E+01  4.75162E-01
  6.62427E+01  4.64025E-01
  6.64908E+01  5.09417E-01
  6.67389E+01  5.10303E-01
  6.69870E+01  4.51723E-01
  6.72351E+01  3.73513E-01
  6.74832E+01  2.81145E-01
  6.77313E+01  1.85314E-01
  6.79794E+01  1.29461E-01
  6.82275E+01  1.25524E-01
  6.84756E+01  1.33208E-01
  6.87237E+01  1.37067E-01
  6.89718E+01  1.54812E-01
  6.92199E+01  1.72131E-01
  6.94680E+01  1.50234E-01
  6.97161E+01  8.94868E-02
  6.99642E+01  2.93410E-02
  7.02123E+01 -2.27761E-03
  7.04604E+01  9.07346E-04
  7.07085E+01  3.65674E-02
  7.09566E+01  7.46654E-02
  7.12047E+01  7.38796E-02
  7.14528E+01  3.96024E-02
  7.17009E+01  1.96375E-02
  7.19490E+01  2.57453E-02
  7.21971E+01  2.24334E-02
  7.24452E+01 -3.10590E-03
  7.26933E+01 -2.33870E-02
  7.29414E+01 -1.99667E-02
  7.31895E+01 -5.13391E-04
  7.34376E+01  2.31536E-02
  7.36857E+01  3.85988E-02
  7.39338E+01  3.00017E-02
  7.41819E+01  1.61499E-02
  7.44300E+01  4.17785E-02
  7.46781E+01  9.16619E-02
  7.49262E+01  9.34826E-02
  7.51743E+01  3.66116E-02
  7.54224E+01 -6.11184E-03
  7.56705E+01  8.40529E-04
  7.59186E+01  3.44233E-03
  7.61667E+01 -2.66036E-02
  7.64148E+01 -3.35935E-02
  7.66629E+01  1.13295E-02
  7.69110E+01  4.86141E-02
  7.71591E+01  4.34328E-02
  7.74072E+01  3.90043E-02
  7.76553E+01  5.82327E-02
  7.79034E+01  5.63623E-02
  7.81515E+01  1.38910E-02
  7.83996E+01 -1.84235E-02
  7.86477E+01 -1.29607E-02
  7.88958E+01 -6.28194E-03
  7.91439E+01 -2.00730E-02
  7.93920E+01 -2.68211E-02
  7.96401E+01 -1.11103E-02
  7.98882E+01  7.18159E-03
  8.01363E+01  5.47232E-03
  8.03844E+01 -1.63892E-02
  8.06325E+01 -3.89438E-02
  8.08806E+01 -4.32377E-02
  8.11287E+01 -4.34698E-02
  8.13768E+01 -5.34419E-02
  8.16249E+01 -4.84904E-02
  8.18730E+01 -1.74253E-02
  8.21211E+01 -2.52321E-03
  8.23692E+01 -2.35444E-02
  8.26173E+01 -3.25378E-02
  8.28654E+01  2.84440E-03
  8.31135E+01  3.49244E-02
  8.33616E+01  1.21023E-02
  8.36097E+01 -3.75753E-02
  8.38578E+01 -5.42307E-02
