@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/26/18 at 13:54:58 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -7.29414E+01  9.30384E-02  6.49753E-02
 -7.26933E+01 -2.10838E-02  4.43097E-02
 -7.24452E+01 -5.68131E-02  4.36042E-02
 -7.21971E+01 -2.28048E-02  5.30224E-02
 -7.19490E+01  8.65249E-03  5.09296E-02
 -7.17009E+01 -4.74945E-02  3.51167E-02
 -7.14528E+01 -6.61632E-02  4.58679E-02
 -7.12047E+01 -2.80276E-02  4.58362E-02
 -7.09566E+01 -9.96265E-03  4.91025E-02
 -7.07085E+01 -2.39129E-02  4.51032E-02
 -7.04604E+01 -5.64496E-02  3.80726E-02
 -7.02123E+01 -5.90926E-02  4.19623E-02
 -6.99642E+01 -1.98815E-02  4.89718E-02
 -6.97161E+01 -1.74237E-02  4.70502E-02
 -6.94680E+01 -2.28961E-02  6.13865E-02
 -6.92199E+01  2.05019E-02  5.51514E-02
 -6.89718E+01  2.85998E-03  4.98010E-02
 -6.87237E+01 -4.42025E-02  4.09246E-02
 -6.84756E+01 -1.62286E-02  5.64819E-02
 -6.82275E+01 -6.02555E-03  5.85400E-02
 -6.79794E+01  5.20288E-02  6.04050E-02
 -6.77313E+01  3.98357E-02  6.53311E-02
 -6.74832E+01  3.09664E-02  6.00100E-02
 -6.72351E+01  5.72711E-02  7.35629E-02
 -6.69870E+01  9.39089E-02  6.70046E-02
 -6.67389E+01  5.48112E-03  4.62069E-02
 -6.64908E+01  1.14998E-02  6.92812E-02
 -6.62427E+01  4.73422E-02  6.31746E-02
 -6.59946E+01  7.72837E-02  7.56616E-02
 -6.57465E+01  1.26534E-01  7.81984E-02
 -6.54984E+01  1.02002E-01  7.04682E-02
 -6.52503E+01  8.82536E-02  7.04552E-02
 -6.50022E+01  1.54986E-01  7.87836E-02
 -6.47541E+01  1.55943E-01  7.42284E-02
 -6.45060E+01  8.20898E-02  6.30789E-02
 -6.42579E+01  8.33839E-02  6.83743E-02
 -6.40098E+01  1.45684E-01  7.82058E-02
 -6.37617E+01  2.28185E-01  7.84142E-02
 -6.35136E+01  1.57118E-01  6.91311E-02
 -6.32655E+01  7.91691E-02  6.47811E-02
 -6.30174E+01  8.04371E-02  6.22027E-02
 -6.27693E+01  3.71466E-02  5.47988E-02
 -6.25212E+01  5.94603E-02  6.27151E-02
 -6.22731E+01  1.23032E-01  6.51810E-02
 -6.20250E+01  6.59135E-02  5.94612E-02
 -6.17769E+01  9.51670E-02  7.02795E-02
 -6.15288E+01  7.22927E-02  6.00519E-02
 -6.12807E+01  1.01388E-01  6.77977E-02
 -6.10326E+01  1.09755E-01  6.26943E-02
 -6.07845E+01  3.68828E-02  5.40906E-02
 -6.05364E+01 -2.42516E-02  4.40661E-02
 -6.02883E+01  4.65494E-02  6.56798E-02
 -6.00402E+01  8.34627E-02  5.88892E-02
 -5.97921E+01  7.87330E-02  6.06768E-02
 -5.95440E+01  4.90133E-02  5.54980E-02
 -5.92959E+01  4.75264E-03  5.10464E-02
 -5.90478E+01  9.97693E-03  5.06679E-02
 -5.87997E+01  3.31934E-02  6.00471E-02
 -5.85516E+01  9.86194E-02  6.94460E-02
 -5.83035E+01  8.97734E-02  5.45800E-02
 -5.80554E+01  2.68187E-02  5.28377E-02
 -5.78073E+01  7.52350E-02  6.09770E-02
 -5.75592E+01  4.36636E-02  6.05630E-02
 -5.73111E+01  2.82600E-02  5.51000E-02
 -5.70630E+01  5.16548E-02  5.22422E-02
 -5.68149E+01  2.98397E-02  5.20926E-02
 -5.65668E+01  2.89080E-02  5.64386E-02
 -5.63187E+01  2.01406E-02  5.58298E-02
 -5.60706E+01  8.78264E-02  6.80196E-02
 -5.58225E+01  5.19537E-02  4.94661E-02
 -5.55744E+01  1.28506E-02  5.44101E-02
 -5.53263E+01  3.32726E-02  6.04580E-02
 -5.50782E+01  4.13352E-02  5.39050E-02
 -5.48301E+01  2.98670E-02  5.11764E-02
 -5.45820E+01  4.55918E-02  5.70962E-02
 -5.43339E+01  9.30785E-02  7.32841E-02
 -5.40858E+01  1.28281E-01  6.42407E-02
 -5.38377E+01  8.08320E-02  6.46587E-02
 -5.35896E+01  1.02242E-01  7.18536E-02
 -5.33415E+01  1.88421E-01  7.74854E-02
 -5.30934E+01  1.71875E-01  7.00793E-02
 -5.28453E+01  6.01775E-02  5.61327E-02
 -5.25972E+01  9.45068E-02  6.96746E-02
 -5.23491E+01  9.78485E-02  5.99487E-02
 -5.21010E+01  2.66337E-02  5.05247E-02
 -5.18529E+01  2.91887E-02  5.78926E-02
 -5.16048E+01  4.32340E-02  6.30685E-02
 -5.13567E+01  1.63049E-01  7.93295E-02
 -5.11086E+01  1.73727E-01  6.65495E-02
 -5.08605E+01  6.18565E-02  6.50558E-02
 -5.06124E+01  1.70082E-01  8.03395E-02
 -5.03643E+01  1.78245E-01  7.33572E-02
 -5.01162E+01  1.21305E-01  7.25538E-02
 -4.98681E+01  1.39875E-01  6.54015E-02
 -4.96200E+01  6.84740E-02  5.67127E-02
 -4.93719E+01  4.84229E-03  4.95387E-02
 -4.91238E+01  1.61716E-02  5.52611E-02
 -4.88757E+01  7.08342E-02  7.05864E-02
 -4.86276E+01  1.60302E-01  7.39018E-02
 -4.83795E+01  2.00082E-01  7.58918E-02
 -4.81314E+01  8.30566E-02  5.80268E-02
 -4.78833E+01  3.58799E-02  6.44794E-02
 -4.76352E+01  1.23231E-01  7.31439E-02
 -4.73871E+01  1.64696E-01  7.38963E-02
 -4.71390E+01  2.14038E-01  8.46673E-02
 -4.68909E+01  1.98885E-01  7.78084E-02
 -4.66428E+01  1.65096E-01  7.63353E-02
 -4.63947E+01  1.62000E-01  7.47370E-02
 -4.61466E+01  1.78863E-01  7.51874E-02
 -4.58985E+01  1.48618E-01  6.67905E-02
 -4.56504E+01  1.19960E-01  6.93868E-02
 -4.54023E+01  1.41110E-01  8.04052E-02
 -4.51542E+01  2.13656E-01  8.62524E-02
 -4.49061E+01  2.14757E-01  8.64432E-02
 -4.46580E+01  2.61721E-01  7.81869E-02
 -4.44099E+01  1.85381E-01  7.44832E-02
 -4.41618E+01  1.41969E-01  7.46183E-02
 -4.39137E+01  1.86573E-01  8.45139E-02
 -4.36656E+01  2.46298E-01  8.30175E-02
 -4.34175E+01  2.01671E-01  8.05428E-02
 -4.31694E+01  2.19384E-01  8.44549E-02
 -4.29213E+01  1.88260E-01  7.27076E-02
 -4.26732E+01  1.43718E-01  7.46593E-02
 -4.24251E+01  2.08757E-01  7.79491E-02
 -4.21770E+01  1.96703E-01  8.45483E-02
 -4.19289E+01  2.27090E-01  9.20628E-02
 -4.16808E+01  3.44409E-01  9.74299E-02
 -4.14327E+01  3.48076E-01  9.06474E-02
 -4.11846E+01  2.81173E-01  9.64006E-02
 -4.09365E+01  2.90833E-01  8.57265E-02
 -4.06884E+01  2.93728E-01  9.12673E-02
 -4.04403E+01  2.91866E-01  9.75729E-02
 -4.01922E+01  3.78616E-01  9.95869E-02
 -3.99441E+01  3.81561E-01  9.32368E-02
 -3.96960E+01  3.43436E-01  9.70308E-02
 -3.94479E+01  2.87854E-01  9.39196E-02
 -3.91998E+01  3.99681E-01  1.10585E-01
 -3.89517E+01  5.14260E-01  1.11587E-01
 -3.87036E+01  4.66327E-01  1.11139E-01
 -3.84555E+01  5.10048E-01  1.12840E-01
 -3.82074E+01  4.67321E-01  1.08631E-01
 -3.79593E+01  5.38677E-01  1.12139E-01
 -3.77112E+01  5.08422E-01  1.14863E-01
 -3.74631E+01  4.59723E-01  1.08473E-01
 -3.72150E+01  5.14726E-01  1.18967E-01
 -3.69669E+01  6.73829E-01  1.26157E-01
 -3.67188E+01  6.29912E-01  1.13909E-01
 -3.64707E+01  5.70571E-01  1.26966E-01
 -3.62226E+01  6.96989E-01  1.27631E-01
 -3.59745E+01  6.69557E-01  1.22928E-01
 -3.57264E+01  5.39578E-01  1.11280E-01
 -3.54783E+01  4.74465E-01  1.12954E-01
 -3.52302E+01  6.27515E-01  1.25619E-01
 -3.49821E+01  6.97860E-01  1.30967E-01
 -3.47340E+01  6.43648E-01  1.18031E-01
 -3.44859E+01  6.07335E-01  1.20663E-01
 -3.42378E+01  5.49146E-01  1.17593E-01
 -3.39897E+01  5.52065E-01  1.12371E-01
 -3.37416E+01  4.82780E-01  1.15111E-01
 -3.34935E+01  5.38817E-01  1.17575E-01
 -3.32454E+01  5.91550E-01  1.16972E-01
 -3.29973E+01  4.37274E-01  1.01610E-01
 -3.27492E+01  5.73181E-01  1.34366E-01
 -3.25011E+01  7.38051E-01  1.21258E-01
 -3.22530E+01  6.09350E-01  1.14799E-01
 -3.20049E+01  5.27498E-01  1.12901E-01
 -3.17568E+01  4.42658E-01  1.04111E-01
 -3.15087E+01  4.34896E-01  1.08015E-01
 -3.12606E+01  5.04002E-01  1.14992E-01
 -3.10125E+01  6.27107E-01  1.22590E-01
 -3.07644E+01  5.36382E-01  1.11098E-01
 -3.05163E+01  4.59783E-01  1.11385E-01
 -3.02682E+01  5.19443E-01  1.11495E-01
 -3.00201E+01  4.89126E-01  1.06622E-01
 -2.97720E+01  3.53760E-01  9.60029E-02
 -2.95239E+01  2.82614E-01  9.77296E-02
 -2.92758E+01  4.31315E-01  1.05544E-01
 -2.90277E+01  4.22070E-01  1.07764E-01
 -2.87796E+01  5.38611E-01  1.20334E-01
 -2.85315E+01  4.98469E-01  1.09802E-01
 -2.82834E+01  4.46502E-01  1.06758E-01
 -2.80353E+01  4.80289E-01  1.09011E-01
 -2.77872E+01  4.25071E-01  9.55919E-02
 -2.75391E+01  3.48828E-01  1.01391E-01
 -2.72910E+01  3.89630E-01  1.04248E-01
 -2.70429E+01  3.85801E-01  1.08992E-01
 -2.67948E+01  4.93999E-01  1.09174E-01
 -2.65467E+01  4.09004E-01  9.64634E-02
 -2.62986E+01  3.29929E-01  9.52226E-02
 -2.60505E+01  3.62477E-01  9.46178E-02
 -2.58024E+01  3.21583E-01  9.64496E-02
 -2.55543E+01  3.04484E-01  9.52493E-02
 -2.53062E+01  3.29947E-01  9.22440E-02
 -2.50581E+01  2.50802E-01  8.54350E-02
 -2.48100E+01  1.69259E-01  7.77155E-02
 -2.45619E+01  2.03807E-01  8.46591E-02
 -2.43138E+01  2.80664E-01  9.32737E-02
 -2.40657E+01  3.21756E-01  9.20021E-02
 -2.38176E+01  2.38227E-01  8.39081E-02
 -2.35695E+01  2.92216E-01  9.86984E-02
 -2.33214E+01  4.65461E-01  1.16269E-01
 -2.30733E+01  4.31434E-01  9.31266E-02
 -2.28252E+01  1.78950E-01  7.72512E-02
 -2.25771E+01  1.71845E-01  8.90785E-02
 -2.23290E+01  2.95661E-01  8.96210E-02
 -2.20809E+01  3.94347E-01  1.00718E-01
 -2.18328E+01  3.34993E-01  9.60635E-02
 -2.15847E+01  2.64684E-01  8.57466E-02
 -2.13366E+01  2.11658E-01  8.75827E-02
 -2.10885E+01  2.82102E-01  9.53798E-02
 -2.08404E+01  2.99919E-01  9.51650E-02
 -2.05923E+01  3.46512E-01  1.06707E-01
 -2.03442E+01  4.35053E-01  1.01743E-01
 -2.00961E+01  3.71728E-01  9.79135E-02
 -1.98480E+01  3.02638E-01  9.17327E-02
 -1.95999E+01  2.83162E-01  8.94159E-02
 -1.93518E+01  2.61946E-01  9.31141E-02
 -1.91037E+01  3.01445E-01  9.91290E-02
 -1.88556E+01  3.91876E-01  1.05651E-01
 -1.86075E+01  3.99002E-01  9.29973E-02
 -1.83594E+01  2.71032E-01  9.50201E-02
 -1.81113E+01  3.56957E-01  9.70760E-02
 -1.78632E+01  2.82407E-01  9.22461E-02
 -1.76151E+01  2.73735E-01  8.94528E-02
 -1.73670E+01  2.48548E-01  8.92933E-02
 -1.71189E+01  2.41889E-01  9.22944E-02
 -1.68708E+01  3.01430E-01  9.44784E-02
 -1.66227E+01  4.16726E-01  1.16683E-01
 -1.63746E+01  5.01008E-01  1.03219E-01
 -1.61265E+01  3.30456E-01  9.79262E-02
 -1.58784E+01  3.39087E-01  9.41500E-02
 -1.56303E+01  3.06187E-01  8.77400E-02
 -1.53822E+01  2.67748E-01  9.85127E-02
 -1.51341E+01  3.40151E-01  9.70283E-02
 -1.48860E+01  2.97820E-01  9.23143E-02
 -1.46379E+01  2.90153E-01  9.71407E-02
 -1.43898E+01  3.17305E-01  8.66178E-02
 -1.41417E+01  1.72460E-01  7.94376E-02
 -1.38936E+01  1.97906E-01  9.38665E-02
 -1.36455E+01  3.94339E-01  1.07332E-01
 -1.33974E+01  3.77888E-01  9.25616E-02
 -1.31493E+01  2.27438E-01  8.67058E-02
 -1.29012E+01  3.01764E-01  9.80483E-02
 -1.26531E+01  3.05400E-01  9.01552E-02
 -1.24050E+01  2.13542E-01  8.69433E-02
 -1.21569E+01  2.57684E-01  9.29469E-02
 -1.19088E+01  3.22492E-01  1.00136E-01
 -1.16607E+01  2.96143E-01  8.98991E-02
 -1.14126E+01  1.78174E-01  8.62879E-02
 -1.11645E+01  2.02449E-01  8.04472E-02
 -1.09164E+01  1.91134E-01  8.14625E-02
 -1.06683E+01  2.19084E-01  9.68276E-02
 -1.04202E+01  4.03679E-01  1.09302E-01
 -1.01721E+01  4.04684E-01  9.95307E-02
 -9.92400E+00  2.78997E-01  8.92415E-02
 -9.67590E+00  1.84927E-01  8.21996E-02
 -9.42780E+00  1.65797E-01  8.55118E-02
 -9.17970E+00  2.39582E-01  9.95776E-02
 -8.93160E+00  3.28856E-01  9.77079E-02
 -8.68350E+00  3.88648E-01  1.02685E-01
