@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/26/18 at 13:54:58 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -7.28756E+01  3.42557E+00  3.08375E+00
 -7.26275E+01 -2.10426E+00  1.89226E+00
 -7.23794E+01 -2.78970E+00  2.34543E+00
 -7.21313E+01 -5.18815E-01  2.83891E+00
 -7.18832E+01  3.93387E-01  2.52144E+00
 -7.16351E+01 -3.56823E+00  1.45259E+00
 -7.13870E+01 -3.04398E+00  2.59926E+00
 -7.11389E+01 -9.19842E-01  2.25104E+00
 -7.08908E+01 -5.91066E-01  2.60491E+00
 -7.06427E+01 -1.63375E+00  2.19507E+00
 -7.03946E+01 -3.34336E+00  1.85453E+00
 -7.01465E+01 -2.76011E+00  2.24723E+00
 -6.98984E+01 -5.10538E-01  2.59730E+00
 -6.96503E+01 -1.19815E+00  2.33962E+00
 -6.94022E+01 -9.85596E-01  3.38954E+00
 -6.91541E+01  1.65402E+00  2.59211E+00
 -6.89060E+01 -6.93993E-01  2.53686E+00
 -6.86579E+01 -2.59343E+00  1.91314E+00
 -6.84098E+01 -1.10899E-01  3.17464E+00
 -6.81617E+01 -2.92188E-01  2.93351E+00
 -6.79136E+01  3.68459E+00  3.15125E+00
 -6.76655E+01  1.30316E+00  3.41543E+00
 -6.74174E+01  1.99940E+00  2.94193E+00
 -6.71693E+01  3.43378E+00  4.02640E+00
 -6.69212E+01  4.97140E+00  3.19173E+00
 -6.66731E+01 -1.30189E+00  1.98734E+00
 -6.64250E+01  1.77016E+00  3.96563E+00
 -6.61769E+01  2.67796E+00  2.92931E+00
 -6.59288E+01  4.66546E+00  4.16628E+00
 -6.56807E+01  7.07835E+00  3.94736E+00
 -6.54326E+01  4.61627E+00  3.48087E+00
 -6.51845E+01  5.08150E+00  3.65539E+00
 -6.49364E+01  9.11231E+00  4.16577E+00
 -6.46883E+01  7.34693E+00  3.66342E+00
 -6.44402E+01  3.45633E+00  3.06115E+00
 -6.41921E+01  5.21003E+00  3.64986E+00
 -6.39440E+01  8.68795E+00  4.12845E+00
 -6.36959E+01  1.25521E+01  3.97691E+00
 -6.34478E+01  6.29476E+00  3.37117E+00
 -6.31997E+01  3.84145E+00  3.30018E+00
 -6.29516E+01  4.32989E+00  3.14519E+00
 -6.27035E+01  1.25678E+00  2.67533E+00
 -6.24554E+01  4.18113E+00  3.38673E+00
 -6.22073E+01  6.80698E+00  3.32249E+00
 -6.19592E+01  2.33295E+00  2.94056E+00
 -6.17111E+01  6.06171E+00  3.81143E+00
 -6.14630E+01  2.96073E+00  2.76387E+00
 -6.12149E+01  6.31239E+00  3.69683E+00
 -6.09668E+01  5.06844E+00  3.01810E+00
 -6.07187E+01  7.51445E-01  2.67672E+00
 -6.04706E+01 -1.36662E+00  2.08586E+00
 -6.02225E+01  3.97965E+00  3.72079E+00
 -5.99744E+01  4.17047E+00  2.71872E+00
 -5.97263E+01  3.98222E+00  3.23830E+00
 -5.94782E+01  1.94385E+00  2.68668E+00
 -5.92301E+01 -1.51183E-01  2.58923E+00
 -5.89820E+01  9.88233E-01  2.59852E+00
 -5.87339E+01  2.19857E+00  3.23200E+00
 -5.84858E+01  6.03772E+00  3.66891E+00
 -5.82377E+01  3.80265E+00  2.40469E+00
 -5.79896E+01  9.60686E-01  2.80853E+00
 -5.77415E+01  4.97218E+00  3.23075E+00
 -5.74934E+01  1.11772E+00  3.05560E+00
 -5.72453E+01  1.93462E+00  2.73430E+00
 -5.69972E+01  2.83009E+00  2.65561E+00
 -5.67491E+01  1.09736E+00  2.67389E+00
 -5.65010E+01  1.74369E+00  2.96650E+00
 -5.62529E+01  1.07329E+00  2.82127E+00
 -5.60048E+01  5.65790E+00  3.69573E+00
 -5.57567E+01  1.33641E+00  1.95185E+00
 -5.55086E+01  8.10846E-01  3.03369E+00
 -5.52605E+01  2.12058E+00  3.12046E+00
 -5.50124E+01  2.06804E+00  2.62034E+00
 -5.47643E+01  1.49076E+00  2.62275E+00
 -5.45162E+01  2.93936E+00  3.02734E+00
 -5.42681E+01  5.58464E+00  3.98515E+00
 -5.40200E+01  6.77182E+00  3.00170E+00
 -5.37719E+01  3.46717E+00  3.41837E+00
 -5.35238E+01  6.56235E+00  3.77211E+00
 -5.32757E+01  1.07183E+01  4.03924E+00
 -5.30276E+01  7.77299E+00  3.41409E+00
 -5.27795E+01  1.98176E+00  2.65499E+00
 -5.25314E+01  6.29587E+00  3.84731E+00
 -5.22833E+01  4.20697E+00  2.73778E+00
 -5.20352E+01  6.25991E-01  2.53271E+00
 -5.17871E+01  2.14061E+00  3.10802E+00
 -5.15390E+01  2.73458E+00  3.27486E+00
 -5.12909E+01  1.04681E+01  4.31450E+00
 -5.10428E+01  7.78511E+00  3.01691E+00
 -5.07947E+01  2.39390E+00  3.44039E+00
 -5.05466E+01  1.14361E+01  4.33470E+00
 -5.02985E+01  7.91286E+00  3.52737E+00
 -5.00504E+01  6.15180E+00  3.78373E+00
 -4.98023E+01  7.53868E+00  3.18015E+00
 -4.95542E+01  1.96298E+00  2.80004E+00
 -4.93061E+01  9.81423E-02  2.43669E+00
 -4.90580E+01  1.46532E+00  2.96109E+00
 -4.88099E+01  4.76949E+00  3.82593E+00
 -4.85618E+01  9.56575E+00  3.77213E+00
 -4.83137E+01  1.00377E+01  3.92962E+00
 -4.80656E+01  2.30801E+00  2.54045E+00
 -4.78175E+01  2.60083E+00  3.53922E+00
 -4.75694E+01  7.92101E+00  3.82016E+00
 -4.73213E+01  8.78588E+00  3.77386E+00
 -4.70732E+01  1.19398E+01  4.52465E+00
 -4.68251E+01  9.64048E+00  3.77345E+00
 -4.65770E+01  8.50012E+00  3.95975E+00
 -4.63289E+01  8.65926E+00  3.78103E+00
 -4.60808E+01  9.50669E+00  3.87780E+00
 -4.58327E+01  7.09695E+00  3.24178E+00
 -4.55846E+01  6.30621E+00  3.66178E+00
 -4.53365E+01  8.14293E+00  4.27309E+00
 -4.50884E+01  1.21530E+01  4.47093E+00
 -4.48403E+01  1.09493E+01  4.41384E+00
 -4.45922E+01  1.44248E+01  3.84809E+00
 -4.43441E+01  7.83758E+00  3.80471E+00
 -4.40960E+01  7.94938E+00  3.82985E+00
 -4.38479E+01  1.06572E+01  4.49732E+00
 -4.35998E+01  1.33552E+01  4.16196E+00
 -4.33517E+01  9.60998E+00  4.11395E+00
 -4.31036E+01  1.22540E+01  4.40169E+00
 -4.28555E+01  8.79864E+00  3.44845E+00
 -4.26074E+01  7.63618E+00  3.95262E+00
 -4.23593E+01  1.21020E+01  4.00865E+00
 -4.21112E+01  9.65836E+00  4.44301E+00
 -4.18631E+01  1.33369E+01  4.81215E+00
 -4.16150E+01  1.94513E+01  5.05539E+00
 -4.13669E+01  1.72794E+01  4.48677E+00
 -4.11188E+01  1.41465E+01  5.09285E+00
 -4.08707E+01  1.58754E+01  4.11000E+00
 -4.06226E+01  1.52178E+01  4.86463E+00
 -4.03745E+01  1.58015E+01  5.04709E+00
 -4.01264E+01  2.12241E+01  5.12238E+00
 -3.98783E+01  1.91857E+01  4.64611E+00
 -3.96302E+01  1.76137E+01  5.08399E+00
 -3.93821E+01  1.49282E+01  4.71005E+00
 -3.91340E+01  2.36510E+01  5.97392E+00
 -3.88859E+01  2.74350E+01  5.62179E+00
 -3.86378E+01  2.35196E+01  5.72040E+00
 -3.83897E+01  2.79811E+01  5.80346E+00
 -3.81416E+01  2.34878E+01  5.47752E+00
 -3.78935E+01  3.00484E+01  5.83944E+00
 -3.76454E+01  2.50688E+01  5.90165E+00
 -3.73973E+01  2.44631E+01  5.42821E+00
 -3.71492E+01  2.86238E+01  6.31927E+00
 -3.69011E+01  3.72161E+01  6.51532E+00
 -3.66530E+01  3.10506E+01  5.57072E+00
 -3.64049E+01  3.05688E+01  6.81150E+00
 -3.61568E+01  3.85273E+01  6.43828E+00
 -3.59087E+01  3.30815E+01  6.24712E+00
 -3.56606E+01  2.69349E+01  5.49124E+00
 -3.54125E+01  2.53453E+01  5.89076E+00
 -3.51644E+01  3.58886E+01  6.62235E+00
 -3.49163E+01  3.60885E+01  6.74183E+00
 -3.46682E+01  3.29388E+01  5.77619E+00
 -3.44201E+01  3.15600E+01  6.32268E+00
 -3.41720E+01  2.80844E+01  5.91386E+00
 -3.39239E+01  2.92784E+01  5.69997E+00
 -3.36758E+01  2.42958E+01  5.96780E+00
 -3.34277E+01  3.01495E+01  6.04440E+00
 -3.31796E+01  3.04539E+01  5.97467E+00
 -3.29315E+01  2.11568E+01  4.89892E+00
 -3.26834E+01  3.43156E+01  7.47320E+00
 -3.24353E+01  3.89214E+01  5.68925E+00
 -3.21872E+01  2.91504E+01  5.94999E+00
 -3.19391E+01  2.75155E+01  5.72378E+00
 -3.16910E+01  2.19817E+01  5.18639E+00
 -3.14429E+01  2.38237E+01  5.65477E+00
 -3.11948E+01  2.77707E+01  5.97516E+00
 -3.09467E+01  3.40430E+01  6.38807E+00
 -3.06986E+01  2.56109E+01  5.41899E+00
 -3.04505E+01  2.44693E+01  5.80755E+00
 -3.02024E+01  2.81566E+01  5.67792E+00
 -2.99543E+01  2.41152E+01  5.38316E+00
 -2.97062E+01  1.67851E+01  4.73996E+00
 -2.94581E+01  1.53104E+01  5.10050E+00
 -2.92100E+01  2.51763E+01  5.51451E+00
 -2.89619E+01  2.11075E+01  5.52396E+00
 -2.87138E+01  3.07533E+01  6.38145E+00
 -2.84657E+01  2.39333E+01  5.32664E+00
 -2.82176E+01  2.38781E+01  5.52076E+00
 -2.79695E+01  2.54623E+01  5.60854E+00
 -2.77214E+01  2.09307E+01  4.61419E+00
 -2.74733E+01  1.79495E+01  5.38937E+00
 -2.72252E+01  2.15151E+01  5.32383E+00
 -2.69771E+01  2.01091E+01  5.67559E+00
 -2.67290E+01  2.76071E+01  5.56387E+00
 -2.64809E+01  1.87335E+01  4.69779E+00
 -2.62328E+01  1.75665E+01  4.94269E+00
 -2.59847E+01  1.94471E+01  4.81320E+00
 -2.57366E+01  1.59027E+01  4.98739E+00
 -2.54885E+01  1.63519E+01  4.84097E+00
 -2.52404E+01  1.72972E+01  4.68415E+00
 -2.49923E+01  1.14540E+01  4.26116E+00
 -2.47442E+01  8.58890E+00  3.87604E+00
 -2.44961E+01  1.19250E+01  4.49278E+00
 -2.42480E+01  1.56399E+01  4.87833E+00
 -2.39999E+01  1.67784E+01  4.65304E+00
 -2.37518E+01  1.13427E+01  4.16394E+00
 -2.35037E+01  1.77378E+01  5.34305E+00
 -2.32556E+01  2.60879E+01  6.16413E+00
 -2.30075E+01  2.00014E+01  4.15512E+00
 -2.27594E+01  6.32034E+00  3.88446E+00
 -2.25113E+01  1.13076E+01  4.78596E+00
 -2.22632E+01  1.70366E+01  4.51972E+00
 -2.20151E+01  2.13329E+01  5.37318E+00
 -2.17670E+01  1.58316E+01  4.74843E+00
 -2.15189E+01  1.34234E+01  4.25782E+00
 -2.12708E+01  1.08326E+01  4.56757E+00
 -2.10227E+01  1.63929E+01  4.99732E+00
 -2.07746E+01  1.54528E+01  4.83134E+00
 -2.05265E+01  1.95461E+01  5.67959E+00
 -2.02784E+01  2.34365E+01  5.03376E+00
 -2.00303E+01  1.77445E+01  5.01061E+00
 -1.97822E+01  1.55773E+01  4.58272E+00
 -1.95341E+01  1.47217E+01  4.58089E+00
 -1.92860E+01  1.37102E+01  4.83766E+00
 -1.90379E+01  1.70002E+01  5.16348E+00
 -1.87898E+01  2.15897E+01  5.50062E+00
 -1.85417E+01  1.99865E+01  4.46937E+00
 -1.82936E+01  1.28218E+01  5.00490E+00
 -1.80455E+01  2.08371E+01  4.96259E+00
 -1.77974E+01  1.23647E+01  4.63809E+00
 -1.75493E+01  1.54687E+01  4.56330E+00
 -1.73012E+01  1.20884E+01  4.57935E+00
 -1.70531E+01  1.34177E+01  4.78173E+00
 -1.68050E+01  1.70772E+01  4.86191E+00
 -1.65569E+01  2.35916E+01  6.33361E+00
 -1.63088E+01  2.61346E+01  4.85603E+00
 -1.60607E+01  1.43889E+01  5.07446E+00
 -1.58126E+01  1.95260E+01  4.73016E+00
 -1.55645E+01  1.45266E+01  4.40766E+00
 -1.53164E+01  1.45360E+01  5.25952E+00
 -1.50683E+01  1.88051E+01  4.86312E+00
 -1.48202E+01  1.43485E+01  4.68081E+00
 -1.45721E+01  1.59075E+01  5.07999E+00
 -1.43240E+01  1.62442E+01  4.18190E+00
 -1.40759E+01  6.86111E+00  4.02897E+00
 -1.38278E+01  1.29656E+01  5.06187E+00
 -1.35797E+01  2.28045E+01  5.64905E+00
 -1.33316E+01  1.76992E+01  4.36903E+00
 -1.30835E+01  1.07097E+01  4.46877E+00
 -1.28354E+01  1.79763E+01  5.20964E+00
 -1.25873E+01  1.46171E+01  4.38646E+00
 -1.23392E+01  1.05306E+01  4.47908E+00
 -1.20911E+01  1.50555E+01  4.86056E+00
 -1.18430E+01  1.71676E+01  5.22479E+00
 -1.15949E+01  1.44318E+01  4.36109E+00
 -1.13468E+01  7.98202E+00  4.44259E+00
 -1.10987E+01  1.18734E+01  3.99965E+00
 -1.08506E+01  9.38622E+00  4.23505E+00
 -1.06025E+01  1.31533E+01  5.19857E+00
 -1.03544E+01  2.36148E+01  5.73852E+00
 -1.01063E+01  1.93281E+01  4.84814E+00
 -9.85815E+00  1.30085E+01  4.46865E+00
 -9.61005E+00  8.97540E+00  4.11483E+00
 -9.36195E+00  9.21795E+00  4.47373E+00
 -9.11385E+00  1.40840E+01  5.31078E+00
 -8.86575E+00  1.82681E+01  4.89154E+00
 -8.61765E+00  2.03022E+01  5.38861E+00
