@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/26/18 at 13:58:12 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -7.92685E+01 -2.22904E+00  0.00000E+00
 -7.90219E+01 -3.24406E-01  8.96981E-02
 -7.87753E+01  1.65634E+00  8.10848E+00
 -7.85287E+01  2.24108E+00  1.65822E+00
 -7.82821E+01 -2.07044E+00  0.00000E+00
 -7.80355E+01 -2.23071E+00  0.00000E+00
 -7.77889E+01 -2.22998E+00  0.00000E+00
 -7.75424E+01  2.00340E+00  8.07383E+00
 -7.72958E+01  1.96451E+00  2.27946E+00
 -7.70492E+01 -2.50414E-01  4.18230E+00
 -7.68026E+01  5.26839E+00  5.44082E+00
 -7.65560E+01  3.77898E-01  8.04147E-01
 -7.63094E+01 -2.20812E+00  0.00000E+00
 -7.60628E+01 -2.09442E+00  1.11258E+00
 -7.58162E+01  7.35027E-01  3.39561E+00
 -7.55696E+01  5.58740E-01  1.60881E+00
 -7.53230E+01 -1.64184E+00  6.28831E-01
 -7.50764E+01  1.35782E+00  2.33586E+00
 -7.48299E+01  5.68956E-01  1.01938E+00
 -7.45833E+01 -4.38621E-01  1.48696E+00
 -7.43367E+01 -1.08456E+00  0.00000E+00
 -7.40901E+01 -1.24261E+00  1.06211E+00
 -7.38435E+01 -7.02851E-01  1.60841E+00
 -7.35969E+01  1.70951E+00  2.30241E+00
 -7.33503E+01  1.79335E+00  1.43059E+00
 -7.31037E+01 -7.04725E-01  1.51005E+00
 -7.28571E+01  3.08725E+00  2.62097E+00
 -7.26105E+01  1.35252E+00  1.41675E+00
 -7.23639E+01 -4.63476E-01  1.20656E+00
 -7.21174E+01  4.23066E-01  1.80147E+00
 -7.18708E+01  1.08424E+00  1.78641E+00
 -7.16242E+01  2.71199E-01  2.01111E+00
 -7.13776E+01  2.65155E+00  1.93389E+00
