@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/24/18 at 16:19:09 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -7.96421E+01 -8.30417E-03  0.00000E+00
 -7.93924E+01 -8.30548E-03  0.00000E+00
 -7.91428E+01 -8.30678E-03  0.00000E+00
 -7.88931E+01 -8.30809E-03  0.00000E+00
 -7.86434E+01 -8.30941E-03  0.00000E+00
 -7.83938E+01 -8.35950E-03  0.00000E+00
 -7.81441E+01 -8.06320E-03  1.84054E-03
 -7.78944E+01  6.59185E-03  1.59565E-02
 -7.76448E+01 -7.52429E-03  3.78653E-03
 -7.73951E+01 -8.31872E-03  0.00000E+00
 -7.71455E+01 -8.31723E-03  0.00000E+00
 -7.68958E+01 -8.32412E-03  0.00000E+00
 -7.66461E+01 -8.34566E-03  6.15405E-04
 -7.63965E+01 -6.43587E-03  5.66899E-03
 -7.61468E+01  8.04961E-03  1.67568E-02
 -7.58972E+01  5.79947E-03  1.60924E-02
 -7.56475E+01  6.46294E-03  2.21243E-02
 -7.53978E+01  1.64643E-02  1.58814E-02
 -7.51482E+01 -8.40927E-03  0.00000E+00
 -7.48985E+01 -8.32899E-03  0.00000E+00
 -7.46488E+01 -8.33030E-03  0.00000E+00
 -7.43992E+01 -8.33160E-03  0.00000E+00
 -7.41495E+01 -8.33291E-03  0.00000E+00
 -7.38999E+01 -8.33424E-03  0.00000E+00
 -7.36502E+01 -8.37587E-03  0.00000E+00
 -7.34005E+01 -8.17752E-03  2.46213E-03
 -7.31509E+01  3.80803E-03  2.13554E-02
 -7.29012E+01  4.89040E-03  8.03510E-03
 -7.26516E+01  2.33028E-02  2.30545E-02
 -7.24019E+01  3.86800E-03  1.45310E-02
 -7.21522E+01 -8.39473E-03  0.00000E+00
 -7.19026E+01 -8.33864E-03  8.44771E-04
 -7.16529E+01 -5.02006E-03  7.55661E-03
 -7.14032E+01  5.82784E-03  1.64140E-02
 -7.11536E+01  4.82023E-03  2.14980E-02
 -7.09039E+01  5.96020E-03  8.03754E-03
 -7.06543E+01  5.17156E-03  1.52313E-02
 -7.04046E+01 -8.39601E-03  0.00000E+00
 -7.01549E+01 -8.36329E-03  0.00000E+00
 -6.99053E+01 -8.35280E-03  8.05940E-04
 -6.96556E+01 -5.27256E-03  7.20481E-03
 -6.94060E+01  5.28750E-03  1.53238E-02
 -6.91563E+01 -8.14432E-03  3.52830E-03
 -6.89066E+01  1.50600E-02  3.06897E-02
 -6.86570E+01  2.84406E-02  2.28456E-02
 -6.84073E+01  1.48090E-02  1.58282E-02
 -6.81576E+01 -8.35594E-03  6.65760E-04
 -6.79080E+01 -6.19497E-03  6.03835E-03
 -6.76583E+01  5.52863E-03  1.54477E-02
 -6.74087E+01 -6.82025E-03  5.29195E-03
 -6.71590E+01  7.69061E-03  1.67070E-02
 -6.69093E+01  2.27108E-02  2.84173E-02
 -6.66597E+01  4.01807E-02  3.04107E-02
 -6.64100E+01  2.14260E-03  0.00000E+00
 -6.61603E+01 -8.41000E-03  0.00000E+00
 -6.59107E+01 -8.37691E-03  0.00000E+00
 -6.56610E+01 -8.40996E-03  3.81888E-04
 -6.54114E+01 -8.02299E-03  4.15654E-03
 -6.51617E+01  3.01858E-03  2.19318E-02
 -6.49120E+01  1.46190E-02  2.13603E-02
 -6.46624E+01  2.97115E-03  9.54222E-03
 -6.44127E+01  2.81239E-02  3.40262E-02
 -6.41631E+01  1.46180E-02  4.66491E-03
 -6.39134E+01 -4.59922E-03  7.79033E-03
 -6.36637E+01  1.69301E-02  2.64036E-02
 -6.34141E+01  1.99501E-03  3.89060E-03
 -6.31644E+01  9.34506E-04  2.16187E-02
 -6.29147E+01  1.87017E-02  2.42315E-02
 -6.26651E+01  5.19455E-02  3.74698E-02
 -6.24154E+01  2.69750E-02  2.30903E-02
 -6.21658E+01  1.67630E-02  1.70502E-02
 -6.19161E+01  2.09686E-02  2.78474E-02
 -6.16664E+01  4.21664E-02  2.65388E-02
 -6.14168E+01  3.28540E-02  2.64585E-02
 -6.11671E+01  1.46934E-03  1.31217E-02
 -6.09175E+01 -3.11881E-03  1.16507E-02
 -6.06678E+01  2.76182E-02  3.38660E-02
 -6.04181E+01  2.48212E-02  2.27696E-02
 -6.01685E+01  2.48023E-02  3.05512E-02
 -5.99188E+01  1.66361E-02  7.17522E-03
