@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/24/18 at 16:19:09 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -7.96454E+01 -4.40071E-01  0.00000E+00
 -7.93957E+01 -4.40140E-01  0.00000E+00
 -7.91460E+01 -4.40209E-01  0.00000E+00
 -7.88964E+01 -4.40278E-01  0.00000E+00
 -7.86467E+01 -4.40348E-01  0.00000E+00
 -7.83971E+01 -4.40424E-01  0.00000E+00
 -7.81474E+01 -4.40209E-01  0.00000E+00
 -7.78977E+01  3.56484E-01  8.49712E-01
 -7.76481E+01 -3.95713E-01  2.01715E-01
 -7.73984E+01 -4.40696E-01  0.00000E+00
 -7.71487E+01 -4.40763E-01  0.00000E+00
 -7.68991E+01 -4.40839E-01  0.00000E+00
 -7.66494E+01 -4.40919E-01  0.00000E+00
 -7.63998E+01 -3.51947E-01  2.84111E-01
 -7.61501E+01  4.25660E-01  8.87301E-01
 -7.59004E+01  3.09239E-01  8.46489E-01
 -7.56508E+01  3.30793E-01  1.17455E+00
 -7.54011E+01  8.88171E-01  8.46030E-01
 -7.51515E+01 -4.41331E-01  0.00000E+00
 -7.49018E+01 -4.41386E-01  0.00000E+00
 -7.46521E+01 -4.41455E-01  0.00000E+00
 -7.44025E+01 -4.41525E-01  0.00000E+00
 -7.41528E+01 -4.41594E-01  0.00000E+00
 -7.39031E+01 -4.41663E-01  0.00000E+00
 -7.36535E+01 -4.41784E-01  0.00000E+00
 -7.34038E+01 -4.41694E-01  0.00000E+00
 -7.31542E+01  2.02431E-01  1.13668E+00
 -7.29045E+01  2.42560E-01  4.04034E-01
 -7.26548E+01  1.24301E+00  1.22490E+00
 -7.24052E+01  2.16969E-01  7.74088E-01
 -7.21555E+01 -4.42190E-01  0.00000E+00
 -7.19058E+01 -4.42216E-01  0.00000E+00
 -7.16562E+01 -2.74400E-01  3.90001E-01
 -7.14065E+01  3.07842E-01  8.64377E-01
 -7.11569E+01  2.54744E-01  1.14422E+00
 -7.09072E+01  3.13704E-01  4.17811E-01
 -7.06575E+01  2.83702E-01  8.11398E-01
 -7.04079E+01 -4.42583E-01  0.00000E+00
 -7.01582E+01 -4.42708E-01  0.00000E+00
 -6.99086E+01 -4.42770E-01  0.00000E+00
 -6.96589E+01 -2.89938E-01  3.72074E-01
 -6.94092E+01  2.91948E-01  8.16324E-01
 -6.91596E+01 -4.42958E-01  0.00000E+00
 -6.89099E+01  7.82267E-01  1.62889E+00
 -6.86602E+01  1.51008E+00  1.21313E+00
 -6.84106E+01  8.03717E-01  8.43193E-01
 -6.81609E+01 -4.38009E-01  0.00000E+00
 -6.79113E+01 -3.39214E-01  3.07358E-01
 -6.76616E+01  3.02174E-01  8.22362E-01
 -6.74119E+01 -3.66771E-01  2.63300E-01
 -6.71623E+01  3.97921E-01  8.72966E-01
 -6.69126E+01  1.18170E+00  1.50225E+00
 -6.66630E+01  2.15093E+00  1.62003E+00
 -6.64133E+01  1.27613E-01  0.00000E+00
 -6.61636E+01 -4.43827E-01  0.00000E+00
 -6.59140E+01 -4.43882E-01  0.00000E+00
 -6.56643E+01 -4.43976E-01  0.00000E+00
 -6.54146E+01 -4.30745E-01  1.76304E-01
 -6.51650E+01  1.47616E-01  1.16096E+00
 -6.49153E+01  7.85525E-01  1.13664E+00
 -6.46657E+01  1.39519E-01  4.63316E-01
 -6.44160E+01  1.49176E+00  1.81241E+00
 -6.41663E+01  7.94526E-01  2.44568E-01
 -6.39167E+01 -2.58150E-01  3.81956E-01
 -6.36670E+01  9.03604E-01  1.40644E+00
 -6.34174E+01  1.12162E-01  1.59944E-01
 -6.31677E+01  4.35447E-02  1.14230E+00
 -6.29180E+01  9.60144E-01  1.27024E+00
 -6.26684E+01  2.76253E+00  1.99106E+00
 -6.24187E+01  1.44169E+00  1.22574E+00
 -6.21690E+01  8.91144E-01  8.92213E-01
 -6.19194E+01  1.09409E+00  1.47460E+00
 -6.16697E+01  2.23161E+00  1.40441E+00
 -6.14201E+01  1.76364E+00  1.40720E+00
 -6.11704E+01  9.22856E-02  6.95747E-01
 -6.09207E+01 -1.86484E-01  5.84917E-01
 -6.06711E+01  1.46019E+00  1.79879E+00
 -6.04214E+01  1.31440E+00  1.19836E+00
 -6.01717E+01  1.31861E+00  1.62696E+00
 -5.99221E+01  8.89549E-01  3.67476E-01
