@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 04/18/18 at 13:29:20 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -6.52555E+01  1.54305E-01  5.36434E-02
 -6.50064E+01  6.80004E-02  4.70380E-02
 -6.47573E+01  1.62291E-04  4.68951E-02
 -6.45083E+01  2.20539E-02  5.32917E-02
 -6.42592E+01  6.49063E-02  6.14962E-02
 -6.40101E+01  7.10762E-02  6.09333E-02
 -6.37611E+01  6.46827E-02  5.90807E-02
 -6.35120E+01  9.61711E-02  6.44147E-02
 -6.32629E+01  1.19781E-01  7.11794E-02
 -6.30139E+01  1.35871E-01  6.91122E-02
 -6.27648E+01  1.38424E-01  6.68339E-02
 -6.25157E+01  8.65821E-02  6.94016E-02
 -6.22667E+01  8.33439E-02  6.44039E-02
 -6.20176E+01  9.44316E-02  5.09732E-02
 -6.17685E+01  2.54100E-02  3.85821E-02
 -6.15195E+01 -2.45773E-02  3.99389E-02
 -6.12704E+01  2.06890E-02  6.17491E-02
 -6.10213E+01  1.15303E-01  7.51948E-02
 -6.07723E+01  1.42330E-01  6.11479E-02
 -6.05232E+01  6.37030E-02  4.74741E-02
 -6.02741E+01  1.33811E-02  4.43914E-02
 -6.00251E+01  3.55786E-02  5.69214E-02
 -5.97760E+01  5.80015E-02  6.05193E-02
 -5.95269E+01  4.11800E-02  4.34719E-02
 -5.92779E+01  1.47471E-02  4.69982E-02
 -5.90288E+01  3.53047E-02  6.08821E-02
 -5.87797E+01  9.52192E-02  6.59823E-02
 -5.85307E+01  1.06894E-01  5.95959E-02
 -5.82816E+01  4.64883E-02  4.72581E-02
 -5.80325E+01  6.58743E-04  4.35601E-02
 -5.77835E+01 -1.26118E-02  4.33367E-02
 -5.75344E+01  1.98974E-02  4.68093E-02
 -5.72853E+01  1.46470E-02  5.00690E-02
