@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 04/18/18 at 13:30:08 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -7.49930E+01  1.82846E+00  2.23704E+00
 -7.47432E+01 -1.59580E+00  1.00474E+00
 -7.44934E+01 -3.32321E+00  1.38669E+00
 -7.42437E+01 -1.62540E+00  1.98391E+00
 -7.39939E+01 -1.43926E+00  1.99584E+00
 -7.37441E+01 -9.41221E-01  1.51197E+00
 -7.34944E+01  1.80723E+00  3.19434E+00
 -7.32446E+01  8.78780E-01  1.45939E+00
 -7.29948E+01 -2.34238E+00  1.50456E+00
 -7.27450E+01 -1.44696E+00  2.02164E+00
 -7.24953E+01  7.05550E-01  2.36427E+00
 -7.22455E+01 -1.14026E+00  9.98285E-01
 -7.19957E+01 -3.50925E+00  6.75011E-01
 -7.17459E+01 -7.39632E-01  2.42390E+00
 -7.14962E+01 -9.53405E-01  2.00717E+00
 -7.12464E+01 -3.32528E-01  1.70581E+00
 -7.09966E+01 -2.12189E+00  1.71053E+00
 -7.07469E+01 -2.41745E+00  1.02555E+00
 -7.04971E+01 -1.05911E+00  2.29749E+00
 -7.02473E+01 -1.05078E-01  1.92814E+00
 -6.99975E+01 -2.28489E+00  1.07387E+00
 -6.97478E+01  1.83968E+00  2.81539E+00
 -6.94980E+01 -2.36202E-01  1.97854E+00
 -6.92482E+01 -7.97552E-01  1.78734E+00
 -6.89984E+01 -1.85190E+00  1.95926E+00
 -6.87487E+01  3.99772E-01  1.74273E+00
 -6.84989E+01  1.02273E+00  3.15293E+00
 -6.82491E+01  1.91724E+00  1.76712E+00
 -6.79994E+01  1.77506E+00  2.62216E+00
 -6.77496E+01  7.72282E-01  2.41139E+00
 -6.74998E+01  4.70553E+00  3.30305E+00
 -6.72500E+01  1.84339E+00  2.04626E+00
 -6.70003E+01 -1.84430E+00  2.19418E+00
 -6.67505E+01  3.45215E+00  2.65128E+00
 -6.65007E+01  1.18652E+00  2.80684E+00
 -6.62509E+01  5.31688E+00  3.12415E+00
 -6.60012E+01  4.66170E+00  3.05493E+00
 -6.57514E+01  4.57075E+00  3.23414E+00
 -6.55016E+01  4.23729E+00  3.05872E+00
 -6.52519E+01  5.75121E+00  3.50573E+00
 -6.50021E+01  4.84154E+00  2.09795E+00
 -6.47523E+01  2.22231E+00  3.17566E+00
 -6.45025E+01  6.53001E+00  3.83042E+00
 -6.42528E+01  9.72070E+00  3.14406E+00
 -6.40030E+01  3.66640E+00  2.95942E+00
 -6.37532E+01  1.83604E+00  3.11329E+00
 -6.35034E+01  4.36533E+00  2.67150E+00
 -6.32537E+01  3.02276E+00  2.45590E+00
 -6.30039E+01  1.91358E+00  2.84734E+00
 -6.27541E+01  4.91124E+00  2.99160E+00
 -6.25044E+01  1.81870E+00  2.67296E+00
 -6.22546E+01  3.28874E+00  3.12197E+00
 -6.20048E+01  5.26990E+00  2.19360E+00
 -6.17550E+01  2.00627E+00  3.15931E+00
 -6.15053E+01  5.97972E+00  3.29332E+00
 -6.12555E+01  1.74021E+00  2.48205E+00
 -6.10057E+01  9.40977E-01  1.48738E+00
 -6.07559E+01 -8.10238E-01  2.81743E+00
 -6.05062E+01  6.10610E+00  3.16622E+00
 -6.02564E+01  3.30087E+00  2.78346E+00
 -6.00066E+01  1.90522E+00  2.60204E+00
 -5.97569E+01  1.65033E+00  2.24546E+00
 -5.95071E+01  8.67660E-01  2.59814E+00
 -5.92573E+01  1.85679E+00  2.50023E+00
 -5.90075E+01  3.19408E+00  3.17212E+00
 -5.87578E+01  5.11431E+00  2.70315E+00
 -5.85080E+01  2.17853E-01  2.01864E+00
 -5.82582E+01 -1.10931E-01  2.44492E+00
 -5.80084E+01  5.45710E-01  2.10407E+00
 -5.77587E+01  2.41067E+00  2.78411E+00
 -5.75089E+01  2.44921E+00  2.40832E+00
 -5.72591E+01  4.50570E-01  2.46764E+00
 -5.70094E+01 -2.28062E-01  1.37593E+00
 -5.67596E+01 -8.66622E-01  2.36711E+00
 -5.65098E+01  1.70404E+00  3.01977E+00
 -5.62600E+01  5.50053E+00  2.54904E+00
 -5.60103E+01 -7.68532E-01  1.99424E+00
 -5.57605E+01  1.89465E+00  2.67684E+00
 -5.55107E+01  3.24995E+00  2.81338E+00
 -5.52609E+01  1.80618E+00  2.59336E+00
 -5.50112E+01  1.56750E+00  2.33051E+00
 -5.47614E+01  1.24474E+00  2.94540E+00
 -5.45116E+01  7.57191E+00  3.56115E+00
 -5.42618E+01  4.15116E+00  2.14298E+00
 -5.40121E+01  3.07604E+00  3.38273E+00
 -5.37623E+01  7.38279E+00  3.75150E+00
 -5.35125E+01  7.39850E+00  3.52090E+00
 -5.32628E+01  6.26193E+00  2.69352E+00
 -5.30130E+01  2.06657E+00  2.70123E+00
 -5.27632E+01  3.91956E+00  2.75765E+00
 -5.25134E+01  1.52310E+00  2.41841E+00
 -5.22637E+01 -4.03909E-01  2.23281E+00
 -5.20139E+01  1.57359E+00  2.77573E+00
 -5.17641E+01  3.57567E+00  3.34337E+00
 -5.15143E+01  9.51663E+00  3.31981E+00
 -5.12646E+01  1.96299E+00  2.60062E+00
 -5.10148E+01  3.61649E+00  3.25263E+00
 -5.07650E+01  7.77104E+00  2.92627E+00
 -5.05153E+01  4.19031E+00  3.20424E+00
 -5.02655E+01  6.22625E+00  3.52551E+00
 -5.00157E+01  2.25071E+00  2.21349E+00
 -4.97659E+01  9.89316E-01  2.75887E+00
 -4.95162E+01  1.39623E+00  1.92813E+00
 -4.92664E+01  1.96918E+00  2.80009E+00
 -4.90166E+01  6.59601E+00  3.73831E+00
 -4.87668E+01  7.68785E+00  3.23136E+00
 -4.85171E+01  3.67584E+00  2.30899E+00
 -4.82673E+01 -9.44205E-02  2.87791E+00
 -4.80175E+01  6.64992E+00  3.40617E+00
 -4.77678E+01  5.89653E+00  3.06902E+00
 -4.75180E+01  7.60454E+00  4.07269E+00
 -4.72682E+01  1.05804E+01  3.70557E+00
 -4.70184E+01  6.60483E+00  2.83335E+00
 -4.67687E+01  4.07080E+00  3.31774E+00
 -4.65189E+01  8.10346E+00  3.47125E+00
 -4.62691E+01  8.02736E+00  3.74698E+00
 -4.60193E+01  4.28579E+00  2.70001E+00
 -4.57696E+01  3.65545E+00  2.99042E+00
 -4.55198E+01  7.10690E+00  3.49629E+00
 -4.52700E+01  7.29657E+00  3.61911E+00
 -4.50203E+01  1.20547E+01  4.16910E+00
 -4.47705E+01  7.02818E+00  3.22354E+00
 -4.45207E+01  4.99652E+00  3.47582E+00
 -4.42709E+01  7.46693E+00  3.57788E+00
 -4.40212E+01  1.17608E+01  4.20588E+00
 -4.37714E+01  9.54768E+00  3.85750E+00
 -4.35216E+01  1.01782E+01  3.16146E+00
 -4.32718E+01  6.39007E+00  3.54391E+00
 -4.30221E+01  6.88834E+00  3.62160E+00
 -4.27723E+01  9.86891E+00  3.84573E+00
 -4.25225E+01  4.93152E+00  2.84974E+00
 -4.22728E+01  6.34199E+00  3.84615E+00
 -4.20230E+01  1.39075E+01  4.38374E+00
 -4.17732E+01  1.43836E+01  3.77077E+00
 -4.15234E+01  6.80042E+00  3.92380E+00
 -4.12737E+01  1.48099E+01  4.17081E+00
 -4.10239E+01  9.17335E+00  4.06828E+00
 -4.07741E+01  1.15366E+01  3.96826E+00
 -4.05243E+01  1.54057E+01  4.44539E+00
 -4.02746E+01  1.26273E+01  4.53773E+00
 -4.00248E+01  1.19563E+01  4.13506E+00
 -3.97750E+01  1.04255E+01  3.23966E+00
 -3.95253E+01  1.21378E+01  4.56838E+00
 -3.92755E+01  1.88776E+01  5.31718E+00
 -3.90257E+01  2.03321E+01  4.91198E+00
 -3.87759E+01  2.02563E+01  5.10486E+00
 -3.85262E+01  1.92419E+01  4.66678E+00
 -3.82764E+01  1.91245E+01  5.23423E+00
 -3.80266E+01  1.86958E+01  4.61740E+00
 -3.77768E+01  2.07537E+01  5.30322E+00
 -3.75271E+01  1.91097E+01  5.05963E+00
 -3.72773E+01  2.60123E+01  5.93535E+00
 -3.70275E+01  3.04655E+01  5.52279E+00
 -3.67778E+01  2.05096E+01  5.19734E+00
 -3.65280E+01  2.92175E+01  5.97992E+00
 -3.62782E+01  2.81423E+01  5.51992E+00
 -3.60284E+01  2.64250E+01  5.66546E+00
 -3.57787E+01  1.93274E+01  4.89448E+00
 -3.55289E+01  2.55894E+01  6.23586E+00
 -3.52791E+01  2.87380E+01  5.35731E+00
 -3.50293E+01  3.06445E+01  6.03832E+00
 -3.47796E+01  2.38623E+01  5.26126E+00
 -3.45298E+01  2.52899E+01  5.41196E+00
 -3.42800E+01  2.43042E+01  5.41626E+00
 -3.40303E+01  2.12507E+01  4.97211E+00
 -3.37805E+01  2.03325E+01  5.31464E+00
 -3.35307E+01  2.30382E+01  5.08875E+00
 -3.32809E+01  2.12525E+01  4.75120E+00
 -3.30312E+01  1.82552E+01  5.67501E+00
 -3.27814E+01  2.98192E+01  5.84325E+00
 -3.25316E+01  2.55991E+01  5.30185E+00
 -3.22818E+01  2.22955E+01  5.38443E+00
 -3.20321E+01  2.12572E+01  4.78898E+00
 -3.17823E+01  1.61417E+01  4.93997E+00
 -3.15325E+01  2.23687E+01  5.31394E+00
 -3.12827E+01  2.54921E+01  5.52587E+00
 -3.10330E+01  2.34298E+01  4.66290E+00
 -3.07832E+01  1.52271E+01  4.10352E+00
 -3.05334E+01  1.62778E+01  5.30564E+00
 -3.02837E+01  2.14707E+01  5.02856E+00
 -3.00339E+01  1.83037E+01  4.32991E+00
 -2.97841E+01  9.10025E+00  3.80467E+00
 -2.95343E+01  1.47598E+01  4.99025E+00
 -2.92846E+01  1.70951E+01  4.32193E+00
 -2.90348E+01  1.86651E+01  5.17686E+00
 -2.87850E+01  2.70414E+01  5.36478E+00
 -2.85352E+01  1.49146E+01  4.47110E+00
 -2.82855E+01  1.82546E+01  4.96104E+00
 -2.80357E+01  1.85192E+01  4.61830E+00
 -2.77859E+01  1.09530E+01  4.18352E+00
 -2.75362E+01  1.66386E+01  4.86576E+00
 -2.72864E+01  1.69984E+01  4.16662E+00
 -2.70366E+01  1.77734E+01  5.19288E+00
 -2.67868E+01  1.51764E+01  3.60448E+00
 -2.65371E+01  1.22549E+01  4.53850E+00
 -2.62873E+01  1.35011E+01  4.28442E+00
 -2.60375E+01  1.27219E+01  3.90888E+00
 -2.57877E+01  1.08028E+01  4.14755E+00
 -2.55380E+01  1.28690E+01  4.24492E+00
 -2.52882E+01  1.23560E+01  3.55696E+00
 -2.50384E+01  9.48029E+00  3.62417E+00
 -2.47887E+01  7.96098E+00  4.02741E+00
 -2.45389E+01  1.27132E+01  4.24400E+00
 -2.42891E+01  1.30546E+01  4.14781E+00
 -2.40393E+01  1.05026E+01  3.44807E+00
 -2.37896E+01  7.84322E+00  4.36326E+00
 -2.35398E+01  1.77204E+01  4.52255E+00
 -2.32900E+01  1.53694E+01  4.43657E+00
 -2.30402E+01  9.42038E+00  3.15482E+00
 -2.27905E+01  6.73967E+00  3.88528E+00
 -2.25407E+01  1.25716E+01  4.00918E+00
 -2.22909E+01  1.39651E+01  4.94863E+00
 -2.20412E+01  1.62439E+01  4.01100E+00
 -2.17914E+01  1.09539E+01  4.08456E+00
 -2.15416E+01  9.58124E+00  3.38675E+00
 -2.12918E+01  1.21760E+01  4.62516E+00
 -2.10421E+01  1.48126E+01  4.27521E+00
 -2.07923E+01  1.31958E+01  4.77926E+00
 -2.05425E+01  1.94501E+01  4.80745E+00
 -2.02927E+01  1.54178E+01  4.39390E+00
 -2.00430E+01  1.58328E+01  4.49504E+00
 -1.97932E+01  1.37692E+01  4.17234E+00
 -1.95434E+01  1.04150E+01  3.29402E+00
 -1.92937E+01  8.30124E+00  4.35498E+00
 -1.90439E+01  1.93898E+01  4.87050E+00
 -1.87941E+01  1.64323E+01  4.33098E+00
 -1.85443E+01  1.01877E+01  4.10300E+00
 -1.82946E+01  1.69915E+01  5.02111E+00
 -1.80448E+01  1.76163E+01  3.92228E+00
 -1.77950E+01  1.12556E+01  4.04877E+00
 -1.75452E+01  1.09343E+01  3.94770E+00
