@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 04/18/18 at 13:39:11 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -7.91557E+01 -2.26570E-02
 -7.89091E+01  1.09623E-02
 -7.86625E+01  3.77646E-02
 -7.84159E+01 -1.36960E-03
 -7.81693E+01 -6.66002E-02
 -7.79227E+01 -7.52626E-02
 -7.76761E+01 -1.75603E-02
 -7.74295E+01  3.56417E-02
 -7.71829E+01  5.04616E-02
 -7.69364E+01  7.37664E-02
 -7.66898E+01  6.71246E-02
 -7.64432E+01 -1.23240E-02
 -7.61966E+01 -6.44933E-02
 -7.59500E+01 -3.88471E-02
 -7.57034E+01 -7.44633E-03
 -7.54568E+01 -1.25832E-02
 -7.52102E+01 -8.14355E-03
 -7.49636E+01  9.20233E-03
 -7.47170E+01 -1.70610E-03
 -7.44704E+01 -3.09672E-02
 -7.42239E+01 -4.79862E-02
 -7.39773E+01 -3.45297E-02
 -7.37307E+01  6.38049E-03
 -7.34841E+01  3.37012E-02
 -7.32375E+01  3.21953E-02
 -7.29909E+01  3.96232E-02
 -7.27443E+01  4.99771E-02
 -7.24977E+01  2.64172E-02
 -7.22511E+01  1.46485E-03
 -7.20045E+01  1.13435E-02
 -7.17579E+01  2.73015E-02
 -7.15114E+01  3.93972E-02
 -7.12648E+01  4.98200E-02
 -7.10182E+01  4.32824E-02
 -7.07716E+01  2.90602E-02
 -7.05250E+01  9.91766E-03
 -7.02784E+01 -1.26979E-02
 -7.00318E+01 -2.36630E-02
 -6.97852E+01 -2.67352E-02
 -6.95386E+01 -3.78508E-02
 -6.92920E+01 -4.10141E-02
 -6.90454E+01 -3.89647E-03
 -6.87989E+01  4.14221E-02
 -6.85523E+01  5.45559E-02
 -6.83057E+01  6.34624E-02
 -6.80591E+01  7.80485E-02
 -6.78125E+01  7.76581E-02
 -6.75659E+01  7.03297E-02
 -6.73193E+01  6.17842E-02
 -6.70727E+01  5.54091E-02
 -6.68261E+01  4.54305E-02
 -6.65795E+01  2.07548E-02
 -6.63329E+01  7.58558E-03
 -6.60864E+01  2.11546E-02
 -6.58398E+01  4.55941E-02
 -6.55932E+01  5.43253E-02
 -6.53466E+01  4.61472E-02
 -6.51000E+01  6.28220E-02
 -6.48534E+01  1.03906E-01
 -6.46068E+01  1.20516E-01
 -6.43602E+01  8.75004E-02
