@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 04/18/18 at 13:39:11 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -7.91557E+01 -6.13975E-02  2.21106E-03
 -7.89091E+01  1.65740E-02  1.99891E-01
 -7.86625E+01  8.18740E-02  2.38474E-01
 -7.84159E+01  1.22865E-02  4.80472E-02
 -7.81693E+01 -9.83611E-02  0.00000E+00
 -7.79227E+01 -1.02100E-01  0.00000E+00
 -7.76761E+01 -2.33476E-02  1.99020E-01
 -7.74295E+01  8.54621E-02  2.40594E-01
 -7.71829E+01  2.07297E-02  1.22436E-01
 -7.69364E+01  7.96612E-02  1.80755E-01
 -7.66898E+01  1.36503E-01  1.58890E-01
 -7.64432E+01 -4.49484E-02  2.33003E-02
 -7.61966E+01 -1.01716E-01  2.74251E-02
 -7.59500E+01 -4.01836E-02  8.96953E-02
 -7.57034E+01  3.11228E-02  1.06080E-01
 -7.54568E+01 -2.74875E-02  4.91252E-02
 -7.52102E+01 -2.40260E-02  6.03931E-02
 -7.49636E+01  4.27565E-02  7.21959E-02
 -7.47170E+01 -7.67383E-04  4.70734E-02
 -7.44704E+01 -3.52710E-02  4.30849E-02
 -7.42239E+01 -5.29839E-02  2.61810E-02
 -7.39773E+01 -5.10350E-02  5.01897E-02
 -7.37307E+01  6.92466E-03  7.34370E-02
 -7.34841E+01  7.23810E-02  7.54596E-02
 -7.32375E+01  1.38677E-02  5.57115E-02
 -7.29909E+01  2.62163E-02  7.80287E-02
 -7.27443E+01  9.75396E-02  8.35881E-02
 -7.24977E+01  1.04725E-02  5.06924E-02
 -7.22511E+01 -1.53198E-02  5.65167E-02
 -7.20045E+01  2.47957E-02  6.82914E-02
 -7.17579E+01  1.84315E-02  7.16717E-02
 -7.15114E+01  4.48652E-02  7.52870E-02
 -7.12648E+01  7.24817E-02  7.25908E-02
 -7.10182E+01  2.58529E-02  7.04495E-02
 -7.07716E+01  4.89849E-02  7.13048E-02
 -7.05250E+01  1.40514E-02  6.17474E-02
 -7.02784E+01 -2.71199E-02  4.51379E-02
 -7.00318E+01 -1.54881E-02  5.08646E-02
 -6.97852E+01 -2.51569E-02  5.06167E-02
 -6.95386E+01 -2.95579E-02  4.13108E-02
 -6.92920E+01 -6.64539E-02  4.22554E-02
 -6.90454E+01 -8.77642E-03  7.07543E-02
 -6.87989E+01  7.26761E-02  7.73341E-02
 -6.85523E+01  5.10386E-02  7.26347E-02
 -6.83057E+01  5.54457E-02  8.21666E-02
 -6.80591E+01  9.80735E-02  8.62138E-02
 -6.78125E+01  7.78238E-02  7.65778E-02
 -6.75659E+01  7.09487E-02  7.70496E-02
 -6.73193E+01  6.78751E-02  7.22292E-02
 -6.70727E+01  4.90628E-02  7.71467E-02
 -6.68261E+01  6.76719E-02  7.18345E-02
 -6.65795E+01  1.30657E-02  6.23890E-02
 -6.63329E+01 -7.12640E-03  6.68168E-02
 -6.60864E+01  2.45219E-02  5.92764E-02
 -6.58398E+01  4.93418E-02  7.10581E-02
 -6.55932E+01  7.88137E-02  7.95129E-02
 -6.53466E+01  2.25142E-02  6.28680E-02
 -6.51000E+01  5.71815E-02  8.01029E-02
 -6.48534E+01  1.17871E-01  1.04957E-01
 -6.46068E+01  1.39927E-01  9.75544E-02
 -6.43602E+01  1.12856E-01  6.80495E-02
 -6.41136E+01  1.28418E-02  6.02437E-02
 -6.38670E+01 -1.34254E-02  6.15557E-02
 -6.36204E+01  5.20207E-02  7.42295E-02
 -6.33739E+01  8.72379E-02  7.77113E-02
 -6.31273E+01 -1.62480E-02  3.93162E-02
 -6.28807E+01 -5.43071E-02  6.40857E-02
 -6.26341E+01  6.84283E-02  8.56846E-02
 -6.23875E+01  1.05547E-01  7.41491E-02
 -6.21409E+01  3.15570E-02  6.30816E-02
 -6.18943E+01  3.91563E-02  7.89321E-02
 -6.16477E+01  9.96672E-02  7.60096E-02
 -6.14011E+01  2.85776E-02  5.77851E-02
 -6.11545E+01 -9.27112E-04  6.91783E-02
 -6.09079E+01  7.47195E-02  8.15542E-02
 -6.06614E+01  9.98337E-02  7.73336E-02
 -6.04148E+01  3.30378E-02  6.04811E-02
 -6.01682E+01 -3.29850E-02  5.56903E-02
 -5.99216E+01  3.79734E-02  8.47672E-02
 -5.96750E+01  1.37931E-01  9.59259E-02
 -5.94284E+01  1.31918E-01  7.84180E-02
 -5.91818E+01  5.25598E-02  6.03247E-02
 -5.89352E+01 -3.73698E-03  5.22500E-02
 -5.86886E+01 -8.73137E-03  6.92400E-02
 -5.84420E+01  3.81814E-02  7.95237E-02
 -5.81954E+01  9.73902E-02  8.35356E-02
 -5.79489E+01  8.12385E-02  7.74454E-02
 -5.77023E+01  6.63442E-02  6.78333E-02
 -5.74557E+01 -8.35770E-03  7.19955E-02
 -5.72091E+01  1.03580E-01  1.01480E-01
 -5.69625E+01  1.93904E-01  1.02642E-01
 -5.67159E+01  1.29118E-01  8.78948E-02
 -5.64693E+01  1.51322E-01  9.91766E-02
 -5.62227E+01  1.18452E-01  9.20259E-02
 -5.59761E+01  1.12986E-01  7.67766E-02
 -5.57295E+01  4.09698E-02  6.07644E-02
 -5.54829E+01 -9.04439E-03  5.62035E-02
 -5.52364E+01  3.85249E-02  7.50042E-02
 -5.49898E+01  6.34598E-02  7.73509E-02
 -5.47432E+01  3.90760E-02  8.32764E-02
 -5.44966E+01  1.10635E-01  9.36653E-02
 -5.42500E+01  1.11703E-01  7.94470E-02
 -5.40034E+01  4.32321E-02  7.16217E-02
 -5.37568E+01  7.21964E-02  8.62817E-02
 -5.35102E+01  6.19685E-02  8.05802E-02
 -5.32636E+01  6.44513E-02  8.38052E-02
 -5.30170E+01  9.72036E-02  9.04364E-02
 -5.27704E+01  1.01383E-01  8.76162E-02
 -5.25239E+01  1.16593E-01  9.10080E-02
 -5.22773E+01  1.18172E-01  8.04721E-02
 -5.20307E+01  2.62556E-02  5.37488E-02
 -5.17841E+01 -1.57089E-02  8.45392E-02
 -5.15375E+01  2.06945E-01  1.17733E-01
 -5.12909E+01  3.16451E-01  1.14063E-01
 -5.10443E+01  1.82024E-01  9.23725E-02
