@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 04/18/18 at 13:39:11 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -7.92592E+01 -2.48435E+00  0.00000E+00
 -7.90126E+01 -5.01054E-01  8.96981E-02
 -7.87660E+01  1.56096E+00  8.10848E+00
 -7.85194E+01  2.16939E+00  1.65822E+00
 -7.82728E+01 -2.31810E+00  0.00000E+00
 -7.80263E+01 -2.48460E+00  0.00000E+00
 -7.77797E+01 -2.48354E+00  0.00000E+00
 -7.75331E+01  1.92092E+00  8.07383E+00
 -7.72865E+01  1.88020E+00  2.27946E+00
 -7.70399E+01 -4.23751E-01  4.18230E+00
 -7.67933E+01  5.31551E+00  5.44082E+00
 -7.65467E+01  2.29639E-01  8.04147E-01
 -7.63001E+01 -2.45903E+00  0.00000E+00
 -7.60535E+01 -2.34054E+00  1.11258E+00
 -7.58069E+01  6.00691E-01  3.39561E+00
 -7.55603E+01  4.17382E-01  1.60881E+00
 -7.53138E+01 -1.86940E+00  6.28831E-01
 -7.50672E+01  1.24748E+00  2.33586E+00
 -7.48206E+01  4.27773E-01  1.01938E+00
 -7.45740E+01 -6.18916E-01  1.48696E+00
 -7.43274E+01 -1.28973E+00  0.00000E+00
 -7.40808E+01 -1.45372E+00  1.06211E+00
 -7.38342E+01 -8.93102E-01  1.60841E+00
 -7.35876E+01  1.61153E+00  2.30241E+00
 -7.33410E+01  1.69833E+00  1.43059E+00
 -7.30944E+01 -8.94767E-01  1.51005E+00
 -7.28478E+01  3.04068E+00  2.62097E+00
 -7.26013E+01  1.24018E+00  1.41675E+00
 -7.23547E+01 -6.44179E-01  1.20656E+00
 -7.21081E+01  2.75593E-01  1.80147E+00
 -7.18615E+01  9.61362E-01  1.78641E+00
 -7.16149E+01  1.17972E-01  2.01111E+00
 -7.13683E+01  2.58640E+00  1.93389E+00
 -7.11217E+01  7.65459E-01  1.87208E+00
 -7.08751E+01  9.46770E-01  1.82363E+00
 -7.06285E+01  1.45918E+00  1.94231E+00
 -7.03819E+01 -1.04382E+00  1.03065E+00
 -7.01353E+01 -7.04607E-02  1.37310E+00
 -6.98888E+01 -9.53702E-01  1.28562E+00
 -6.96422E+01 -3.45632E-01  1.39025E+00
 -6.93956E+01 -1.52003E+00  3.71557E-01
 -6.91490E+01 -1.55209E+00  1.65764E+00
 -6.89024E+01  1.61772E+00  2.10768E+00
 -6.86558E+01  1.85281E+00  1.92472E+00
 -6.84092E+01  9.17884E-01  1.88787E+00
 -6.81626E+01  2.45563E+00  2.48728E+00
 -6.79160E+01  2.56097E+00  1.91952E+00
 -6.76694E+01  1.57475E+00  2.13541E+00
 -6.74228E+01  2.35713E+00  1.86271E+00
 -6.71763E+01  1.10158E+00  1.94728E+00
 -6.69297E+01  1.77694E+00  2.13438E+00
 -6.66831E+01  1.46822E+00  1.48254E+00
 -6.64365E+01 -8.72498E-01  1.83549E+00
 -6.61899E+01  9.85105E-01  1.64086E+00
 -6.59433E+01  2.90901E-01  1.43615E+00
 -6.56967E+01  2.64361E+00  2.33667E+00
 -6.54501E+01  1.02472E+00  1.69138E+00
 -6.52035E+01  6.09455E-01  1.59747E+00
 -6.49569E+01  2.95156E+00  2.65216E+00
 -6.47103E+01  3.28643E+00  2.90014E+00
 -6.44638E+01  4.03479E+00  2.01025E+00
 -6.42172E+01  1.32624E+00  1.42738E+00
 -6.39706E+01 -4.86367E-01  1.77703E+00
 -6.37240E+01  3.80607E-01  1.36847E+00
 -6.34774E+01  2.52391E+00  2.54570E+00
 -6.32308E+01  1.30525E+00  9.92218E-01
 -6.29842E+01 -2.26846E+00  1.08796E+00
 -6.27376E+01  5.26249E-01  2.26354E+00
 -6.24910E+01  3.09956E+00  2.23686E+00
 -6.22444E+01  1.87495E+00  1.46118E+00
 -6.19978E+01  8.06736E-03  1.89708E+00
 -6.17513E+01  2.68001E+00  2.29801E+00
 -6.15047E+01  1.97059E+00  1.48717E+00
 -6.12581E+01 -5.22483E-01  1.56188E+00
 -6.10115E+01  1.24149E+00  2.12258E+00
 -6.07649E+01  2.74274E+00  2.17278E+00
 -6.05183E+01  2.04579E+00  1.82192E+00
 -6.02717E+01 -5.75859E-01  1.19736E+00
 -6.00251E+01 -4.32796E-01  1.76727E+00
 -5.97785E+01  3.13128E+00  2.74046E+00
 -5.95319E+01  3.86879E+00  2.18336E+00
 -5.92853E+01  2.65368E+00  1.87981E+00
 -5.90388E+01 -6.85646E-02  1.05189E+00
 -5.87922E+01  1.71365E-01  1.72168E+00
 -5.85456E+01 -3.62113E-01  1.94792E+00
 -5.82990E+01  2.89317E+00  2.27267E+00
 -5.80524E+01  1.89335E+00  2.08514E+00
 -5.78058E+01  2.49345E+00  1.96557E+00
 -5.75592E+01  6.27542E-01  1.49483E+00
 -5.73126E+01 -1.68912E-01  2.33304E+00
 -5.70660E+01  6.49254E+00  3.07041E+00
 -5.68194E+01  2.82994E+00  2.07672E+00
 -5.65728E+01  4.70142E+00  2.59909E+00
 -5.63263E+01  3.04537E+00  2.61798E+00
 -5.60797E+01  3.46878E+00  2.11365E+00
 -5.58331E+01  2.11205E+00  1.87838E+00
 -5.55865E+01 -5.75583E-02  1.09614E+00
 -5.53399E+01  1.06271E-01  1.88109E+00
 -5.50933E+01  2.13966E+00  2.09027E+00
 -5.48467E+01  9.51307E-01  1.95187E+00
 -5.46001E+01  1.73158E+00  2.47976E+00
 -5.43535E+01  4.18304E+00  2.43764E+00
 -5.41069E+01  1.14404E+00  1.47562E+00
 -5.38603E+01  1.70275E+00  2.33100E+00
 -5.36138E+01  2.09427E+00  2.17813E+00
 -5.33672E+01  1.23639E+00  2.03248E+00
 -5.31206E+01  2.57068E+00  2.41885E+00
 -5.28740E+01  2.57941E+00  2.31863E+00
 -5.26274E+01  2.99945E+00  2.28159E+00
 -5.23808E+01  3.21614E+00  2.53736E+00
 -5.21342E+01  2.58186E+00  1.32732E+00
 -5.18876E+01 -1.26641E+00  1.52322E+00
 -5.16410E+01  2.29850E+00  2.92509E+00
 -5.13944E+01  9.21320E+00  3.31507E+00
 -5.11478E+01  6.25023E+00  2.49543E+00
