Date,Folder,Index,fLM,dfLM,KE,dKE,MFC,dMFC,IF,dIF,highTIF,dhighTIF
Oct 2009,2009Oct_106GPa,Fe_Murphy_P7,0.9017,0.0012,15.73,0.1256,389.4996,6.6888,3.2539,0.1457,3.3343,0.0573
Oct 2009,2009Oct_121GPa,Fe_Murphy_P8,0.9092,0.0013,16.0147,0.1489,439.4463,8.3071,3.5843,0.1728,3.7619,0.0711
Oct 2009,2009Oct_133GPa,Fe_Murphy_P9,0.9121,0.0016,16.1138,0.1862,453.8023,10.2203,3.6993,0.2161,3.8848,0.0875
Oct 2009,2009Oct_30GPa,Fe_Murphy_P1,0.8595,0.0018,14.7549,0.1108,255.4688,5.3905,2.1223,0.1286,2.187,0.0461
Oct 2009,2009Oct_53GPa,Fe_Murphy_P3,0.8775,0.0027,15.1004,0.2209,305.5224,11.7027,2.5233,0.2564,2.6155,0.1002
Oct 2009,2009Oct_69GPa,Fe_Murphy_P4,0.8877,0.002,15.2909,0.1752,336.7142,9.3927,2.7443,0.2033,2.8825,0.0804
Oct 2009,2009Oct_77GPa,Fe_Murphy_P5,0.8906,0.0013,15.3639,0.1167,343.8774,6.0342,2.829,0.1354,2.9438,0.0517
Oct 2009,2009Oct_90GPa,Fe_Murphy_P6,0.898,0.0012,15.5034,0.1165,365.1565,6.118,2.9909,0.1352,3.126,0.0524
Aug 2010,2010Aug_151GPa,Fe_Murphy_P10,0.9181,0.0017,16.3279,0.2128,498.2584,12.6659,3.9477,0.247,4.2654,0.1084
Feb 2011,2011Feb_171GPa,Fe_Murphy_P11,0.9223,0.0021,16.6072,0.2884,524.3267,17.8161,4.2718,0.3347,4.4885,0.1525
Mar 2015,2015Mar_Ambient,Fe_Ambient,0.7885,0.0026,14.1719,0.1003,175.1533,4.6905,1.4458,0.1164,1.4994,0.0402
