@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 04/17/18 at 11:28:55 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -6.55080E+01 -8.85091E-02
 -6.52608E+01 -7.97401E-02
 -6.50136E+01 -3.13234E-03
 -6.47664E+01  5.05788E-02
 -6.45192E+01  4.63880E-02
 -6.42720E+01  4.16727E-02
 -6.40248E+01  3.27425E-02
 -6.37776E+01 -1.86760E-02
 -6.35304E+01 -7.03564E-02
 -6.32832E+01 -6.92171E-02
 -6.30360E+01 -4.42727E-02
 -6.27888E+01 -2.84835E-02
 -6.25416E+01 -1.31852E-02
 -6.22944E+01 -1.39672E-02
 -6.20472E+01 -3.67999E-02
 -6.18000E+01 -3.81158E-02
 -6.15528E+01 -1.16080E-02
 -6.13056E+01 -6.39646E-03
 -6.10584E+01 -3.69475E-02
 -6.08112E+01 -5.70562E-02
 -6.05640E+01 -3.27479E-02
 -6.03168E+01 -7.35516E-03
 -6.00696E+01 -2.48400E-02
 -5.98224E+01 -3.56924E-02
 -5.95752E+01  6.34465E-03
 -5.93280E+01  4.54401E-02
 -5.90808E+01  2.89084E-02
 -5.88336E+01  5.46816E-03
 -5.85864E+01  1.51650E-02
 -5.83392E+01  2.04030E-02
 -5.80920E+01  5.29567E-03
 -5.78448E+01  1.54914E-02
 -5.75976E+01  4.08754E-02
 -5.73504E+01  2.38391E-02
 -5.71032E+01 -1.21226E-02
 -5.68560E+01 -2.25394E-03
 -5.66088E+01  2.60249E-02
 -5.63616E+01  8.13907E-03
 -5.61144E+01 -2.72612E-02
 -5.58672E+01 -1.88506E-02
 -5.56200E+01  1.70971E-02
 -5.53728E+01  2.57410E-02
 -5.51256E+01 -8.13551E-03
 -5.48784E+01 -5.23444E-02
 -5.46312E+01 -4.90489E-02
 -5.43840E+01  2.78581E-02
 -5.41368E+01  1.16077E-01
 -5.38896E+01  1.36390E-01
 -5.36424E+01  9.33002E-02
 -5.33952E+01  4.90899E-02
 -5.31480E+01  4.91041E-02
 -5.29008E+01  7.27532E-02
 -5.26536E+01  5.80202E-02
 -5.24064E+01  1.91614E-03
 -5.21592E+01 -4.06075E-02
 -5.19120E+01 -2.71171E-02
 -5.16648E+01  4.10891E-02
 -5.14176E+01  1.36111E-01
 -5.11704E+01  2.01878E-01
 -5.09232E+01  1.90609E-01
 -5.06760E+01  1.25930E-01
 -5.04288E+01  7.67897E-02
 -5.01816E+01  9.39979E-02
 -4.99344E+01  1.82878E-01
 -4.96872E+01  2.82582E-01
 -4.94400E+01  3.11032E-01
 -4.91928E+01  2.74903E-01
 -4.89456E+01  2.28948E-01
 -4.86984E+01  1.86865E-01
 -4.84512E+01  1.48445E-01
 -4.82040E+01  1.51161E-01
 -4.79568E+01  2.13367E-01
 -4.77096E+01  2.84355E-01
 -4.74624E+01  3.32849E-01
 -4.72152E+01  3.86847E-01
 -4.69680E+01  4.12432E-01
 -4.67208E+01  3.48529E-01
 -4.64736E+01  2.48947E-01
 -4.62264E+01  1.91469E-01
 -4.59792E+01  1.42460E-01
 -4.57320E+01  8.27908E-02
 -4.54848E+01  8.30878E-02
 -4.52376E+01  1.62547E-01
 -4.49904E+01  2.56626E-01
 -4.47432E+01  3.23656E-01
 -4.44960E+01  3.36476E-01
 -4.42488E+01  2.86949E-01
 -4.40016E+01  2.58893E-01
 -4.37544E+01  3.17517E-01
 -4.35072E+01  3.78641E-01
 -4.32600E+01  3.50655E-01
 -4.30128E+01  2.63313E-01
 -4.27656E+01  2.01815E-01
 -4.25184E+01  1.98493E-01
 -4.22712E+01  2.04939E-01
 -4.20240E+01  1.84523E-01
 -4.17768E+01  1.82731E-01
 -4.15296E+01  2.47536E-01
 -4.12824E+01  3.34249E-01
 -4.10352E+01  3.61737E-01
 -4.07880E+01  3.34438E-01
 -4.05408E+01  2.89306E-01
 -4.02936E+01  2.38715E-01
 -4.00464E+01  2.35655E-01
 -3.97992E+01  3.26918E-01
 -3.95520E+01  4.31340E-01
 -3.93048E+01  4.52604E-01
 -3.90576E+01  4.11322E-01
 -3.88104E+01  3.89486E-01
 -3.85632E+01  4.09792E-01
 -3.83160E+01  4.56983E-01
 -3.80688E+01  4.99731E-01
 -3.78216E+01  4.96161E-01
 -3.75744E+01  4.29923E-01
 -3.73272E+01  3.72716E-01
 -3.70800E+01  4.00349E-01
 -3.68328E+01  5.05115E-01
 -3.65856E+01  6.27817E-01
 -3.63384E+01  6.80254E-01
 -3.60912E+01  6.10042E-01
 -3.58440E+01  5.01112E-01
 -3.55968E+01  4.84145E-01
