@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 04/17/18 at 11:28:55 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -6.54572E+01 -2.51602E+00  0.00000E+00
 -6.52100E+01 -2.51494E+00  0.00000E+00
 -6.49628E+01  9.06301E-01  3.80680E+00
 -6.47156E+01  3.30838E+00  2.29950E+00
 -6.44684E+01 -9.04552E-01  1.59911E+00
 -6.42212E+01  2.05831E+00  1.95356E+00
 -6.39740E+01  2.23288E+00  1.76519E+00
 -6.37268E+01 -1.99442E+00  9.73983E-02
 -6.34796E+01 -2.33411E+00  5.79878E-01
 -6.32324E+01 -4.40399E-01  1.70152E+00
 -6.29852E+01 -5.07756E-01  9.12832E-01
 -6.27380E+01 -1.33834E+00  1.46861E+00
 -6.24908E+01  3.16583E-01  1.63824E+00
 -6.22436E+01  4.87455E-01  1.23542E+00
 -6.19964E+01 -8.71280E-01  9.52972E-01
 -6.17492E+01 -1.53579E+00  1.12865E+00
 -6.15020E+01  3.33503E-01  1.83180E+00
 -6.12548E+01  7.03413E-01  1.65979E+00
 -6.10076E+01 -5.52350E-01  0.00000E+00
 -6.07604E+01 -2.32546E+00  8.21614E-01
 -6.05132E+01 -5.00052E-01  1.90776E+00
 -6.02660E+01  1.32266E+00  1.67129E+00
 -6.00188E+01 -7.22207E-01  1.00790E+00
 -5.97716E+01 -1.56549E+00  1.03882E+00
 -5.95244E+01  4.66381E-01  1.80714E+00
 -5.92772E+01  3.25453E+00  2.21789E+00
 -5.90300E+01 -4.43129E-01  1.03306E+00
 -5.87828E+01  2.69804E-02  1.79569E+00
 -5.85356E+01  1.07567E+00  1.90804E+00
 -5.82884E+01  1.27970E+00  1.08018E+00
 -5.80412E+01 -8.02748E-01  1.44118E+00
 -5.77940E+01  3.15077E-01  1.92023E+00
 -5.75468E+01  3.14092E+00  2.01253E+00
 -5.72996E+01  5.96739E-03  1.03796E+00
 -5.70524E+01 -1.20733E+00  9.98948E-01
 -5.68052E+01  2.91470E-01  1.96998E+00
 -5.65580E+01  2.58970E+00  2.00496E+00
 -5.63108E+01 -3.01963E-01  9.78930E-01
 -5.60636E+01 -1.47442E+00  5.28611E-01
 -5.58164E+01 -1.47452E-01  1.67662E+00
 -5.55692E+01  1.96644E+00  2.38187E+00
 -5.53220E+01  9.37369E-01  1.04649E+00
 -5.50748E+01 -7.38490E-01  1.40762E+00
 -5.48276E+01 -1.21117E+00  1.03455E+00
 -5.45804E+01 -1.22084E+00  1.07713E+00
 -5.43332E+01  1.12205E+00  1.71739E+00
 -5.40860E+01  4.19942E+00  2.85860E+00
 -5.38388E+01  3.84148E+00  2.19055E+00
 -5.35916E+01  1.98683E+00  1.87644E+00
 -5.33444E+01  8.14060E-01  1.79126E+00
 -5.30972E+01  7.99782E-01  1.40381E+00
 -5.28500E+01  3.53293E+00  2.53903E+00
 -5.26028E+01  1.27929E+00  1.31684E+00
 -5.23556E+01 -5.08967E-01  1.10059E+00
 -5.21084E+01 -1.38092E+00  1.41289E+00
 -5.18612E+01  9.34981E-01  1.64916E+00
 -5.16140E+01 -5.30361E-01  1.48604E+00
 -5.13668E+01  4.43790E+00  2.76049E+00
 -5.11196E+01  7.17234E+00  2.96047E+00
 -5.08724E+01  4.22497E+00  2.18784E+00
