@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 04/17/18 at 11:28:59 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -6.51276E+01 -8.28733E-02  0.00000E+00
 -6.48799E+01 -8.05929E-02  1.72363E-03
 -6.46323E+01 -6.25973E-02  1.36510E-02
 -6.43847E+01 -5.05581E-02  4.61080E-02
 -6.41370E+01  2.90815E-02  6.89887E-02
 -6.38894E+01  6.62786E-02  5.93161E-02
 -6.36418E+01  5.99843E-03  3.75591E-02
 -6.33941E+01 -4.22280E-02  3.50733E-02
 -6.31465E+01  2.53445E-02  6.50717E-02
 -6.28989E+01  7.68405E-02  5.01719E-02
 -6.26512E+01 -3.51398E-03  4.62101E-02
 -6.24036E+01 -2.62077E-02  2.73786E-02
 -6.21560E+01 -5.27047E-02  2.98818E-02
 -6.19083E+01 -2.47077E-02  3.89367E-02
 -6.16607E+01 -2.38181E-02  3.69319E-02
 -6.14131E+01 -6.40786E-02  2.90887E-02
 -6.11654E+01 -3.20070E-02  3.82970E-02
 -6.09178E+01  1.51977E-02  6.46438E-02
 -6.06702E+01  8.97867E-02  5.11448E-02
 -6.04225E+01 -3.69396E-02  2.46302E-02
 -6.01749E+01  2.10266E-02  5.48867E-02
 -5.99273E+01 -6.10827E-02  1.79001E-02
 -5.96796E+01  3.58603E-03  5.28854E-02
 -5.94320E+01 -8.75145E-03  4.13684E-02
 -5.91844E+01 -5.09419E-04  5.82499E-02
 -5.89367E+01  5.58713E-03  2.47647E-02
 -5.86891E+01 -7.27582E-02  2.93059E-02
 -5.84415E+01 -2.93534E-02  3.27284E-02
 -5.81938E+01  2.30495E-03  5.35177E-02
 -5.79462E+01  6.02488E-03  3.97754E-02
 -5.76986E+01 -8.27387E-03  5.51573E-02
 -5.74509E+01  6.90451E-02  5.55073E-02
 -5.72033E+01  3.68075E-03  4.99161E-02
 -5.69557E+01 -1.94257E-02  4.28530E-02
 -5.67080E+01 -2.05785E-02  3.10276E-02
 -5.64604E+01 -3.28907E-02  4.56282E-02
 -5.62128E+01  3.98659E-02  6.18001E-02
 -5.59651E+01  4.87791E-02  5.32457E-02
 -5.57175E+01  4.30265E-02  5.59915E-02
 -5.54699E+01  4.45398E-02  5.36663E-02
 -5.52222E+01 -8.66313E-03  5.52896E-02
 -5.49746E+01  2.61752E-02  6.02084E-02
 -5.47270E+01  7.65220E-02  6.16104E-02
 -5.44793E+01  1.67627E-02  3.29363E-02
 -5.42317E+01  4.60952E-03  6.38649E-02
 -5.39841E+01  1.43940E-01  7.96868E-02
 -5.37364E+01  2.02636E-01  7.79697E-02
 -5.34888E+01  6.15800E-02  6.12614E-02
 -5.32412E+01  1.20366E-01  8.09130E-02
 -5.29935E+01  2.33276E-01  9.83150E-02
 -5.27459E+01  2.02675E-01  8.59218E-02
 -5.24983E+01  2.70162E-01  1.03754E-01
 -5.22506E+01  3.72354E-01  1.11427E-01
 -5.20030E+01  3.10106E-01  9.56479E-02
 -5.17554E+01  1.96205E-01  8.20791E-02
 -5.15077E+01  1.55188E-01  8.48304E-02
