@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 04/17/18 at 11:31:46 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -7.91557E+01 -1.58814E-02
 -7.89091E+01  1.68535E-02
 -7.86625E+01  3.99281E-02
 -7.84159E+01  1.07126E-03
 -7.81693E+01 -5.92161E-02
 -7.79227E+01 -6.47926E-02
 -7.76761E+01 -9.24164E-03
 -7.74295E+01  3.91369E-02
 -7.71829E+01  5.24512E-02
 -7.69364E+01  7.50485E-02
 -7.66898E+01  6.58223E-02
 -7.64432E+01 -9.86774E-03
 -7.61966E+01 -5.59448E-02
 -7.59500E+01 -3.01192E-02
 -7.57034E+01 -2.06788E-03
 -7.54568E+01 -7.40083E-03
 -7.52102E+01 -2.13054E-03
 -7.49636E+01  1.35602E-02
 -7.47170E+01  2.18512E-03
 -7.44704E+01 -2.52392E-02
 -7.42239E+01 -4.04338E-02
 -7.39773E+01 -2.66057E-02
 -7.37307E+01  1.22363E-02
 -7.34841E+01  3.66636E-02
 -7.32375E+01  3.49344E-02
 -7.29909E+01  4.26391E-02
 -7.27443E+01  5.15672E-02
 -7.24977E+01  2.82594E-02
 -7.22511E+01  6.00625E-03
 -7.20045E+01  1.61629E-02
 -7.17579E+01  3.06696E-02
 -7.15114E+01  4.24150E-02
 -7.12648E+01  5.17466E-02
 -7.10182E+01  4.49280E-02
 -7.07716E+01  3.16140E-02
 -7.05250E+01  1.33192E-02
 -7.02784E+01 -7.89660E-03
 -7.00318E+01 -1.76550E-02
 -6.97852E+01 -2.05544E-02
 -6.95386E+01 -3.14430E-02
 -6.92920E+01 -3.32942E-02
 -6.90454E+01  3.01540E-03
 -6.87989E+01  4.47300E-02
 -6.85523E+01  5.61966E-02
 -6.83057E+01  6.52330E-02
 -6.80591E+01  7.85699E-02
 -6.78125E+01  7.76394E-02
 -6.75659E+01  7.08395E-02
 -6.73193E+01  6.26467E-02
 -6.70727E+01  5.68392E-02
 -6.68261E+01  4.69432E-02
 -6.65795E+01  2.34113E-02
 -6.63329E+01  1.20188E-02
 -6.60864E+01  2.55054E-02
 -6.58398E+01  4.85127E-02
 -6.55932E+01  5.57693E-02
 -6.53466E+01  4.82586E-02
 -6.51000E+01  6.53109E-02
 -6.48534E+01  1.04087E-01
 -6.46068E+01  1.18109E-01
 -6.43602E+01  8.54851E-02
 -6.41136E+01  3.55910E-02
 -6.38670E+01  1.77584E-02
 -6.36204E+01  4.14531E-02
 -6.33739E+01  4.75064E-02
 -6.31273E+01  4.60350E-03
 -6.28807E+01 -4.10083E-03
 -6.26341E+01  4.85903E-02
 -6.23875E+01  6.95211E-02
 -6.21409E+01  5.15188E-02
 -6.18943E+01  5.59542E-02
 -6.16477E+01  6.09742E-02
 -6.14011E+01  3.88671E-02
 -6.11545E+01  3.28511E-02
 -6.09079E+01  6.01665E-02
 -6.06614E+01  6.84261E-02
 -6.04148E+01  3.39651E-02
 -6.01682E+01  1.17472E-02
 -5.99216E+01  4.87533E-02
 -5.96750E+01  1.03096E-01
 -5.94284E+01  1.03313E-01
 -5.91818E+01  5.52825E-02
 -5.89352E+01  1.55590E-02
 -5.86886E+01  1.15285E-02
 -5.84420E+01  4.16380E-02
 -5.81954E+01  7.51519E-02
 -5.79489E+01  7.59908E-02
 -5.77023E+01  5.09275E-02
 -5.74557E+01  4.78268E-02
 -5.72091E+01  9.72718E-02
 -5.69625E+01  1.42573E-01
 -5.67159E+01  1.44392E-01
