@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 04/17/18 at 11:31:46 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -7.91557E+01 -5.02012E-02  2.23894E-03
 -7.89091E+01  2.30754E-02  2.02409E-01
 -7.86625E+01  8.26315E-02  2.24254E-01
 -7.84159E+01  1.04890E-02  4.50729E-02
 -7.81693E+01 -8.78726E-02  0.00000E+00
 -7.79227E+01 -9.11775E-02  0.00000E+00
 -7.76761E+01 -1.13635E-02  2.01530E-01
 -7.74295E+01  8.52003E-02  2.26715E-01
 -7.71829E+01  2.10050E-02  1.21396E-01
 -7.69364E+01  8.71678E-02  1.77108E-01
 -7.66898E+01  1.26618E-01  1.49246E-01
 -7.64432E+01 -4.11200E-02  2.18579E-02
 -7.61966E+01 -9.07737E-02  2.77710E-02
 -7.59500E+01 -2.90815E-02  8.99909E-02
 -7.57034E+01  3.39916E-02  1.00655E-01
 -7.54568E+01 -2.41404E-02  4.64615E-02
 -7.52102E+01 -1.37548E-02  6.07589E-02
 -7.49636E+01  4.40561E-02  6.84009E-02
 -7.47170E+01  2.70323E-03  4.63177E-02
 -7.44704E+01 -2.92533E-02  4.04178E-02
 -7.42239E+01 -4.52526E-02  2.65112E-02
 -7.39773E+01 -4.25369E-02  4.94497E-02
 -7.37307E+01  1.46019E-02  7.22092E-02
 -7.34841E+01  7.31547E-02  7.20538E-02
 -7.32375E+01  1.42903E-02  5.41552E-02
 -7.29909E+01  3.45669E-02  7.72316E-02
 -7.27443E+01  9.43939E-02  7.95360E-02
 -7.24977E+01  1.20764E-02  4.88876E-02
 -7.22511E+01 -8.50438E-03  5.56556E-02
 -7.20045E+01  2.90940E-02  6.62271E-02
 -7.17579E+01  2.09658E-02  6.98410E-02
 -7.15114E+01  5.02841E-02  7.29274E-02
 -7.12648E+01  7.07095E-02  7.03332E-02
 -7.10182E+01  2.92770E-02  6.82744E-02
 -7.07716E+01  5.16849E-02  6.93366E-02
 -7.05250E+01  1.47350E-02  5.87293E-02
 -7.02784E+01 -1.95100E-02  4.42664E-02
 -7.00318E+01 -1.09157E-02  4.92218E-02
 -6.97852E+01 -1.80682E-02  4.92481E-02
 -6.95386E+01 -2.45362E-02  3.89105E-02
 -6.92920E+01 -5.79879E-02  4.25909E-02
 -6.90454E+01  6.86500E-04  6.92669E-02
 -6.87989E+01  7.37363E-02  7.47679E-02
 -6.85523E+01  5.16112E-02  7.04103E-02
 -6.83057E+01  5.90210E-02  8.05466E-02
 -6.80591E+01  9.74568E-02  8.28643E-02
 -6.78125E+01  7.68260E-02  7.45879E-02
 -6.75659E+01  7.27131E-02  7.43696E-02
 -6.73193E+01  6.71439E-02  7.01858E-02
 -6.70727E+01  5.19092E-02  7.50994E-02
 -6.68261E+01  6.83266E-02  6.88130E-02
 -6.65795E+01  1.39754E-02  6.10160E-02
 -6.63329E+01  4.67409E-04  6.45496E-02
 -6.60864E+01  2.70083E-02  5.72215E-02
 -6.58398E+01  5.44768E-02  7.01834E-02
 -6.55932E+01  7.71421E-02  7.62656E-02
 -6.53466E+01  2.53510E-02  6.08571E-02
 -6.51000E+01  6.18084E-02  7.91701E-02
 -6.48534E+01  1.16536E-01  1.02163E-01
 -6.46068E+01  1.37964E-01  9.34451E-02
 -6.43602E+01  1.07872E-01  6.52312E-02
 -6.41136E+01  1.44170E-02  5.89303E-02
 -6.38670E+01 -6.87300E-03  5.91600E-02
