@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 04/17/18 at 11:31:46 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -7.92685E+01 -2.26732E+00  0.00000E+00
 -7.90219E+01 -3.50722E-01  8.96981E-02
 -7.87753E+01  1.64238E+00  8.10848E+00
 -7.85287E+01  2.23072E+00  1.65822E+00
 -7.82821E+01 -2.10756E+00  0.00000E+00
 -7.80355E+01 -2.26879E+00  0.00000E+00
 -7.77889E+01 -2.26800E+00  0.00000E+00
 -7.75423E+01  1.99139E+00  8.07383E+00
 -7.72958E+01  1.95222E+00  2.27946E+00
 -7.70492E+01 -2.76248E-01  4.18230E+00
 -7.68026E+01  5.27608E+00  5.44082E+00
 -7.65560E+01  3.55873E-01  8.04147E-01
 -7.63094E+01 -2.24576E+00  0.00000E+00
 -7.60628E+01 -2.13134E+00  1.11258E+00
 -7.58162E+01  7.15111E-01  3.39561E+00
 -7.55696E+01  5.37754E-01  1.60881E+00
 -7.53230E+01 -1.67593E+00  6.28831E-01
 -7.50764E+01  1.34154E+00  2.33586E+00
 -7.48298E+01  5.47989E-01  1.01938E+00
 -7.45833E+01 -4.65539E-01  1.48696E+00
 -7.43367E+01 -1.11526E+00  0.00000E+00
 -7.40901E+01 -1.27422E+00  1.06211E+00
 -7.38435E+01 -7.31291E-01  1.60841E+00
 -7.35969E+01  1.69510E+00  2.30241E+00
 -7.33503E+01  1.77938E+00  1.43059E+00
 -7.31037E+01 -7.33141E-01  1.51005E+00
 -7.28571E+01  3.08065E+00  2.62097E+00
 -7.26105E+01  1.33592E+00  1.41675E+00
 -7.23639E+01 -4.90479E-01  1.20656E+00
 -7.21174E+01  4.01114E-01  1.80147E+00
 -7.18708E+01  1.06603E+00  1.78641E+00
 -7.16242E+01  2.48366E-01  2.01111E+00
 -7.13776E+01  2.64211E+00  1.93389E+00
 -7.11310E+01  8.76378E-01  1.87208E+00
 -7.08844E+01  1.05233E+00  1.82363E+00
 -7.06378E+01  1.54951E+00  1.94231E+00
 -7.03912E+01 -8.78619E-01  1.03065E+00
 -7.01446E+01  6.56987E-02  1.37310E+00
 -6.98980E+01 -7.91357E-01  1.28562E+00
 -6.96514E+01 -2.01332E-01  1.39025E+00
 -6.94049E+01 -1.34119E+00  3.71557E-01
 -6.91583E+01 -1.37245E+00  1.65764E+00
 -6.89117E+01  1.70458E+00  2.10768E+00
 -6.86651E+01  1.93301E+00  1.92472E+00
 -6.84185E+01  1.02542E+00  1.88787E+00
 -6.81719E+01  2.51882E+00  2.48728E+00
 -6.79253E+01  2.62140E+00  1.91952E+00
 -6.76787E+01  1.66376E+00  2.13541E+00
 -6.74321E+01  2.42395E+00  1.86271E+00
 -6.71855E+01  1.20443E+00  1.94728E+00
 -6.69389E+01  1.86075E+00  2.13438E+00
 -6.66924E+01  1.56097E+00  1.48254E+00
 -6.64458E+01 -7.13634E-01  1.83549E+00
 -6.61992E+01  1.09175E+00  1.64086E+00
 -6.59526E+01  4.17075E-01  1.43615E+00
 -6.57060E+01  2.70428E+00  2.33667E+00
 -6.54594E+01  1.13061E+00  1.69138E+00
 -6.52128E+01  7.26954E-01  1.59747E+00
 -6.49662E+01  3.00462E+00  2.65216E+00
 -6.47196E+01  3.33062E+00  2.90014E+00
 -6.44730E+01  4.05888E+00  2.01025E+00
 -6.42264E+01  1.42453E+00  1.42738E+00
 -6.39799E+01 -3.38747E-01  1.77703E+00
