@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/24/18 at 16:55:22 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -7.92843E+01  5.25628E-02  9.65929E-02
 -7.90365E+01 -2.17699E-02  3.49104E-02
 -7.87888E+01 -1.12704E-02  3.20291E-02
 -7.85410E+01 -3.09192E-03  3.44231E-02
 -7.82932E+01 -3.01526E-03  3.42851E-02
 -7.80455E+01 -7.75594E-03  2.81493E-02
 -7.77977E+01  9.31682E-03  3.61852E-02
 -7.75499E+01 -8.53513E-04  3.71977E-02
 -7.73022E+01 -1.16436E-02  1.55439E-02
 -7.70544E+01 -1.08807E-02  3.39744E-02
 -7.68067E+01 -9.33930E-03  1.40945E-02
 -7.65589E+01 -1.24300E-02  2.49434E-02
 -7.63111E+01 -1.43251E-02  2.73727E-02
 -7.60634E+01  9.40502E-03  3.58732E-02
 -7.58156E+01 -9.17074E-03  2.70036E-02
 -7.55678E+01  1.01073E-02  3.57412E-02
 -7.53201E+01 -9.30261E-03  2.83723E-02
 -7.50723E+01 -1.16850E-02  2.78781E-02
 -7.48246E+01  4.45891E-02  5.99620E-02
 -7.45768E+01  1.04769E-01  5.25768E-02
 -7.43290E+01  2.72565E-02  3.88956E-02
 -7.40813E+01  8.17697E-03  3.65143E-02
 -7.38335E+01  1.36850E-02  4.45810E-02
 -7.35857E+01  1.37120E-02  2.88452E-02
 -7.33380E+01  6.55255E-03  3.59984E-02
 -7.30902E+01 -1.99445E-02  1.50755E-02
 -7.28424E+01 -3.35774E-02  2.99845E-03
 -7.25947E+01 -1.82543E-02  2.46032E-02
 -7.23469E+01 -2.44005E-02  1.12980E-02
 -7.20992E+01 -1.41785E-02  2.53451E-02
 -7.18514E+01 -1.55213E-02  2.60119E-02
 -7.16036E+01 -7.16742E-03  2.70621E-02
 -7.13559E+01  4.45628E-03  3.45634E-02
 -7.11081E+01 -2.16339E-02  1.63462E-02
 -7.08603E+01  1.04184E-02  4.24644E-02
 -7.06126E+01  3.97157E-02  4.50192E-02
 -7.03648E+01 -8.02123E-03  2.89064E-02
 -7.01170E+01 -1.21169E-03  2.71075E-02
 -6.98693E+01  1.67933E-02  3.50172E-02
 -6.96215E+01 -2.81890E-02  1.32934E-02
 -6.93738E+01 -2.00619E-04  3.47840E-02
 -6.91260E+01 -7.15262E-03  2.79398E-02
 -6.88782E+01 -1.19075E-02  2.65520E-02
 -6.86305E+01  8.23302E-03  3.56999E-02
 -6.83827E+01 -1.68192E-03  2.74113E-02
 -6.81349E+01  8.79386E-04  3.57331E-02
 -6.78872E+01  5.01992E-02  5.00052E-02
 -6.76394E+01 -1.02708E-02  1.90306E-02
 -6.73916E+01 -3.37369E-02  7.76576E-03
 -6.71439E+01  5.37909E-03  3.60232E-02
 -6.68961E+01  4.86193E-02  5.00650E-02
 -6.66484E+01  1.59345E-02  3.79288E-02
 -6.64006E+01 -4.84516E-03  2.70614E-02
 -6.61528E+01 -1.15343E-02  2.57874E-02
 -6.59051E+01 -1.02245E-02  2.84095E-02
 -6.56573E+01  9.42528E-03  4.30337E-02
 -6.54095E+01  3.30630E-02  3.73132E-02
 -6.51618E+01 -9.44807E-03  2.81751E-02
 -6.49140E+01 -1.12245E-02  2.56959E-02
 -6.46663E+01 -2.60669E-02  9.53450E-03
 -6.44185E+01 -1.58123E-02  2.51915E-02
 -6.41707E+01  4.48244E-03  3.55633E-02
 -6.39230E+01  4.28303E-04  2.78361E-02
 -6.36752E+01  1.53231E-02  5.48453E-02
 -6.34274E+01  7.45202E-02  5.16777E-02
 -6.31797E+01  6.18164E-02  4.61775E-02
