@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/24/18 at 17:19:13 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -7.01764E+01  2.87811E+00  5.06700E+00
 -6.99289E+01 -1.95109E+00  3.61209E-01
 -6.96814E+01  1.31617E+00  2.39258E+00
 -6.94339E+01 -8.71487E-01  1.78880E+00
 -6.91864E+01  3.87512E-01  1.06887E+00
 -6.89389E+01 -1.01715E+00  1.35723E+00
 -6.86915E+01  4.26806E-01  2.00752E+00
 -6.84440E+01  1.45208E+00  1.42805E+00
 -6.81965E+01 -9.36850E-01  1.34203E-01
 -6.79490E+01 -6.87780E-01  2.01825E+00
 -6.77015E+01  3.22585E+00  2.00683E+00
 -6.74540E+01 -3.02709E-01  3.20712E-01
 -6.72065E+01 -9.01052E-01  1.42744E+00
 -6.69591E+01 -4.22475E-01  1.42502E+00
 -6.67116E+01  1.25849E+00  1.43285E+00
 -6.64641E+01 -9.55633E-01  1.04384E+00
 -6.62166E+01 -4.42936E-01  1.41439E+00
 -6.59691E+01 -2.24471E-01  1.42961E+00
 -6.57216E+01 -7.05319E-01  9.94122E-01
 -6.54741E+01 -3.23761E-01  1.41954E+00
 -6.52267E+01 -1.09678E+00  2.00085E-01
 -6.49792E+01 -1.95500E+00  2.34996E-01
 -6.47317E+01 -1.18178E+00  1.50297E+00
 -6.44842E+01  1.30032E+00  1.69898E+00
 -6.42367E+01  3.16833E+00  2.63212E+00
 -6.39892E+01  2.47887E+00  1.79728E+00
 -6.37418E+01  1.56506E+00  2.19068E+00
 -6.34943E+01  8.49874E-01  1.46634E+00
 -6.32468E+01  9.15981E-01  1.78503E+00
 -6.29993E+01  2.31221E+00  2.02364E+00
 -6.27518E+01  1.37218E+00  1.95266E+00
 -6.25043E+01  3.14058E-02  1.48791E+00
 -6.22568E+01  1.54773E+00  1.73607E+00
 -6.20094E+01 -2.84559E-01  1.68743E+00
 -6.17619E+01 -6.37020E-01  3.06647E-01
 -6.15144E+01 -8.23907E-01  1.39886E+00
 -6.12669E+01 -1.17352E+00  2.30076E-01
 -6.10194E+01 -8.75459E-01  1.08054E+00
 -6.07719E+01  9.79066E-01  1.96648E+00
 -6.05244E+01 -1.04351E+00  3.17044E-01
 -6.02770E+01  3.01968E-01  1.72391E+00
 -6.00295E+01  1.64997E+00  1.97352E+00
 -5.97820E+01 -5.86243E-02  1.01588E+00
 -5.95345E+01 -1.94961E+00  1.32175E-01
 -5.92870E+01 -6.22267E-01  1.51374E+00
 -5.90395E+01  4.17693E-01  1.34736E+00
 -5.87920E+01 -1.28113E+00  1.15259E+00
 -5.85446E+01  2.46923E+00  2.43200E+00
 -5.82971E+01  2.48341E+00  1.84438E+00
 -5.80496E+01  1.87469E+00  1.69664E+00
 -5.78021E+01 -8.29619E-01  1.10638E+00
 -5.75546E+01  7.37248E-01  1.72564E+00
 -5.73071E+01 -1.22032E+00  1.46171E+00
 -5.70596E+01  1.04507E+00  1.72765E+00
 -5.68122E+01  2.98056E-01  1.47711E+00
 -5.65647E+01  2.12266E+00  1.97193E+00
 -5.63172E+01  1.48771E-01  1.01787E+00
 -5.60697E+01 -1.03890E+00  1.16080E+00
 -5.58222E+01  1.46420E+00  2.62667E+00
 -5.55747E+01  3.67125E+00  1.38882E+00
 -5.53273E+01 -1.75560E+00  2.63896E-01
 -5.50798E+01  3.85337E-01  1.99443E+00
 -5.48323E+01  9.14232E-01  1.41005E+00
 -5.45848E+01  1.93795E-02  1.56346E+00
 -5.43373E+01  1.70931E+00  1.98289E+00
 -5.40898E+01  4.83522E-01  1.41110E+00
 -5.38423E+01 -2.39448E-01  1.69386E+00
 -5.35949E+01  1.33187E+00  1.96818E+00
 -5.33474E+01  9.44247E-01  1.44871E+00
 -5.30999E+01  7.97848E-01  1.85620E+00
 -5.28524E+01  2.87579E+00  2.36635E+00
 -5.26049E+01  1.08776E+00  1.06904E+00
 -5.23574E+01  2.23859E-01  1.37769E+00
 -5.21099E+01 -1.41769E+00  5.44601E-01
 -5.18625E+01  6.48445E-01  1.71197E+00
 -5.16150E+01 -8.26156E-01  1.10215E+00
 -5.13675E+01  1.98107E+00  2.49347E+00
 -5.11200E+01  5.05582E+00  2.64648E+00
 -5.08725E+01  2.61080E+00  1.72651E+00
 -5.06250E+01  2.97894E-01  1.49958E+00
 -5.03775E+01  1.18508E+00  2.02488E+00
 -5.01301E+01  1.16610E+00  1.97115E+00
 -4.98826E+01  1.47132E+00  1.93888E+00
 -4.96351E+01  5.65050E+00  2.99008E+00
 -4.93876E+01  5.26829E+00  2.58491E+00
 -4.91401E+01  2.98301E+00  2.16477E+00
 -4.88926E+01  6.78552E+00  3.55826E+00
 -4.86451E+01  7.36024E+00  3.14240E+00
 -4.83977E+01  5.85317E+00  1.99762E+00
 -4.81502E+01  2.81239E+00  2.81549E+00
 -4.79027E+01  1.01017E+01  3.46663E+00
 -4.76552E+01  8.24609E+00  3.20797E+00
 -4.74077E+01  9.24682E+00  3.46814E+00
 -4.71602E+01  7.43294E+00  3.74571E+00
 -4.69128E+01  1.42975E+01  3.96325E+00
 -4.66653E+01  1.76660E+01  4.33536E+00
 -4.64178E+01  1.11440E+01  3.46629E+00
 -4.61703E+01  1.01282E+01  3.64752E+00
 -4.59228E+01  1.29126E+01  3.76439E+00
 -4.56753E+01  9.56061E+00  3.45714E+00
 -4.54278E+01  7.71340E+00  4.30467E+00
 -4.51804E+01  1.76603E+01  3.93647E+00
 -4.49329E+01  1.09727E+01  3.87297E+00
 -4.46854E+01  2.04271E+01  5.05067E+00
 -4.44379E+01  2.18949E+01  4.16280E+00
 -4.41904E+01  6.60325E+00  3.00230E+00
 -4.39429E+01  1.00171E+01  3.88895E+00
 -4.36954E+01  1.34752E+01  3.69139E+00
 -4.34480E+01  1.27251E+01  3.93179E+00
 -4.32005E+01  9.41856E+00  3.36560E+00
 -4.29530E+01  1.16746E+01  4.06825E+00
 -4.27055E+01  1.53880E+01  4.30751E+00
 -4.24580E+01  1.22006E+01  3.26404E+00
 -4.22105E+01  6.89331E+00  3.38405E+00
 -4.19630E+01  1.15310E+01  3.99355E+00
 -4.17156E+01  1.31135E+01  3.30291E+00
 -4.14681E+01  5.89605E+00  3.27091E+00
 -4.12206E+01  9.52836E+00  3.17447E+00
 -4.09731E+01  1.04485E+01  3.27903E+00
 -4.07256E+01  6.05775E+00  3.90740E+00
 -4.04781E+01  1.33561E+01  3.17545E+00
 -4.02306E+01  1.24855E+01  3.83433E+00
 -3.99832E+01  9.37346E+00  3.43588E+00
 -3.97357E+01  9.71855E+00  3.57281E+00
 -3.94882E+01  1.11136E+01  3.88214E+00
 -3.92407E+01  1.90960E+01  4.67515E+00
 -3.89932E+01  1.39506E+01  4.23521E+00
 -3.87457E+01  1.42032E+01  4.12037E+00
 -3.84983E+01  1.92323E+01  4.80253E+00
 -3.82508E+01  2.23302E+01  4.51622E+00
 -3.80033E+01  1.43032E+01  4.46443E+00
 -3.77558E+01  1.29444E+01  3.22396E+00
 -3.75083E+01  1.06877E+01  4.22045E+00
 -3.72608E+01  1.99247E+01  4.79125E+00
 -3.70133E+01  1.87669E+01  4.69399E+00
 -3.67659E+01  2.00512E+01  4.44963E+00
 -3.65184E+01  1.15425E+01  4.28711E+00
 -3.62709E+01  2.04373E+01  4.52082E+00
 -3.60234E+01  1.95072E+01  4.91186E+00
 -3.57759E+01  2.25210E+01  4.64653E+00
 -3.55284E+01  2.17562E+01  5.72249E+00
 -3.52809E+01  2.76942E+01  4.58971E+00
 -3.50335E+01  1.68903E+01  4.25611E+00
 -3.47860E+01  1.09827E+01  3.50566E+00
 -3.45385E+01  2.30499E+01  5.19586E+00
 -3.42910E+01  1.80757E+01  4.39307E+00
 -3.40435E+01  2.02052E+01  4.80733E+00
 -3.37960E+01  2.72369E+01  5.58909E+00
 -3.35485E+01  2.20732E+01  4.79420E+00
 -3.33011E+01  1.75735E+01  4.53403E+00
 -3.30536E+01  2.10601E+01  4.76896E+00
 -3.28061E+01  2.40775E+01  5.49286E+00
 -3.25586E+01  3.47631E+01  6.02268E+00
 -3.23111E+01  2.46121E+01  5.11034E+00
 -3.20636E+01  2.63953E+01  5.46631E+00
 -3.18161E+01  2.33641E+01  5.10050E+00
 -3.15687E+01  2.73967E+01  5.49813E+00
 -3.13212E+01  2.91862E+01  5.75255E+00
