@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/24/18 at 17:21:00 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -6.97499E+01 -3.83594E-02
 -6.95017E+01 -3.51636E-02
 -6.92535E+01 -7.67642E-03
 -6.90053E+01  2.67632E-04
 -6.87570E+01 -1.40948E-02
 -6.85088E+01 -2.28507E-02
 -6.82606E+01 -1.68147E-02
 -6.80124E+01 -1.17492E-02
 -6.77642E+01 -1.49647E-03
 -6.75159E+01  1.79710E-02
 -6.72677E+01  1.66452E-02
 -6.70195E+01 -7.49207E-03
 -6.67713E+01 -1.11787E-02
 -6.65231E+01 -2.71039E-03
 -6.62748E+01 -5.98102E-03
 -6.60266E+01 -9.95418E-03
 -6.57784E+01 -1.47361E-02
 -6.55302E+01 -1.09701E-02
 -6.52820E+01 -6.64896E-04
 -6.50337E+01  8.90422E-03
 -6.47855E+01  1.49079E-02
 -6.45373E+01  1.29252E-02
 -6.42891E+01  4.19927E-04
 -6.40409E+01 -1.15476E-02
 -6.37926E+01 -1.84738E-02
 -6.35444E+01 -2.02596E-02
 -6.32962E+01 -2.36731E-02
 -6.30480E+01 -3.80197E-02
 -6.27998E+01 -4.86924E-02
 -6.25515E+01 -4.23477E-02
 -6.23033E+01 -2.41208E-02
 -6.20551E+01 -1.46083E-02
 -6.18069E+01 -2.59718E-02
 -6.15587E+01 -3.79962E-02
 -6.13104E+01 -4.08398E-02
 -6.10622E+01 -3.92295E-02
 -6.08140E+01 -3.06920E-02
 -6.05658E+01 -2.13458E-02
 -6.03176E+01 -2.14751E-02
 -6.00693E+01 -7.93826E-03
 -5.98211E+01  2.03721E-02
 -5.95729E+01  2.41837E-02
 -5.93247E+01 -1.26703E-03
 -5.90764E+01 -2.37548E-02
 -5.88282E+01 -1.68624E-02
 -5.85800E+01  9.72140E-03
 -5.83318E+01  3.43084E-02
 -5.80836E+01  4.42390E-02
 -5.78353E+01  2.97110E-02
 -5.75871E+01  1.96572E-02
 -5.73389E+01  2.14453E-02
 -5.70907E+01  8.56278E-03
 -5.68425E+01  2.04046E-03
 -5.65942E+01  1.42747E-02
 -5.63460E+01  1.68625E-02
 -5.60978E+01  2.58796E-02
 -5.58496E+01  4.41509E-02
 -5.56014E+01  3.90436E-02
 -5.53531E+01  1.90932E-02
 -5.51049E+01  3.55906E-03
 -5.48567E+01 -2.28621E-04
 -5.46085E+01  1.15275E-02
 -5.43603E+01  1.75643E-02
 -5.41120E+01  1.12021E-02
 -5.38638E+01  2.50083E-02
 -5.36156E+01  6.00851E-02
 -5.33674E+01  9.39262E-02
 -5.31192E+01  1.03188E-01
 -5.28709E+01  7.95700E-02
 -5.26227E+01  4.28058E-02
 -5.23745E+01  2.70622E-02
 -5.21263E+01  4.07334E-02
 -5.18781E+01  5.86870E-02
 -5.16298E+01  8.38274E-02
 -5.13816E+01  1.10413E-01
 -5.11334E+01  1.03511E-01
 -5.08852E+01  1.04481E-01
 -5.06370E+01  1.52037E-01
 -5.03887E+01  1.72443E-01
 -5.01405E+01  1.60615E-01
 -4.98923E+01  1.78576E-01
 -4.96441E+01  2.07512E-01
 -4.93959E+01  2.23446E-01
 -4.91476E+01  2.51400E-01
 -4.88994E+01  2.67432E-01
 -4.86512E+01  2.46320E-01
 -4.84030E+01  2.35429E-01
 -4.81548E+01  2.49303E-01
 -4.79065E+01  2.53935E-01
 -4.76583E+01  2.37431E-01
 -4.74101E+01  2.45470E-01
 -4.71619E+01  3.00796E-01
 -4.69137E+01  3.33090E-01
 -4.66654E+01  3.20593E-01
 -4.64172E+01  3.12566E-01
 -4.61690E+01  2.96116E-01
 -4.59208E+01  2.35301E-01
 -4.56725E+01  1.90030E-01
 -4.54243E+01  1.86354E-01
 -4.51761E+01  1.83615E-01
 -4.49279E+01  1.87669E-01
 -4.46797E+01  2.00086E-01
 -4.44314E+01  2.01698E-01
 -4.41832E+01  1.93965E-01
 -4.39350E+01  2.12584E-01
 -4.36868E+01  2.43195E-01
 -4.34386E+01  2.58896E-01
 -4.31903E+01  2.55221E-01
 -4.29421E+01  2.21586E-01
 -4.26939E+01  1.97404E-01
 -4.24457E+01  2.15756E-01
 -4.21975E+01  2.49888E-01
 -4.19492E+01  2.78644E-01
 -4.17010E+01  2.80333E-01
 -4.14528E+01  2.63614E-01
 -4.12046E+01  2.84541E-01
 -4.09564E+01  3.17877E-01
 -4.07081E+01  2.93499E-01
 -4.04599E+01  2.65252E-01
 -4.02117E+01  2.89066E-01
 -3.99635E+01  3.45391E-01
 -3.97153E+01  3.90928E-01
 -3.94670E+01  3.97769E-01
 -3.92188E+01  3.96983E-01
 -3.89706E+01  4.03804E-01
 -3.87224E+01  3.86945E-01
 -3.84742E+01  3.61330E-01
 -3.82259E+01  3.59538E-01
 -3.79777E+01  3.59916E-01
 -3.77295E+01  3.64975E-01
 -3.74813E+01  3.88331E-01
 -3.72331E+01  4.04023E-01
 -3.69848E+01  4.15931E-01
 -3.67366E+01  4.39811E-01
 -3.64884E+01  4.65900E-01
 -3.62402E+01  4.56500E-01
 -3.59920E+01  4.26623E-01
 -3.57437E+01  4.13024E-01
 -3.54955E+01  3.99690E-01
 -3.52473E+01  4.11188E-01
 -3.49991E+01  4.62336E-01
 -3.47509E+01  5.07162E-01
 -3.45026E+01  5.18375E-01
 -3.42544E+01  4.84174E-01
 -3.40062E+01  4.51046E-01
 -3.37580E+01  4.63253E-01
 -3.35098E+01  4.76732E-01
 -3.32615E+01  5.31656E-01
 -3.30133E+01  6.55933E-01
 -3.27651E+01  7.09998E-01
 -3.25169E+01  6.75902E-01
 -3.22686E+01  6.65038E-01
