@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 11:50:04 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -7.07776E+01 -2.76360E+00  0.00000E+00
 -7.05281E+01 -2.76284E+00  0.00000E+00
 -7.02786E+01 -2.76224E+00  0.00000E+00
 -7.00292E+01 -6.90576E-02  8.28532E-02
 -6.97797E+01 -5.26242E-01  1.92399E+00
 -6.95302E+01 -1.01968E+00  1.31609E+00
 -6.92808E+01 -1.93379E+00  2.76288E-01
 -6.90313E+01 -1.16403E-01  1.74222E+00
 -6.87818E+01 -2.37676E-01  1.22036E+00
 -6.85323E+01 -2.52499E+00  8.00046E-01
 -6.82829E+01 -8.83535E-01  1.63435E+00
 -6.80334E+01 -1.03691E+00  6.10510E-01
 -6.77839E+01 -2.44111E+00  8.19546E-01
 -6.75345E+01 -1.22366E+00  1.10722E+00
 -6.72850E+01  1.55719E+00  1.95677E+00
 -6.70355E+01 -5.78179E-01  1.31534E+00
 -6.67861E+01 -8.81196E-01  1.00443E+00
 -6.65366E+01  6.87928E-01  2.15019E+00
 -6.62871E+01 -2.18400E-01  1.97099E+00
 -6.60376E+01  1.20464E+00  7.24245E-01
 -6.57882E+01  1.36116E+00  2.52761E+00
 -6.55387E+01  1.95834E+00  1.88699E+00
 -6.52892E+01 -4.85708E-01  0.00000E+00
 -6.50398E+01 -2.71240E+00  1.67219E-01
 -6.47903E+01 -2.08250E+00  6.67117E-01
 -6.45408E+01 -2.08673E+00  1.18924E+00
 -6.42914E+01 -5.23296E-01  1.49444E+00
 -6.40419E+01  3.18855E+00  2.90570E+00
 -6.37924E+01  1.98347E+00  1.49029E+00
 -6.35429E+01  4.25987E-01  2.01162E+00
 -6.32935E+01  1.85012E+00  1.31319E+00
 -6.30440E+01 -2.53465E+00  1.16797E+00
 -6.27945E+01 -1.50304E+00  4.78341E-01
 -6.25451E+01 -1.16413E+00  1.76879E+00
 -6.22956E+01  2.34138E+00  2.23119E+00
 -6.20461E+01 -8.41735E-02  1.66361E+00
 -6.17967E+01  7.00605E-02  1.43622E+00
 -6.15472E+01 -1.73816E+00  1.30335E+00
 -6.12977E+01  3.05646E+00  2.61784E+00
 -6.10482E+01  3.54938E+00  2.61907E+00
 -6.07988E+01  2.66256E+00  1.31486E+00
 -6.05493E+01  3.88178E+00  2.76925E+00
 -6.02998E+01  3.18886E+00  2.12705E+00
 -6.00504E+01  1.20216E+00  1.68065E+00
 -5.98009E+01  5.10099E+00  3.50844E+00
 -5.95514E+01  6.05033E+00  3.00811E+00
 -5.93020E+01  4.11576E+00  2.13904E+00
 -5.90525E+01  2.18496E+00  2.56849E+00
 -5.88030E+01  8.34413E+00  3.36114E+00
 -5.85535E+01  5.39982E+00  2.58381E+00
 -5.83041E+01  7.55077E+00  3.68167E+00
 -5.80546E+01  9.75061E+00  3.23574E+00
 -5.78051E+01  5.08853E+00  2.44560E+00
 -5.75557E+01  6.04311E+00  2.83938E+00
 -5.73062E+01  9.15536E+00  3.38643E+00
 -5.70567E+01  5.45371E+00  3.03552E+00
 -5.68073E+01  7.33530E+00  2.65857E+00
 -5.65578E+01  7.29572E+00  3.44784E+00
 -5.63083E+01  8.92437E+00  3.10197E+00
 -5.60588E+01  5.37306E+00  2.64236E+00
 -5.58094E+01  7.28765E+00  3.54803E+00
 -5.55599E+01  1.17060E+01  3.48609E+00
 -5.53104E+01  1.20429E+01  4.36621E+00
 -5.50610E+01  1.43702E+01  3.38795E+00
 -5.48115E+01  7.96142E+00  2.93400E+00
 -5.45620E+01  2.98666E+00  2.44682E+00
 -5.43125E+01  6.43505E+00  2.85939E+00
 -5.40631E+01  7.32061E+00  3.31721E+00
 -5.38136E+01  1.11094E+01  3.91508E+00
 -5.35641E+01  8.02187E+00  3.07057E+00
 -5.33147E+01  5.55625E+00  2.50854E+00
 -5.30652E+01  8.06476E+00  3.17842E+00
 -5.28157E+01  9.03627E+00  3.19761E+00
 -5.25663E+01  3.84298E+00  1.82978E+00
 -5.23168E+01  3.89222E+00  3.09424E+00
 -5.20673E+01  5.46125E+00  2.94484E+00
 -5.18178E+01  7.88571E+00  3.23819E+00
 -5.15684E+01  7.66685E+00  2.49824E+00
 -5.13189E+01  6.91241E+00  2.68834E+00
 -5.10694E+01  6.54427E+00  3.15634E+00
 -5.08200E+01  6.12834E+00  2.93754E+00
 -5.05705E+01  2.73875E+00  2.75005E+00
 -5.03210E+01  6.37095E+00  2.85991E+00
 -5.00716E+01  6.37991E+00  2.84104E+00
 -4.98221E+01  6.88074E+00  3.13474E+00
 -4.95726E+01  5.55561E+00  2.77853E+00
 -4.93231E+01  5.09026E+00  2.27802E+00
 -4.90737E+01  6.36383E+00  3.65783E+00
 -4.88242E+01  9.81563E+00  3.31567E+00
 -4.85747E+01  1.06345E+01  3.75273E+00
 -4.83253E+01  9.40343E+00  3.24571E+00
 -4.80758E+01  6.86281E+00  2.56523E+00
 -4.78263E+01  5.37305E+00  3.39280E+00
 -4.75769E+01  6.49624E+00  2.15246E+00
 -4.73274E+01  8.85205E+00  3.98294E+00
 -4.70779E+01  1.37983E+01  3.75166E+00
 -4.68284E+01  1.19813E+01  3.93694E+00
 -4.65790E+01  1.02217E+01  3.56765E+00
 -4.63295E+01  1.35808E+01  4.09792E+00
