@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 12:59:45 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "two-phonon contribution (1/eV)"
@type xy
 -8.39411E+01 -2.53192E-05
 -8.36920E+01 -1.65638E-04
 -8.34429E+01  2.33269E-04
 -8.31938E+01  3.42056E-04
 -8.29447E+01 -1.36696E-05
 -8.26957E+01 -5.84547E-07
 -8.24466E+01  2.64514E-04
 -8.21975E+01  1.33248E-04
 -8.19484E+01 -3.81618E-05
 -8.16993E+01  1.27567E-04
 -8.14502E+01  1.78888E-04
 -8.12012E+01  4.40390E-05
 -8.09521E+01  7.20089E-05
 -8.07030E+01  1.67372E-04
 -8.04539E+01  1.66313E-04
 -8.02048E+01  1.58801E-04
 -7.99557E+01  1.45220E-04
 -7.97067E+01  9.63824E-05
 -7.94576E+01  1.30048E-04
 -7.92085E+01  2.22628E-04
 -7.89594E+01  1.84365E-04
 -7.87103E+01  8.24350E-05
 -7.84612E+01  8.53477E-05
 -7.82122E+01  1.49154E-04
 -7.79631E+01  2.15899E-04
 -7.77140E+01  2.38979E-04
 -7.74649E+01  1.29076E-04
 -7.72158E+01  2.51953E-05
 -7.69667E+01  8.00708E-05
 -7.67177E+01  9.40196E-05
 -7.64686E+01 -3.05587E-05
 -7.62195E+01  6.40380E-06
 -7.59704E+01  1.74494E-04
 -7.57213E+01  1.63056E-04
 -7.54722E+01  1.73277E-04
 -7.52232E+01  2.97932E-04
 -7.49741E+01  2.65608E-04
 -7.47250E+01  2.57112E-04
 -7.44759E+01  3.67888E-04
 -7.42268E+01  3.43404E-04
 -7.39777E+01  3.40969E-04
 -7.37287E+01  6.70725E-04
 -7.34796E+01  9.12222E-04
 -7.32305E+01  7.28354E-04
 -7.29814E+01  7.89199E-04
 -7.27323E+01  1.17905E-03
 -7.24832E+01  1.21071E-03
 -7.22342E+01  1.10120E-03
 -7.19851E+01  1.40051E-03
 -7.17360E+01  1.81539E-03
 -7.14869E+01  1.93726E-03
 -7.12378E+01  1.96776E-03
 -7.09887E+01  2.05749E-03
 -7.07397E+01  2.15557E-03
 -7.04906E+01  2.30976E-03
 -7.02415E+01  2.43943E-03
 -6.99924E+01  2.56060E-03
 -6.97433E+01  2.81165E-03
 -6.94942E+01  2.94887E-03
 -6.92452E+01  2.78714E-03
 -6.89961E+01  2.77581E-03
 -6.87470E+01  3.22268E-03
 -6.84979E+01  3.52248E-03
 -6.82488E+01  3.17670E-03
 -6.79997E+01  2.97260E-03
 -6.77507E+01  3.53256E-03
 -6.75016E+01  3.98261E-03
 -6.72525E+01  3.76624E-03
 -6.70034E+01  3.71382E-03
 -6.67543E+01  4.12681E-03
 -6.65052E+01  4.31164E-03
 -6.62562E+01  4.31416E-03
 -6.60071E+01  4.53454E-03
 -6.57580E+01  4.69401E-03
 -6.55089E+01  4.86681E-03
 -6.52598E+01  5.30979E-03
 -6.50107E+01  5.53103E-03
 -6.47617E+01  5.44753E-03
 -6.45126E+01  5.78367E-03
 -6.42635E+01  6.41237E-03
 -6.40144E+01  6.50917E-03
 -6.37653E+01  6.45471E-03
 -6.35162E+01  7.08423E-03
 -6.32672E+01  7.77446E-03
 -6.30181E+01  7.74348E-03
 -6.27690E+01  7.77238E-03
 -6.25199E+01  8.44949E-03
 -6.22708E+01  8.99619E-03
 -6.20217E+01  9.03633E-03
 -6.17727E+01  9.19764E-03
