@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 13:12:51 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -8.34754E+01 -4.59410E-02  0.00000E+00
 -8.32263E+01 -4.59495E-02  0.00000E+00
 -8.29771E+01 -4.59580E-02  0.00000E+00
 -8.27279E+01 -4.59666E-02  0.00000E+00
 -8.24787E+01 -4.66075E-02  0.00000E+00
 -8.22295E+01 -4.27749E-02  1.73224E-03
 -8.19804E+01  5.40713E-02  1.07513E-02
 -8.17312E+01 -4.46683E-02  1.25011E-02
 -8.14820E+01 -1.84336E-03  7.92899E-02
 -8.12328E+01  8.79564E-02  1.01416E-01
 -8.09836E+01  4.17917E-02  1.78256E-02
 -8.07345E+01 -1.32509E-02  4.27621E-02
 -8.04853E+01 -1.45053E-03  4.63027E-02
 -8.02361E+01 -1.86937E-02  9.25484E-03
 -7.99869E+01 -2.17267E-02  2.64449E-02
 -7.97377E+01 -4.24234E-02  1.08656E-02
 -7.94886E+01  1.10355E-02  4.69102E-02
 -7.92394E+01 -9.73379E-03  9.91631E-03
 -7.89902E+01 -2.46734E-02  2.29030E-02
 -7.87410E+01 -4.52513E-02  4.19812E-03
 -7.84918E+01 -2.80073E-02  2.71233E-02
 -7.82427E+01  1.77303E-02  4.70904E-02
 -7.79935E+01  2.83080E-02  3.52210E-02
 -7.77443E+01  1.33231E-02  3.98092E-02
 -7.74951E+01 -1.21415E-03  2.71183E-02
 -7.72459E+01  1.90559E-02  4.85398E-02
 -7.69968E+01  9.48774E-03  2.84912E-02
 -7.67476E+01  2.79159E-03  4.09300E-02
 -7.64984E+01 -7.42156E-03  2.50612E-02
 -7.62492E+01 -3.55076E-02  1.09280E-02
 -7.60000E+01 -1.41224E-02  3.40569E-02
 -7.57509E+01 -8.42489E-06  2.76058E-02
 -7.55017E+01 -9.04569E-03  3.54591E-02
 -7.52525E+01 -8.46894E-03  2.71160E-02
 -7.50033E+01  7.84880E-03  4.40428E-02
 -7.47541E+01  2.17256E-02  3.53212E-02
 -7.45049E+01 -2.09677E-02  2.52343E-02
 -7.42558E+01 -8.14628E-03  3.32925E-02
 -7.40066E+01 -2.27931E-02  2.52899E-02
 -7.37574E+01 -1.67108E-02  2.45639E-02
 -7.35082E+01 -3.50185E-02  1.00491E-03
 -7.32590E+01 -4.37958E-02  8.43389E-03
 -7.30099E+01 -5.75007E-04  3.58252E-02
 -7.27607E+01 -4.81427E-03  4.02087E-02
 -7.25115E+01 -1.03748E-02  1.05547E-02
 -7.22623E+01 -5.22842E-03  3.65023E-02
 -7.20131E+01  3.06827E-02  5.01818E-02
 -7.17640E+01  9.21871E-02  5.35934E-02
 -7.15148E+01 -3.03518E-02  8.82316E-03
 -7.12656E+01 -1.65479E-02  3.25845E-02
 -7.10164E+01 -2.66168E-02  1.04187E-02
 -7.07672E+01 -5.22914E-03  3.54237E-02
 -7.05181E+01  9.07922E-03  3.45706E-02
 -7.02689E+01  1.65437E-03  4.06594E-02
 -7.00197E+01 -2.28366E-02  1.00598E-02
 -6.97705E+01 -4.82633E-03  4.42933E-02
 -6.95213E+01  9.85028E-02  5.83154E-02
 -6.92722E+01  1.19599E-02  2.28471E-02
 -6.90230E+01 -4.46459E-02  6.16115E-03
 -6.87738E+01 -1.03246E-02  3.53627E-02
 -6.85246E+01  2.82292E-02  4.90147E-02
 -6.82754E+01  6.28922E-03  2.63273E-02
 -6.80263E+01  3.00900E-03  3.70256E-02
 -6.77771E+01  2.74520E-03  3.35284E-02
 -6.75279E+01 -2.13204E-02  2.36640E-02
 -6.72787E+01 -2.01704E-02  2.61748E-02
 -6.70295E+01  9.38536E-03  4.27479E-02
 -6.67804E+01  2.58788E-02  4.25681E-02
 -6.65312E+01  3.16192E-02  4.30566E-02
 -6.62820E+01  4.19855E-02  4.73389E-02
 -6.60328E+01  2.94569E-02  3.44352E-02
 -6.57836E+01 -1.73984E-02  3.73764E-02
 -6.55345E+01  3.81197E-02  4.83674E-02
 -6.52853E+01  3.50764E-02  4.16492E-02
 -6.50361E+01  6.53558E-03  3.55157E-02
 -6.47869E+01 -1.29262E-02  1.03116E-02
 -6.45377E+01 -2.50282E-03  4.07360E-02
 -6.42886E+01  1.91969E-02  4.26573E-02
 -6.40394E+01  2.79481E-02  4.14867E-02
 -6.37902E+01  1.10896E-02  3.61627E-02
 -6.35410E+01  4.53628E-02  4.71546E-02
 -6.32918E+01 -2.20868E-03  2.52193E-02
 -6.30426E+01 -1.09422E-02  3.63802E-02
 -6.27935E+01  2.22306E-02  4.57241E-02
 -6.25443E+01  2.38973E-02  2.66000E-02
 -6.22951E+01 -9.40257E-03  4.18323E-02
 -6.20459E+01  3.72583E-02  4.48805E-02
 -6.17967E+01  3.76776E-02  5.01251E-02
 -6.15476E+01  4.89656E-02  3.96661E-02
 -6.12984E+01 -6.78413E-03  1.47910E-02
 -6.10492E+01  4.61487E-02  5.62658E-02
 -6.08000E+01  6.61986E-02  5.82157E-02
 -6.05508E+01  1.00726E-01  5.37897E-02
 -6.03017E+01 -2.44898E-02  9.46626E-03
 -6.00525E+01 -3.05032E-02  2.92217E-02
 -5.98033E+01  1.11153E-02  4.21341E-02
 -5.95541E+01 -6.82918E-03  2.62088E-02
 -5.93049E+01 -2.25271E-02  1.55871E-02
 -5.90558E+01  8.16807E-03  4.93791E-02
 -5.88066E+01  4.24935E-02  4.26053E-02
 -5.85574E+01  3.21128E-02  4.30984E-02
 -5.83082E+01  2.30531E-02  4.71900E-02
 -5.80590E+01  3.41247E-02  4.29500E-02
 -5.78099E+01  6.18524E-02  4.54204E-02
 -5.75607E+01  4.48628E-02  4.83982E-02
 -5.73115E+01 -1.95900E-02  2.59421E-02
 -5.70623E+01  1.26049E-02  4.35997E-02
 -5.68131E+01  2.36853E-02  4.00116E-02
 -5.65640E+01  2.80862E-02  5.70438E-02
 -5.63148E+01  7.75545E-02  5.33646E-02
 -5.60656E+01  6.11995E-02  3.88506E-02
 -5.58164E+01  7.43875E-02  6.59274E-02
 -5.55672E+01  6.50282E-02  4.17795E-02
 -5.53181E+01 -2.48879E-02  2.58157E-02
 -5.50689E+01  8.45370E-03  4.39643E-02
 -5.48197E+01  4.99716E-02  4.09528E-02
 -5.45705E+01 -3.25096E-03  3.59768E-02
 -5.43213E+01  2.69050E-02  5.68037E-02
 -5.40722E+01  5.78707E-02  2.40612E-02
 -5.38230E+01 -8.09522E-03  3.31484E-02
 -5.35738E+01 -2.28317E-02  2.64831E-02
 -5.33246E+01  6.50765E-03  4.30182E-02
 -5.30754E+01  3.76853E-02  3.49847E-02
 -5.28263E+01 -2.23518E-02  3.69495E-02
 -5.25771E+01  3.11930E-02  5.41044E-02
 -5.23279E+01  7.45445E-02  4.85981E-02
 -5.20787E+01  5.52900E-02  5.56043E-02
 -5.18295E+01  5.77878E-02  5.19500E-02
 -5.15803E+01  5.25467E-02  3.98778E-02
 -5.13312E+01  4.67940E-02  6.42577E-02
 -5.10820E+01  8.16417E-02  3.43209E-02
 -5.08328E+01  2.93180E-03  3.85791E-02
 -5.05836E+01  5.13874E-02  5.76668E-02
 -5.03344E+01  1.00476E-01  6.18256E-02
 -5.00853E+01  1.08847E-01  6.34710E-02
 -4.98361E+01  7.42136E-02  3.53300E-02
 -4.95869E+01 -2.98620E-03  3.97493E-02
 -4.93377E+01  5.57261E-02  5.12564E-02
 -4.90885E+01  5.85148E-02  6.17755E-02
 -4.88394E+01  9.43225E-02  6.08232E-02
 -4.85902E+01  1.19105E-01  6.12666E-02
 -4.83410E+01  6.87904E-02  4.97750E-02
 -4.80918E+01  6.39241E-02  5.17670E-02
 -4.78426E+01  8.86696E-02  5.72277E-02
 -4.75935E+01  2.17754E-02  2.66141E-02
 -4.73443E+01 -1.63596E-03  5.18981E-02
 -4.70951E+01  6.27024E-02  4.51896E-02
 -4.68459E+01  1.28691E-02  1.63420E-02
 -4.65967E+01 -1.35748E-02  4.87332E-02
 -4.63476E+01  5.01967E-02  4.17828E-02
 -4.60984E+01  1.72518E-02  3.25036E-02
 -4.58492E+01 -2.96917E-03  2.66592E-02
 -4.56000E+01  2.70594E-02  4.91010E-02
 -4.53508E+01  1.63571E-02  3.49529E-02
 -4.51017E+01  3.53379E-02  6.39227E-02
 -4.48525E+01  1.20247E-01  6.34777E-02
 -4.46033E+01  9.40785E-02  4.74420E-02
 -4.43541E+01  4.65720E-02  4.84855E-02
 -4.41049E+01  4.46956E-03  3.32019E-02
 -4.38558E+01  1.12195E-02  3.40390E-02
 -4.36066E+01  4.45109E-02  8.22078E-02
 -4.33574E+01  1.81871E-01  3.71372E-02
 -4.31082E+01  2.86084E-02  5.45185E-02
 -4.28590E+01  3.66478E-02  3.66743E-02
 -4.26099E+01  2.79112E-02  5.92086E-02
 -4.23607E+01  1.01081E-01  4.69782E-02
 -4.21115E+01  5.17414E-02  4.79381E-02
 -4.18623E+01  2.67511E-02  3.85085E-02
 -4.16131E+01  2.51884E-02  3.81013E-02
 -4.13640E+01  7.52682E-02  8.05331E-02
 -4.11148E+01  1.57548E-01  3.36137E-02
 -4.08656E+01  6.35108E-02  7.25498E-02
 -4.06164E+01  1.14936E-01  5.58546E-02
 -4.03672E+01  1.07577E-01  7.27610E-02
 -4.01180E+01  1.69888E-01  7.29684E-02
 -3.98689E+01  1.19080E-01  6.50838E-02
 -3.96197E+01  1.56438E-01  6.25566E-02
 -3.93705E+01  1.05682E-01  5.70356E-02
 -3.91213E+01  1.09685E-01  7.49959E-02
 -3.88721E+01  1.24543E-01  7.08317E-02
 -3.86230E+01  2.70014E-01  1.05482E-01
 -3.83738E+01  4.85958E-01  1.23449E-01
 -3.81246E+01  4.79183E-01  1.20282E-01
 -3.78754E+01  5.99548E-01  1.29062E-01
 -3.76262E+01  6.45291E-01  1.34924E-01
 -3.73771E+01  7.41970E-01  1.38820E-01
 -3.71279E+01  6.52048E-01  1.27959E-01
 -3.68787E+01  6.61201E-01  1.55323E-01
 -3.66295E+01  8.80739E-01  1.47217E-01
 -3.63803E+01  9.06561E-01  1.60323E-01
 -3.61312E+01  1.02003E+00  1.52093E-01
 -3.58820E+01  8.69544E-01  1.40549E-01
 -3.56328E+01  8.00805E-01  1.59583E-01
 -3.53836E+01  9.82194E-01  1.77896E-01
 -3.51344E+01  9.44667E-01  1.38154E-01
 -3.48853E+01  9.24679E-01  1.69712E-01
 -3.46361E+01  1.05804E+00  1.58362E-01
 -3.43869E+01  1.01822E+00  1.58574E-01
 -3.41377E+01  8.26479E-01  1.45354E-01
 -3.38885E+01  7.27583E-01  1.07587E-01
 -3.36394E+01  3.68684E-01  1.30650E-01
 -3.33902E+01  6.45987E-01  1.20178E-01
 -3.31410E+01  6.52524E-01  1.52535E-01
 -3.28918E+01  8.06269E-01  1.31652E-01
 -3.26426E+01  7.07179E-01  1.39620E-01
 -3.23935E+01  6.96495E-01  1.43622E-01
 -3.21443E+01  8.56458E-01  1.47555E-01
 -3.18951E+01  8.22809E-01  1.43831E-01
 -3.16459E+01  7.43476E-01  1.48026E-01
 -3.13967E+01  8.11114E-01  1.34465E-01
 -3.11476E+01  7.88195E-01  1.52178E-01
 -3.08984E+01  8.76236E-01  1.58110E-01
 -3.06492E+01  1.01237E+00  1.60289E-01
 -3.04000E+01  8.39372E-01  1.50456E-01
 -3.01508E+01  9.40762E-01  1.45854E-01
 -2.99017E+01  9.58448E-01  1.71700E-01
 -2.96525E+01  1.12202E+00  1.69213E-01
 -2.94033E+01  1.21553E+00  1.94428E-01
 -2.91541E+01  1.36415E+00  1.85076E-01
 -2.89049E+01  1.37028E+00  1.87710E-01
 -2.86557E+01  1.31830E+00  1.80303E-01
 -2.84066E+01  1.24212E+00  1.82600E-01
 -2.81574E+01  1.39064E+00  1.94610E-01
 -2.79082E+01  1.33993E+00  1.86827E-01
 -2.76590E+01  1.44483E+00  1.93723E-01
 -2.74098E+01  1.52728E+00  1.97640E-01
 -2.71607E+01  1.36984E+00  1.93889E-01
 -2.69115E+01  1.42225E+00  1.96277E-01
 -2.66623E+01  1.57761E+00  1.93516E-01
 -2.64131E+01  1.41322E+00  2.03728E-01
 -2.61639E+01  1.81441E+00  2.01448E-01
 -2.59148E+01  1.62797E+00  2.10368E-01
