@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 13:17:29 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -8.02632E+01 -1.94511E-02  0.00000E+00
 -8.00139E+01 -2.16919E-02  0.00000E+00
 -7.97647E+01 -7.41976E-03  2.23776E-02
 -7.95154E+01 -5.31978E-03  1.80345E-02
 -7.92661E+01 -1.33841E-02  1.09408E-02
 -7.90169E+01 -1.27741E-02  9.10935E-03
 -7.87676E+01 -3.59325E-03  1.56755E-02
 -7.85184E+01 -5.94252E-03  1.68407E-02
 -7.82691E+01  3.28972E-02  3.15863E-02
 -7.80198E+01  3.22731E-02  2.53011E-02
 -7.77706E+01  2.24152E-05  1.21669E-02
 -7.75213E+01 -1.47003E-02  9.65415E-03
 -7.72720E+01 -8.61304E-03  1.62301E-02
 -7.70228E+01  1.61403E-02  2.63977E-02
 -7.67735E+01  1.70969E-02  2.19476E-02
 -7.65242E+01  8.58735E-03  1.88116E-02
 -7.62750E+01 -8.42470E-03  1.31949E-02
 -7.60257E+01  2.17081E-03  1.90406E-02
 -7.57764E+01  7.66433E-03  1.95730E-02
 -7.55272E+01 -6.89904E-03  1.01713E-02
 -7.52779E+01 -1.30976E-02  1.21968E-02
 -7.50287E+01  1.17341E-02  2.21225E-02
 -7.47794E+01  1.94637E-03  1.60276E-02
 -7.45301E+01 -1.27780E-02  1.56996E-02
 -7.42809E+01 -6.39767E-04  1.29437E-02
 -7.40316E+01 -1.08115E-02  2.21848E-03
 -7.37823E+01 -1.79401E-02  1.10132E-02
 -7.35331E+01 -2.75554E-04  1.45806E-02
 -7.32838E+01 -9.42677E-03  9.81801E-03
 -7.30345E+01 -8.55431E-03  1.61383E-02
 -7.27853E+01  8.78522E-03  2.01417E-02
 -7.25360E+01  1.09105E-02  2.34761E-02
 -7.22867E+01  1.83284E-02  2.57963E-02
 -7.20375E+01  7.18657E-03  1.67851E-02
 -7.17882E+01 -1.48946E-02  5.62185E-03
 -7.15389E+01 -9.35763E-03  1.70155E-02
 -7.12897E+01  4.86218E-03  2.05569E-02
 -7.10404E+01  2.33844E-03  1.70547E-02
 -7.07912E+01 -7.14536E-03  9.28331E-03
 -7.05419E+01 -7.29081E-03  1.15823E-02
 -7.02926E+01 -1.35956E-03  2.24452E-02
 -7.00434E+01  2.51485E-02  2.81656E-02
 -6.97941E+01  1.35189E-02  1.84322E-02
 -6.95448E+01 -1.39911E-02  1.15980E-02
 -6.92956E+01  1.32446E-02  2.47766E-02
 -6.90463E+01  1.34256E-02  1.86814E-02
 -6.87970E+01 -1.43373E-02  2.15309E-03
 -6.85478E+01 -1.68609E-02  1.55912E-02
 -6.82985E+01  1.33404E-02  2.32204E-02
 -6.80492E+01  2.31760E-02  1.96130E-02
 -6.78000E+01  6.80899E-03  2.22327E-02
 -6.75507E+01  3.76691E-03  2.06090E-02
 -6.73014E+01  1.55904E-03  1.48855E-02
 -6.70522E+01 -7.04569E-03  8.70021E-03
 -6.68029E+01 -1.64592E-02  3.21238E-03
 -6.65537E+01 -1.61800E-02  1.12323E-02
 -6.63044E+01 -1.01161E-02  9.31469E-03
 -6.60551E+01 -1.21221E-02  1.21182E-02
 -6.58059E+01 -2.68870E-03  1.84150E-02
 -6.55566E+01  4.80779E-03  1.26787E-02
 -6.53073E+01 -1.12640E-02  0.00000E+00
 -6.50581E+01 -2.11330E-02  2.06299E-03
 -6.48088E+01 -1.47756E-02  1.59938E-02
 -6.45595E+01  1.07319E-02  2.04328E-02
 -6.43103E+01  1.70012E-02  2.04542E-02
 -6.40610E+01  7.24781E-03  1.72051E-02
 -6.38117E+01  9.63736E-03  2.20851E-02
 -6.35625E+01  1.13400E-02  2.28013E-02
 -6.33132E+01 -1.89973E-03  1.31385E-02
 -6.30639E+01 -1.46515E-02  1.11065E-02
 -6.28147E+01 -2.69408E-03  1.87311E-02
 -6.25654E+01  5.92765E-03  2.15767E-02
 -6.23162E+01  9.21273E-03  2.40425E-02
 -6.20669E+01  1.34482E-02  2.22685E-02
 -6.18176E+01  2.57878E-02  2.36034E-02
 -6.15684E+01  1.91108E-02  2.36021E-02
 -6.13191E+01  2.89225E-03  2.15975E-02
 -6.10698E+01  3.31298E-02  2.85350E-02
 -6.08206E+01  4.53442E-02  2.81411E-02
 -6.05713E+01  1.75506E-02  1.97168E-02
 -6.03220E+01 -4.28984E-03  2.01305E-02
 -6.00728E+01  2.35239E-02  3.36672E-02
 -5.98235E+01  4.97790E-02  3.31517E-02
 -5.95742E+01  2.91629E-02  1.80008E-02
 -5.93250E+01 -8.40815E-03  2.88264E-03
 -5.90757E+01 -9.49536E-03  1.57726E-02
 -5.88265E+01 -5.88514E-03  1.30325E-02
 -5.85772E+01  1.57319E-02  2.56418E-02
 -5.83279E+01  1.45807E-02  2.06701E-02
 -5.80787E+01 -8.72719E-03  1.58062E-02
 -5.78294E+01 -2.93626E-03  1.33391E-02
 -5.75801E+01  2.35273E-03  2.02359E-02
 -5.73309E+01  3.56590E-03  2.26812E-02
 -5.70816E+01  3.30214E-02  2.31444E-02
 -5.68323E+01  3.78754E-02  2.73071E-02
 -5.65831E+01  1.82412E-02  2.44553E-02
 -5.63338E+01  5.90835E-03  2.54807E-02
 -5.60845E+01  5.66947E-02  4.21258E-02
 -5.58353E+01  9.09382E-02  4.39731E-02
 -5.55860E+01  7.51250E-02  3.00847E-02
 -5.53367E+01  4.22460E-02  3.06996E-02
 -5.50875E+01  3.45000E-02  3.02616E-02
 -5.48382E+01  2.86383E-02  3.05137E-02
 -5.45890E+01  4.45961E-02  3.32330E-02
 -5.43397E+01  3.89890E-02  2.38933E-02
 -5.40904E+01  1.30070E-02  2.47789E-02
 -5.38412E+01  1.30517E-02  2.74870E-02
 -5.35919E+01  4.04123E-02  3.03518E-02
 -5.33426E+01  1.66422E-02  2.07574E-02
 -5.30934E+01  1.72842E-02  3.58551E-02
 -5.28441E+01  5.97850E-02  3.54525E-02
 -5.25948E+01  6.89703E-02  3.73518E-02
 -5.23456E+01  7.70941E-02  4.21581E-02
 -5.20963E+01  1.09789E-01  4.34634E-02
 -5.18470E+01  8.43473E-02  3.80410E-02
 -5.15978E+01  5.39391E-02  3.28119E-02
 -5.13485E+01  5.70348E-02  3.63157E-02
 -5.10992E+01  3.49142E-02  2.69570E-02
 -5.08500E+01  5.22160E-02  3.34348E-02
 -5.06007E+01  8.24514E-02  4.48538E-02
 -5.03515E+01  1.12579E-01  4.29922E-02
 -5.01022E+01  8.33142E-02  3.79290E-02
 -4.98529E+01  4.95821E-02  3.05049E-02
 -4.96037E+01  3.29043E-02  3.05730E-02
 -4.93544E+01  5.29098E-02  3.24856E-02
 -4.91051E+01  5.21179E-02  3.82938E-02
 -4.88559E+01  6.73905E-02  3.81556E-02
 -4.86066E+01  7.06933E-02  3.63765E-02
 -4.83573E+01  6.38562E-02  3.57355E-02
 -4.81081E+01  5.89223E-02  4.23612E-02
 -4.78588E+01  7.76160E-02  4.04922E-02
 -4.76095E+01  7.57416E-02  3.20672E-02
 -4.73603E+01  8.14116E-02  3.71827E-02
 -4.71110E+01  6.64812E-02  3.76131E-02
 -4.68617E+01  5.64772E-02  2.94777E-02
 -4.66125E+01  2.24755E-02  2.84154E-02
 -4.63632E+01  6.50461E-02  4.52007E-02
 -4.61140E+01  1.17382E-01  4.35745E-02
 -4.58647E+01  7.05845E-02  2.80383E-02
 -4.56154E+01  4.39295E-02  3.09399E-02
 -4.53662E+01  4.56769E-02  3.64282E-02
 -4.51169E+01  7.12150E-02  3.94335E-02
 -4.48676E+01  7.06977E-02  4.15969E-02
 -4.46184E+01  8.69202E-02  3.95955E-02
 -4.43691E+01  1.02014E-01  4.17524E-02
 -4.41198E+01  8.19273E-02  4.41424E-02
 -4.38706E+01  9.18162E-02  4.68985E-02
 -4.36213E+01  1.31489E-01  4.55610E-02
 -4.33720E+01  9.19938E-02  2.95267E-02
 -4.31228E+01  2.10641E-02  2.41315E-02
 -4.28735E+01  4.50231E-02  3.83089E-02
