Folder,Index,Resolution peak FWHM
2015Mar_Ambient,FeNi_Ambient,1.12
2013Feb_DAC14_P1,FeNi_DAC14_P1,1.07
2013Feb_DAC14_P2,FeNi_DAC14_P2,1.05
2012Apr_DAC11_P1,FeNi_DAC11_P1,1.14
2012Apr_DAC11_P2,FeNi_DAC11_P2,1.06
2012Apr_DAC11_P3,FeNi_DAC11_P3,1.12
2012Apr_DAC11_P4,FeNi_DAC11_P4,1.13
2012Apr_DAC11_P5,FeNi_DAC11_P5,1.13
2012Apr_DAC11_P6,FeNi_DAC11_P6,1.08
2012Apr_DAC11_P7,FeNi_DAC11_P7,1.11
2012Apr_DAC11_P8,FeNi_DAC11_P8,1.1
2012Apr_DAC11_P9,FeNi_DAC11_P9,1.08
2012Oct_DAC11_P14,FeNi_DAC11_P14,0.99
