@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 11:37:51 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -7.42913E+01 -2.31811E+00  0.00000E+00
 -7.40421E+01 -2.31905E+00  0.00000E+00
 -7.37928E+01 -2.31950E+00  0.00000E+00
 -7.35436E+01  2.57847E+00  6.56034E+00
 -7.32943E+01 -4.88807E-01  1.78415E+00
 -7.30451E+01 -2.23045E+00  0.00000E+00
 -7.27958E+01  2.48838E+00  6.47208E+00
 -7.25466E+01 -4.66379E-01  1.95137E+00
 -7.22973E+01 -1.01830E+00  3.37209E+00
 -7.20481E+01  1.07497E-01  7.34788E-01
 -7.17988E+01 -1.53371E+00  3.27926E+00
 -7.15496E+01 -2.99428E-02  8.17582E-01
 -7.13003E+01 -1.65325E+00  3.20746E+00
 -7.10511E+01  1.26710E+00  3.07345E+00
 -7.08018E+01  1.38057E+00  2.31847E+00
 -7.05526E+01 -6.28331E-01  3.08228E+00
 -7.03033E+01  1.48361E+00  1.84457E+00
 -7.00541E+01 -2.03057E+00  3.56697E-01
 -6.98048E+01 -2.32776E+00  1.56982E+00
 -6.95556E+01 -2.98944E-01  1.14369E+00
 -6.93063E+01 -5.06443E-01  1.03788E+00
 -6.90571E+01 -2.05431E+00  2.92416E-01
 -6.88078E+01  1.75395E-01  2.08635E+00
 -6.85586E+01  1.23682E-01  1.87332E+00
 -6.83093E+01 -2.35036E-01  1.84658E+00
 -6.80601E+01 -6.49093E-01  9.65340E-01
 -6.78108E+01  1.41636E+00  2.24668E+00
 -6.75616E+01  1.37029E+00  2.12618E+00
 -6.73123E+01  7.60330E-01  2.05789E+00
 -6.70631E+01  8.60889E-01  1.39833E+00
 -6.68138E+01 -1.74497E+00  9.14566E-01
 -6.65646E+01  2.78436E-01  2.19324E+00
 -6.63153E+01  2.34520E+00  2.47982E+00
 -6.60661E+01  1.17278E+00  1.44447E+00
 -6.58168E+01 -8.60197E-02  1.38733E+00
 -6.55676E+01 -6.35296E-01  2.03828E+00
 -6.53183E+01  9.18634E-01  7.43578E-01
 -6.50691E+01 -9.51205E-01  1.30821E+00
 -6.48198E+01  2.85422E-01  2.15615E+00
 -6.45706E+01  1.52635E+00  2.08067E+00
 -6.43213E+01  3.65694E+00  2.43620E+00
 -6.40721E+01  5.72745E-01  1.49280E+00
 -6.38228E+01  1.35349E+00  2.42801E+00
 -6.35736E+01  1.63602E+00  2.12229E+00
 -6.33243E+01  9.24694E-01  1.58080E+00
 -6.30751E+01 -9.26325E-01  1.84384E+00
 -6.28258E+01  6.42622E-01  1.63055E+00
 -6.25766E+01  1.08042E+00  1.84927E+00
 -6.23273E+01 -1.46252E-01  1.08929E+00
 -6.20781E+01 -1.35659E-01  1.84129E+00
 -6.18288E+01  2.29846E+00  2.01677E+00
 -6.15796E+01  6.54496E-01  2.29231E+00
 -6.13303E+01  2.69914E+00  2.30550E+00
 -6.10811E+01  2.54851E+00  2.72663E+00
 -6.08318E+01  3.45322E+00  2.22120E+00
 -6.05826E+01  1.94270E+00  1.97505E+00
