@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 11:41:02 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -7.07781E+01 -4.50912E-02  0.00000E+00
 -7.05289E+01 -3.92485E-02  2.06282E-02
 -7.02797E+01  9.10996E-03  6.38654E-02
 -7.00305E+01  4.30251E-02  6.54281E-02
 -6.97812E+01 -6.98145E-03  1.01856E-02
 -6.95320E+01 -1.38101E-02  2.68153E-02
 -6.92828E+01  3.63929E-03  3.62868E-02
 -6.90336E+01  5.06464E-02  3.38020E-02
 -6.87844E+01  2.06187E-02  3.08111E-02
 -6.85351E+01 -2.09442E-03  2.96459E-02
 -6.82859E+01  2.37969E-03  1.43510E-02
 -6.80367E+01 -6.76161E-03  2.79290E-02
 -6.77875E+01  2.19006E-02  3.09516E-02
 -6.75383E+01 -1.63750E-02  1.79066E-02
 -6.72890E+01 -1.63395E-02  3.06124E-02
 -6.70398E+01  4.79522E-02  3.32613E-02
 -6.67906E+01  2.79873E-02  3.16999E-02
 -6.65414E+01  3.59393E-04  2.95636E-02
 -6.62922E+01  2.16953E-02  3.11756E-02
 -6.60430E+01  1.14385E-02  3.66567E-02
 -6.57937E+01  2.87973E-02  2.14326E-02
 -6.55445E+01  6.91952E-03  3.40476E-02
 -6.52953E+01  4.57786E-02  3.19941E-02
 -6.50461E+01  2.49997E-02  2.64819E-02
 -6.47969E+01 -7.22217E-03  3.06458E-02
 -6.45476E+01  4.36438E-02  3.64998E-02
 -6.42984E+01  3.32223E-02  2.78985E-02
 -6.40492E+01  4.54303E-04  2.95266E-02
 -6.38000E+01  2.75090E-02  3.48779E-02
 -6.35508E+01  4.90772E-02  3.35908E-02
 -6.33016E+01  2.02853E-03  2.77694E-02
 -6.30523E+01  3.61350E-02  3.63720E-02
 -6.28031E+01  4.45134E-02  2.46082E-02
 -6.25539E+01 -2.14590E-03  2.47109E-02
 -6.23047E+01  5.76420E-03  3.25148E-02
 -6.20555E+01  3.29878E-02  2.72051E-02
 -6.18062E+01  4.49171E-02  4.04985E-02
 -6.15570E+01  4.96377E-02  3.78621E-02
 -6.13078E+01  1.88175E-02  2.72902E-02
 -6.10586E+01 -1.45010E-02  2.02370E-02
 -6.08094E+01  1.17905E-02  3.32039E-02
 -6.05601E+01  5.38322E-02  3.52791E-02
 -6.03109E+01  4.65689E-02  3.31278E-02
 -6.00617E+01  5.31765E-02  4.15943E-02
 -5.98125E+01  5.73992E-02  3.20367E-02
 -5.95633E+01  1.42355E-02  3.32747E-02
 -5.93141E+01  7.56086E-02  4.21706E-02
 -5.90648E+01  3.83305E-02  3.22243E-02
 -5.88156E+01  5.51521E-02  4.05781E-02
 -5.85664E+01  7.91451E-02  4.54851E-02
 -5.83172E+01  1.06368E-01  5.12258E-02
 -5.80680E+01  1.02978E-01  4.48308E-02
 -5.78187E+01  1.22230E-01  4.87691E-02
 -5.75695E+01  1.65465E-01  5.19484E-02
 -5.73203E+01  1.22163E-01  5.01560E-02
 -5.70711E+01  1.14380E-01  4.76934E-02
 -5.68219E+01  1.41966E-01  5.71911E-02
 -5.65726E+01  1.94799E-01  5.79880E-02
 -5.63234E+01  1.35336E-01  5.20080E-02
 -5.60742E+01  1.16857E-01  5.41946E-02
 -5.58250E+01  1.71637E-01  5.77856E-02
 -5.55758E+01  1.73652E-01  5.82759E-02
 -5.53266E+01  1.73933E-01  5.21560E-02
 -5.50773E+01  9.20437E-02  4.33605E-02
 -5.48281E+01  1.48148E-01  5.29317E-02
 -5.45789E+01  1.25268E-01  5.28147E-02
 -5.43297E+01  2.03453E-01  6.29622E-02
 -5.40805E+01  2.21167E-01  6.24294E-02
 -5.38312E+01  1.51317E-01  5.44547E-02
 -5.35820E+01  1.49426E-01  5.69065E-02
 -5.33328E+01  1.63327E-01  5.49388E-02
 -5.30836E+01  1.86261E-01  5.85313E-02
 -5.28344E+01  8.80923E-02  4.39360E-02
 -5.25851E+01  1.39594E-01  5.31133E-02
 -5.23359E+01  1.48740E-01  5.24048E-02
 -5.20867E+01  7.24183E-02  4.74774E-02
 -5.18375E+01  1.18841E-01  4.37974E-02
 -5.15883E+01  9.18498E-02  4.92039E-02
 -5.13391E+01  1.40910E-01  5.27229E-02
 -5.10898E+01  1.05081E-01  4.22102E-02
 -5.08406E+01  9.78919E-02  5.35127E-02
 -5.05914E+01  1.45625E-01  5.61106E-02
 -5.03422E+01  1.07457E-01  3.90936E-02
 -5.00930E+01  7.73388E-02  4.05736E-02
 -4.98437E+01  7.02854E-02  4.32934E-02
 -4.95945E+01  1.41128E-01  5.64633E-02
 -4.93453E+01  1.80636E-01  6.06856E-02
 -4.90961E+01  1.45156E-01  4.84992E-02
 -4.88469E+01  1.13281E-01  5.06104E-02
 -4.85976E+01  1.40910E-01  5.72261E-02
 -4.83484E+01  1.56545E-01  5.99658E-02
 -4.80992E+01  2.31495E-01  6.23323E-02
 -4.78500E+01  2.74221E-01  6.64673E-02
 -4.76008E+01  1.62701E-01  5.47590E-02
 -4.73516E+01  1.90990E-01  6.40891E-02
 -4.71023E+01  2.39141E-01  6.81215E-02
 -4.68531E+01  2.81197E-01  6.43274E-02
 -4.66039E+01  1.64956E-01  5.41062E-02
 -4.63547E+01  1.97726E-01  5.68978E-02
 -4.61055E+01  2.03906E-01  6.58260E-02
 -4.58562E+01  2.29329E-01  6.07171E-02
 -4.56070E+01  1.65236E-01  5.90633E-02
 -4.53578E+01  2.15295E-01  6.57251E-02
 -4.51086E+01  2.33729E-01  6.00514E-02
 -4.48594E+01  2.21463E-01  6.31761E-02
 -4.46101E+01  2.20946E-01  5.56147E-02
 -4.43609E+01  1.37313E-01  5.27188E-02
 -4.41117E+01  1.70213E-01  5.28833E-02
 -4.38625E+01  2.07695E-01  6.77680E-02
 -4.36133E+01  2.87548E-01  6.75434E-02
 -4.33641E+01  1.69467E-01  5.69338E-02
 -4.31148E+01  2.21587E-01  6.69145E-02
 -4.28656E+01  2.25160E-01  5.86664E-02
 -4.26164E+01  1.46626E-01  6.26656E-02
 -4.23672E+01  2.50906E-01  6.52152E-02
 -4.21180E+01  2.81843E-01  6.91568E-02
 -4.18687E+01  2.99523E-01  7.22526E-02
 -4.16195E+01  3.44635E-01  7.74337E-02
 -4.13703E+01  2.57472E-01  7.54579E-02
 -4.11211E+01  3.68239E-01  7.35531E-02
 -4.08719E+01  3.20311E-01  7.23387E-02
 -4.06226E+01  2.85207E-01  7.11491E-02
 -4.03734E+01  2.51813E-01  6.42754E-02
 -4.01242E+01  2.84284E-01  6.90325E-02
 -3.98750E+01  3.17484E-01  7.85856E-02
 -3.96258E+01  2.97900E-01  7.31517E-02
 -3.93766E+01  3.80328E-01  7.61944E-02
 -3.91273E+01  3.96950E-01  7.73510E-02
 -3.88781E+01  2.49942E-01  5.88563E-02
 -3.86289E+01  3.16011E-01  7.94825E-02
 -3.83797E+01  3.56244E-01  6.91804E-02
 -3.81305E+01  2.30836E-01  6.49196E-02
 -3.78812E+01  3.35366E-01  7.66756E-02
 -3.76320E+01  3.26983E-01  7.11497E-02
 -3.73828E+01  3.02628E-01  7.64208E-02
 -3.71336E+01  4.18280E-01  8.36242E-02
 -3.68844E+01  3.80419E-01  7.91956E-02
 -3.66351E+01  3.70222E-01  7.25114E-02
 -3.63859E+01  3.46830E-01  7.68257E-02
 -3.61367E+01  4.56079E-01  9.28350E-02
 -3.58875E+01  4.08351E-01  7.73644E-02
 -3.56383E+01  4.36501E-01  9.22355E-02
 -3.53891E+01  4.38660E-01  8.46118E-02
 -3.51398E+01  6.00864E-01  1.00419E-01
 -3.48906E+01  5.56137E-01  9.31522E-02
 -3.46414E+01  5.20907E-01  8.89553E-02
 -3.43922E+01  6.20267E-01  1.03404E-01
 -3.41430E+01  6.65654E-01  1.01749E-01
 -3.38937E+01  5.95478E-01  9.58778E-02
 -3.36445E+01  6.98309E-01  1.14102E-01
 -3.33953E+01  7.34211E-01  1.00871E-01
 -3.31461E+01  7.36555E-01  1.04325E-01
 -3.28969E+01  5.95986E-01  1.00260E-01
 -3.26476E+01  7.24821E-01  1.05448E-01
 -3.23984E+01  6.85659E-01  9.85274E-02
 -3.21492E+01  6.38852E-01  1.02793E-01
 -3.19000E+01  8.18708E-01  1.13075E-01
 -3.16508E+01  8.23039E-01  1.12802E-01
 -3.14016E+01  9.76952E-01  1.26442E-01
 -3.11523E+01  9.14020E-01  1.16576E-01
 -3.09031E+01  8.49289E-01  1.12751E-01
 -3.06539E+01  8.77063E-01  1.22481E-01
 -3.04047E+01  9.94953E-01  1.32270E-01
 -3.01555E+01  1.20137E+00  1.38199E-01
 -2.99062E+01  1.07163E+00  1.20873E-01
 -2.96570E+01  9.58134E-01  1.24053E-01
 -2.94078E+01  1.01622E+00  1.17740E-01
 -2.91586E+01  7.92373E-01  1.12053E-01
 -2.89094E+01  8.12443E-01  1.10465E-01
 -2.86602E+01  7.11182E-01  1.07713E-01
 -2.84109E+01  8.18974E-01  1.24581E-01
 -2.81617E+01  9.62805E-01  1.11557E-01
 -2.79125E+01  8.00416E-01  1.05595E-01
 -2.76633E+01  7.61976E-01  1.08759E-01
 -2.74141E+01  7.00439E-01  1.03231E-01
 -2.71648E+01  6.36093E-01  9.91302E-02
 -2.69156E+01  6.25091E-01  1.07206E-01
 -2.66664E+01  6.83009E-01  1.09169E-01
 -2.64172E+01  7.07355E-01  1.12299E-01
 -2.61680E+01  7.77186E-01  1.14886E-01
 -2.59187E+01  7.97339E-01  1.18726E-01
 -2.56695E+01  7.95151E-01  1.12240E-01
 -2.54203E+01  7.30635E-01  1.07678E-01
 -2.51711E+01  6.07629E-01  9.97115E-02
 -2.49219E+01  5.35635E-01  9.28365E-02
 -2.46727E+01  5.17197E-01  1.06067E-01
 -2.44234E+01  6.15734E-01  1.08003E-01
 -2.41742E+01  5.81147E-01  1.02414E-01
 -2.39250E+01  6.45282E-01  9.95353E-02
 -2.36758E+01  4.62889E-01  9.65771E-02
 -2.34266E+01  5.20471E-01  9.36099E-02
 -2.31773E+01  4.70056E-01  8.95821E-02
 -2.29281E+01  4.36724E-01  8.33429E-02
 -2.26789E+01  4.69577E-01  1.01863E-01
 -2.24297E+01  5.99344E-01  1.03337E-01
 -2.21805E+01  4.89798E-01  9.14057E-02
 -2.19312E+01  4.87812E-01  9.36294E-02
 -2.16820E+01  4.73757E-01  8.99733E-02
 -2.14328E+01  3.64087E-01  8.81348E-02
 -2.11836E+01  4.44454E-01  9.08407E-02
 -2.09344E+01  5.09598E-01  1.01554E-01
 -2.06852E+01  4.95113E-01  9.89140E-02
