@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 14:28:00 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -9.02270E+01 -2.60795E-03
 -8.99798E+01 -8.36267E-04
 -8.97326E+01  3.73310E-03
 -8.94854E+01  3.90042E-03
 -8.92383E+01 -9.71636E-04
 -8.89911E+01 -3.53771E-03
 -8.87439E+01 -1.88178E-03
 -8.84967E+01  1.11795E-03
 -8.82495E+01  9.40211E-04
 -8.80023E+01 -2.02475E-03
 -8.77551E+01 -4.13410E-03
 -8.75079E+01 -4.31853E-03
 -8.72607E+01 -3.94530E-03
 -8.70135E+01 -4.56155E-03
 -8.67663E+01 -4.21828E-03
 -8.65191E+01 -3.96330E-03
 -8.62719E+01 -4.69468E-03
 -8.60247E+01 -4.11602E-03
 -8.57775E+01 -4.04541E-03
 -8.55303E+01 -4.69947E-03
 -8.52831E+01 -4.05492E-03
 -8.50359E+01 -4.21014E-03
 -8.47887E+01 -4.63521E-03
 -8.45415E+01 -3.81574E-03
 -8.42943E+01 -3.18811E-03
 -8.40471E+01 -1.51677E-03
 -8.37999E+01  1.25118E-03
 -8.35527E+01  1.89855E-03
 -8.33055E+01 -2.14385E-04
 -8.30583E+01  6.58664E-05
 -8.28111E+01  6.45874E-04
 -8.25639E+01 -1.03281E-03
 -8.23167E+01 -3.20362E-03
 -8.20695E+01 -3.37164E-03
 -8.18223E+01 -1.70446E-03
 -8.15751E+01 -1.19689E-04
 -8.13279E+01  1.56145E-03
 -8.10807E+01  1.43268E-03
 -8.08335E+01  1.33734E-03
 -8.05863E+01  4.39800E-03
 -8.03391E+01  4.10544E-03
 -8.00919E+01  1.86613E-03
 -7.98448E+01 -4.30916E-04
 -7.95976E+01 -1.26493E-03
 -7.93504E+01 -1.79931E-03
 -7.91032E+01 -2.62747E-03
 -7.88560E+01 -1.72327E-03
 -7.86088E+01 -6.60859E-04
 -7.83616E+01  2.16447E-03
 -7.81144E+01  5.63548E-03
 -7.78672E+01  1.50546E-03
 -7.76200E+01 -3.30741E-03
 -7.73728E+01 -4.41177E-03
 -7.71256E+01 -4.51409E-03
 -7.68784E+01 -3.20077E-03
 -7.66312E+01  1.06770E-03
 -7.63840E+01  3.10147E-03
 -7.61368E+01 -1.26821E-03
 -7.58896E+01 -4.35951E-03
 -7.56424E+01 -4.33601E-03
 -7.53952E+01 -6.19337E-04
 -7.51480E+01  6.43033E-03
 -7.49008E+01  8.05804E-03
 -7.46536E+01  4.18852E-03
 -7.44064E+01  2.86898E-03
 -7.41592E+01  9.75433E-04
 -7.39120E+01  4.94756E-04
 -7.36648E+01  1.32941E-03
 -7.34176E+01  3.52134E-04
 -7.31704E+01  3.42501E-04
 -7.29232E+01 -1.66214E-04
 -7.26760E+01  3.63701E-05
 -7.24288E+01 -3.20224E-03
 -7.21816E+01 -4.40468E-03
 -7.19344E+01 -3.06547E-03
 -7.16872E+01 -1.42831E-03
 -7.14400E+01  2.84008E-03
 -7.11928E+01  4.47368E-03
 -7.09456E+01  5.97340E-04
 -7.06984E+01  4.74099E-04
 -7.04513E+01  1.55546E-03
 -7.02041E+01  3.76008E-03
 -6.99569E+01  1.62372E-03
 -6.97097E+01 -4.21642E-03
 -6.94625E+01 -6.69394E-03
 -6.92153E+01 -4.99798E-03
 -6.89681E+01 -2.58225E-03
 -6.87209E+01 -3.58310E-03
 -6.84737E+01 -2.27202E-03
 -6.82265E+01  4.80577E-04
 -6.79793E+01  3.65314E-03
 -6.77321E+01  4.35658E-03
 -6.74849E+01 -3.35859E-03
 -6.72377E+01 -5.27670E-03
 -6.69905E+01 -3.01961E-03
 -6.67433E+01 -3.65815E-03
 -6.64961E+01 -1.90716E-03
 -6.62489E+01  3.01050E-03
 -6.60017E+01  4.25690E-03
 -6.57545E+01  3.15683E-03
 -6.55073E+01  4.84773E-03
 -6.52601E+01  3.44622E-03
 -6.50129E+01 -1.60093E-03
 -6.47657E+01 -1.86463E-03
 -6.45185E+01  1.41176E-04
 -6.42713E+01 -1.31873E-03
 -6.40241E+01 -4.58354E-03
 -6.37769E+01 -5.17999E-03
 -6.35297E+01 -2.66834E-03
 -6.32825E+01 -4.97450E-03
 -6.30353E+01 -8.67336E-03
 -6.27881E+01 -8.91672E-03
 -6.25409E+01 -3.25757E-03
 -6.22937E+01  5.46528E-03
 -6.20465E+01  6.26948E-03
 -6.17993E+01  4.99283E-03
 -6.15521E+01  4.33503E-03
 -6.13049E+01 -1.54567E-03
 -6.10578E+01 -4.76280E-03
 -6.08106E+01 -1.28314E-05
 -6.05634E+01 -9.52077E-04
 -6.03162E+01 -6.29087E-03
 -6.00690E+01 -6.91938E-03
 -5.98218E+01 -1.40444E-03
 -5.95746E+01  7.68429E-03
 -5.93274E+01  1.01958E-02
 -5.90802E+01  6.95132E-03
 -5.88330E+01 -1.35014E-04
 -5.85858E+01  1.23744E-03
 -5.83386E+01  2.68315E-03
 -5.80914E+01 -4.93154E-04
 -5.78442E+01  3.66235E-03
 -5.75970E+01  5.93052E-03
 -5.73498E+01  4.24747E-03
 -5.71026E+01  1.06212E-02
 -5.68554E+01  9.60445E-03
 -5.66082E+01 -2.35875E-03
 -5.63610E+01 -8.15451E-03
 -5.61138E+01  1.57644E-03
 -5.58666E+01  3.86175E-03
 -5.56194E+01 -8.89195E-03
 -5.53722E+01 -1.49929E-02
 -5.51250E+01 -3.51690E-03
 -5.48778E+01  1.01384E-02
 -5.46306E+01  7.27754E-03
 -5.43834E+01  1.15757E-04
 -5.41362E+01 -2.11245E-03
 -5.38890E+01 -1.43061E-03
 -5.36418E+01 -4.37630E-03
 -5.33946E+01 -8.09929E-03
 -5.31474E+01 -6.75817E-03
 -5.29002E+01 -9.45433E-03
 -5.26530E+01  1.66072E-03
 -5.24058E+01  2.54486E-02
 -5.21586E+01  2.59708E-02
 -5.19114E+01  2.59199E-02
 -5.16643E+01  1.96344E-02
 -5.14171E+01  3.43999E-03
 -5.11699E+01 -2.41018E-03
 -5.09227E+01 -7.86993E-03
 -5.06755E+01 -8.93750E-03
 -5.04283E+01 -3.49718E-03
 -5.01811E+01  4.68558E-03
 -4.99339E+01  1.14513E-02
 -4.96867E+01  3.09572E-03
 -4.94395E+01 -8.01732E-03
 -4.91923E+01 -5.29277E-03
 -4.89451E+01  8.72435E-04
 -4.86979E+01  1.15978E-02
 -4.84507E+01  3.35057E-02
 -4.82035E+01  4.09104E-02
 -4.79563E+01  3.60293E-02
 -4.77091E+01  2.03191E-02
 -4.74619E+01 -1.31797E-04
 -4.72147E+01 -1.09521E-02
 -4.69675E+01 -1.19032E-02
 -4.67203E+01 -9.63812E-03
 -4.64731E+01  9.76262E-03
 -4.62259E+01  2.86051E-02
 -4.59787E+01  2.88110E-02
 -4.57315E+01  9.15896E-03
 -4.54843E+01  2.58901E-03
 -4.52371E+01  1.91484E-02
 -4.49899E+01  1.99022E-02
 -4.47427E+01  4.43891E-03
 -4.44955E+01 -8.93752E-03
 -4.42483E+01 -1.43546E-02
 -4.40011E+01 -1.91298E-02
 -4.37539E+01 -9.22496E-03
 -4.35067E+01  9.73410E-03
 -4.32595E+01  1.34631E-02
 -4.30123E+01  3.02696E-02
 -4.27651E+01  5.84188E-02
 -4.25179E+01  4.80512E-02
 -4.22708E+01  2.06222E-02
 -4.20236E+01  8.85915E-03
 -4.17764E+01  6.77559E-03
 -4.15292E+01  1.32459E-02
 -4.12820E+01  1.79495E-02
 -4.10348E+01  2.30166E-02
 -4.07876E+01  3.05952E-02
 -4.05404E+01  3.18312E-02
 -4.02932E+01  2.66872E-02
 -4.00460E+01  1.80609E-02
 -3.97988E+01  1.85748E-02
 -3.95516E+01  1.60278E-02
 -3.93044E+01  3.50318E-03
 -3.90572E+01  2.37419E-02
 -3.88100E+01  5.87011E-02
 -3.85628E+01  7.24186E-02
 -3.83156E+01  8.22456E-02
 -3.80684E+01  1.09314E-01
 -3.78212E+01  1.45799E-01
 -3.75740E+01  1.78132E-01
 -3.73268E+01  2.11755E-01
 -3.70796E+01  2.71329E-01
 -3.68324E+01  3.83182E-01
 -3.65852E+01  5.28740E-01
 -3.63380E+01  6.27503E-01
 -3.60908E+01  6.85365E-01
 -3.58436E+01  7.64596E-01
 -3.55964E+01  8.96248E-01
 -3.53492E+01  1.01194E+00
 -3.51020E+01  1.03378E+00
 -3.48548E+01  1.03197E+00
 -3.46076E+01  1.04224E+00
 -3.43604E+01  9.93458E-01
 -3.41132E+01  9.28854E-01
 -3.38660E+01  8.70427E-01
 -3.36188E+01  8.44281E-01
 -3.33716E+01  8.60432E-01
 -3.31244E+01  8.43105E-01
 -3.28773E+01  7.93914E-01
 -3.26301E+01  7.48611E-01
 -3.23829E+01  7.14327E-01
 -3.21357E+01  7.07526E-01
 -3.18885E+01  7.13059E-01
