@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 01/25/18 at 14:28:00 -08:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -9.02270E+01 -4.25778E-03  0.00000E+00
 -8.99798E+01 -3.86130E-03  1.76093E-03
 -8.97326E+01  7.31412E-03  1.14553E-02
 -8.94854E+01  7.12299E-03  1.14284E-02
 -8.92383E+01 -3.81948E-03  2.08449E-03
 -8.89911E+01 -4.16201E-03  6.14795E-04
 -8.87439E+01 -3.60922E-03  4.19725E-03
 -8.84967E+01  3.28979E-03  9.10374E-03
 -8.82495E+01  3.43158E-03  0.00000E+00
 -8.80023E+01 -4.17220E-03  0.00000E+00
 -8.77551E+01 -4.12859E-03  0.00000E+00
 -8.75079E+01 -4.12849E-03  0.00000E+00
 -8.72607E+01 -4.12860E-03  0.00000E+00
 -8.70135E+01 -4.12871E-03  0.00000E+00
 -8.67663E+01 -4.12882E-03  0.00000E+00
 -8.65191E+01 -4.12893E-03  0.00000E+00
 -8.62719E+01 -4.12904E-03  0.00000E+00
 -8.60247E+01 -4.12915E-03  0.00000E+00
 -8.57775E+01 -4.12926E-03  0.00000E+00
 -8.55303E+01 -4.12937E-03  0.00000E+00
 -8.52831E+01 -4.12948E-03  0.00000E+00
 -8.50359E+01 -4.12960E-03  0.00000E+00
 -8.47887E+01 -4.13135E-03  0.00000E+00
 -8.45415E+01 -4.14327E-03  4.66461E-04
 -8.42943E+01 -3.75994E-03  3.15704E-03
 -8.40471E+01 -3.71957E-04  6.36413E-03
 -8.37999E+01 -2.15089E-04  1.72603E-03
 -8.35527E+01  6.55619E-03  1.11091E-02
 -8.33055E+01 -2.91263E-03  4.07625E-03
 -8.30583E+01 -3.62699E-04  7.01306E-03
 -8.28111E+01  3.29434E-03  6.46555E-03
 -8.25639E+01 -8.02759E-04  0.00000E+00
 -8.23167E+01 -4.16919E-03  3.61605E-04
 -8.20695E+01 -4.02636E-03  2.52951E-03
 -8.18223E+01 -6.54649E-04  6.43442E-03
 -8.15751E+01 -5.62796E-04  3.08692E-03
 -8.13279E+01  2.77908E-03  9.38382E-03
